ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			ベントブランチ牧場のルクロは、消えたチョコボの卵探しを依頼したいようだ。			守るべきぬくもり							
消えてしまったチョコボの卵は、ルクロにとって大切な卵だという。手がかりを探すため、ベントブランチ牧場の人々に聞き込みをしよう。			消えてしまったチョコボの卵は、ルクロにとって大切な卵だという。手がかりを探すため、ベントブランチ牧場の人々に聞き込みをしよう。			守るべきぬくもり							
牧場の人たちへの聞き込みを終えた。「ルクロ」に報告しよう。			牧場の人たちへの聞き込みを終えた。「ルクロ」に報告しよう。			守るべきぬくもり							
卵を奪ったのは、ルクロの故郷イシュガルドの者らしい。犯人は「タムタラの墓所」の方向へ逃げ去ったようだ。追いかけて、「レイアの卵」を取り返そう。			卵を奪ったのは、ルクロの故郷イシュガルドの者らしい。犯人は「タムタラの墓所」の方向へ逃げ去ったようだ。追いかけて、「レイアの卵」を取り返そう。			守るべきぬくもり							
卵を奪った犯人を退けた。盗まれていた「レイアの卵」を保護しよう。			卵を奪った犯人を退けた。盗まれていた「レイアの卵」を保護しよう。			守るべきぬくもり							
取り戻したレイアの卵を、ベントブランチ牧場で待つ飼育員「ルクロ」に届けよう。			取り戻したレイアの卵を、ベントブランチ牧場で待つ飼育員「ルクロ」に届けよう。			守るべきぬくもり							
レイアの卵を取り戻し、ルクロとケーシャは安心したようだ。ケーシャに、ルクロから礼を受け取るよう言われた。「ルクロ」に声をかけよう。			レイアの卵を取り戻し、ルクロとケーシャは安心したようだ。ケーシャに、ルクロから礼を受け取るよう言われた。「ルクロ」に声をかけよう。			守るべきぬくもり							
卵を取り戻した冒険者の活躍に、感謝を告げるルクロ。彼は今回の騒動中に、何やら「気になるもの」を見たと言う。ルクロから、詳しい話を聞いてみよう。			卵を取り戻した冒険者の活躍に、感謝を告げるルクロ。彼は今回の騒動中に、何やら「気になるもの」を見たと言う。ルクロから、詳しい話を聞いてみよう。			守るべきぬくもり							
ベントブランチ牧場の人々と話す			ベントブランチ牧場の人々と話す			守るべきぬくもり							
ルクロと話す			ルクロと話す			守るべきぬくもり							
レイアの卵を取り戻す			レイアの卵を取り戻す			守るべきぬくもり							
レイアの卵を保護する			レイアの卵を保護する			守るべきぬくもり							
ルクロにレイアの卵を渡す			ルクロにレイアの卵を渡す			守るべきぬくもり							
ルクロと話す			ルクロと話す			守るべきぬくもり							
怨毒のジャンレミたちを倒せ！			怨毒のジャンレミたちを倒せ！			守るべきぬくもり							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			守るべきぬくもり							
ああ、大変だ、大変です！「レイア」の卵が……！			ああ、大変だ、大変です！「レイア」の卵が……！			守るべきぬくもり							
どうか、手を貸してください。私が厩舎を離れた隙に、あるチョコボの卵が、なくなってしまいました。			どうか、手を貸してください。私が厩舎を離れた隙に、あるチョコボの卵が、なくなってしまいました。			守るべきぬくもり							
消えてしまったのは、私の大切なチョコボ、「レイア」の卵なのです！なんとしても、見つけなければ……！			消えてしまったのは、私の大切なチョコボ、「レイア」の卵なのです！なんとしても、見つけなければ……！			守るべきぬくもり							
もしや卵探しを手伝っていただけるのですか！？ありがとうございます！			もしや卵探しを手伝っていただけるのですか！？ありがとうございます！			守るべきぬくもり							
卵はどうやら、何者かに持ち去られたようです。手分けして情報を集めましょう。ぜひ、牧場の人たちに聞き込みをお願いします。			卵はどうやら、何者かに持ち去られたようです。手分けして情報を集めましょう。ぜひ、牧場の人たちに聞き込みをお願いします。			守るべきぬくもり							
チョコボの卵がなくなった？うーん、ちょっと待てよ、思い出してみよう。			チョコボの卵がなくなった？うーん、ちょっと待てよ、思い出してみよう。			守るべきぬくもり							
……そういえば、チョコボがやたら騒いでいたな。様子を見に行こうとしたら、見慣れない旅商人に引き止められちまったが。			……そういえば、チョコボがやたら騒いでいたな。様子を見に行こうとしたら、見慣れない旅商人に引き止められちまったが。			守るべきぬくもり							
そいつは、するどい目付きのエレゼン族の男だった。妙に辺りを気にしてたし、思えば怪しい奴だったな……。			そいつは、するどい目付きのエレゼン族の男だった。妙に辺りを気にしてたし、思えば怪しい奴だったな……。			守るべきぬくもり							
怪しいやつ？さあ、特に見なかったけどね。			怪しいやつ？さあ、特に見なかったけどね。			守るべきぬくもり							
ああ、騒ぐチョコボをなだめてた人なら見たよ。後ろ姿で、てっきりルクロさんだと思ったけど……			ああ、騒ぐチョコボをなだめてた人なら見たよ。後ろ姿で、てっきりルクロさんだと思ったけど……			守るべきぬくもり							
でも、彼がチョコボ厩舎を離れてたっていうなら、あれはいったい誰だったんだ？			でも、彼がチョコボ厩舎を離れてたっていうなら、あれはいったい誰だったんだ？			守るべきぬくもり							
怪しいやつなら、見たぞ。何か大慌ての様子で、「タムタラの墓所」の方に走っていく男がいたんだ。			怪しいやつなら、見たぞ。何か大慌ての様子で、「タムタラの墓所」の方に走っていく男がいたんだ。			守るべきぬくもり							
……何？　卵が盗まれただと？じゃあきっと、そいつが持っていったに違いない。			……何？　卵が盗まれただと？じゃあきっと、そいつが持っていったに違いない。			守るべきぬくもり							
だが、チョコボの卵を盗んでどうしようというんだ？生半可な知識じゃ、とてもじゃないが孵化させることはできないぞ。			だが、チョコボの卵を盗んでどうしようというんだ？生半可な知識じゃ、とてもじゃないが孵化させることはできないぞ。			守るべきぬくもり							
なるほど……そういうことですか。			なるほど……そういうことですか。			守るべきぬくもり							
話を聞く限り、ただの盗人の犯行ではありませんね。犯人はチョコボの扱いに長けた者のようです。			話を聞く限り、ただの盗人の犯行ではありませんね。犯人はチョコボの扱いに長けた者のようです。			守るべきぬくもり							
そして、他の卵には目もくれず、レイアの卵だけを持ち去っている……。おそらく犯人は、私の故郷、イシュガルドの者でしょう。			そして、他の卵には目もくれず、レイアの卵だけを持ち去っている……。おそらく犯人は、私の故郷、イシュガルドの者でしょう。			守るべきぬくもり							
レイアは、イシュガルドの伝説的な名チョコボ、「ウラヌス号」の血統を引いているんです。			レイアは、イシュガルドの伝説的な名チョコボ、「ウラヌス号」の血統を引いているんです。			守るべきぬくもり							
その卵を欲しがる者は、イシュガルドには少なくないはず……。あぁ、こうしてはいられません！			その卵を欲しがる者は、イシュガルドには少なくないはず……。あぁ、こうしてはいられません！			守るべきぬくもり							
ちょっと待ってください……。犯人がイシュガルドの者だとしたら、どうして反対方向の「タムタラの墓所」に？			ちょっと待ってください……。犯人がイシュガルドの者だとしたら、どうして反対方向の「タムタラの墓所」に？			守るべきぬくもり							
その理由は解りませんが……それでもグズグズしてはいられません！冒険者さん、どうか手を貸してください！			その理由は解りませんが……それでもグズグズしてはいられません！冒険者さん、どうか手を貸してください！			守るべきぬくもり							
確かに、相手は牧場に押し入るような連中です、戦う術を知らない私たちでは……			確かに、相手は牧場に押し入るような連中です、戦う術を知らない私たちでは……			守るべきぬくもり							
