ミューヌは冒険者に依頼人を紹介したいようだ。			ミューヌは冒険者に依頼人を紹介したいようだ。			タムタラの仄暗い底で							
ミューヌとリュウィンによれば、ここ最近「タムタラの墓所」で、カルト教団「最後の群民」とおぼしき怪しげな団体が活動しているらしい。タムタラの墓所前にいる「神勇隊の衛士」に話しかけよう。			ミューヌとリュウィンによれば、ここ最近「タムタラの墓所」で、カルト教団「最後の群民」とおぼしき怪しげな団体が活動しているらしい。タムタラの墓所前にいる「神勇隊の衛士」に話しかけよう。			タムタラの仄暗い底で							
「最後の群民」は、第七霊災を引き起こした衛星「ダラガブ」を神と崇める危険な集団のようだ。「最後の群民」を掃討するため「タムタラの墓所」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			「最後の群民」は、第七霊災を引き起こした衛星「ダラガブ」を神と崇める危険な集団のようだ。「最後の群民」を掃討するため「タムタラの墓所」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			タムタラの仄暗い底で							
「タムタラの墓所」の最奥で、絶対王ガルヴァンスを倒した。「最後の群民」は墓所に眠る遺骸を利用して、強大な妖異を呼び覚まそうとしていたようだ。グリダニアに戻り、カーラインカフェの「ミューヌ」に報告しよう。			「タムタラの墓所」の最奥で、絶対王ガルヴァンスを倒した。「最後の群民」は墓所に眠る遺骸を利用して、強大な妖異を呼び覚まそうとしていたようだ。グリダニアに戻り、カーラインカフェの「ミューヌ」に報告しよう。			タムタラの仄暗い底で							
冒険者ギルドへの依頼が増えてきている一方、冒険者の事故も増えているようだ。有能な冒険者が増え、犠牲が減ればいいのだが……。依頼達成をミューヌは喜び、新たな冒険の情報を教えてくれた。なんでも、ウルダハの冒険者ギルドが冒険者を募集しているらしい。次なる冒険への準備が整ったら、ミューヌから詳しい話を聞いてみよう。			冒険者ギルドへの依頼が増えてきている一方、冒険者の事故も増えているようだ。有能な冒険者が増え、犠牲が減ればいいのだが……。依頼達成をミューヌは喜び、新たな冒険の情報を教えてくれた。なんでも、ウルダハの冒険者ギルドが冒険者を募集しているらしい。次なる冒険への準備が整ったら、ミューヌから詳しい話を聞いてみよう。			タムタラの仄暗い底で							
タムタラの墓所前の神勇隊の衛士と話す			タムタラの墓所前の神勇隊の衛士と話す			タムタラの仄暗い底で							
「タムタラの墓所」を攻略			「タムタラの墓所」を攻略			タムタラの仄暗い底で							
カーラインカフェのミューヌと話す			カーラインカフェのミューヌと話す			タムタラの仄暗い底で							
頼みというのはね。実は……。			頼みというのはね。実は……。			タムタラの仄暗い底で							
ミューヌ、冒険者ギルドに依頼は出してくれたのか？			ミューヌ、冒険者ギルドに依頼は出してくれたのか？			タムタラの仄暗い底で							
おや、リュウィン隊長。……たった今、その冒険者が来てくれたところだよ。			おや、リュウィン隊長。……たった今、その冒険者が来てくれたところだよ。			タムタラの仄暗い底で							
