ドライボーンのケートリンは何やら困っているようだ。			ドライボーンのケートリンは何やら困っているようだ。			ゴールドバザーの活気							
ケートリンはベネジャーに、ツコツコの肉が欲しいと頼まれたようだ。「ツコツコの肉」を「ゴールドバザー」の「ベネジャー」に届けよう。			ケートリンはベネジャーに、ツコツコの肉が欲しいと頼まれたようだ。「ツコツコの肉」を「ゴールドバザー」の「ベネジャー」に届けよう。			ゴールドバザーの活気							
ツコツコの肉を入手した。「ゴールドバザー」の「ベネジャー」に渡そう。			ツコツコの肉を入手した。「ゴールドバザー」の「ベネジャー」に渡そう。			ゴールドバザーの活気							
ベネジャーにツコツコの肉を渡した。彼はケートリンを心配しているようだった。			ベネジャーにツコツコの肉を渡した。彼はケートリンを心配しているようだった。			ゴールドバザーの活気							
ツコツコからツコツコの肉を入手			ツコツコからツコツコの肉を入手			ゴールドバザーの活気							
ベネジャーにツコツコの肉を渡す			ベネジャーにツコツコの肉を渡す			ゴールドバザーの活気							
はあ……困ったわね。あら、あなたはこの間の冒険者さん。			はあ……困ったわね。あら、あなたはこの間の冒険者さん。			ゴールドバザーの活気							
ウフフ、今回はモングレルの討伐依頼じゃないわ。ゴールドバザーに住んでる、亡くなった彼の弟くんがね、「ツコツコの肉」を届けてほしいんですって。			ウフフ、今回はモングレルの討伐依頼じゃないわ。ゴールドバザーに住んでる、亡くなった彼の弟くんがね、「ツコツコの肉」を届けてほしいんですって。			ゴールドバザーの活気							
でも、私はここでモングレルを倒してくれる、新しい冒険者を探さなきゃいけないし……。			でも、私はここでモングレルを倒してくれる、新しい冒険者を探さなきゃいけないし……。			ゴールドバザーの活気							
そこであなた！代わりに「ツコツコ」から「ツコツコの肉」を取って、「ゴールドバザー」のベネジャー君に渡してくれない？			そこであなた！代わりに「ツコツコ」から「ツコツコの肉」を取って、「ゴールドバザー」のベネジャー君に渡してくれない？			ゴールドバザーの活気							
ケートリンに頼んだ「ツコツコの肉」はまだかなあ。そろそろ客がやってくる時間なんだが……。			ケートリンに頼んだ「ツコツコの肉」はまだかなあ。そろそろ客がやってくる時間なんだが……。			ゴールドバザーの活気							
あんた、ケートリンの使いの冒険者か。おお、ツコツコの肉がこんだけあれば十分だろう。			あんた、ケートリンの使いの冒険者か。おお、ツコツコの肉がこんだけあれば十分だろう。			ゴールドバザーの活気							
これはなぁ、街に霊銀鉱床目当てでやってきた採掘師にふるまうためのものだ。奴ら質より量だから、安い肉が沢山欲しかったんだよ。			これはなぁ、街に霊銀鉱床目当てでやってきた採掘師にふるまうためのものだ。奴ら質より量だから、安い肉が沢山欲しかったんだよ。			ゴールドバザーの活気							
それにしてもケートリンはまだ、モングレルを倒す冒険者を探して、キャンプ・ドライボーンから動かないのか……。			それにしてもケートリンはまだ、モングレルを倒す冒険者を探して、キャンプ・ドライボーンから動かないのか……。			ゴールドバザーの活気							
そんなことしたって、兄貴は生き返らねぇって言ってるのになぁ。早く兄貴のことなんか忘れてほしいぜ……。			そんなことしたって、兄貴は生き返らねぇって言ってるのになぁ。早く兄貴のことなんか忘れてほしいぜ……。			ゴールドバザーの活気							
キャンプ・ドライボーンの顔役のイセムバードは、オルセンの動向を知っているようだ。			キャンプ・ドライボーンの顔役のイセムバードは、オルセンの動向を知っているようだ。			共謀者の影							
オルセンのことを知るため、「ゴールドバザー」の「貧しい身なりの少年」と話してみよう。			オルセンのことを知るため、「ゴールドバザー」の「貧しい身なりの少年」と話してみよう。			共謀者の影							
オルセンは子どもの宝物を探しに外に出たまま、帰ってこないらしい。「オルセン」を探しに行こう。			オルセンは子どもの宝物を探しに外に出たまま、帰ってこないらしい。「オルセン」を探しに行こう。			共謀者の影							
「ドライボーン」に戻り、「イセムバード」にオルセンのことを報告しよう。			「ドライボーン」に戻り、「イセムバード」にオルセンのことを報告しよう。			共謀者の影							
イセムバードは、彼女の動向に驚いていた。子どものために危険を冒す彼女は、やはり共謀者ではないようだ。			イセムバードは、彼女の動向に驚いていた。子どものために危険を冒す彼女は、やはり共謀者ではないようだ。			共謀者の影							
貧しい身なりの少年と話す			貧しい身なりの少年と話す			共謀者の影							
オルセンを助ける			オルセンを助ける			共謀者の影							
イセムバードに報告			イセムバードに報告			共謀者の影							
司祭オルセン様、か……そういえば、彼女はよく一人で「ゴールドバザー」に行き、貧民の子どもたちとなにか話しているが……まさか。			司祭オルセン様、か……そういえば、彼女はよく一人で「ゴールドバザー」に行き、貧民の子どもたちとなにか話しているが……まさか。			共謀者の影							
……もしかしたら、何かがわかるかもしれないな。一体何をしているのか、「貧しい身なりの少年」に話を聞いてみたらどうだ？			……もしかしたら、何かがわかるかもしれないな。一体何をしているのか、「貧しい身なりの少年」に話を聞いてみたらどうだ？			共謀者の影							
……ぼ、冒険者だな？　た、助けてくれよ！オルセン姉ちゃんが一人で外に行ったまま、全然帰ってこないんだ！			……ぼ、冒険者だな？　た、助けてくれよ！オルセン姉ちゃんが一人で外に行ったまま、全然帰ってこないんだ！			共謀者の影							
いつもはここで、ザル神の本を読んでくれてたんだけど、今日は、俺が無くした宝物を探しに行っちゃって……。魔物に襲われてたら大変だ、探してきてくれよ！			いつもはここで、ザル神の本を読んでくれてたんだけど、今日は、俺が無くした宝物を探しに行っちゃって……。魔物に襲われてたら大変だ、探してきてくれよ！			共謀者の影							
オルセン姉ちゃんが魔物に襲われてたら大変だ、探してきてくれよ！			オルセン姉ちゃんが魔物に襲われてたら大変だ、探してきてくれよ！			共謀者の影							
あ、あなたは以前の冒険者さん……？助けてくれてありがとうございます、少し怪我をしてしまいましたが、大丈夫です。			あ、あなたは以前の冒険者さん……？助けてくれてありがとうございます、少し怪我をしてしまいましたが、大丈夫です。			共謀者の影							
子どもの宝物も無事、見つけることができました！お母様の形見の、指輪だそうです……私はこれを子どもに届けに行きますね。			子どもの宝物も無事、見つけることができました！お母様の形見の、指輪だそうです……私はこれを子どもに届けに行きますね。			共謀者の影							
敵の気配を感じた！！			敵の気配を感じた！！			共謀者の影							
司祭のオルセン様が、子どもの宝物を探して怪我を！？念のため、宿屋の部屋を確保しておこう。			司祭のオルセン様が、子どもの宝物を探して怪我を！？念のため、宿屋の部屋を確保しておこう。			共謀者の影							
