酒房「バスカロンドラザーズ」のバスカロンは、冒険者にお使いを頼みたいようだ。			酒房「バスカロンドラザーズ」のバスカロンは、冒険者にお使いを頼みたいようだ。			懐かしき忘れ物							
酒場に勤めていたキキルン族のテテルンが忘れ物をしていったそうだ。テテルンの行方を知るため、リムサ・ロミンサの国際街商通りにいる「ベーンシング」に話を聞いてみよう。			酒場に勤めていたキキルン族のテテルンが忘れ物をしていったそうだ。テテルンの行方を知るため、リムサ・ロミンサの国際街商通りにいる「ベーンシング」に話を聞いてみよう。			懐かしき忘れ物							
テテルンの行方については、「キョキョルン」が詳しいらしい。国際街商通りの「キョキョルン」に「新鮮な鶏卵」を渡そう。			テテルンの行方については、「キョキョルン」が詳しいらしい。国際街商通りの「キョキョルン」に「新鮮な鶏卵」を渡そう。			懐かしき忘れ物							
ようやくテテルンの行方がわかった。高地ラノシアへの行き方を教えてもらうため、船着場：リムサ・ロミンサの「ワインバーグ」と話そう。			ようやくテテルンの行方がわかった。高地ラノシアへの行き方を教えてもらうため、船着場：リムサ・ロミンサの「ワインバーグ」と話そう。			懐かしき忘れ物							
ワインバーグと話し、高地ラノシアへの行き方を教えてもらった。テテルンの居場所への道を詳しく教えてもらうため、エールポートの「アルドフート」と話そう。			ワインバーグと話し、高地ラノシアへの行き方を教えてもらった。テテルンの居場所への道を詳しく教えてもらうため、エールポートの「アルドフート」と話そう。			懐かしき忘れ物							
アルドフートと話し、テテルンのいるメメルン交易商店への道を教えてもらった。メメルン交易商店の「テテルン」に「紅石の耳飾り」を渡そう。			アルドフートと話し、テテルンのいるメメルン交易商店への道を教えてもらった。メメルン交易商店の「テテルン」に「紅石の耳飾り」を渡そう。			懐かしき忘れ物							
テテルンに紅石の耳飾りを渡した。テテルンはバスカロンのもとで働いていたころのことを、懐かしんでいるようだ。			テテルンに紅石の耳飾りを渡した。テテルンはバスカロンのもとで働いていたころのことを、懐かしんでいるようだ。			懐かしき忘れ物							
西国際街商通りのベーンシングと話す			西国際街商通りのベーンシングと話す			懐かしき忘れ物							
キョキョルンに新鮮な鶏卵を渡す			キョキョルンに新鮮な鶏卵を渡す			懐かしき忘れ物							
船着場：リムサ・ロミンサのワインバーグと話す			船着場：リムサ・ロミンサのワインバーグと話す			懐かしき忘れ物							
エールポートのアルドフートと話す			エールポートのアルドフートと話す			懐かしき忘れ物							
メメルン交易商店のテテルンに紅石の耳飾りを渡す			メメルン交易商店のテテルンに紅石の耳飾りを渡す			懐かしき忘れ物							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			懐かしき忘れ物							
お前さんは、なかなか筋がいいようだ。もう一仕事やってみねぇか？……なに、ちょっとしたお使いさ。			お前さんは、なかなか筋がいいようだ。もう一仕事やってみねぇか？……なに、ちょっとしたお使いさ。			懐かしき忘れ物							
「第七霊災」の直後のことだ。黒衣森で行き倒れていたキキルン族を助けてやったことがあってな。			「第七霊災」の直後のことだ。黒衣森で行き倒れていたキキルン族を助けてやったことがあってな。			懐かしき忘れ物							
しばらく、この店で働いていたんだが、俺のように商売を始めるとか言い出して、ラノシアに向かう商人に付いていっちまった。			しばらく、この店で働いていたんだが、俺のように商売を始めるとか言い出して、ラノシアに向かう商人に付いていっちまった。			懐かしき忘れ物							
この間、店の片付けをしていたら、そのキキルン族……「テテルン」が忘れていった荷物を見つけてな、届けてやってほしいのさ。			この間、店の片付けをしていたら、そのキキルン族……「テテルン」が忘れていった荷物を見つけてな、届けてやってほしいのさ。			懐かしき忘れ物							
リムサ・ロミンサの「国際街商通り」に、俺の知り合いの「ベーンシング」というルガディン族がいる。あいつなら、何か知っているだろう。			リムサ・ロミンサの「国際街商通り」に、俺の知り合いの「ベーンシング」というルガディン族がいる。あいつなら、何か知っているだろう。			懐かしき忘れ物							
国際街商通りへようこそ。……「バスカロンドラザーズ」で働いていたキキルン族？覚えているとも、「テテルン」のことだろう。			国際街商通りへようこそ。……「バスカロンドラザーズ」で働いていたキキルン族？覚えているとも、「テテルン」のことだろう。			懐かしき忘れ物							
偶然にも、そこの「キョキョルン」の親戚だったらしく、ふたりで賑やかにしていたんだがね。しばらく前にリムサ・ロミンサを去っていったよ。			偶然にも、そこの「キョキョルン」の親戚だったらしく、ふたりで賑やかにしていたんだがね。しばらく前にリムサ・ロミンサを去っていったよ。			懐かしき忘れ物							
今の居場所を知りたければ、キョキョルンに聞くといいさ。奴の大好きな「新鮮な鶏卵」を渡してやるから、それを土産にすれば、話もしやすいだろう。			今の居場所を知りたければ、キョキョルンに聞くといいさ。奴の大好きな「新鮮な鶏卵」を渡してやるから、それを土産にすれば、話もしやすいだろう。			懐かしき忘れ物							
しかし、バスカロンも相変わらずだな。照れくさいからって冒険者に依頼を出すとは。……たまには飲みに行ってやるか。			しかし、バスカロンも相変わらずだな。照れくさいからって冒険者に依頼を出すとは。……たまには飲みに行ってやるか。			懐かしき忘れ物							
お客ちゃん、いらっしゃい。あれあれ、お客、違うっちゃ？キョキョルン、なにか、用だっちゃ？			お客ちゃん、いらっしゃい。あれあれ、お客、違うっちゃ？キョキョルン、なにか、用だっちゃ？			懐かしき忘れ物							
うきうき、「新鮮な鶏卵」いただいたっちゃ！キョキョルン、これこれ、大好きっちゃ！キョキョルン、とてとて、幸せっちゃ！			うきうき、「新鮮な鶏卵」いただいたっちゃ！キョキョルン、これこれ、大好きっちゃ！キョキョルン、とてとて、幸せっちゃ！			懐かしき忘れ物							
なになに、テテルン、探してるっちゃ？テテルン、ここから、旅立ったっちゃ。ちゃりちゃり、求めて、旅立ったっちゃ。			なになに、テテルン、探してるっちゃ？テテルン、ここから、旅立ったっちゃ。ちゃりちゃり、求めて、旅立ったっちゃ。			懐かしき忘れ物							
テテルン、みせみせ、働いてるっちゃ。「高地ラノシア」に、行ってみるっちゃ。「メメルン交易商店」に、行ってみるっちゃ。			テテルン、みせみせ、働いてるっちゃ。「高地ラノシア」に、行ってみるっちゃ。「メメルン交易商店」に、行ってみるっちゃ。			懐かしき忘れ物							
「高地ラノシア」、ちょっと遠いっちゃ。行き方、「船着場：リムサ・ロミンサ」の「ワインバーグ」に聞いてみるっちゃ。			「高地ラノシア」、ちょっと遠いっちゃ。行き方、「船着場：リムサ・ロミンサ」の「ワインバーグ」に聞いてみるっちゃ。			懐かしき忘れ物							
「ワインバーグ」、いい人っちゃ。きっときっと、親切に教えてくれるっちゃ。			「ワインバーグ」、いい人っちゃ。きっときっと、親切に教えてくれるっちゃ。			懐かしき忘れ物							
へぇ、テテルンってぇ奴を追っかけて、この船着場から「高地ラノシア」まで行きてぇのか？だったら「エールポート」行きの船に乗んな！			へぇ、テテルンってぇ奴を追っかけて、この船着場から「高地ラノシア」まで行きてぇのか？だったら「エールポート」行きの船に乗んな！			懐かしき忘れ物							
それとエールポートに着いたら、商人をやっている「アルドフート」って男を探して、「メメルン交易商店」の場所を聞いてみるといいぜ。			それとエールポートに着いたら、商人をやっている「アルドフート」って男を探して、「メメルン交易商店」の場所を聞いてみるといいぜ。			懐かしき忘れ物							
アルドフートは、エールポートにいる商人では古株でな。商売のため、周辺の地理にも精通しているんだよ。			アルドフートは、エールポートにいる商人では古株でな。商売のため、周辺の地理にも精通しているんだよ。			懐かしき忘れ物							
「高地ラノシア」に行くってぇなら、「エールポート」行きの船に乗るんだな。着いたら「アルドフート」って男に話を聞くといいぜ。			「高地ラノシア」に行くってぇなら、「エールポート」行きの船に乗るんだな。着いたら「アルドフート」って男に話を聞くといいぜ。			懐かしき忘れ物							
テテルンに会いたくて、「高地ラノシア」に行きたい？渡す物があるってのかい、そりゃごくろうさんだァ。			テテルンに会いたくて、「高地ラノシア」に行きたい？渡す物があるってのかい、そりゃごくろうさんだァ。			懐かしき忘れ物							
「高地ラノシア」に行きたいなら、ここから「スカルバレー」を越えて、北に向かいな。			「高地ラノシア」に行きたいなら、ここから「スカルバレー」を越えて、北に向かいな。			懐かしき忘れ物							
山ひとつ越えれば、そこは「高地ラノシア」だ。その先にあるオークウッドを道なりに北へ進めば、やっこさんのいる「メメルン交易商店」に辿り着くぜ。			山ひとつ越えれば、そこは「高地ラノシア」だ。その先にあるオークウッドを道なりに北へ進めば、やっこさんのいる「メメルン交易商店」に辿り着くぜ。			懐かしき忘れ物							
お客ちゃん、いらっしゃい。あらあら、お客、違うっちゃ？……テテルン、なにか、もらえるっちゃ？			お客ちゃん、いらっしゃい。あらあら、お客、違うっちゃ？……テテルン、なにか、もらえるっちゃ？			懐かしき忘れ物							
これこれ、テテルン、忘れ物っちゃ！テテルン、ドキドキ、隠せないっちゃ！届けて、くれて、ありがとーっちゃ！			これこれ、テテルン、忘れ物っちゃ！テテルン、ドキドキ、隠せないっちゃ！届けて、くれて、ありがとーっちゃ！			懐かしき忘れ物							
バスカロン、元気にしてるっちゃ？テテルン、お世話に、なったっちゃ。テテルン、なんだか、懐かしいっちゃ……。			バスカロン、元気にしてるっちゃ？テテルン、お世話に、なったっちゃ。テテルン、なんだか、懐かしいっちゃ……。			懐かしき忘れ物							
酒房「バスカロンドラザーズ」のバスカロンは、冒険者にお使いを頼みたいようだ。			酒房「バスカロンドラザーズ」のバスカロンは、冒険者にお使いを頼みたいようだ。			懐かしき忘れ物							
*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」の「バスカロン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」の「バスカロン」から再受注してください。※次のメインクエストは、「メインクエストガイド」からも確認することができます。メインクエストガイドの表示/非表示は、メインコマンドの「キャラクターコンフィグ」から「ユーザーインターフェース設定」を選び、変更してください。			懐かしき忘れ物							
テテルンの行方については、「キョキョルン」が詳しいらしい。大好物の「鶏卵」を渡して、話を聞いてみよう。			テテルンの行方については、「キョキョルン」が詳しいらしい。大好物の「鶏卵」を渡して、話を聞いてみよう。			懐かしき忘れ物							
ようやくテテルンの行方がわかった。高地ラノシアへの行き方を教えてもらうため、船着場：リムサ・ロミンサの「ワインバーグ」と話そう。			ようやくテテルンの行方がわかった。高地ラノシアへの行き方を教えてもらうため、船着場：リムサ・ロミンサの「ワインバーグ」と話そう。			懐かしき忘れ物							
ワインバーグと話し、高地ラノシアへの行き方を教えてもらった。テテルンの居場所への道を詳しく教えてもらうため、エールポートの「アルドフート」と話そう。			ワインバーグと話し、高地ラノシアへの行き方を教えてもらった。テテルンの居場所への道を詳しく教えてもらうため、エールポートの「アルドフート」と話そう。			懐かしき忘れ物							
アルドフートと話し、テテルンのいるメメルン交易商店への道を教えてもらった。メメルン交易商店の「テテルン」に「紅石の耳飾り」を渡そう。			アルドフートと話し、テテルンのいるメメルン交易商店への道を教えてもらった。メメルン交易商店の「テテルン」に「紅石の耳飾り」を渡そう。			懐かしき忘れ物							
テテルンに紅石の耳飾りを渡した。テテルンはバスカロンのもとで働いていたころのことを、懐かしんでいるようだ。			テテルンに紅石の耳飾りを渡した。テテルンはバスカロンのもとで働いていたころのことを、懐かしんでいるようだ。			懐かしき忘れ物							
*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」のバスカロンから再受注してください			*本クエストは調整されました。一度破棄し、酒房「バスカロンドラザーズ」のバスカロンから再受注してください			懐かしき忘れ物							
お前さんは、なかなか筋がいいようだ。もう一仕事やってみねぇか？……なに、ちょっとしたお使いさ。			お前さんは、なかなか筋がいいようだ。もう一仕事やってみねぇか？……なに、ちょっとしたお使いさ。			懐かしき忘れ物							
