ミンフィリアには冒険者に紹介したい人物がいるらしい。			ミンフィリアには冒険者に紹介したい人物がいるらしい。			アラミゴ解放軍を知る者							
ミンフィリアはアラミゴ出身の仲間を冒険者に紹介するという。砂の家の倉庫にいる「ハリベルト」に話しかけよう。			ミンフィリアはアラミゴ出身の仲間を冒険者に紹介するという。砂の家の倉庫にいる「ハリベルト」に話しかけよう。			アラミゴ解放軍を知る者							
ハリベルトは冒険者に協力してくれるアラミゴ人を知っているらしい。黒衣森・南部森林の「クォーリーミル」にいる「アルブレダ」に話しかけよう。			ハリベルトは冒険者に協力してくれるアラミゴ人を知っているらしい。黒衣森・南部森林の「クォーリーミル」にいる「アルブレダ」に話しかけよう。			アラミゴ解放軍を知る者							
クォーリーミルのアルブレダと話した。彼女はアラミゴ難民であり、解放軍の構成員である「メッフリッド」を紹介するというが……？			クォーリーミルのアルブレダと話した。彼女はアラミゴ難民であり、解放軍の構成員である「メッフリッド」を紹介するというが……？			アラミゴ解放軍を知る者							
ハリベルトと話す			ハリベルトと話す			アラミゴ解放軍を知る者							
クォーリーミルのアルブレダと話す			クォーリーミルのアルブレダと話す			アラミゴ解放軍を知る者							
あなたに、アラミゴ出身の仲間を紹介するわね。「ハリベルト」という人よ。			あなたに、アラミゴ出身の仲間を紹介するわね。「ハリベルト」という人よ。			アラミゴ解放軍を知る者							
彼、ハリベルトは、アラミゴ奪還の糸口を探すため、わたしたちの仲間になったの。事情を話せば、絶対に力を貸してくれるわ。			彼、ハリベルトは、アラミゴ奪還の糸口を探すため、わたしたちの仲間になったの。事情を話せば、絶対に力を貸してくれるわ。			アラミゴ解放軍を知る者							
今は、この砂の家で待機しているはずよ。倉庫の方を、探してみてくれる？			今は、この砂の家で待機しているはずよ。倉庫の方を、探してみてくれる？			アラミゴ解放軍を知る者							
おっと、こりゃどうしたことだ。うちのエース様が、俺なんかに何の用で？			おっと、こりゃどうしたことだ。うちのエース様が、俺なんかに何の用で？			アラミゴ解放軍を知る者							
……嘘だろ、今なんて？アラミゴ人と協力したいと、そう言ったのか……？			……嘘だろ、今なんて？アラミゴ人と協力したいと、そう言ったのか……？			アラミゴ解放軍を知る者							
ああ……まさかアンタの口から、祖国の名が聞けるなんて！しかし何だって「アラミゴ解放軍」なんだ……ほかの願いなら、死地にだって飛びこむのに！			ああ……まさかアンタの口から、祖国の名が聞けるなんて！しかし何だって「アラミゴ解放軍」なんだ……ほかの願いなら、死地にだって飛びこむのに！			アラミゴ解放軍を知る者							
俺はな、解放軍を抜けた身なんだ。このハリベルトという名は、解放軍にとって、理想を違えた愚か者の名でしかないのさ……。			俺はな、解放軍を抜けた身なんだ。このハリベルトという名は、解放軍にとって、理想を違えた愚か者の名でしかないのさ……。			アラミゴ解放軍を知る者							
だが、アンタの力になれるヤツを知ってる。黒衣森の南部森林にある「クォーリーミル」で、アラミゴ流民の仲介人をしてる「アルブレダ」って女だ。			だが、アンタの力になれるヤツを知ってる。黒衣森の南部森林にある「クォーリーミル」で、アラミゴ流民の仲介人をしてる「アルブレダ」って女だ。			アラミゴ解放軍を知る者							
彼女に、解放軍を紹介してもらうといい。道は違えど郷国の友、解放軍がアンタの力になると信じているよ。			彼女に、解放軍を紹介してもらうといい。道は違えど郷国の友、解放軍がアンタの力になると信じているよ。			アラミゴ解放軍を知る者							
いかにもアタシがアルブレダだが……。「アラミゴ解放軍」を紹介しろたぁ、アンタ、誰の差し金だい？			いかにもアタシがアルブレダだが……。「アラミゴ解放軍」を紹介しろたぁ、アンタ、誰の差し金だい？			アラミゴ解放軍を知る者							
ハリベルトだって！？相変わらずの大バカ野郎め、昔の女を頼るだなんて！……まぁ、アンタを信頼できるってことはわかったがね。			ハリベルトだって！？相変わらずの大バカ野郎め、昔の女を頼るだなんて！……まぁ、アンタを信頼できるってことはわかったがね。			アラミゴ解放軍を知る者							
解放軍に近づきたいなら……そうさね、そこで腐ってる「メッフリッド」の話を聞いてみな。流民の心を知る、それが最初の一歩さ。			解放軍に近づきたいなら……そうさね、そこで腐ってる「メッフリッド」の話を聞いてみな。流民の心を知る、それが最初の一歩さ。			アラミゴ解放軍を知る者							
クォーリーミルのメッフリッドは、冒険者に急ぎの用事を頼みたいようだ。			クォーリーミルのメッフリッドは、冒険者に急ぎの用事を頼みたいようだ。			無慈悲な精霊							
メッフリッドは部下のガリエンの怪我の治療に、アルブレダの助けを借りたいらしい。「アルブレダ」に話しかけよう。			メッフリッドは部下のガリエンの怪我の治療に、アルブレダの助けを借りたいらしい。「アルブレダ」に話しかけよう。			無慈悲な精霊							
アルブレダは森の掟には逆らえないらしい。クォーリーミルの村の道士「シャルリヌ」に話しかけよう。			アルブレダは森の掟には逆らえないらしい。クォーリーミルの村の道士「シャルリヌ」に話しかけよう。			無慈悲な精霊							
シャルリヌはいかな理由があっても、森の掟は絶対だと冒険者の訴えを無下に断った。クォーリーミルの「メッフリッド」に報告しよう。			シャルリヌはいかな理由があっても、森の掟は絶対だと冒険者の訴えを無下に断った。クォーリーミルの「メッフリッド」に報告しよう。			無慈悲な精霊							
よそ者に対し、あまりに冷たい村の対応にメッフリッドは激しく憤った。彼らを助ける方法はないのだろうか……。			よそ者に対し、あまりに冷たい村の対応にメッフリッドは激しく憤った。彼らを助ける方法はないのだろうか……。			無慈悲な精霊							
アルブレダと話す			アルブレダと話す			無慈悲な精霊							
シャルリヌと話す			シャルリヌと話す			無慈悲な精霊							
メッフリッドに報告			メッフリッドに報告			無慈悲な精霊							
お前、冒険者か？俺はメッフリッド、栄えあるアラミゴ解放軍の一員だ。今は故郷を追われた哀れな敗残兵……だがな。			お前、冒険者か？俺はメッフリッド、栄えあるアラミゴ解放軍の一員だ。今は故郷を追われた哀れな敗残兵……だがな。			無慈悲な精霊							
で、冒険者さんが、この俺にいったい何の用だい。			で、冒険者さんが、この俺にいったい何の用だい。			無慈悲な精霊							
メ、メッフリッド隊長ッ！ガリエンの奴、傷が膿んで、どえらい熱だ！おそらく……今夜が山ですぜ……。			メ、メッフリッド隊長ッ！ガリエンの奴、傷が膿んで、どえらい熱だ！おそらく……今夜が山ですぜ……。			無慈悲な精霊							
くそッ！　だから、治療が必要だと訴えたってのに！この集落の連中は、助けを求める俺たちの声を、一向に聞こうとはしないんだ……。			くそッ！　だから、治療が必要だと訴えたってのに！この集落の連中は、助けを求める俺たちの声を、一向に聞こうとはしないんだ……。			無慈悲な精霊							
冒険者さんよ、頼む。部下が死にそうなんだ！アルブレダに、この集落の奴に話を通して、治療させてもらうように言ってくれねェか！？			冒険者さんよ、頼む。部下が死にそうなんだ！アルブレダに、この集落の奴に話を通して、治療させてもらうように言ってくれねェか！？			無慈悲な精霊							
なんだって、メッフリッドの部下が！？……いや、すまないね、私には何もできないよ。			なんだって、メッフリッドの部下が！？……いや、すまないね、私には何もできないよ。			無慈悲な精霊							
アラミゴの同胞を見捨てるなんて、できることなら、私だってしたくないよ。でも、彼らに手を貸すことは、森の掟に反すること……。			アラミゴの同胞を見捨てるなんて、できることなら、私だってしたくないよ。でも、彼らに手を貸すことは、森の掟に反すること……。			無慈悲な精霊							
掟を破れば、私らクォーリーミルの住人だって、この森にいられなくなっちまう。私ひとりならいざ知らず、みんなを巻き添えにはできないよ。			掟を破れば、私らクォーリーミルの住人だって、この森にいられなくなっちまう。私ひとりならいざ知らず、みんなを巻き添えにはできないよ。			無慈悲な精霊							
……この村の道士「シャルリヌ」に談判してごらん。外からきたアンタの言うことなら、もしかしたら、聞いてくれるかもしれない。			……この村の道士「シャルリヌ」に談判してごらん。外からきたアンタの言うことなら、もしかしたら、聞いてくれるかもしれない。			無慈悲な精霊							
ふむ、アラミゴのメッフリッドさんたちを救いたいと……。……それは叶わぬ相談かもしれません。これは私の意志ではなく、精霊の意思なのです。			ふむ、アラミゴのメッフリッドさんたちを救いたいと……。……それは叶わぬ相談かもしれません。これは私の意志ではなく、精霊の意思なのです。			無慈悲な精霊							
この黒衣森に流れ着いた外つ国の稀人は、ここクォーリーミルで一晩を過ごし、精霊の審判を受けます。精霊に拒否されれば、その者は森に住むことができません。			この黒衣森に流れ着いた外つ国の稀人は、ここクォーリーミルで一晩を過ごし、精霊の審判を受けます。精霊に拒否されれば、その者は森に住むことができません。			無慈悲な精霊							
審判を受け拒否された者は、森の恵みを享受する資格を失う……。それが、この森の古よりの掟なのですから。			審判を受け拒否された者は、森の恵みを享受する資格を失う……。それが、この森の古よりの掟なのですから。			無慈悲な精霊							
ち、ちくしょう……何が「精霊の意思」だッ！？そんなもん、クソッ食らえだ！			ち、ちくしょう……何が「精霊の意思」だッ！？そんなもん、クソッ食らえだ！			無慈悲な精霊							
森を出て行けッてんなら、出て行くさ！でも部下たちは皆、過酷な旅でボロボロなんだ。奴らに、慈悲ってモンはねェのかよ！！			森を出て行けッてんなら、出て行くさ！でも部下たちは皆、過酷な旅でボロボロなんだ。奴らに、慈悲ってモンはねェのかよ！！			無慈悲な精霊							
