クォーリーミルのメッフリッドは、冒険者に折り入って頼みがあるようだ。			クォーリーミルのメッフリッドは、冒険者に折り入って頼みがあるようだ。			角薬が繋ぐ縁							
メッフリッドは部下の命を救うため薬が欲しいらしい。「アンテロープ・スタッグ」から「アンテロープの大角」を4つ入手しよう。			メッフリッドは部下の命を救うため薬が欲しいらしい。「アンテロープ・スタッグ」から「アンテロープの大角」を4つ入手しよう。			角薬が繋ぐ縁							
アンテロープの大角を入手した。クォーリーミルの「メッフリッド」に報告しよう。			アンテロープの大角を入手した。クォーリーミルの「メッフリッド」に報告しよう。			角薬が繋ぐ縁							
今のままでは、メッフリッドには薬を調合することができないらしい。酒房「バスカロンドラザース」の「バスカロン」に「アンテロープの大角」を渡そう。			今のままでは、メッフリッドには薬を調合することができないらしい。酒房「バスカロンドラザース」の「バスカロン」に「アンテロープの大角」を渡そう。			角薬が繋ぐ縁							
バスカロンの厚意により薬を手に入れることができた。クォーリーミルのメッフリッドの部下「ファラムンド」に「手製の化膿止め」を渡そう。			バスカロンの厚意により薬を手に入れることができた。クォーリーミルのメッフリッドの部下「ファラムンド」に「手製の化膿止め」を渡そう。			角薬が繋ぐ縁							
メッフリッドの部下は峠を越すことができそうだ。冒険者はメッフリッドたちアラミゴ人の信用を、着実に勝ち取っているようだ。			メッフリッドの部下は峠を越すことができそうだ。冒険者はメッフリッドたちアラミゴ人の信用を、着実に勝ち取っているようだ。			角薬が繋ぐ縁							
アンテロープ・スタッグからアンテロープの大角を入手			アンテロープ・スタッグからアンテロープの大角を入手			角薬が繋ぐ縁							
メッフリッドにアンテロープの大角を渡す			メッフリッドにアンテロープの大角を渡す			角薬が繋ぐ縁							
バスカロンにアンテロープの大角を渡す			バスカロンにアンテロープの大角を渡す			角薬が繋ぐ縁							
ファラムンドに手製の化膿止めを渡す			ファラムンドに手製の化膿止めを渡す			角薬が繋ぐ縁							
俺は部隊を率いてこのクォーリーミルにやってきた。外には村に入れない部下が、野営をして待っているんだ。部下たちの体力は消耗して、もう長旅には耐えられねェ。			俺は部隊を率いてこのクォーリーミルにやってきた。外には村に入れない部下が、野営をして待っているんだ。部下たちの体力は消耗して、もう長旅には耐えられねェ。			角薬が繋ぐ縁							
お前も見たとおり、ここのヤツらには頼めねェ。……だからこそ、冒険者のお前に頼みがある。			お前も見たとおり、ここのヤツらには頼めねェ。……だからこそ、冒険者のお前に頼みがある。			角薬が繋ぐ縁							
「アンテロープの大角」を、どうにか手に入れてくれ。故郷アラミゴでは、万病の薬になると言われているんだ。			「アンテロープの大角」を、どうにか手に入れてくれ。故郷アラミゴでは、万病の薬になると言われているんだ。			角薬が繋ぐ縁							
アンテロープを倒して「アンテロープの角」を4個ゲット			アンテロープを倒して「アンテロープの角」を4個ゲット			角薬が繋ぐ縁							
「アンテロープの大角」を手に入れてきてくれたのか？			「アンテロープの大角」を手に入れてきてくれたのか？			角薬が繋ぐ縁							
すまん、助かる！だが、こいつは故郷に棲息する種とは、少し違うようだ。地元の者でもなければ、この角の調合方法はわからねェな。			すまん、助かる！だが、こいつは故郷に棲息する種とは、少し違うようだ。地元の者でもなければ、この角の調合方法はわからねェな。			角薬が繋ぐ縁							
あんた「バスカロン」って男を知ってるか？その男なら、よそ者だとて決して差別せず、困ったことがあれば、誰の相談にも乗ってくれると聞いた。			あんた「バスカロン」って男を知ってるか？その男なら、よそ者だとて決して差別せず、困ったことがあれば、誰の相談にも乗ってくれると聞いた。			角薬が繋ぐ縁							
たびたびすまねェが、そのバスカロンにこいつを渡し、薬の調合を頼んできてくれねェか？もし薬ができたら、部下のファラムンドに届けてくれ。			たびたびすまねェが、そのバスカロンにこいつを渡し、薬の調合を頼んできてくれねェか？もし薬ができたら、部下のファラムンドに届けてくれ。			角薬が繋ぐ縁							
よぉ、お前さんか！冒険者稼業の調子はどうだい？稼いでるんなら、うちで使っていきな！			よぉ、お前さんか！冒険者稼業の調子はどうだい？稼いでるんなら、うちで使っていきな！			角薬が繋ぐ縁							
なんだと、「アンテロープの大角」を薬に調合してほしいだと？……さては、クォーリーミルのアラミゴ人の依頼か。			なんだと、「アンテロープの大角」を薬に調合してほしいだと？……さては、クォーリーミルのアラミゴ人の依頼か。			角薬が繋ぐ縁							
よし分かった。だが、調合している余裕もあるまい。ちょうど「手製の化膿止め」の作り置きがある。そいつを代わりに持っていきな。			よし分かった。だが、調合している余裕もあるまい。ちょうど「手製の化膿止め」の作り置きがある。そいつを代わりに持っていきな。			角薬が繋ぐ縁							
なに、礼はいらねえよ。お前さんには、ずいぶん世話になったんだからな。今度来たときに、イッパイやってくれりゃそれでいいさ。			なに、礼はいらねえよ。お前さんには、ずいぶん世話になったんだからな。今度来たときに、イッパイやってくれりゃそれでいいさ。			角薬が繋ぐ縁							
