ダンスタン監視哨のマルセットは、まだまだ研究を手伝わせたいようだ。			ダンスタン監視哨のマルセットは、まだまだ研究を手伝わせたいようだ。			もぎとれ！ 研究素材							
今度はストローパーの生態を調べるようだ。マルセット特製錬金薬を使って「ハリトストローパー」を倒し、「臭い胃袋」を入手しよう。			今度はストローパーの生態を調べるようだ。マルセット特製錬金薬を使って「ハリトストローパー」を倒し、「臭い胃袋」を入手しよう。			もぎとれ！ 研究素材							
臭い胃袋を入手した。ダンスタン監視哨のマルセットに「臭い胃袋」を渡そう。			臭い胃袋を入手した。ダンスタン監視哨のマルセットに「臭い胃袋」を渡そう。			もぎとれ！ 研究素材							
冒険者の協力で、またひとつマルセットの研究が進んだようだ。新エオルゼア博物誌が無事に完成することを祈ろう。			冒険者の協力で、またひとつマルセットの研究が進んだようだ。新エオルゼア博物誌が無事に完成することを祈ろう。			もぎとれ！ 研究素材							
マルセット特製錬金薬を使ってハリトストローパーを討伐			マルセット特製錬金薬を使ってハリトストローパーを討伐			もぎとれ！ 研究素材							
マルセットに臭い胃袋を渡す			マルセットに臭い胃袋を渡す			もぎとれ！ 研究素材							
さあ、次なる研究よ、第九助手！「ハリトストローパー」の「臭い胃袋」をもぎ取ってらっしゃい！			さあ、次なる研究よ、第九助手！「ハリトストローパー」の「臭い胃袋」をもぎ取ってらっしゃい！			もぎとれ！ 研究素材							
私の学説が正しければ、臭い胃袋の中には……！ククククク……アハハハハハッ！			私の学説が正しければ、臭い胃袋の中には……！ククククク……アハハハハハッ！			もぎとれ！ 研究素材							
ああそうだ、そのまま突っ込むと、貴女貴方死ぬわよ。ハリトストローパーの臭い息は、特に最悪なんだから。			ああそうだ、そのまま突っ込むと、貴女貴方死ぬわよ。ハリトストローパーの臭い息は、特に最悪なんだから。			もぎとれ！ 研究素材							
ハリトストローパーに挑むときは、この「マルセット特製錬金薬」を使うといいわ。葬儀なんて面倒だから、ちゃんと使うのよ！			ハリトストローパーに挑むときは、この「マルセット特製錬金薬」を使うといいわ。葬儀なんて面倒だから、ちゃんと使うのよ！			もぎとれ！ 研究素材							
EItem：クエスト：GaiUsa912_02を使ってBnpc_GaiUsa912_00を倒す			EItem：クエスト：GaiUsa912_02を使ってBnpc_GaiUsa912_00を倒す			もぎとれ！ 研究素材							
早く「臭い胃袋」の中身が見てみたいわ！さあ、第……ええと、十三助手だったかしら？とにかく、さっそく解体するわよ！			早く「臭い胃袋」の中身が見てみたいわ！さあ、第……ええと、十三助手だったかしら？とにかく、さっそく解体するわよ！			もぎとれ！ 研究素材							
……やっぱり、トードスツールの成れの果てが大量にあるわ！霊災後にストローパーの生息数が、急激に増加した原因。それはトードスツールにあったのよ！			……やっぱり、トードスツールの成れの果てが大量にあるわ！霊災後にストローパーの生息数が、急激に増加した原因。それはトードスツールにあったのよ！			もぎとれ！ 研究素材							
ストローパーは、毒性のあるトードスツールを摂取して、体内に有毒ガスを発生させ……これを武器に獲物を仕留める。まさに食物連鎖ね！　さっそく原稿を執筆しないと……。			ストローパーは、毒性のあるトードスツールを摂取して、体内に有毒ガスを発生させ……これを武器に獲物を仕留める。まさに食物連鎖ね！　さっそく原稿を執筆しないと……。			もぎとれ！ 研究素材							
さて、これで今回の研究は終わり！次の研究が決まったら、またお願いするわね！いろいろ助かったわよ、第四十二助手！			さて、これで今回の研究は終わり！次の研究が決まったら、またお願いするわね！いろいろ助かったわよ、第四十二助手！			もぎとれ！ 研究素材							
敵の気配を感じた！！			敵の気配を感じた！！			もぎとれ！ 研究素材							
ダンスタン監視哨のマルセットは冒険者に研究を手伝わせたいようだ。			ダンスタン監視哨のマルセットは冒険者に研究を手伝わせたいようだ。			マルセットの調査依頼							
第六助手として、マルセットを手伝うことになった。「ライトニングスパーク」の体力を減らした状態で「特製ガラス瓶」を使い、「生体ライトニングスプライト」を入手しよう。			第六助手として、マルセットを手伝うことになった。「ライトニングスパーク」の体力を減らした状態で「特製ガラス瓶」を使い、「生体ライトニングスプライト」を入手しよう。			マルセットの調査依頼							
ダンスタン監視哨の「マルセット」に生体ライトニングスプライトを渡そう。			ダンスタン監視哨の「マルセット」に生体ライトニングスプライトを渡そう。			マルセットの調査依頼							
仮説の検証に着手できそうだと喜ぶマルセット。……研究を手伝った冒険者のことは、またしても忘れているようだ。			仮説の検証に着手できそうだと喜ぶマルセット。……研究を手伝った冒険者のことは、またしても忘れているようだ。			マルセットの調査依頼							
弱らせたライトニングスパークに特製ガラス瓶を使う			弱らせたライトニングスパークに特製ガラス瓶を使う			マルセットの調査依頼							
マルセットに生体ライトニングスプライトを渡す			マルセットに生体ライトニングスプライトを渡す			マルセットの調査依頼							
そうそう、学説の証明に協力してくれたキミを、名誉ある私の「第六助手」に任命するわ。そんな訳だからキリキリ働きなさい？			そうそう、学説の証明に協力してくれたキミを、名誉ある私の「第六助手」に任命するわ。そんな訳だからキリキリ働きなさい？			マルセットの調査依頼							
次の仕事は「生体ライトニングスプライト」の入手よ！「ライトニングスパーク」を適度に弱らせて、この特製ガラス瓶に詰めこんできなさい！			次の仕事は「生体ライトニングスプライト」の入手よ！「ライトニングスパーク」を適度に弱らせて、この特製ガラス瓶に詰めこんできなさい！			マルセットの調査依頼							
ライトニングスパークを弱らせて、特製ガラス瓶に生体ライトニングスプライトをいれる×1			ライトニングスパークを弱らせて、特製ガラス瓶に生体ライトニングスプライトをいれる×1			マルセットの調査依頼							
「生体ライトニングスプライト」は手に入ったかしら？キミが「新エオルゼア博物誌」の隅っこに、協力者として名を残すチャンスなんだから、キリキリ働きなさい？			「生体ライトニングスプライト」は手に入ったかしら？キミが「新エオルゼア博物誌」の隅っこに、協力者として名を残すチャンスなんだから、キリキリ働きなさい？			マルセットの調査依頼							
ククク……ほどよく生きてるようね、スプライトちゃん。キノコの傘から採取した胞子に、この子を使ってビリビリ電流を流せば……アハハハハハッ！			ククク……ほどよく生きてるようね、スプライトちゃん。キノコの傘から採取した胞子に、この子を使ってビリビリ電流を流せば……アハハハハハッ！			マルセットの調査依頼							
私の学説が正しければ……電流によって「生命の危機」を感じたキノコちゃんが、通常よりも早く、多く、育つはずよ！			私の学説が正しければ……電流によって「生命の危機」を感じたキノコちゃんが、通常よりも早く、多く、育つはずよ！			マルセットの調査依頼							
「雷の多い年はキノコが豊作」って俗説……そして、霊災後に増殖を続けるトードスツールと、ライトニング・スプライトの因果関係を証明してみせるわ！			「雷の多い年はキノコが豊作」って俗説……そして、霊災後に増殖を続けるトードスツールと、ライトニング・スプライトの因果関係を証明してみせるわ！			マルセットの調査依頼							
ダンスタン監視哨のマルセットは、研究を手伝ってくれる者を探しているようだ。			ダンスタン監視哨のマルセットは、研究を手伝ってくれる者を探しているようだ。			博物学者マルセット							
トードスツールを倒して、トードスツールの傘を入手しよう。			トードスツールを倒して、トードスツールの傘を入手しよう。			博物学者マルセット							
ダンスタン監視哨の「マルセット」にトードスツールの傘を渡そう。			ダンスタン監視哨の「マルセット」にトードスツールの傘を渡そう。			博物学者マルセット							
学説が証明されたと喜ぶマルセット。研究を手伝った冒険者のことは、もはや頭にないようだ……。			学説が証明されたと喜ぶマルセット。研究を手伝った冒険者のことは、もはや頭にないようだ……。			博物学者マルセット							
トードスツールからトードスツールの傘を入手			トードスツールからトードスツールの傘を入手			博物学者マルセット							
マルセットにトードスツールの傘を渡す			マルセットにトードスツールの傘を渡す			博物学者マルセット							
私は博物学者の「マルセット」。「新エオルゼア博物誌」を執筆するため、今はマイコニド種の研究に取り組んでいるところなの。			私は博物学者の「マルセット」。「新エオルゼア博物誌」を執筆するため、今はマイコニド種の研究に取り組んでいるところなの。			博物学者マルセット							
そうだわ！　ねぇ、キミ、どうせヒマなんでしょ？私の助手として、研究用の生体標本を集めてちょうだい！第一章はトードスツールの生態調査なの！			そうだわ！　ねぇ、キミ、どうせヒマなんでしょ？私の助手として、研究用の生体標本を集めてちょうだい！第一章はトードスツールの生態調査なの！			博物学者マルセット							
まずは……この辺りに分布するマイコニド種、「トードスツール」を倒して、その「トードスツールの傘」を集めてきて！			まずは……この辺りに分布するマイコニド種、「トードスツール」を倒して、その「トードスツールの傘」を集めてきて！			博物学者マルセット							
トードスツールを倒して、トードスツールの傘を入手×5			トードスツールを倒して、トードスツールの傘を入手×5			博物学者マルセット							
この辺りに分布するマイコニド種、「トードスツール」を倒して、その「トードスツールの傘」を集めてきて！			この辺りに分布するマイコニド種、「トードスツール」を倒して、その「トードスツールの傘」を集めてきて！			博物学者マルセット							
フフ、フフフフフ……私の想像したとおりだわ！霊災前に採取していた傘と、あなたの集めた傘、中に詰まっている胞子の密度が全然違う！			フフ、フフフフフ……私の想像したとおりだわ！霊災前に採取していた傘と、あなたの集めた傘、中に詰まっている胞子の密度が全然違う！			博物学者マルセット							
霊災で過酷さを増した森での生存競争を生き抜くため、飛散させる胞子の数を、増したのに違いないわ！この学説で、一旗あげてやるんだから！			霊災で過酷さを増した森での生存競争を生き抜くため、飛散させる胞子の数を、増したのに違いないわ！この学説で、一旗あげてやるんだから！			博物学者マルセット							
ダンスタン監視哨のオブリオーは、疲れはてているようだ。			ダンスタン監視哨のオブリオーは、疲れはてているようだ。			オブリオーの悲哀							
オブリオーに代わって水質調査をすることになった。芽吹の池で「芽吹の池の水」を入手しよう。			オブリオーに代わって水質調査をすることになった。芽吹の池で「芽吹の池の水」を入手しよう。			オブリオーの悲哀							
ダンスタン監視哨に戻り、「オブリオー」に「芽吹の池の水」を渡そう。			ダンスタン監視哨に戻り、「オブリオー」に「芽吹の池の水」を渡そう。			オブリオーの悲哀							
オブリオーの仕事は、ひとまず片付いたようだが……彼が故郷に帰れるのはまだまだ先のようだ。			オブリオーの仕事は、ひとまず片付いたようだが……彼が故郷に帰れるのはまだまだ先のようだ。			オブリオーの悲哀							
芽吹の池の水を入手			芽吹の池の水を入手			オブリオーの悲哀							
オブリオーに芽吹の池の水を渡す			オブリオーに芽吹の池の水を渡す			オブリオーの悲哀							
もうイヤだ、もう疲れた……。命がけで魔物の蔓を集めてきたのに、ご苦労さまどころか、「次は『芽吹の池』の水質調査よ」だなんて！			もうイヤだ、もう疲れた……。命がけで魔物の蔓を集めてきたのに、ご苦労さまどころか、「次は『芽吹の池』の水質調査よ」だなんて！			オブリオーの悲哀							
この人使いの荒さ、マルセット先生は妖異に違いない。そこの冒険者さん助けてください、僕はもうダメです。僕の代わりに「芽吹の池の水」を取ってきてください！			この人使いの荒さ、マルセット先生は妖異に違いない。そこの冒険者さん助けてください、僕はもうダメです。僕の代わりに「芽吹の池の水」を取ってきてください！			オブリオーの悲哀							
芽吹の池の水質調査をする×3（芽吹き池の水入手）			芽吹の池の水質調査をする×3（芽吹き池の水入手）			オブリオーの悲哀							
