忘れられたオアシスの族長ウ・オド・ヌンは、冒険者を試したいようだ。			忘れられたオアシスの族長ウ・オド・ヌンは、冒険者を試したいようだ。			ウ族の試練							
ウ・オド・ヌンは、冒険者の技量を試すという。石突のタナド・ガーを倒すため、まずはサゴリー砂漠の東にある「指定地点」に、「血濡れのギザルメ」を置こう。			ウ・オド・ヌンは、冒険者の技量を試すという。石突のタナド・ガーを倒すため、まずはサゴリー砂漠の東にある「指定地点」に、「血濡れのギザルメ」を置こう。			ウ族の試練							
血濡れのギザルメを仕掛けた。「指定地点」で待機して「石突のタナド・ガー」を倒し、「蛮風の首飾り」を入手しよう。			血濡れのギザルメを仕掛けた。「指定地点」で待機して「石突のタナド・ガー」を倒し、「蛮風の首飾り」を入手しよう。			ウ族の試練							
蛮風の首飾りを手に入れた。忘れられたオアシスのウ・オド・ヌンに「蛮風の首飾り」を渡そう。			蛮風の首飾りを手に入れた。忘れられたオアシスのウ・オド・ヌンに「蛮風の首飾り」を渡そう。			ウ族の試練							
ウ・オド・ヌンは、アマルジャ用の麻酔薬を冒険者に渡したつもりになっていた。麻酔薬なしで石突のタナド・ガーを倒した冒険者のことを、気に入ったようだ。			ウ・オド・ヌンは、アマルジャ用の麻酔薬を冒険者に渡したつもりになっていた。麻酔薬なしで石突のタナド・ガーを倒した冒険者のことを、気に入ったようだ。			ウ族の試練							
指定地点に血濡れのギザルメを置く			指定地点に血濡れのギザルメを置く			ウ族の試練							
指定地点で待機し石突のタナド・ガーから蛮風の首飾りを入手			指定地点で待機し石突のタナド・ガーから蛮風の首飾りを入手			ウ族の試練							
ウ・オド・ヌンに蛮風の首飾りを渡す			ウ・オド・ヌンに蛮風の首飾りを渡す			ウ族の試練							
アマルジャの血を入手×1			アマルジャの血を入手×1			ウ族の試練							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			ウ族の試練							
……フン。まだいたのか。			……フン。まだいたのか。			ウ族の試練							
ランドゥネルのところの「珍味」は採れたんだろう？ただの木偶の坊じゃないってことはわかってる。			ランドゥネルのところの「珍味」は採れたんだろう？ただの木偶の坊じゃないってことはわかってる。			ウ族の試練							
とはいえ、安易にてめぇの手助けなんかしねぇ。なんせ俺はこの「オアシス」を仕切る、ウ族の「ヌン」……つまり族長だ。			とはいえ、安易にてめぇの手助けなんかしねぇ。なんせ俺はこの「オアシス」を仕切る、ウ族の「ヌン」……つまり族長だ。			ウ族の試練							
ウ族ってのはな、徹底的な実力至上主義。俺が海雄旅団に入ったのだって、技を磨くためだ。			ウ族ってのはな、徹底的な実力至上主義。俺が海雄旅団に入ったのだって、技を磨くためだ。			ウ族の試練							
ウ族の族長を張ってるモンが、昔の上司の言付けひとつで、よそ者を助けちまったら、下のモンたちに示しがつかねぇ。			ウ族の族長を張ってるモンが、昔の上司の言付けひとつで、よそ者を助けちまったら、下のモンたちに示しがつかねぇ。			ウ族の試練							
どうしても「珍味」を手に入れたいのなら、この俺に、てめぇの技のほどを見せてみろ。			どうしても「珍味」を手に入れたいのなら、この俺に、てめぇの技のほどを見せてみろ。			ウ族の試練							
そうだな……技量を試すために、てめぇにはアマルジャ族と戦ってもらおうか。それも兵長レベルの「石突のタナド・ガー」だ。			そうだな……技量を試すために、てめぇにはアマルジャ族と戦ってもらおうか。それも兵長レベルの「石突のタナド・ガー」だ。			ウ族の試練							
この「血濡れのギザルメ」を砂漠に置き、側に身を隠して「石突のタナド・ガー」が現われるのを待て。こいつは奴の部下から奪った槍、回収しに現われるはずだ。			この「血濡れのギザルメ」を砂漠に置き、側に身を隠して「石突のタナド・ガー」が現われるのを待て。こいつは奴の部下から奪った槍、回収しに現われるはずだ。			ウ族の試練							
そこを奇襲して、蛮風の首飾りを手に入れろ。うまく持ち帰れば、てめぇを認めて、「珍味」の在りかを教えてやってもいい。			そこを奇襲して、蛮風の首飾りを手に入れろ。うまく持ち帰れば、てめぇを認めて、「珍味」の在りかを教えてやってもいい。			ウ族の試練							
蛮風の首飾りを持ってきたら、てめぇの技量を認めてやろうじゃないか。			蛮風の首飾りを持ってきたら、てめぇの技量を認めてやろうじゃないか。			ウ族の試練							
……フン、石突のタナド・ガーを倒したか。俺が渡した、この「痺れの水薬」を使いこなせたようだな。奴らは水分をあまり必要としない民族だ。それゆえ……			……フン、石突のタナド・ガーを倒したか。俺が渡した、この「痺れの水薬」を使いこなせたようだな。奴らは水分をあまり必要としない民族だ。それゆえ……			ウ族の試練							
……って、ありゃ？なんでここにまだ「痺れの水薬」が……。俺としたことが、渡しそびれていたってのか？			……って、ありゃ？なんでここにまだ「痺れの水薬」が……。俺としたことが、渡しそびれていたってのか？			ウ族の試練							
それじゃ、ま、まさかてめぇ……。この薬なしで石突のタナド・ガーを……？			それじゃ、ま、まさかてめぇ……。この薬なしで石突のタナド・ガーを……？			ウ族の試練							
…………プッ……ぶははははは！なかなか面白い奴だ、気に入った！てめぇの技量、認めてやるよ！！			…………プッ……ぶははははは！なかなか面白い奴だ、気に入った！てめぇの技量、認めてやるよ！！			ウ族の試練							
敵の気配を感じた！！			敵の気配を感じた！！			ウ族の試練							
忘れられたオアシスの族長ウ・オド・ヌンは、冒険者のことを気に入ったようだ。			忘れられたオアシスの族長ウ・オド・ヌンは、冒険者のことを気に入ったようだ。			ラムトンウォームの肉							
南ザナラーンで採れる珍味を手に入れるには、ラムトンウォームを倒す必要がある。ラムトンウォームをおびき寄せるために、「アングラー」から「アングラーの死体」を手に入れよう。			南ザナラーンで採れる珍味を手に入れるには、ラムトンウォームを倒す必要がある。ラムトンウォームをおびき寄せるために、「アングラー」から「アングラーの死体」を手に入れよう。			ラムトンウォームの肉							
ラムトンウォームの縄張りに「アングラーの死体」を仕掛けよう。			ラムトンウォームの縄張りに「アングラーの死体」を仕掛けよう。			ラムトンウォームの肉							
アングラーの死体を仕掛けた。指定地点で待機し、現れた「ラムトンウォーム」を倒して「ラムトンウォームの肉」を入手しよう。			アングラーの死体を仕掛けた。指定地点で待機し、現れた「ラムトンウォーム」を倒して「ラムトンウォームの肉」を入手しよう。			ラムトンウォームの肉							
ラムトンウォームの肉を手に入れた。忘れられたオアシスのウ・オド・ヌンに渡そう。			ラムトンウォームの肉を手に入れた。忘れられたオアシスのウ・オド・ヌンに渡そう。			ラムトンウォームの肉							
ウ・オド・ヌンはラムトンウォームの肉を燻製にして、ヴェイスケートに送っておいてくれるそうだ。ウ・オド・ヌンは、ひとつ土産を渡したいというが……。			ウ・オド・ヌンはラムトンウォームの肉を燻製にして、ヴェイスケートに送っておいてくれるそうだ。ウ・オド・ヌンは、ひとつ土産を渡したいというが……。			ラムトンウォームの肉							
アングラーからアングラーの死体を入手			アングラーからアングラーの死体を入手			ラムトンウォームの肉							
ラムトンウォームの縄張りにアングラーの死体を仕掛ける			ラムトンウォームの縄張りにアングラーの死体を仕掛ける			ラムトンウォームの肉							
指定地点で待機しラムトンウォームからラムトンウォームの肉を入手			指定地点で待機しラムトンウォームからラムトンウォームの肉を入手			ラムトンウォームの肉							
ウ・オド・ヌンにラムトンウォームの肉を渡す			ウ・オド・ヌンにラムトンウォームの肉を渡す			ラムトンウォームの肉							
アングラーを倒しアングラーの死体を入手×1			アングラーを倒しアングラーの死体を入手×1			ラムトンウォームの肉							
