コスタ・デル・ソルのヴェイスケートは、最後の珍味について説明したいようだ。			コスタ・デル・ソルのヴェイスケートは、最後の珍味について説明したいようだ。			ブレイフロクスの珍チーズ							
最後の珍味は、ゴブリン族のブレイフロクスが知っているらしい。しかし、なにやら事件が起こったようだ。船着場：隠れ滝の「オズン・ナズン」に話しかけ、ブレイフロクスの野営地への案内をしてもらおう。			最後の珍味は、ゴブリン族のブレイフロクスが知っているらしい。しかし、なにやら事件が起こったようだ。船着場：隠れ滝の「オズン・ナズン」に話しかけ、ブレイフロクスの野営地への案内をしてもらおう。			ブレイフロクスの珍チーズ							
オズン・ナズンから案内を受けた。船頭に話しかけレインキャッチャー樹林へ渡り、ブレイフロクスの野営地にいる「ブレイフロクス」に話しかけよう。			オズン・ナズンから案内を受けた。船頭に話しかけレインキャッチャー樹林へ渡り、ブレイフロクスの野営地にいる「ブレイフロクス」に話しかけよう。			ブレイフロクスの珍チーズ							
最後の珍味を用意していたところ、大きな魔物に襲われてしまったというブレイフロクス。「ブレイフロクスの野営地」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			最後の珍味を用意していたところ、大きな魔物に襲われてしまったというブレイフロクス。「ブレイフロクスの野営地」を攻略しよう。※進入地点を調べて「サポートNPCと突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、サポートNPCと一緒に攻略できます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。			ブレイフロクスの珍チーズ							
ブレイフロクスの野営地を攻略した。「ブレイフロクス」に改めて報告しよう。			ブレイフロクスの野営地を攻略した。「ブレイフロクス」に改めて報告しよう。			ブレイフロクスの珍チーズ							
ブレイフロクスから、ゴブリンチーズをもらった。コスタ・デル・ソルの「ヴェイスケート」に渡そう。			ブレイフロクスから、ゴブリンチーズをもらった。コスタ・デル・ソルの「ヴェイスケート」に渡そう。			ブレイフロクスの珍チーズ							
ようやく「エオルゼア三大珍味」をすべて揃えることができた。ヴェイスケートに次の指示を仰ごう。			ようやく「エオルゼア三大珍味」をすべて揃えることができた。ヴェイスケートに次の指示を仰ごう。			ブレイフロクスの珍チーズ							
オズン・ナズンと話す			オズン・ナズンと話す			ブレイフロクスの珍チーズ							
ブレイフロクスと話す			ブレイフロクスと話す			ブレイフロクスの珍チーズ							
「ブレイフロクスの野営地」を攻略			「ブレイフロクスの野営地」を攻略			ブレイフロクスの珍チーズ							
ブレイフロクスと話す			ブレイフロクスと話す			ブレイフロクスの珍チーズ							
