コスタ・デル・ソルの執事ペ・エバローは、片を付けてほしいことがあるようだ。			コスタ・デル・ソルの執事ペ・エバローは、片を付けてほしいことがあるようだ。			浜辺のカイ魚							
浜辺の先端で気味の悪い魚が目撃されたらしい。コスタ・デル・ソルの浜辺へ行って、「スニッパーの遺骸」に群がる怪魚を3体討伐しよう。			浜辺の先端で気味の悪い魚が目撃されたらしい。コスタ・デル・ソルの浜辺へ行って、「スニッパーの遺骸」に群がる怪魚を3体討伐しよう。			浜辺のカイ魚							
怪魚の正体はマッドプギルだった。原因となった「スニッパーの遺骸」を除去しよう。			怪魚の正体はマッドプギルだった。原因となった「スニッパーの遺骸」を除去しよう。			浜辺のカイ魚							
スニッパーの遺骸を除去した。コスタ・デル・ソルの「ペ・エバロー」に報告しよう。			スニッパーの遺骸を除去した。コスタ・デル・ソルの「ペ・エバロー」に報告しよう。			浜辺のカイ魚							
ペ・エバローに報告した。マッドプギルは、浜辺の清掃が行き届かなかったために現れたようだ。			ペ・エバローに報告した。マッドプギルは、浜辺の清掃が行き届かなかったために現れたようだ。			浜辺のカイ魚							
スニッパーの遺骸に群がる怪魚を討伐			スニッパーの遺骸に群がる怪魚を討伐			浜辺のカイ魚							
スニッパーの遺骸を除去			スニッパーの遺骸を除去			浜辺のカイ魚							
ペ・エバローに報告			ペ・エバローに報告			浜辺のカイ魚							
先ほど、踊り子の娘が悲鳴をあげて戻って参りまして。なんでも……浜辺の先端で、「スニッパーの遺骸」に群がる、気味の悪い魚を見たとか。			先ほど、踊り子の娘が悲鳴をあげて戻って参りまして。なんでも……浜辺の先端で、「スニッパーの遺骸」に群がる、気味の悪い魚を見たとか。			浜辺のカイ魚							
冒険者さんには、頼りきりで申し訳ないのですが……踊り子の娘たちが安心できるように、きっちり片を付けてきてはいただけませんか。			冒険者さんには、頼りきりで申し訳ないのですが……踊り子の娘たちが安心できるように、きっちり片を付けてきてはいただけませんか。			浜辺のカイ魚							
（指定地点のレクトにふれるとプジルが３匹ＰＯＰ、倒す）			（指定地点のレクトにふれるとプジルが３匹ＰＯＰ、倒す）			浜辺のカイ魚							
（レクトの中心にある生き物の死体にアクセスして除去）			（レクトの中心にある生き物の死体にアクセスして除去）			浜辺のカイ魚							
……気味の悪い魚とは、マッドプギルだったのですね。スニッパーの遺骸は、おそらく流れ着いたものでしょう。どうやら、清掃に不備があったようですね……。			……気味の悪い魚とは、マッドプギルだったのですね。スニッパーの遺骸は、おそらく流れ着いたものでしょう。どうやら、清掃に不備があったようですね……。			浜辺のカイ魚							
わたくしどもの手抜かりで、お手数をおかけしました。子猫ちゃんが遊んでくれないと拗ねていたゲゲルジュ様も、きっとお喜びになることでしょう。			わたくしどもの手抜かりで、お手数をおかけしました。子猫ちゃんが遊んでくれないと拗ねていたゲゲルジュ様も、きっとお喜びになることでしょう。			浜辺のカイ魚							
敵の気配を感じた！！			敵の気配を感じた！！			浜辺のカイ魚							
ワインポートのエトガルは、冒険者に魔物を討伐してほしいようだ。			ワインポートのエトガルは、冒険者に魔物を討伐してほしいようだ。			ワインの罪							
ワインを醸造する際に出る汚水によって、河でギガントードが大繁殖しているらしい。「ギガントード」を3体討伐しよう。			ワインを醸造する際に出る汚水によって、河でギガントードが大繁殖しているらしい。「ギガントード」を3体討伐しよう。			ワインの罪							
ギガントードを討伐した。ワインポートの「エトガル」に報告しよう。			ギガントードを討伐した。ワインポートの「エトガル」に報告しよう。			ワインの罪							
エトガルに報告した。美味しいワインが生まれる陰で、犠牲になっているものもあるようだ……。			エトガルに報告した。美味しいワインが生まれる陰で、犠牲になっているものもあるようだ……。			ワインの罪							
ギガントードを討伐			ギガントードを討伐			ワインの罪							
エトガルに報告			エトガルに報告			ワインの罪							
ワインの醸造過程では、どうしても汚水が出るのですぅ。このワイナリーでは、それを廃水として河に流しているんですがぁ……			ワインの醸造過程では、どうしても汚水が出るのですぅ。このワイナリーでは、それを廃水として河に流しているんですがぁ……			ワインの罪							
汚水のせいで「ギガントード」っていう魔物が、河で大繁殖してるって苦情が来て、困ってるんですぅ。悪いんだけど、討伐してきてくれませんかぁ？			汚水のせいで「ギガントード」っていう魔物が、河で大繁殖してるって苦情が来て、困ってるんですぅ。悪いんだけど、討伐してきてくれませんかぁ？			ワインの罪							
ギガントードを3体討伐			ギガントードを3体討伐			ワインの罪							
これで、ビルギレント様もお喜びになられるでしょう。それにしても、ワインのために自然が犠牲になるなんて、人ってつくづく業が深い生き物ですよねぇ～。			これで、ビルギレント様もお喜びになられるでしょう。それにしても、ワインのために自然が犠牲になるなんて、人ってつくづく業が深い生き物ですよねぇ～。			ワインの罪							
ワインポートのシャマニ・ローマニは、冒険者にお使いを頼みたいようだ。			ワインポートのシャマニ・ローマニは、冒険者にお使いを頼みたいようだ。			密林の男							
シャマニ・ローマニは命の恩人を探していた。恩人の居場所はワインポートの南にある、船着場：レインキャッチャーの所長、リットスキルトが知っているらしい。「リットスキルト」と話して、ドレストの居場所を聞こう。			シャマニ・ローマニは命の恩人を探していた。恩人の居場所はワインポートの南にある、船着場：レインキャッチャーの所長、リットスキルトが知っているらしい。「リットスキルト」と話して、ドレストの居場所を聞こう。			密林の男							
ドレストは、船着場の南西にある「切られた革紐亭」に住み着いているらしい。彼にローマニのワインを渡そう。			ドレストは、船着場の南西にある「切られた革紐亭」に住み着いているらしい。彼にローマニのワインを渡そう。			密林の男							
ドレストはローマニのワインを受け取ってくれた。彼は人を嫌って隠遁生活をしているようだが……。			ドレストはローマニのワインを受け取ってくれた。彼は人を嫌って隠遁生活をしているようだが……。			密林の男							
リットスキルトと話す			リットスキルトと話す			密林の男							
ドレストにローマニのワインを渡す			ドレストにローマニのワインを渡す			密林の男							
生きる希望か……。あのワインが失われたからといって、希望まで失われたわけではありませんね。			生きる希望か……。あのワインが失われたからといって、希望まで失われたわけではありませんね。			密林の男							
私の希望、それは私の腕を信じて依頼をくれた我が友と、そして貴方のために、今ある最高のワインを用意すること……。			私の希望、それは私の腕を信じて依頼をくれた我が友と、そして貴方のために、今ある最高のワインを用意すること……。			密林の男							
あのワインには及ばなくとも、きっと「特別な晩餐」に合うワインを見つけてみせます。次の手を考えますので、少々お時間をいただけますか？			あのワインには及ばなくとも、きっと「特別な晩餐」に合うワインを見つけてみせます。次の手を考えますので、少々お時間をいただけますか？			密林の男							
その間に……あなたにひとつ、お願いがあるのです。			その間に……あなたにひとつ、お願いがあるのです。			密林の男							
2年前、私がワインポートへ辿り着く以前の出来事です。光を失ったことで絶望し、各地を放浪していた私は、「ドレスト」という男性に命を救われました。			2年前、私がワインポートへ辿り着く以前の出来事です。光を失ったことで絶望し、各地を放浪していた私は、「ドレスト」という男性に命を救われました。			密林の男							
そのドレストに、私が作ったワインを贈りたいのです。初めて仕込んだものだけに、まだまだ未熟なワインですが、新たな人生の証を、彼に味わってほしいのです。			そのドレストに、私が作ったワインを贈りたいのです。初めて仕込んだものだけに、まだまだ未熟なワインですが、新たな人生の証を、彼に味わってほしいのです。			密林の男							
彼は今「レインキャッチャー船着場」で働いているとか。船着場の船頭「リットスキルト」に彼の所在を聞き、この「ローマニのワイン」を渡してもらえますか？			彼は今「レインキャッチャー船着場」で働いているとか。船着場の船頭「リットスキルト」に彼の所在を聞き、この「ローマニのワイン」を渡してもらえますか？			密林の男							
ドレストだって？　ああ、あの流れ者か。たまに荷運びの仕事を頼んで、日当をやってるんだが……正直、あまり関わらないようにしてるんだ。			ドレストだって？　ああ、あの流れ者か。たまに荷運びの仕事を頼んで、日当をやってるんだが……正直、あまり関わらないようにしてるんだ。			密林の男							
なんか薄気味悪い、異様な雰囲気の男でな。顔にどえらい怪我を負ってるし、ありゃ絶対カタギじゃない。奴なら「切られた革紐亭」に住み着いているぞ。			なんか薄気味悪い、異様な雰囲気の男でな。顔にどえらい怪我を負ってるし、ありゃ絶対カタギじゃない。奴なら「切られた革紐亭」に住み着いているぞ。			密林の男							
……何か用か……。			……何か用か……。			密林の男							
……あの盲目の男が、ワインを俺に？フン、余計なお世話だ、礼はしねェぞ……。……ん？　また……この音か……うう……うううう。			……あの盲目の男が、ワインを俺に？フン、余計なお世話だ、礼はしねェぞ……。……ん？　また……この音か……うう……うううう。			密林の男							
切られた革紐亭のドレストは、冒険者に何か訴えたいようだ。			切られた革紐亭のドレストは、冒険者に何か訴えたいようだ。			耳に残るは蟲の音							
彼は何か激しい焦燥感に襲われているようだ。彼を悩ます「ダンミッヂ・スウォーム」を5体討伐しよう。			彼は何か激しい焦燥感に襲われているようだ。彼を悩ます「ダンミッヂ・スウォーム」を5体討伐しよう。			耳に残るは蟲の音							
ダンミッヂ・スウォームを討伐した。切られた革紐亭の「ドレスト」に報告しよう。			ダンミッヂ・スウォームを討伐した。切られた革紐亭の「ドレスト」に報告しよう。			耳に残るは蟲の音							
ドレストは、ガレマール帝国に属州として支配された国で徴集された兵だったらしい。彼も戦争の犠牲者だったのだ……。			ドレストは、ガレマール帝国に属州として支配された国で徴集された兵だったらしい。彼も戦争の犠牲者だったのだ……。			耳に残るは蟲の音							
ダンミッヂ・スウォームを討伐			ダンミッヂ・スウォームを討伐			耳に残るは蟲の音							
ドレストに報告			ドレストに報告			耳に残るは蟲の音							
……うううう、う……うるさい……。うるさい……うるさいうるさいうるさい……うるさい……。うるさいうるさいうるさいさいうるさいううううるさいッ！！			……うううう、う……うるさい……。うるさい……うるさいうるさいうるさい……うるさい……。うるさいうるさいうるさいさいうるさいううううるさいッ！！			耳に残るは蟲の音							
