ヤ・シュトラは冒険者に、タイタン討伐の報告を頼みたいようだ。			ヤ・シュトラは冒険者に、タイタン討伐の報告を頼みたいようだ。			灯りの消えた日							
タイタン討伐の任務は果たした。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に報告しよう。			タイタン討伐の任務は果たした。リムサ・ロミンサの黒渦団：軍令部にいる「ル・アシャ大甲佐」に報告しよう。			灯りの消えた日							
ル・アシャ大甲佐に報告をした後、ミンフィリアから砂の家に帰還するよう連絡が入った。西ザナラーンのベスパーベイにある「砂の家」に戻ろう。			ル・アシャ大甲佐に報告をした後、ミンフィリアから砂の家に帰還するよう連絡が入った。西ザナラーンのベスパーベイにある「砂の家」に戻ろう。			灯りの消えた日							
「砂の家」が、変わり果てた姿になっている……。いったい何が起こったのだろうか、周囲を調べよう。			「砂の家」が、変わり果てた姿になっている……。いったい何が起こったのだろうか、周囲を調べよう。			灯りの消えた日							
ノラクシアに触れ、砂の家で起こった出来事を知った。冒険者がミンフィリアとリンクパール通信をした直後、砂の家はガレマール帝国軍の襲撃にあったようだ。ノラクシアの遺言どおり、東ザナラーンの「聖アダマ・ランダマ教会」に向かおう。			ノラクシアに触れ、砂の家で起こった出来事を知った。冒険者がミンフィリアとリンクパール通信をした直後、砂の家はガレマール帝国軍の襲撃にあったようだ。ノラクシアの遺言どおり、東ザナラーンの「聖アダマ・ランダマ教会」に向かおう。			灯りの消えた日							
聖アダマ・ランダマ教会のイリュドと話した。彼はミンフィリアと古い仲らしい。しばらく、聖アダマ・ランダマ教会に身を寄せることにしよう。			聖アダマ・ランダマ教会のイリュドと話した。彼はミンフィリアと古い仲らしい。しばらく、聖アダマ・ランダマ教会に身を寄せることにしよう。			灯りの消えた日							
黒渦団：軍令部のル・アシャ大甲佐に報告			黒渦団：軍令部のル・アシャ大甲佐に報告			灯りの消えた日							
砂の家に帰還する			砂の家に帰還する			灯りの消えた日							
周囲を調べる			周囲を調べる			灯りの消えた日							
聖アダマ・ランダマ教会のイリュドと話す			聖アダマ・ランダマ教会のイリュドと話す			灯りの消えた日							
さて、あとはタイタン討伐の報告をするだけね。……残念だけど、私はまだ調べたいことが残っているの。			さて、あとはタイタン討伐の報告をするだけね。……残念だけど、私はまだ調べたいことが残っているの。			灯りの消えた日							
「リムサ・ロミンサ」の「ル・アシャ大甲佐」へ、タイタン討伐の報告を、お願いできるかしら？きっと喜ぶはずだわ、よろしくね。			「リムサ・ロミンサ」の「ル・アシャ大甲佐」へ、タイタン討伐の報告を、お願いできるかしら？きっと喜ぶはずだわ、よろしくね。			灯りの消えた日							
ほ、本当に！？本当に蛮神「タイタン」を倒しちゃうなんて……すぐにメルウィブ提督に伝令を飛ばさなきゃ！！			ほ、本当に！？本当に蛮神「タイタン」を倒しちゃうなんて……すぐにメルウィブ提督に伝令を飛ばさなきゃ！！			灯りの消えた日							
