ホワイトブリム前哨地の治療師シャルミヌは、病が篤い患者を案じているようだ。			ホワイトブリム前哨地の治療師シャルミヌは、病が篤い患者を案じているようだ。			恋人たち							
患者の命がもう長くないらしい。投獄されている患者の恋人「ローレンス」に患者の容態を伝えよう。			患者の命がもう長くないらしい。投獄されている患者の恋人「ローレンス」に患者の容態を伝えよう。			恋人たち							
ローレンスは、恋人に渡したいものがあるようだ。彼の言葉に従い、南東の森の中を調べよう。			ローレンスは、恋人に渡したいものがあるようだ。彼の言葉に従い、南東の森の中を調べよう。			恋人たち							
「ウルダハ製の錬金薬」を入手した。ホワイトブリム前哨地の「シャルミヌ」に渡そう。			「ウルダハ製の錬金薬」を入手した。ホワイトブリム前哨地の「シャルミヌ」に渡そう。			恋人たち							
シャルミヌにウルダハ製の錬金薬を渡した。冒険者が届けた薬があれば、患者を助けられるかもしれないとシャルミヌは言うが……。			シャルミヌにウルダハ製の錬金薬を渡した。冒険者が届けた薬があれば、患者を助けられるかもしれないとシャルミヌは言うが……。			恋人たち							
ローレンスと話す			ローレンスと話す			恋人たち							
森の中を調べる			森の中を調べる			恋人たち							
シャルミヌにウルダハ製の錬金薬を渡す			シャルミヌにウルダハ製の錬金薬を渡す			恋人たち							
かわいそうに……どうしたらいいのかしら。この患者さんには、将来を誓いあった恋人がいるの。			かわいそうに……どうしたらいいのかしら。この患者さんには、将来を誓いあった恋人がいるの。			恋人たち							
でも、彼はドラゴン族との戦いを控えた砦から逃亡しようとして失敗し、今は投獄されているのよ。			でも、彼はドラゴン族との戦いを控えた砦から逃亡しようとして失敗し、今は投獄されているのよ。			恋人たち							
彼女は、もう長くはないわ。……そこで、自由な立場の冒険者さんにお願いがあるの。獄中の彼女の恋人に、病状を伝えてちょうだい。			彼女は、もう長くはないわ。……そこで、自由な立場の冒険者さんにお願いがあるの。獄中の彼女の恋人に、病状を伝えてちょうだい。			恋人たち							
冒険者が罪人に何の用だ。……何だって、彼女がもう長くない！？			冒険者が罪人に何の用だ。……何だって、彼女がもう長くない！？			恋人たち							
君、ここから南東にある森の中を調べて、そこに隠されているものを彼女の治療師に届けてくれ！これは僕の最期の願い……頼む、急いでくれ！			君、ここから南東にある森の中を調べて、そこに隠されているものを彼女の治療師に届けてくれ！これは僕の最期の願い……頼む、急いでくれ！			恋人たち							
ここでは、人であろうとすればするほど、人だとは認められなくなってしまうんだ。聖戦……そんなもの、彼女の命より重いものかっ！			ここでは、人であろうとすればするほど、人だとは認められなくなってしまうんだ。聖戦……そんなもの、彼女の命より重いものかっ！			恋人たち							
指定地点を調べ、「ウルダハ製の錬金薬」をゲット			指定地点を調べ、「ウルダハ製の錬金薬」をゲット			恋人たち							
かわいそうな患者さん……。獄中の恋人さんは、何か仰っていましたか？			かわいそうな患者さん……。獄中の恋人さんは、何か仰っていましたか？			恋人たち							
これは……「ウルダハ製の錬金薬」ではありませんか！……患者さんの恋人がこれを？こんなに貴重な薬をどこから……。			これは……「ウルダハ製の錬金薬」ではありませんか！……患者さんの恋人がこれを？こんなに貴重な薬をどこから……。			恋人たち							
まさか、砦から逃亡しようとしたのは、この薬を手に入れるためなのでは……。……なるほど、捕まる前に埋めて隠したのですね……。			まさか、砦から逃亡しようとしたのは、この薬を手に入れるためなのでは……。……なるほど、捕まる前に埋めて隠したのですね……。			恋人たち							
と、とにかく、届けてくれてありがとうございます。この薬があれば、彼女を助けられるかもしれません！			と、とにかく、届けてくれてありがとうございます。この薬があれば、彼女を助けられるかもしれません！			恋人たち							
ホワイトブリム前哨地のブルナディエは、冒険者の依頼にあまり乗り気ではないようだが……。			ホワイトブリム前哨地のブルナディエは、冒険者の依頼にあまり乗り気ではないようだが……。			前哨地の歓待							
ブルナディエは、冒険者に紹介状をつき返してきた。彼の指示どおり、倉庫にいる「アルボアズ」と話してみよう。			ブルナディエは、冒険者に紹介状をつき返してきた。彼の指示どおり、倉庫にいる「アルボアズ」と話してみよう。			前哨地の歓待							
アルボアズもあまり冒険者に協力的ではなかった。今度は前哨地内の「野戦病院」へ行き、院長の「アスティディアン」と話してみよう。			アルボアズもあまり冒険者に協力的ではなかった。今度は前哨地内の「野戦病院」へ行き、院長の「アスティディアン」と話してみよう。			前哨地の歓待							
アスティディアンは怪我人の手当てに忙しいらしい。兵舎2階の「グデルヌ」と話してみよう。			アスティディアンは怪我人の手当てに忙しいらしい。兵舎2階の「グデルヌ」と話してみよう。			前哨地の歓待							
グデルヌも冒険者の相談を軽く受け流した。ホワイトブリム前哨地を預かる騎士「ドリユモン」に「オルシュファンの封書」と「フランセルの封書」を渡そう。			グデルヌも冒険者の相談を軽く受け流した。ホワイトブリム前哨地を預かる騎士「ドリユモン」に「オルシュファンの封書」と「フランセルの封書」を渡そう。			前哨地の歓待							
オルシュファンの封書を渡したが、立入許可は得られなかった。ほかの方法を考える必要がありそうだ……。			オルシュファンの封書を渡したが、立入許可は得られなかった。ほかの方法を考える必要がありそうだ……。			前哨地の歓待							
アルボアズと話す			アルボアズと話す			前哨地の歓待							
アスティディアンと話す			アスティディアンと話す			前哨地の歓待							
