シリウス大灯台のダヴィッドは鍛冶師を出迎えたいようだ。			シリウス大灯台のダヴィッドは鍛冶師を出迎えたいようだ。			狂気の歌声							
ダヴィッドから出迎えを頼まれた。船着場に向かい、鍛冶師「ミミドア」と話そう。			ダヴィッドから出迎えを頼まれた。船着場に向かい、鍛冶師「ミミドア」と話そう。			狂気の歌声							
「美しい歌声」の正体はセイレーンと呼ばれる魔物らしい。「船の墓場」に向かった鍛冶師「ミミドア」と話そう。			「美しい歌声」の正体はセイレーンと呼ばれる魔物らしい。「船の墓場」に向かった鍛冶師「ミミドア」と話そう。			狂気の歌声							
セイレーンを待ち伏せるため、船の墓場の「焚き火」で待機しよう。			セイレーンを待ち伏せるため、船の墓場の「焚き火」で待機しよう。			狂気の歌声							
セイレーンを撃退することができた。「船の墓場」の鍛冶師「ミミドア」と話そう。			セイレーンを撃退することができた。「船の墓場」の鍛冶師「ミミドア」と話そう。			狂気の歌声							
ミミドアは去ったセイレーンを追うため、冒険者に別れを告げた。シリウス大灯台に戻り「ダヴィッド」に報告しよう。			ミミドアは去ったセイレーンを追うため、冒険者に別れを告げた。シリウス大灯台に戻り「ダヴィッド」に報告しよう。			狂気の歌声							
ダヴィッドから「重い絶霊体の壺」を受け取った。エールポートに戻り「シアーナ」に渡そう。			ダヴィッドから「重い絶霊体の壺」を受け取った。エールポートに戻り「シアーナ」に渡そう。			狂気の歌声							
「風」属性を「水」属性に変換するクリスタルを手に入れた。もうひとつクリスタルを組み合わせれば、求める機能を飛空艇「エンタープライズ」に組みこめるはずだ。			「風」属性を「水」属性に変換するクリスタルを手に入れた。もうひとつクリスタルを組み合わせれば、求める機能を飛空艇「エンタープライズ」に組みこめるはずだ。			狂気の歌声							
幻影諸島船着場のミミドアと話す			幻影諸島船着場のミミドアと話す			狂気の歌声							
船の墓場のミミドアと話す			船の墓場のミミドアと話す			狂気の歌声							
焚き火で待機			焚き火で待機			狂気の歌声							
船の墓場のミミドアと話す			船の墓場のミミドアと話す			狂気の歌声							
ダヴィッドに報告			ダヴィッドに報告			狂気の歌声							
エールポートのシアーナに「重い絶霊体の壺」を渡す			エールポートのシアーナに「重い絶霊体の壺」を渡す			狂気の歌声							
ううむ……。「歌声」はいったいどこから……ああ、君か。君が調査してくれた歌声のことが頭から離れなくてね。			ううむ……。「歌声」はいったいどこから……ああ、君か。君が調査してくれた歌声のことが頭から離れなくてね。			狂気の歌声							
そうだ、ついさっきエールポートから、名匠の「ミミドア」さんが、到着したと連絡がきたんだ。			そうだ、ついさっきエールポートから、名匠の「ミミドア」さんが、到着したと連絡がきたんだ。			狂気の歌声							
ミミドアさんは、灯台の修復に派遣された技師だ。幽霊騒ぎで、復興計画が大幅に遅れているからな。関係者はやきもきしているだろう。			ミミドアさんは、灯台の修復に派遣された技師だ。幽霊騒ぎで、復興計画が大幅に遅れているからな。関係者はやきもきしているだろう。			狂気の歌声							
