ヘディンは、冒険者に偏属性クリスタルを返したいようだ。			ヘディンは、冒険者に偏属性クリスタルを返したいようだ。			始動！ エンタープライズ							
必要な偏属性クリスタルをそろえることができた。グリダニア・ランディングにいるシドに偏属性クリスタルを渡そう。搭乗ロビーの奥へはリオンネレーが案内してくれるはずだ。			必要な偏属性クリスタルをそろえることができた。グリダニア・ランディングにいるシドに偏属性クリスタルを渡そう。搭乗ロビーの奥へはリオンネレーが案内してくれるはずだ。			始動！ エンタープライズ							
シドに偏属性クリスタルを渡した。これで飛空艇「エンタープライズ」は、どんな嵐も突破する力を手に入れられるだろう。			シドに偏属性クリスタルを渡した。これで飛空艇「エンタープライズ」は、どんな嵐も突破する力を手に入れられるだろう。			始動！ エンタープライズ							
グリダニア・ランディングのシドに偏属性クリスタルを渡す			グリダニア・ランディングのシドに偏属性クリスタルを渡す			始動！ エンタープライズ							
……お、おっと失礼しました。偏属性クリスタルをお返しいたします、ハイ。			……お、おっと失礼しました。偏属性クリスタルをお返しいたします、ハイ。			始動！ エンタープライズ							
先生から話は伺っております、ハイ。せ、先生がお世話になったというマルケズさんなら、グリダニア・ランディングにいらっしゃいます……。			先生から話は伺っております、ハイ。せ、先生がお世話になったというマルケズさんなら、グリダニア・ランディングにいらっしゃいます……。			始動！ エンタープライズ							
……あ、貴女貴方みたいな冒険者が、「偏属性クリスタル」を収集するなんて、き、きっと大変な事情があるのでしょう。			……あ、貴女貴方みたいな冒険者が、「偏属性クリスタル」を収集するなんて、き、きっと大変な事情があるのでしょう。			始動！ エンタープライズ							
……わ、私は研究者。理由は聞きません。零組一同、皆様のご武運を祈っています……ハイ。			……わ、私は研究者。理由は聞きません。零組一同、皆様のご武運を祈っています……ハイ。			始動！ エンタープライズ							
Surnameか。ほかの偏属性クリスタルは、ランベルタンから届いている。残りは、そいつだけだ。			Surnameか。ほかの偏属性クリスタルは、ランベルタンから届いている。残りは、そいつだけだ。			始動！ エンタープライズ							
……偏属性クリスタルがそろったな。これで、この船は本当の姿を取り戻し、どんな嵐も突破する力を、手に入れられるだろう。			……偏属性クリスタルがそろったな。これで、この船は本当の姿を取り戻し、どんな嵐も突破する力を、手に入れられるだろう。			始動！ エンタープライズ							
この仕事は俺にしかできないこと。……そうなんだろ？			この仕事は俺にしかできないこと。……そうなんだろ？			始動！ エンタープライズ							
やってみせるさ。「エンタープライズ」を蘇らせてみせる。……少し時間をくれ、さっそく属性変換機構を作ろう。			やってみせるさ。「エンタープライズ」を蘇らせてみせる。……少し時間をくれ、さっそく属性変換機構を作ろう。			始動！ エンタープライズ							
エンタープライズ……。俺が居た……必要とされる俺が……。			エンタープライズ……。俺が居た……必要とされる俺が……。			始動！ エンタープライズ							
グリダニア・ランディングのロビーへお入りになりますか？			グリダニア・ランディングのロビーへお入りになりますか？			始動！ エンタープライズ							
「ロビー」に移動しますか？			「ロビー」に移動しますか？			始動！ エンタープライズ							
はい			はい			始動！ エンタープライズ							
いいえ			いいえ			始動！ エンタープライズ							
エールポートのシアーナは冒険者に伝えたい情報があるようだ。			エールポートのシアーナは冒険者に伝えたい情報があるようだ。			最後の偏属性クリスタル							
偏属性クリスタルの有力な手がかりを得た。グリダニア：旧市街にいる「ヘディン」から詳しい話を聞こう。			偏属性クリスタルの有力な手がかりを得た。グリダニア：旧市街にいる「ヘディン」から詳しい話を聞こう。			最後の偏属性クリスタル							
ヘディンから、偏属性クリスタルを持っているというスプリガン、ゴギーの話を聞いた。中央森林のスプリガンの巣窟にある指定地点に「赤心石」を使い、現れた「クリスタルベアラー」から「偏属性クリスタル」を入手しよう。			ヘディンから、偏属性クリスタルを持っているというスプリガン、ゴギーの話を聞いた。中央森林のスプリガンの巣窟にある指定地点に「赤心石」を使い、現れた「クリスタルベアラー」から「偏属性クリスタル」を入手しよう。			最後の偏属性クリスタル							
偏属性クリスタルを入手した。グリダニアの「ヘディン」に「偏属性クリスタル」を渡そう。			偏属性クリスタルを入手した。グリダニアの「ヘディン」に「偏属性クリスタル」を渡そう。			最後の偏属性クリスタル							
ヘディンに偏属性クリスタルを渡した。飛空艇「エンタープライズ」を改良するクリスタルが、ようやくそろったようだ。			ヘディンに偏属性クリスタルを渡した。飛空艇「エンタープライズ」を改良するクリスタルが、ようやくそろったようだ。			最後の偏属性クリスタル							
グリダニアのヘディンと話す			グリダニアのヘディンと話す			最後の偏属性クリスタル							
指定地点に赤心石を使いクリスタルベアラーから偏属性クリスタルを入手			指定地点に赤心石を使いクリスタルベアラーから偏属性クリスタルを入手			最後の偏属性クリスタル							
グリダニアのヘディンに偏属性クリスタルを渡す			グリダニアのヘディンに偏属性クリスタルを渡す			最後の偏属性クリスタル							
受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			受注するには、進行中のメインクエストを破棄する必要があります。メインコマンドの「コンテンツ情報」から、「ジャーナル」を選び、破棄してください。			最後の偏属性クリスタル							
さってと！がんばった君に、良いニュースと悪いニュースがあるよ？			さってと！がんばった君に、良いニュースと悪いニュースがあるよ？			最後の偏属性クリスタル							
どどーん！　良いニュースねー！君の探す偏属性クリスタルの発見情報だーっ！			どどーん！　良いニュースねー！君の探す偏属性クリスタルの発見情報だーっ！			最後の偏属性クリスタル							
私たち「零組」の頼もしき仲間から、ついさっきモグレターで受け取った情報だよ！ピッチピチだよっ！			私たち「零組」の頼もしき仲間から、ついさっきモグレターで受け取った情報だよ！ピッチピチだよっ！			最後の偏属性クリスタル							
ででーん！　悪いニュース……。それは、ここで私と君がお別れってことかな？楽しかったから残念だよー。			ででーん！　悪いニュース……。それは、ここで私と君がお別れってことかな？楽しかったから残念だよー。			最後の偏属性クリスタル							
仲間の「ヘディン」は「グリダニア」にいるの！いってらっしゃい！　また会おうねー！			仲間の「ヘディン」は「グリダニア」にいるの！いってらっしゃい！　また会おうねー！			最後の偏属性クリスタル							
あっハイ、僕が「零組」のヘディンです……。どど、どうも……ハイ。			あっハイ、僕が「零組」のヘディンです……。どど、どうも……ハイ。			最後の偏属性クリスタル							
せ、先生から……「水属性を土属性に変換する偏属性クリスタル」を、お探しになっていると聞きました……ハイ。			せ、先生から……「水属性を土属性に変換する偏属性クリスタル」を、お探しになっていると聞きました……ハイ。			最後の偏属性クリスタル							
僕の計算によると、大食いスプリガン「ゴギー」が、その偏属性クリスタルを持っているはずです……ハイ。			僕の計算によると、大食いスプリガン「ゴギー」が、その偏属性クリスタルを持っているはずです……ハイ。			最後の偏属性クリスタル							
霊災時、巨大な偏属性クリスタルが、白狼門の先「枯骨の森」に発生したのです、ハイ。ただ、ゴギーがほとんど食べてしまったようです、ハイ。			霊災時、巨大な偏属性クリスタルが、白狼門の先「枯骨の森」に発生したのです、ハイ。ただ、ゴギーがほとんど食べてしまったようです、ハイ。			最後の偏属性クリスタル							
偏属性クリスタルの残りも、ゴギーが抱えています。で、でも、警戒心が強くてめったに姿を現さず、その上とても凶暴なので、誰も捕まえられませんです、ハイ……。			偏属性クリスタルの残りも、ゴギーが抱えています。で、でも、警戒心が強くてめったに姿を現さず、その上とても凶暴なので、誰も捕まえられませんです、ハイ……。			最後の偏属性クリスタル							
し、しかし、ここでひとつ僕に策があります、ハイ。ゴギーは貴重な鉱石を好むらしいので、それを餌にするのです、ハイ。			し、しかし、ここでひとつ僕に策があります、ハイ。ゴギーは貴重な鉱石を好むらしいので、それを餌にするのです、ハイ。			最後の偏属性クリスタル							
以前、僕が伝手を使って手に入れた、この「赤心石」は、実用性こそないものの、とても貴重なものでして、これを使えば、きっとゴギーも姿を現すはずです、ハイ。			以前、僕が伝手を使って手に入れた、この「赤心石」は、実用性こそないものの、とても貴重なものでして、これを使えば、きっとゴギーも姿を現すはずです、ハイ。			最後の偏属性クリスタル							
「赤心石」は、スプリガンの巣窟に仕掛けるのがよいでしょう。そして、のこのことやってきたゴギーを倒し、持っている偏属性クリスタルを手に入れるのです、ハイ！			「赤心石」は、スプリガンの巣窟に仕掛けるのがよいでしょう。そして、のこのことやってきたゴギーを倒し、持っている偏属性クリスタルを手に入れるのです、ハイ！			最後の偏属性クリスタル							
わわわ！　もう帰ってきたんですか……！？もしや「偏属性クリスタル」を……？			わわわ！　もう帰ってきたんですか……！？もしや「偏属性クリスタル」を……？			最後の偏属性クリスタル							
わ、わわわわ……ハイ！素晴らしい、本当に手に入れてきたのですね！			わ、わわわわ……ハイ！素晴らしい、本当に手に入れてきたのですね！			最後の偏属性クリスタル							
う、うわぁ……。……なんかこれ、スプリガンの体液で、ぬっちょぬちょじゃないですか……。			う、うわぁ……。……なんかこれ、スプリガンの体液で、ぬっちょぬちょじゃないですか……。			最後の偏属性クリスタル							
あ、でもこれが「絶霊体」のかわりになって、エーテルの干渉から偏属性クリスタルを保護していたようですね。			あ、でもこれが「絶霊体」のかわりになって、エーテルの干渉から偏属性クリスタルを保護していたようですね。			最後の偏属性クリスタル							
……どれどれ。やりましたです、ハイ！これはまさに「水属性を土属性に換えるクリスタル」です！			……どれどれ。やりましたです、ハイ！これはまさに「水属性を土属性に換えるクリスタル」です！			最後の偏属性クリスタル							
僕たち「零組」の後学のため、少しばかり分けて……。い、いえいえ、冗談ですよ……ハイ。			僕たち「零組」の後学のため、少しばかり分けて……。い、いえいえ、冗談ですよ……ハイ。			最後の偏属性クリスタル							
エールポートのシアーナは冒険者に伝えたい情報があるようだ。			エールポートのシアーナは冒険者に伝えたい情報があるようだ。			最後の偏属性クリスタル							
