レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			レヴナンツトールのグラウムントは、冒険者に情報を提供してくれるようだ。			帝国軍あざむき作戦							
まずは「カストルム・セントリ」の内情を探る必要がある。要塞内の司令塔と繋がっているという、タングル湿林の「排水口」を調べてみよう。			まずは「カストルム・セントリ」の内情を探る必要がある。要塞内の司令塔と繋がっているという、タングル湿林の「排水口」を調べてみよう。			帝国軍あざむき作戦							
グラウムントの話では、排水口を伝って要塞内部の声が聞こえてくるということだったが……。「排水口」に入ろう。			グラウムントの話では、排水口を伝って要塞内部の声が聞こえてくるということだったが……。「排水口」に入ろう。			帝国軍あざむき作戦							
ミンフィリアが「カストルム・セントリ」にいる確実な証拠を手に入れた。レヴナンツトールに戻り「アルフィノ」に報告しよう。			ミンフィリアが「カストルム・セントリ」にいる確実な証拠を手に入れた。レヴナンツトールに戻り「アルフィノ」に報告しよう。			帝国軍あざむき作戦							
仲間の無事を知り、アルフィノは安堵したようだ。レヴナンツトールの「シド」と相談し、具体的な段取りを決めよう。			仲間の無事を知り、アルフィノは安堵したようだ。レヴナンツトールの「シド」と相談し、具体的な段取りを決めよう。			帝国軍あざむき作戦							
魔導アーマーの奪取については、グラウムントが計画を立てているらしい。その間に、シドと協力して作戦の準備を進めよう。			魔導アーマーの奪取については、グラウムントが計画を立てているらしい。その間に、シドと協力して作戦の準備を進めよう。			帝国軍あざむき作戦							
排水口を調べる			排水口を調べる			帝国軍あざむき作戦							
排水口に入る			排水口に入る			帝国軍あざむき作戦							
アルフィノと話す			アルフィノと話す			帝国軍あざむき作戦							
シドと話す			シドと話す			帝国軍あざむき作戦							
ふーん、帝国軍に囚われたお仲間を助けにね。……いいぜぇ、協力してやんよ。			ふーん、帝国軍に囚われたお仲間を助けにね。……いいぜぇ、協力してやんよ。			帝国軍あざむき作戦							
オレも個人的に帝国軍に恨みを持っているからな。……へへ、ヤツらを出し抜く作戦でも考えるかねぇ。っと、その前に……。			オレも個人的に帝国軍に恨みを持っているからな。……へへ、ヤツらを出し抜く作戦でも考えるかねぇ。っと、その前に……。			帝国軍あざむき作戦							
まずは、そのお仲間とやらが、本当に「カストルム・セントリ」に居るのか確認したほうがいいかもしれないなぁ。			まずは、そのお仲間とやらが、本当に「カストルム・セントリ」に居るのか確認したほうがいいかもしれないなぁ。			帝国軍あざむき作戦							
最近あそこは人の出入りが激しい。念の為に確認しておいたほうがいいってもんだ。			最近あそこは人の出入りが激しい。念の為に確認しておいたほうがいいってもんだ。			帝国軍あざむき作戦							
「カストルム・セントリ」のはずれに、要塞から伸びている「排水口」があるんだ。……実はあれ、要塞内の司令塔と繋がっているのさ。			「カストルム・セントリ」のはずれに、要塞から伸びている「排水口」があるんだ。……実はあれ、要塞内の司令塔と繋がっているのさ。			帝国軍あざむき作戦							
奥は閉じられているから侵入まではできないけど、時折、内部からの声が管に反響して聞こえてくる。そこで情報を得ることができるかもしれない。			奥は閉じられているから侵入まではできないけど、時折、内部からの声が管に反響して聞こえてくる。そこで情報を得ることができるかもしれない。			帝国軍あざむき作戦							
お仲間が確認できたら作戦を……。……うーんと、何か作戦名は……。そうだ、「帝国軍あざむき作戦」を開始しようぜ！			お仲間が確認できたら作戦を……。……うーんと、何か作戦名は……。そうだ、「帝国軍あざむき作戦」を開始しようぜ！			帝国軍あざむき作戦							
（タングル湿林の廃パイプに近づくと、　チゴーが４体ＰＯＰ　討伐してアクセス「実行」すると暗転ＬＣＵＴ）			（タングル湿林の廃パイプに近づくと、　チゴーが４体ＰＯＰ　討伐してアクセス「実行」すると暗転ＬＣＵＴ）			帝国軍あざむき作戦							
……兵士たちの声が配管に反響して聞こえてくる……。			……兵士たちの声が配管に反響して聞こえてくる……。			帝国軍あざむき作戦							
(-生真面目な声-)……それで……例の捕虜はどうしている？まだ……粘って……のか？			(-生真面目な声-)……それで……例の捕虜はどうしている？まだ……粘って……のか？			帝国軍あざむき作戦							
(-若い声-)どうもこうもねぇよ……。あのミンフィリアとかいう女……尋問してもダンマリだ。……実際……よく耐えているぜ。			(-若い声-)どうもこうもねぇよ……。あのミンフィリアとかいう女……尋問してもダンマリだ。……実際……よく耐えているぜ。			帝国軍あざむき作戦							
(-不機嫌な声-)ほかの……連中も同じだ。……特にあのエレゼン野郎……。わけのわからないことばっかり……と言ってやがる。			(-不機嫌な声-)ほかの……連中も同じだ。……特にあのエレゼン野郎……。わけのわからないことばっかり……と言ってやがる。			帝国軍あざむき作戦							
(-若い声-)しかし……リウィア様は…………いったい……なんだってあの女を？			(-若い声-)しかし……リウィア様は…………いったい……なんだってあの女を？			帝国軍あざむき作戦							
(-不機嫌な声-)なんでも俺たち……ガレアン族にない……不思議な力を……持ってるとか……何とか。			(-不機嫌な声-)なんでも俺たち……ガレアン族にない……不思議な力を……持ってるとか……何とか。			帝国軍あざむき作戦							
(-若い声-)……エオルゼアの……野蛮人が使う……魔法……みたいなもんか？			(-若い声-)……エオルゼアの……野蛮人が使う……魔法……みたいなもんか？			帝国軍あざむき作戦							
(-不機嫌な声-)さぁてね……。それこそ……リウィア様に聞いてみなよ。			(-不機嫌な声-)さぁてね……。それこそ……リウィア様に聞いてみなよ。			帝国軍あざむき作戦							
(-若い声-)き、聞けるわけないだろ！そんな興味本位の……ことを聞いて……みろよ。あっという間に……首が……飛んじまう。			(-若い声-)き、聞けるわけないだろ！そんな興味本位の……ことを聞いて……みろよ。あっという間に……首が……飛んじまう。			帝国軍あざむき作戦							
(-生真面目な声-)……そろそろ……時間だ。リウィア様に怒られないうちに……持ち場に戻るぞ。			(-生真面目な声-)……そろそろ……時間だ。リウィア様に怒られないうちに……持ち場に戻るぞ。			帝国軍あざむき作戦							
……兵士たちの声は聞こえなくなった……。			……兵士たちの声は聞こえなくなった……。			帝国軍あざむき作戦							
Surname、どうだった？……なるほど、ミンフィリアは中にいる様子なのだな！それに、ほかにも囚われている者がいると……。			Surname、どうだった？……なるほど、ミンフィリアは中にいる様子なのだな！それに、ほかにも囚われている者がいると……。			帝国軍あざむき作戦							
では、救出の準備を進めよう。先ほどシドがグラウムントと計画について話していた。具体的な段取りをシドと相談してくれ。			では、救出の準備を進めよう。先ほどシドがグラウムントと計画について話していた。具体的な段取りをシドと相談してくれ。			帝国軍あざむき作戦							
グラウムントと、ミンフィリア救出の……「帝国軍あざむき作戦」について話しておいた。			グラウムントと、ミンフィリア救出の……「帝国軍あざむき作戦」について話しておいた。			帝国軍あざむき作戦							
予定どおり「魔導アーマー」を手に入れ、俺たちが帝国兵に変装して、正面から「カストルム・セントリ」に侵入する。			予定どおり「魔導アーマー」を手に入れ、俺たちが帝国兵に変装して、正面から「カストルム・セントリ」に侵入する。			帝国軍あざむき作戦							
魔導アーマー奪取の方は、グラウムントが別途計画を立ててくれている。それまで、俺たちは別の準備だ。			魔導アーマー奪取の方は、グラウムントが別途計画を立ててくれている。それまで、俺たちは別の準備だ。			帝国軍あざむき作戦							
さて、やるか！ビッグスとウェッジの救出を手伝ってくれた分、はりきってみせるぜ！			さて、やるか！ビッグスとウェッジの救出を手伝ってくれた分、はりきってみせるぜ！			帝国軍あざむき作戦							
敵の気配を感じた！！			敵の気配を感じた！！			帝国軍あざむき作戦							
秘石の塔のシドは、冒険者と共に情報を集めたいようだ。			秘石の塔のシドは、冒険者と共に情報を集めたいようだ。			モードゥナに集う猛者たち							
ミンフィリアが捕らえられているのは、帝国軍の軍事拠点「カストルム・セントリ」だそうだ。「モードゥナ」の冒険者キャンプ「レヴナンツトール」へ赴き、そこにいる冒険者へ情報を求めよう。			ミンフィリアが捕らえられているのは、帝国軍の軍事拠点「カストルム・セントリ」だそうだ。「モードゥナ」の冒険者キャンプ「レヴナンツトール」へ赴き、そこにいる冒険者へ情報を求めよう。			モードゥナに集う猛者たち							
カストルム・セントリは、最近警備を強化しているらしい。シドの発案した作戦を実行に移すため、まずは「レヴナンツトール」の「グラウムント」に協力を仰ごう。			カストルム・セントリは、最近警備を強化しているらしい。シドの発案した作戦を実行に移すため、まずは「レヴナンツトール」の「グラウムント」に協力を仰ごう。			モードゥナに集う猛者たち							
