クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			クォーリーミルのスィミは、冒険者に託したいものがあるようだ。			聖典の真実							
亡霊騎士についてまとめられたオーディン調査報告書を託された。砂の家に戻り「ウリエンジェ」に「オーディン調査報告書」を渡そう。			亡霊騎士についてまとめられたオーディン調査報告書を託された。砂の家に戻り「ウリエンジェ」に「オーディン調査報告書」を渡そう。			聖典の真実							
ウリエンジェにオーディン調査報告書を渡した。聖典に書かれていることは、あくまでアラグ帝国にとっての真実だというウリエンジェ。事件の全容は未だ見えないようだ……。			ウリエンジェにオーディン調査報告書を渡した。聖典に書かれていることは、あくまでアラグ帝国にとっての真実だというウリエンジェ。事件の全容は未だ見えないようだ……。			聖典の真実							
砂の家のウリエンジェにオーディン調査報告書を渡す			砂の家のウリエンジェにオーディン調査報告書を渡す			聖典の真実							
悪神「オーディン」調査へのご協力、ありがとうございました。			悪神「オーディン」調査へのご協力、ありがとうございました。			聖典の真実							
現時点で判明しているすべての被害、および独自調査による推論を、この「オーディン調査報告書」にまとめました。			現時点で判明しているすべての被害、および独自調査による推論を、この「オーディン調査報告書」にまとめました。			聖典の真実							
オ・アパ・ペシ様とリュウィン様には、私から提出しておきましょう。			オ・アパ・ペシ様とリュウィン様には、私から提出しておきましょう。			聖典の真実							
それから、こちらの1冊をお持ちください。「暁の血盟」のウリエンジェ様にお願いされていたものです。			それから、こちらの1冊をお持ちください。「暁の血盟」のウリエンジェ様にお願いされていたものです。			聖典の真実							
もし、悪神「オーディン」が森の民を襲うようなことがあったら……そのときはどうか、我々の力となってください……。			もし、悪神「オーディン」が森の民を襲うようなことがあったら……そのときはどうか、我々の力となってください……。			聖典の真実							
Forenameさん……。黒衣森の蛮神を覆う不知の闇、払うことはできましたか？			Forenameさん……。黒衣森の蛮神を覆う不知の闇、払うことはできましたか？			聖典の真実							
……悪神「オーディン」。聖典に描かれた古の「闘神」ですか……。			……悪神「オーディン」。聖典に描かれた古の「闘神」ですか……。			聖典の真実							
察しますところ……この聖典は、アラグ帝国の歴史を汲んでいるようです。			察しますところ……この聖典は、アラグ帝国の歴史を汲んでいるようです。			聖典の真実							
歴史とは光にして、光の陰に闇が宿ることは、いまさら言葉を重ねることでもないでしょう……。聖典はあくまで、アラグの理を示しているにすぎぬはずです。			歴史とは光にして、光の陰に闇が宿ることは、いまさら言葉を重ねることでもないでしょう……。聖典はあくまで、アラグの理を示しているにすぎぬはずです。			聖典の真実							
アラグの英雄……森を彷徨う悪神「オーディン」の目的……。真実は……依然として闇の中……。			アラグの英雄……森を彷徨う悪神「オーディン」の目的……。真実は……依然として闇の中……。			聖典の真実							
いずれ、あなたという光が真実を照らすまで……私は新たな歴史の扉が叩かれる、その音を聞いていましょう……。			いずれ、あなたという光が真実を照らすまで……私は新たな歴史の扉が叩かれる、その音を聞いていましょう……。			聖典の真実							
神勇隊のリュウィンは、他者の意見も聞きたいようだ。			神勇隊のリュウィンは、他者の意見も聞きたいようだ。			悪神覚醒							
聖典に語られる「オーディン」について、詳しく知る必要がありそうだ。クォーリーミルに向かい、角尊「オ・アパ・ペシ」と話そう。			聖典に語られる「オーディン」について、詳しく知る必要がありそうだ。クォーリーミルに向かい、角尊「オ・アパ・ペシ」と話そう。			悪神覚醒							
悪神「オーディン」はウルズの泉に封印されているはずだという。ウルズの泉に向かい、封印に変化がないかウルズの封印を調べよう。「アラガン・ソウル」が現れたら、「浄化の聖水」を使って倒そう。			悪神「オーディン」はウルズの泉に封印されているはずだという。ウルズの泉に向かい、封印に変化がないかウルズの封印を調べよう。「アラガン・ソウル」が現れたら、「浄化の聖水」を使って倒そう。			悪神覚醒							
襲ってきたアラガン・ソウルを倒した。もう一度ウルズの泉のウルズの封印を調べよう。			襲ってきたアラガン・ソウルを倒した。もう一度ウルズの泉のウルズの封印を調べよう。			悪神覚醒							
切断された封印石を手に入れた。クォーリーミルに戻り「オ・アパ・ペシ」に渡そう。			切断された封印石を手に入れた。クォーリーミルに戻り「オ・アパ・ペシ」に渡そう。			悪神覚醒							
オーディンの封印は破られていたようだ。報告書をまとめている「スィミ」にも報告しよう。			オーディンの封印は破られていたようだ。報告書をまとめている「スィミ」にも報告しよう。			悪神覚醒							
スィミに報告した。彼女はさっそく報告書にまとめるようだ。			スィミに報告した。彼女はさっそく報告書にまとめるようだ。			悪神覚醒							
クォーリーミルのオ・アパ・ペシと話す			クォーリーミルのオ・アパ・ペシと話す			悪神覚醒							
ウルズの封印を調べ浄化の聖水を使ってアラガン・ソウルを討伐			ウルズの封印を調べ浄化の聖水を使ってアラガン・ソウルを討伐			悪神覚醒							
ウルズの封印から切断された封印石を入手			ウルズの封印から切断された封印石を入手			悪神覚醒							
オ・アパ・ペシに切断された封印石を渡す			オ・アパ・ペシに切断された封印石を渡す			悪神覚醒							
スィミに報告			スィミに報告			悪神覚醒							
巨大な黒き獣に乗った、漆黒の亡霊騎士……。これは、聖典において語られる伝説の悪神、「オーディン」の描写と一致する。			巨大な黒き獣に乗った、漆黒の亡霊騎士……。これは、聖典において語られる伝説の悪神、「オーディン」の描写と一致する。			悪神覚醒							
我々はこれを蛮神と考えているが……。聖典については、角尊「オ・アパ・ペシ」様がお詳しい。ご意見を伺ってきてもらえないか。			我々はこれを蛮神と考えているが……。聖典については、角尊「オ・アパ・ペシ」様がお詳しい。ご意見を伺ってきてもらえないか。			悪神覚醒							
オ・アパ・ペシ様は、現在「クォーリーミル」にいらっしゃるはず。これは重要な任務だ、よろしく頼むぞ。			オ・アパ・ペシ様は、現在「クォーリーミル」にいらっしゃるはず。これは重要な任務だ、よろしく頼むぞ。			悪神覚醒							
お、きたきた。僕は、オ・アパ・ペシ。			お、きたきた。僕は、オ・アパ・ペシ。			悪神覚醒							
あなたが噂の冒険者だね、話は聞いているよ。……悪神「オーディン」のことだよね？そろそろ来る頃じゃないかと思っていたんだ。			あなたが噂の冒険者だね、話は聞いているよ。……悪神「オーディン」のことだよね？そろそろ来る頃じゃないかと思っていたんだ。			悪神覚醒							
聖典において語られる悪神「オーディン」とは、全てを切り裂く魔剣の持ち主だ。彼はその魔剣で、多くの民と聖女「ウルズ」を殺している。			聖典において語られる悪神「オーディン」とは、全てを切り裂く魔剣の持ち主だ。彼はその魔剣で、多くの民と聖女「ウルズ」を殺している。			悪神覚醒							
だけど、それをアラグの英雄が打ち倒し、森の泉に封じたとされているんだ。……今までそれらは、おとぎ話だと考えられていた。			だけど、それをアラグの英雄が打ち倒し、森の泉に封じたとされているんだ。……今までそれらは、おとぎ話だと考えられていた。			悪神覚醒							
でも近年、アラグ帝国時代の遺跡が次々に発掘されて、悪神「オーディン」の存在が真実味を帯びてきたんだ。そんな中での亡霊騎士の目撃情報……。			でも近年、アラグ帝国時代の遺跡が次々に発掘されて、悪神「オーディン」の存在が真実味を帯びてきたんだ。そんな中での亡霊騎士の目撃情報……。			悪神覚醒							
……聖典によれば、悪神「オーディン」は黒衣森の奥、ウルズの泉で、クリスタルで厳重に覆われ、封印されている、とある。			……聖典によれば、悪神「オーディン」は黒衣森の奥、ウルズの泉で、クリスタルで厳重に覆われ、封印されている、とある。			悪神覚醒							
そして、たしかにあそこにはクリスタルがあるんだ……。冒険者さん、「ウルズの泉」に行って、クリスタルに異常がないか、確認してきてもらえないかな？			そして、たしかにあそこにはクリスタルがあるんだ……。冒険者さん、「ウルズの泉」に行って、クリスタルに異常がないか、確認してきてもらえないかな？			悪神覚醒							
ウルズの泉には、凶悪な怨霊が現れるそうだ。念のため「浄化の聖水」を渡しておくよ。怨霊……アラガン・ソウルの力を抑えることができるだろう。			ウルズの泉には、凶悪な怨霊が現れるそうだ。念のため「浄化の聖水」を渡しておくよ。怨霊……アラガン・ソウルの力を抑えることができるだろう。			悪神覚醒							
悪神「オーディン」……。おとぎ話ではなく、まさか本当に……？			悪神「オーディン」……。おとぎ話ではなく、まさか本当に……？			悪神覚醒							
泉の封印にアクションすると、亡霊が１匹popするのでアイテム使って倒す			泉の封印にアクションすると、亡霊が１匹popするのでアイテム使って倒す			悪神覚醒							
クリスタルを拾う			クリスタルを拾う			悪神覚醒							
……悪神「オーディン」を封印したと言われるクリスタル。何か異常はなかったかい？			……悪神「オーディン」を封印したと言われるクリスタル。何か異常はなかったかい？			悪神覚醒							
……かすかに魔力の名残を感じる……封印石かな？それにしても、恐ろしいほど滑らかな切断面だね。聖典に記された「魔剣」の力に違いないよ。			……かすかに魔力の名残を感じる……封印石かな？それにしても、恐ろしいほど滑らかな切断面だね。聖典に記された「魔剣」の力に違いないよ。			悪神覚醒							
噂の亡霊騎士は、間違いなく悪神「オーディン」だろう。しかし、封印を解かれたというのに、なぜ森に留まっている？……まだ、解き明かすべき謎は多いみたいだね。			噂の亡霊騎士は、間違いなく悪神「オーディン」だろう。しかし、封印を解かれたというのに、なぜ森に留まっている？……まだ、解き明かすべき謎は多いみたいだね。			悪神覚醒							
ご苦労さま、冒険者さん。この件に関しては「スィミ」が報告書をまとめている。彼女にも報告してもらえるかな？			ご苦労さま、冒険者さん。この件に関しては「スィミ」が報告書をまとめている。彼女にも報告してもらえるかな？			悪神覚醒							
悪神「オーディン」が本当に存在するとは……。「スィミ」に報告をお願いするよ。			悪神「オーディン」が本当に存在するとは……。「スィミ」に報告をお願いするよ。			悪神覚醒							
オ・アパ・ペシ様より、お話は伺っております。ウルズの泉の封印が、破られたのですね……。……早急に報告書をまとめなくては。			オ・アパ・ペシ様より、お話は伺っております。ウルズの泉の封印が、破られたのですね……。……早急に報告書をまとめなくては。			悪神覚醒							
「神勇隊司令室」へ移動しますか？			「神勇隊司令室」へ移動しますか？			悪神覚醒							
はい			はい			悪神覚醒							
いいえ			いいえ			悪神覚醒							
敵の気配を感じた！！			敵の気配を感じた！！			悪神覚醒							
神勇隊のリュウィンは、冒険者に調査を依頼したいようだ。			神勇隊のリュウィンは、冒険者に調査を依頼したいようだ。			漆黒の亡霊騎士							
黒衣森に漆黒の鎧の亡霊騎士が出るという噂が広まっているらしい。グリダニアの市街で、人々から情報を集めよう。			黒衣森に漆黒の鎧の亡霊騎士が出るという噂が広まっているらしい。グリダニアの市街で、人々から情報を集めよう。			漆黒の亡霊騎士							
亡霊騎士について情報を集めた。神勇隊司令室の「リュウィン」に報告しよう。			亡霊騎士について情報を集めた。神勇隊司令室の「リュウィン」に報告しよう。			漆黒の亡霊騎士							
リュウィンに報告した。苦渋に満ちた口ぶりのリュウィンだが……いったい、どういうことなのだろうか。			リュウィンに報告した。苦渋に満ちた口ぶりのリュウィンだが……いったい、どういうことなのだろうか。			漆黒の亡霊騎士							
グリダニアの市街で情報を集める			グリダニアの市街で情報を集める			漆黒の亡霊騎士							
神勇隊司令室のリュウィンに報告			神勇隊司令室のリュウィンに報告			漆黒の亡霊騎士							
さっそくだが、未確認の蛮神についてだ……。グリダニアでは、黒衣森に漆黒の鎧に身を包んだ、亡霊騎士が出るという噂が広がっている。			さっそくだが、未確認の蛮神についてだ……。グリダニアでは、黒衣森に漆黒の鎧に身を包んだ、亡霊騎士が出るという噂が広がっている。			漆黒の亡霊騎士							
ただの怪談話なら、我々で対処できるのだが、今回の噂は事情が違っていてな……。			ただの怪談話なら、我々で対処できるのだが、今回の噂は事情が違っていてな……。			漆黒の亡霊騎士							
なぜなら……いや、やめよう。まずは冷静な第三者の意見を聞きたい。目撃者から事情聴取をしてきてくれないか。			なぜなら……いや、やめよう。まずは冷静な第三者の意見を聞きたい。目撃者から事情聴取をしてきてくれないか。			漆黒の亡霊騎士							
亡霊騎士……ああ、見たな。上から下までを漆黒の鎧で固めて、森の中を我が物顔で闊歩していたのだ。			亡霊騎士……ああ、見たな。上から下までを漆黒の鎧で固めて、森の中を我が物顔で闊歩していたのだ。			漆黒の亡霊騎士							
情けないことだが……あのときは恐ろしさで足が震えてしまった。森の樹木ですら、恐れをなしてるように見えたくらいだ。			情けないことだが……あのときは恐ろしさで足が震えてしまった。森の樹木ですら、恐れをなしてるように見えたくらいだ。			漆黒の亡霊騎士							
ぶるぶるぶる……恐ろしいんだな……。森の中、真っ黒な騎士を見たんだな……。			ぶるぶるぶる……恐ろしいんだな……。森の中、真っ黒な騎士を見たんだな……。			漆黒の亡霊騎士							
黒くて巨大な獣を駆る、その不気味な姿……！きっと、森によくないことが起きる前兆なんだな。精霊様がお怒りなのかな……。			黒くて巨大な獣を駆る、その不気味な姿……！きっと、森によくないことが起きる前兆なんだな。精霊様がお怒りなのかな……。			漆黒の亡霊騎士							
……亡霊騎士だろ、ああ、この目で見たよ。チョコボやアンテロープとはまったく違う、大きな黒い獣に乗った騎士……あれは幽霊なんかじゃないさ。			……亡霊騎士だろ、ああ、この目で見たよ。チョコボやアンテロープとはまったく違う、大きな黒い獣に乗った騎士……あれは幽霊なんかじゃないさ。			漆黒の亡霊騎士							
森に現れたあの漆黒の鎧の騎士、……あれはきっと良くないものだ。			森に現れたあの漆黒の鎧の騎士、……あれはきっと良くないものだ。			漆黒の亡霊騎士							
あんなに大きく、禍々しい剣を持った者が、害をなさないわけがない……。……我々鬼哭隊が束になっても、おそらく敵わんだろう。			あんなに大きく、禍々しい剣を持った者が、害をなさないわけがない……。……我々鬼哭隊が束になっても、おそらく敵わんだろう。			漆黒の亡霊騎士							
……なるほどな。巨大な黒い獣にまたがった、漆黒の鎧の騎士……か。……残念だが、我々の推測が当たってしまったようだ。			……なるほどな。巨大な黒い獣にまたがった、漆黒の鎧の騎士……か。……残念だが、我々の推測が当たってしまったようだ。			漆黒の亡霊騎士							
「神勇隊司令室」へ移動しますか？			「神勇隊司令室」へ移動しますか？			漆黒の亡霊騎士							
はい			はい			漆黒の亡霊騎士							
いいえ			いいえ			漆黒の亡霊騎士							
ミンフィリアは三国首領会議の動向を心配しているようだ。			ミンフィリアは三国首領会議の動向を心配しているようだ。			エオルゼアの明日のために							
ミンフィリアは三国首領会議に意見したいようだ。「ロイヤル・プロムナード」の「バーソロミュー」と話して、中に入れてもらおう。			ミンフィリアは三国首領会議に意見したいようだ。「ロイヤル・プロムナード」の「バーソロミュー」と話して、中に入れてもらおう。			エオルゼアの明日のために							
会議は前向きに進みそうだ。ベスパーベイの砂の家に戻り「ミンフィリア」と話そう。			会議は前向きに進みそうだ。ベスパーベイの砂の家に戻り「ミンフィリア」と話そう。			エオルゼアの明日のために							
ミンフィリアと話すことができた。問題はまだ多くあるが、このエオルゼアを救済するために戦おう。			ミンフィリアと話すことができた。問題はまだ多くあるが、このエオルゼアを救済するために戦おう。			エオルゼアの明日のために							
ロイヤル・プロムナードのバーソロミューと話す			ロイヤル・プロムナードのバーソロミューと話す			エオルゼアの明日のために							
砂の家のミンフィリアと話す			砂の家のミンフィリアと話す			エオルゼアの明日のために							
バルデシオン委員会に連絡をとったわ。すでにガレマール帝国から、エオルゼアの各首領のもとへ最終通告が行われたそうよ。			バルデシオン委員会に連絡をとったわ。すでにガレマール帝国から、エオルゼアの各首領のもとへ最終通告が行われたそうよ。			エオルゼアの明日のために							
ここウルダハの「香煙の間」で、三国首領による会談が行われているようだけれど、委員会に居る知人の話によれば、状況は良くないわ……。			ここウルダハの「香煙の間」で、三国首領による会談が行われているようだけれど、委員会に居る知人の話によれば、状況は良くないわ……。			エオルゼアの明日のために							
時間がないわ、急いで首領たちのところへ行きましょう。……話し合いの結論が出る前に、エオルゼアの牙が折れていないと伝えなきゃ！			時間がないわ、急いで首領たちのところへ行きましょう。……話し合いの結論が出る前に、エオルゼアの牙が折れていないと伝えなきゃ！			エオルゼアの明日のために							
ここから先は、王宮へと続くロイヤル・プロムナード。現在は緊急会議中である。すみやかにお引き取り願おう。			ここから先は、王宮へと続くロイヤル・プロムナード。現在は緊急会議中である。すみやかにお引き取り願おう。			エオルゼアの明日のために							
……えッ、「暁」から緊急の用件が！？し、失礼しましたッ！それでは「香煙の間」へご案内いたします。			……えッ、「暁」から緊急の用件が！？し、失礼しましたッ！それでは「香煙の間」へご案内いたします。			エオルゼアの明日のために							
これでは話が平行線だな。			これでは話が平行線だな。			エオルゼアの明日のために							
帝国軍第XIV軍団長、ガイウスから、我々に届けられた書簡……。			帝国軍第XIV軍団長、ガイウスから、我々に届けられた書簡……。			エオルゼアの明日のために							
それに対し、私たちが出すべき結論……。			それに対し、私たちが出すべき結論……。			エオルゼアの明日のために							
アルテマウェポンを持つ帝国軍の前に、屈するのか……あくまで戦うのか……。			アルテマウェポンを持つ帝国軍の前に、屈するのか……あくまで戦うのか……。			エオルゼアの明日のために							
