「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			「暁の血盟」のラドルフは、冒険者に頼みたいことがあるようだ。			スカルバレーの女丈夫							
サハギン族を牽制する必要がある。キャンプ・スカルバレーの黒渦団員「ファルクブリダ中甲佐」と話そう。			サハギン族を牽制する必要がある。キャンプ・スカルバレーの黒渦団員「ファルクブリダ中甲佐」と話そう。			スカルバレーの女丈夫							
ファルクブリダ中甲佐は冒険者の協力を歓迎しているようだ。サハギンの牽制とは、どんな作戦だろうか。			ファルクブリダ中甲佐は冒険者の協力を歓迎しているようだ。サハギンの牽制とは、どんな作戦だろうか。			スカルバレーの女丈夫							
キャンプ・スカルバレーのファルクブリダ中甲佐と話す			キャンプ・スカルバレーのファルクブリダ中甲佐と話す			スカルバレーの女丈夫							
Forename、あんたに頼みがある。サハギン族の牽制に手を貸してくれないか。			Forename、あんたに頼みがある。サハギン族の牽制に手を貸してくれないか。			スカルバレーの女丈夫							
「暁の血盟」が抱えている問題に専念するために、後顧の憂いを断っておきたいんだ。			「暁の血盟」が抱えている問題に専念するために、後顧の憂いを断っておきたいんだ。			スカルバレーの女丈夫							
ちょうど「黒渦団」からも応援の要請が来ているんだ。エールポート北西の「キャンプ・スカルバレー」に向かって隊長である「ファルクブリダ中甲佐」と話してくれよ。			ちょうど「黒渦団」からも応援の要請が来ているんだ。エールポート北西の「キャンプ・スカルバレー」に向かって隊長である「ファルクブリダ中甲佐」と話してくれよ。			スカルバレーの女丈夫							
いかにも、私が「黒渦団」のファルクブリダだ。「暁」の寄越した凄腕の冒険者とは貴公か？協力感謝する。			いかにも、私が「黒渦団」のファルクブリダだ。「暁」の寄越した凄腕の冒険者とは貴公か？協力感謝する。			スカルバレーの女丈夫							
このキャンプ・スカルバレーは、仇敵サハギン族の勢力圏から目と鼻の先。奴らの侵攻を食い止める水際防衛線なのだ。			このキャンプ・スカルバレーは、仇敵サハギン族の勢力圏から目と鼻の先。奴らの侵攻を食い止める水際防衛線なのだ。			スカルバレーの女丈夫							
スカルバレーの黒渦団員ファルクブリダ中甲佐は、冒険者に依頼したいことがあるようだ。			スカルバレーの黒渦団員ファルクブリダ中甲佐は、冒険者に依頼したいことがあるようだ。			クリスタル運搬作戦							
クリスタル輸送の護衛を依頼された。まずはエールポートに向かい「ウルツ・コグルツ少甲士」から詳しい話を聞こう。			クリスタル輸送の護衛を依頼された。まずはエールポートに向かい「ウルツ・コグルツ少甲士」から詳しい話を聞こう。			クリスタル運搬作戦							
ウルツ・コグルツ少甲士と話した。エールポートの「ドーソン」に話しかけて、彼を手伝おう。			ウルツ・コグルツ少甲士と話した。エールポートの「ドーソン」に話しかけて、彼を手伝おう。			クリスタル運搬作戦							
積荷を整理するため、波止場に置かれた黒渦団の補給物資を入手しよう。			積荷を整理するため、波止場に置かれた黒渦団の補給物資を入手しよう。			クリスタル運搬作戦							
桟橋の物資置場まで運ぼう。			桟橋の物資置場まで運ぼう。			クリスタル運搬作戦							
黒渦団の補給物資を運んだ。波止場に置かれた黒渦団の補給物資を入手しよう。			黒渦団の補給物資を運んだ。波止場に置かれた黒渦団の補給物資を入手しよう。			クリスタル運搬作戦							
桟橋の物資置場に運ぼう。			桟橋の物資置場に運ぼう。			クリスタル運搬作戦							
黒渦団の補給物資を運んだ。波止場に置かれた黒渦団の補給物資を入手しよう。			黒渦団の補給物資を運んだ。波止場に置かれた黒渦団の補給物資を入手しよう。			クリスタル運搬作戦							
桟橋の物資置場に運ぼう。			桟橋の物資置場に運ぼう。			クリスタル運搬作戦							
黒渦団の補給物資を運んだ。エールポートの「ドーソン」に報告しよう。			黒渦団の補給物資を運んだ。エールポートの「ドーソン」に報告しよう。			クリスタル運搬作戦							
ドーソンに報告した。彼はメルヴァン税関公社の役人で、今回の任務における現場主任であるらしい。エールポートの黒渦団員「ウルツ・コグルツ少甲士」に報告しよう。			ドーソンに報告した。彼はメルヴァン税関公社の役人で、今回の任務における現場主任であるらしい。エールポートの黒渦団員「ウルツ・コグルツ少甲士」に報告しよう。			クリスタル運搬作戦							
貨物船が来たら、速やかに荷を積みこんで出港させる予定だという。なにがあってもいいように、今のうちに準備を整えておこう。			貨物船が来たら、速やかに荷を積みこんで出港させる予定だという。なにがあってもいいように、今のうちに準備を整えておこう。			クリスタル運搬作戦							
エールポートのウルツ・コグルツ少甲士と話す			エールポートのウルツ・コグルツ少甲士と話す			クリスタル運搬作戦							
ドーソンと話す			ドーソンと話す			クリスタル運搬作戦							
黒渦団の補給物資を入手			黒渦団の補給物資を入手			クリスタル運搬作戦							
黒渦団の補給物資を物資置場に運ぶ			黒渦団の補給物資を物資置場に運ぶ			クリスタル運搬作戦							
黒渦団の補給物資を入手			黒渦団の補給物資を入手			クリスタル運搬作戦							
黒渦団の補給物資を物資置場に運ぶ			黒渦団の補給物資を物資置場に運ぶ			クリスタル運搬作戦							
黒渦団の補給物資を入手			黒渦団の補給物資を入手			クリスタル運搬作戦							
黒渦団の補給物資を物資置場に運ぶ			黒渦団の補給物資を物資置場に運ぶ			クリスタル運搬作戦							
ドーソンと話す			ドーソンと話す			クリスタル運搬作戦							
ウルツ・コグルツ少甲士に報告			ウルツ・コグルツ少甲士に報告			クリスタル運搬作戦							
さっそくだが、貴公に頼みたい仕事について説明しよう。間もなく、この先の港町エールポートに、1隻の輸送船が寄航する予定になっている。			さっそくだが、貴公に頼みたい仕事について説明しよう。間もなく、この先の港町エールポートに、1隻の輸送船が寄航する予定になっている。			クリスタル運搬作戦							
船の荷は「幻影諸島」で採掘されたクリスタル。エールポートで船員の乗り換えと物資補給を行い、その足で黒渦団の輸送部隊へ引き渡しに向かう予定だ。			船の荷は「幻影諸島」で採掘されたクリスタル。エールポートで船員の乗り換えと物資補給を行い、その足で黒渦団の輸送部隊へ引き渡しに向かう予定だ。			クリスタル運搬作戦							
しかし、どこからかこの情報が漏れたらしく、サハギン族に嗅ぎつけられたのだ。			しかし、どこからかこの情報が漏れたらしく、サハギン族に嗅ぎつけられたのだ。			クリスタル運搬作戦							
もしサハギン族にクリスタルを奪われたら、蛮神「リヴァイアサン」復活への足がかりになってしまう。なんとしても阻止せねばならない。			もしサハギン族にクリスタルを奪われたら、蛮神「リヴァイアサン」復活への足がかりになってしまう。なんとしても阻止せねばならない。			クリスタル運搬作戦							
貴公の任務は船を護衛し、クリスタルを守ることだ。詳細は「エールポート」にいる私の部下、「ウルツ・コグルツ少甲士」に聞いてくれたまえ。			貴公の任務は船を護衛し、クリスタルを守ることだ。詳細は「エールポート」にいる私の部下、「ウルツ・コグルツ少甲士」に聞いてくれたまえ。			クリスタル運搬作戦							
おお、君が「暁」から派遣された冒険者か！……船の到着には、まだ少しかかるようだ。			おお、君が「暁」から派遣された冒険者か！……船の到着には、まだ少しかかるようだ。			クリスタル運搬作戦							
サハギン族に攻撃の隙を与えぬよう、船が到着次第、速やかに荷造りを完了したい。桟橋に行って積荷の整理を手伝ってくれないか。			サハギン族に攻撃の隙を与えぬよう、船が到着次第、速やかに荷造りを完了したい。桟橋に行って積荷の整理を手伝ってくれないか。			クリスタル運搬作戦							
……アンタ、何者だ？んー、護衛に雇われた冒険者だって？あ～あ～そうだったそうだった、忘れてたぜ、がはは……。			……アンタ、何者だ？んー、護衛に雇われた冒険者だって？あ～あ～そうだったそうだった、忘れてたぜ、がはは……。			クリスタル運搬作戦							
船が到着したら、荷物をすぐにでも積みこめるように、波止場に集積してある荷物を、この桟橋まで持ってきてくれねぇかな？			船が到着したら、荷物をすぐにでも積みこめるように、波止場に集積してある荷物を、この桟橋まで持ってきてくれねぇかな？			クリスタル運搬作戦							
荷物をA地点からB地点に運ぶ。一回目。			荷物をA地点からB地点に運ぶ。一回目。			クリスタル運搬作戦							
荷物をA地点からB地点に運ぶ。二回目。			荷物をA地点からB地点に運ぶ。二回目。			クリスタル運搬作戦							
荷物をA地点からB地点に運ぶ。三回目。			荷物をA地点からB地点に運ぶ。三回目。			クリスタル運搬作戦							
