聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			聖フィネア連隊の露営地のエスティニアンは、異端者を呼びつけたいようだ。			千年の裏切り							
エスティニアンと話した。彼とアルフィノが薪を採ってくる間に、冒険者はヤクの毛皮を集めることになった。クルザス西部高地の「ウーリーヤク」から、「ヤクの毛皮」を2個入手しよう。			エスティニアンと話した。彼とアルフィノが薪を採ってくる間に、冒険者はヤクの毛皮を集めることになった。クルザス西部高地の「ウーリーヤク」から、「ヤクの毛皮」を2個入手しよう。			千年の裏切り							
ヤクの毛皮を入手した。クルザス西部高地の臥竜島の北にいる「エスティニアン」に「ヤクの毛皮」を渡そう。			ヤクの毛皮を入手した。クルザス西部高地の臥竜島の北にいる「エスティニアン」に「ヤクの毛皮」を渡そう。			千年の裏切り							
集めた素材を使って紫色の狼煙を上げると、イゼルが姿を現した。イゼルから1000年前の出来事を、エスティニアンからニーズヘッグの目的を聞いた一行は、フレースヴェルグとの対話を目指すことになった。イゼルの協力を得て、争いを止めようとする冒険者の意思に反応し、氷属性の光のクリスタルが輝きを取り戻すのだった……。			集めた素材を使って紫色の狼煙を上げると、イゼルが姿を現した。イゼルから1000年前の出来事を、エスティニアンからニーズヘッグの目的を聞いた一行は、フレースヴェルグとの対話を目指すことになった。イゼルの協力を得て、争いを止めようとする冒険者の意思に反応し、氷属性の光のクリスタルが輝きを取り戻すのだった……。			千年の裏切り							
ウーリーヤクからヤクの毛皮を入手			ウーリーヤクからヤクの毛皮を入手			千年の裏切り							
エスティニアンにヤクの毛皮を渡す			エスティニアンにヤクの毛皮を渡す			千年の裏切り							
異端者どもと接触するための合図は、「紫色の煙」だったな……。			異端者どもと接触するための合図は、「紫色の煙」だったな……。			千年の裏切り							
それなら、この辺りの魔物を狩るか……。薪に混ぜて、ウーリーヤクの毛皮を燃やすと、紫色の煙が立ち上ると聞いたことがある。			それなら、この辺りの魔物を狩るか……。薪に混ぜて、ウーリーヤクの毛皮を燃やすと、紫色の煙が立ち上ると聞いたことがある。			千年の裏切り							
Forename、お前は毛皮を手に入れてくれ。「ヤクの毛皮」が2体分もあれば十分だろう。			Forename、お前は毛皮を手に入れてくれ。「ヤクの毛皮」が2体分もあれば十分だろう。			千年の裏切り							
アルフィノ、あんたは俺と一緒に薪拾いだ。この雪原じゃあ、薪を集めることさえ一苦労だからな。では、後ほど「臥竜島」で合流しよう。			アルフィノ、あんたは俺と一緒に薪拾いだ。この雪原じゃあ、薪を集めることさえ一苦労だからな。では、後ほど「臥竜島」で合流しよう。			千年の裏切り							
このような手段で、異端者が仲間を獲得していたとは……。ともかく、狼煙を利用してみるしかなさそうだな。			このような手段で、異端者が仲間を獲得していたとは……。ともかく、狼煙を利用してみるしかなさそうだな。			千年の裏切り							
