あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			あんたが持っているソレは……。もしかして、ミリスの「探検手帳」じゃないか？			蒼天の探検手帳							
……そうか、あんたのことはミリスから聞いてるぜ。俺は、ケスター・アイアンハート。ミリスの従兄で、探検家だ。			……そうか、あんたのことはミリスから聞いてるぜ。俺は、ケスター・アイアンハート。ミリスの従兄で、探検家だ。			蒼天の探検手帳							
ミリスが探検の手ほどきをしたっていうのなら、俺も協力しないわけにはいかないな。……どれ、あんたの「探検手帳」を貸してみてくれ。			ミリスが探検の手ほどきをしたっていうのなら、俺も協力しないわけにはいかないな。……どれ、あんたの「探検手帳」を貸してみてくれ。			蒼天の探検手帳							
ちょちょいっと、こうして……。よし、これで完成だ！			ちょちょいっと、こうして……。よし、これで完成だ！			蒼天の探検手帳							
あんたの「探検手帳」に、項目を追加しといたぜ。ついでに、俺がこの辺りで集めた、名所や秘境の情報、噂話の類いまで書いておいた。			あんたの「探検手帳」に、項目を追加しといたぜ。ついでに、俺がこの辺りで集めた、名所や秘境の情報、噂話の類いまで書いておいた。			蒼天の探検手帳							
ただ、俺が仕入れた情報の中には、とても人の足だけじゃ、到達できそうにねえ場所もある。黒チョコボやら何やらを、駆使する必要があるってことだ。			ただ、俺が仕入れた情報の中には、とても人の足だけじゃ、到達できそうにねえ場所もある。黒チョコボやら何やらを、駆使する必要があるってことだ。			蒼天の探検手帳							
……っと、これ以上の助言は野暮ってもんか。さあ、情報を頼りに、さらなる探検を楽しんでくれ。そして、その「探検手帳」に新しい「今」を記録してこい！			……っと、これ以上の助言は野暮ってもんか。さあ、情報を頼りに、さらなる探検を楽しんでくれ。そして、その「探検手帳」に新しい「今」を記録してこい！			蒼天の探検手帳							
「探検手帳」に「蒼天編」の項目が追加されました！			「探検手帳」に「蒼天編」の項目が追加されました！			蒼天の探検手帳							
「蒼天編」は、レベル50以上の全てのクラス・ジョブで、目的地の条件を達成することができ、達成時には、経験値を獲得することができます。			「蒼天編」は、レベル50以上の全てのクラス・ジョブで、目的地の条件を達成することができ、達成時には、経験値を獲得することができます。			蒼天の探検手帳							
かぎられた情報から、該当する場所や諸条件を予測し、新たな項目を埋めていきましょう！			かぎられた情報から、該当する場所や諸条件を予測し、新たな項目を埋めていきましょう！			蒼天の探検手帳							
俺は探検家をやってるんだが、この辺りの見どころは、ちょっとややこしい場所が多いぜ。経験を積んだ冒険者なら、到達も不可能ではねえだろうがな。			俺は探検家をやってるんだが、この辺りの見どころは、ちょっとややこしい場所が多いぜ。経験を積んだ冒険者なら、到達も不可能ではねえだろうがな。			蒼天の探検手帳							
本クエストを進行するためには、いずれかのクラス・ジョブが、レベル52以上である必要があります。			本クエストを進行するためには、いずれかのクラス・ジョブが、レベル52以上である必要があります。			蒼天の探検手帳							
臥竜島のイゼルは、高地ドラヴァニアに向けて出発したいようだ。			臥竜島のイゼルは、高地ドラヴァニアに向けて出発したいようだ。			対話への旅路							
イゼルと話した。ともに「高地ドラヴァニア」へ向かおう。			イゼルと話した。ともに「高地ドラヴァニア」へ向かおう。			対話への旅路							
