忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			忘れられた騎士亭のエティエーヌは、冒険者に興味があるようだ。			イシュガルドのモブハント（初級）							
エティエーヌから、イシュガルドでの「モブハント」制度を紹介された。詳細な説明を受けるため、忘れられた騎士亭の「アルドラン」と話そう。			エティエーヌから、イシュガルドでの「モブハント」制度を紹介された。詳細な説明を受けるため、忘れられた騎士亭の「アルドラン」と話そう。			イシュガルドのモブハント（初級）							
アルドランから「モブハント」制度に関する説明を受けた。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			アルドランから「モブハント」制度に関する説明を受けた。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			イシュガルドのモブハント（初級）							
「セントリオボード」から「クラン・モブ手配書：初級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			「セントリオボード」から「クラン・モブ手配書：初級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			イシュガルドのモブハント（初級）							
アルドランと話す			アルドランと話す			イシュガルドのモブハント（初級）							
セントリオボードを調べる			セントリオボードを調べる			イシュガルドのモブハント（初級）							
フォフォフォ……。お主、名うての冒険者とお見受けする。			フォフォフォ……。お主、名うての冒険者とお見受けする。			イシュガルドのモブハント（初級）							
ワシらは「クラン・セントリオ」。ここイシュガルドを拠点に、活動する一種の傭兵団じゃ。			ワシらは「クラン・セントリオ」。ここイシュガルドを拠点に、活動する一種の傭兵団じゃ。			イシュガルドのモブハント（初級）							
お主は、「モブ」を知っておるな？エオルゼア都市軍事同盟が指定した脅威のことじゃ。あの制度に倣い、ワシらも独自に「モブ」を指定しておってな。			お主は、「モブ」を知っておるな？エオルゼア都市軍事同盟が指定した脅威のことじゃ。あの制度に倣い、ワシらも独自に「モブ」を指定しておってな。			イシュガルドのモブハント（初級）							
どうじゃろう、お主も「モブハント」に参加してみんか？興味があるなら、階下におる「アルドラン」に、話を聞いてみるといい。			どうじゃろう、お主も「モブハント」に参加してみんか？興味があるなら、階下におる「アルドラン」に、話を聞いてみるといい。			イシュガルドのモブハント（初級）							
どうじゃろう、お主も「モブハント」に参加してみんか？興味があるなら、階下におる「アルドラン」に、話を聞いてみるといい。			どうじゃろう、お主も「モブハント」に参加してみんか？興味があるなら、階下におる「アルドラン」に、話を聞いてみるといい。			イシュガルドのモブハント（初級）							
何だい、あんたは？……俺に何か用でも？			何だい、あんたは？……俺に何か用でも？			イシュガルドのモブハント（初級）							
ほう、あのエティエーヌに見込まれるとはな。そういうことなら、説明しようか。			ほう、あのエティエーヌに見込まれるとはな。そういうことなら、説明しようか。			イシュガルドのモブハント（初級）							
俺たちは「クラン・セントリオ」。ローダストっていう名のイシュガルド貴族の下に集った、魔物退治を生業にしてる傭兵の集まりさ。			俺たちは「クラン・セントリオ」。ローダストっていう名のイシュガルド貴族の下に集った、魔物退治を生業にしてる傭兵の集まりさ。			イシュガルドのモブハント（初級）							
所属するクラン員は、出身も種族もてんでバラバラ。かくいう俺も、あんたと同じでイシュガルド人じゃあない。			所属するクラン員は、出身も種族もてんでバラバラ。かくいう俺も、あんたと同じでイシュガルド人じゃあない。			イシュガルドのモブハント（初級）							
腕に覚えがあるなら、ウチの準クラン員にならないか？なに、俺たちが請け負った魔物退治の仕事……つまり「モブハント」を成功させれば、報酬は支払うからよ。			腕に覚えがあるなら、ウチの準クラン員にならないか？なに、俺たちが請け負った魔物退治の仕事……つまり「モブハント」を成功させれば、報酬は支払うからよ。			イシュガルドのモブハント（初級）							
そんで、あんたの名は？……Forenameだな。それじゃあ、準クラン員として登録しておこう。			そんで、あんたの名は？……Forenameだな。それじゃあ、準クラン員として登録しておこう。			イシュガルドのモブハント（初級）							
請け負ったモブハントの依頼は、酒場の表にある「セントリオボード」に、随時掲示していく。まぁ、最初は比較的簡単な「初級」に挑戦するといいさ。			請け負ったモブハントの依頼は、酒場の表にある「セントリオボード」に、随時掲示していく。まぁ、最初は比較的簡単な「初級」に挑戦するといいさ。			イシュガルドのモブハント（初級）							
