エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			エーテライト・プラザのムジ・ミュリラーのもとに新たな依頼が届いたようだ。			連載第二回「マメが繋ぐ交流の芽」							
イシュガルドの園芸師バジールから依頼が届いたらしい。アバラシア雲海のキャンプ・クラウドトップにいる「バジール」と話そう。			イシュガルドの園芸師バジールから依頼が届いたらしい。アバラシア雲海のキャンプ・クラウドトップにいる「バジール」と話そう。			連載第二回「マメが繋ぐ交流の芽」							
バジールは、土壌改良に役立つ作物を探しているそうだ。グリダニアの園芸師ギルドにいる「フフチャ」に相談しよう。			バジールは、土壌改良に役立つ作物を探しているそうだ。グリダニアの園芸師ギルドにいる「フフチャ」に相談しよう。			連載第二回「マメが繋ぐ交流の芽」							
フフチャによると、シュラウドベッチを高地に適した品種と交雑させれば、望む品種が誕生するかもしれないそうだ。現地の気候に詳しい専門家を探すため、イシュガルドのエーテライト・プラザにいる「ムジ・ミュリラー」と話そう。			フフチャによると、シュラウドベッチを高地に適した品種と交雑させれば、望む品種が誕生するかもしれないそうだ。現地の気候に詳しい専門家を探すため、イシュガルドのエーテライト・プラザにいる「ムジ・ミュリラー」と話そう。			連載第二回「マメが繋ぐ交流の芽」							
ムジ・ミュリラーが、イシュガルドの本草学者を呼び出してくれることになった。イシュガルドの聖レマノー大聖堂にいる本草学者「マルティノー」と話そう。			ムジ・ミュリラーが、イシュガルドの本草学者を呼び出してくれることになった。イシュガルドの聖レマノー大聖堂にいる本草学者「マルティノー」と話そう。			連載第二回「マメが繋ぐ交流の芽」							
マルティノーによると、シュラウドベッチと、エメラルドビーンを交雑すれば、望む品種が得られるらしい。「エメラルドビーン」を10個調達し、キャンプ・クラウドトップの「バジール」に納品しよう。エメラルドビーンは、ドラヴァニア雲海の草刈場で草刈できる。			マルティノーによると、シュラウドベッチと、エメラルドビーンを交雑すれば、望む品種が得られるらしい。「エメラルドビーン」を10個調達し、キャンプ・クラウドトップの「バジール」に納品しよう。エメラルドビーンは、ドラヴァニア雲海の草刈場で草刈できる。			連載第二回「マメが繋ぐ交流の芽」							
バジールにエメラルドビーンを納品した。ムジ・ミュリラーが冒険者と会いたがっているようだ。イシュガルドのエーテライト・プラザにいる「ムジ・ミュリラー」に報告しよう。			バジールにエメラルドビーンを納品した。ムジ・ミュリラーが冒険者と会いたがっているようだ。イシュガルドのエーテライト・プラザにいる「ムジ・ミュリラー」に報告しよう。			連載第二回「マメが繋ぐ交流の芽」							
ムジ・ミュリラーの書く記事も好調なようだ。新たなバジールからの依頼に備えて、園芸師の腕を磨いておこう。※園芸師のレベルが58以上になると、イシュガルドのエーテライト・プラザにいるムジ・ミュリラーから次の園芸師クエストを受注することができます。			ムジ・ミュリラーの書く記事も好調なようだ。新たなバジールからの依頼に備えて、園芸師の腕を磨いておこう。※園芸師のレベルが58以上になると、イシュガルドのエーテライト・プラザにいるムジ・ミュリラーから次の園芸師クエストを受注することができます。			連載第二回「マメが繋ぐ交流の芽」							
キャンプ・クラウドトップのバジールと話す			キャンプ・クラウドトップのバジールと話す			連載第二回「マメが繋ぐ交流の芽」							
園芸師ギルドのフフチャと話す			園芸師ギルドのフフチャと話す			連載第二回「マメが繋ぐ交流の芽」							
イシュガルドのムジ・ミュリラーと話す			イシュガルドのムジ・ミュリラーと話す			連載第二回「マメが繋ぐ交流の芽」							
聖レマノー大聖堂のマルティノーと話す			聖レマノー大聖堂のマルティノーと話す			連載第二回「マメが繋ぐ交流の芽」							
