忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			忘れられた騎士亭前のユステシアは、冒険者に興味があるようだ。			イシュガルドのモブハント（中級）							
ユステシアから、「クラン・モブハント：中級」の仕事を紹介された。詳細な説明を受けるため、忘れられた騎士亭の「アルドラン」と話そう。			ユステシアから、「クラン・モブハント：中級」の仕事を紹介された。詳細な説明を受けるため、忘れられた騎士亭の「アルドラン」と話そう。			イシュガルドのモブハント（中級）							
アルドランに話したところ、「クラン・モブハント：中級」の手配書を回してもらえるようになった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			アルドランに話したところ、「クラン・モブハント：中級」の手配書を回してもらえるようになった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			イシュガルドのモブハント（中級）							
「セントリオボード」から「クラン・モブ手配書：中級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			「セントリオボード」から「クラン・モブ手配書：中級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			イシュガルドのモブハント（中級）							
アルドランと話す			アルドランと話す			イシュガルドのモブハント（中級）							
セントリオボードを調べる			セントリオボードを調べる			イシュガルドのモブハント（中級）							
君が、Forename？ふぅん……エティエーヌ爺さんの言うとおり、いい目をしてるわね。			君が、Forename？ふぅん……エティエーヌ爺さんの言うとおり、いい目をしてるわね。			イシュガルドのモブハント（中級）							
そろそろ、初級の仕事じゃ、物足りなくなってるんじゃない？だったら、もっと難しい「中級」に挑んでみるべきよ。詳細は、「アルドラン」に聞いてみるといいわ。			そろそろ、初級の仕事じゃ、物足りなくなってるんじゃない？だったら、もっと難しい「中級」に挑んでみるべきよ。詳細は、「アルドラン」に聞いてみるといいわ。			イシュガルドのモブハント（中級）							
そろそろ、初級の仕事じゃ、物足りなくなってるんじゃない？だったら、もっと難しい「中級」に挑んでみるべきよ。詳細は、「アルドラン」に聞いてみるといいわ。			そろそろ、初級の仕事じゃ、物足りなくなってるんじゃない？だったら、もっと難しい「中級」に挑んでみるべきよ。詳細は、「アルドラン」に聞いてみるといいわ。			イシュガルドのモブハント（中級）							
ユステシアから「中級」の仕事を紹介されたって？ふむ、お嬢が勧めたってことは、問題なさそうだな……。いいだろう、手配書を回してやるよ。			ユステシアから「中級」の仕事を紹介されたって？ふむ、お嬢が勧めたってことは、問題なさそうだな……。いいだろう、手配書を回してやるよ。			イシュガルドのモブハント（中級）							
……だが、当然ながら、「初級」よりは手強いぜ？覚悟ができたら、表の「セントリオボード」から、「クラン・モブ手配書：中級」を選んで持っていきな。			……だが、当然ながら、「初級」よりは手強いぜ？覚悟ができたら、表の「セントリオボード」から、「クラン・モブ手配書：中級」を選んで持っていきな。			イシュガルドのモブハント（中級）							
