テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			テイルフェザーのエルヴォワは、とても面倒そうな案件を抱えているようだ。			口より手を							
エルヴォワは、先輩に魔物討伐を依頼されたようだ。高地ドラヴァニアのチョコボの森の南東にある高台で、「チョコボトラップ」を3体討伐しよう。			エルヴォワは、先輩に魔物討伐を依頼されたようだ。高地ドラヴァニアのチョコボの森の南東にある高台で、「チョコボトラップ」を3体討伐しよう。			口より手を							
チョコボトラップを討伐した。テイルフェザーの「エルヴォワ」に報告しよう。			チョコボトラップを討伐した。テイルフェザーの「エルヴォワ」に報告しよう。			口より手を							
エルヴォワに報告した。報酬は、先輩への報告後にもらえるようだ。テイルフェザーの「オ・ベン・ティア」に、エルヴォワと一緒に成果を報告しよう。			エルヴォワに報告した。報酬は、先輩への報告後にもらえるようだ。テイルフェザーの「オ・ベン・ティア」に、エルヴォワと一緒に成果を報告しよう。			口より手を							
オ・ベン・ティアに報告した。エルヴォワがもらったのはご褒美でなく、次の指示書だったようだ。テイルフェザーの元の場所で、「エルヴォワ」と合流しよう。			オ・ベン・ティアに報告した。エルヴォワがもらったのはご褒美でなく、次の指示書だったようだ。テイルフェザーの元の場所で、「エルヴォワ」と合流しよう。			口より手を							
エルヴォワと合流した。彼はオ・ベン・ティアから雑用をまたしても任されたことに、とても不満を感じているようだが……。			エルヴォワと合流した。彼はオ・ベン・ティアから雑用をまたしても任されたことに、とても不満を感じているようだが……。			口より手を							
チョコボの森の南東でチョコボトラップを討伐			チョコボの森の南東でチョコボトラップを討伐			口より手を							
エルヴォワに報告			エルヴォワに報告			口より手を							
オ・ベン・ティアに報告			オ・ベン・ティアに報告			口より手を							
エルヴォワと合流			エルヴォワと合流			口より手を							
あなた、冒険者さんっすよね……？ちょっとお願いしたいことがあるんすけど、頼まれてくれませんか？			あなた、冒険者さんっすよね……？ちょっとお願いしたいことがあるんすけど、頼まれてくれませんか？			口より手を							
チョコボを襲う、「チョコボトラップ」って魔物がいるんす。先輩たちが、まめに駆除してるんすけど、さっき、南東にあるキャンプの高台に現れちゃったみたいで……。			チョコボを襲う、「チョコボトラップ」って魔物がいるんす。先輩たちが、まめに駆除してるんすけど、さっき、南東にあるキャンプの高台に現れちゃったみたいで……。			口より手を							
そしたら、ひどいんすよ。相方の先輩が、俺に「魔物を狩ってこい」って言ったんです。そんなの、チョコボ猟師の仕事じゃないっすよ……。			そしたら、ひどいんすよ。相方の先輩が、俺に「魔物を狩ってこい」って言ったんです。そんなの、チョコボ猟師の仕事じゃないっすよ……。			口より手を							
でも、冒険者さんはそういうの得意っすよね？少しなら報酬も出せますから、代わりにやってくれません？			でも、冒険者さんはそういうの得意っすよね？少しなら報酬も出せますから、代わりにやってくれません？			口より手を							
ありがとうっす！魔物が出た高台は、ここから南東に行くとあります。お礼はするんで、よろしくお願いしやっす！			ありがとうっす！魔物が出た高台は、ここから南東に行くとあります。お礼はするんで、よろしくお願いしやっす！			口より手を							
魔物が出た高台は、ここから南東に行くとあります。お礼はするんで、よろしくお願いしやっす！			魔物が出た高台は、ここから南東に行くとあります。お礼はするんで、よろしくお願いしやっす！			口より手を							
あ、冒険者さん！チョコボトラップの駆除をやってくれたんっすね！			あ、冒険者さん！チョコボトラップの駆除をやってくれたんっすね！			口より手を							
ほんっとうにありがとうございまっす！じゃ、さっそく先輩に報告しにいってきまっす！			ほんっとうにありがとうございまっす！じゃ、さっそく先輩に報告しにいってきまっす！			口より手を							
ああ、報酬はあとで渡しますね！よかった、俺がやらずに済んだ～！いやっほ～う！			ああ、報酬はあとで渡しますね！よかった、俺がやらずに済んだ～！いやっほ～う！			口より手を							
……あっ、冒険者さん。これから、報告するんっすから、報酬はそのあとで！			……あっ、冒険者さん。これから、報告するんっすから、報酬はそのあとで！			口より手を							
先輩！　頼まれた駆除をやってきやした！マジで、すげぇ大変だったっす。でも、ちゃ～んとやってきたっすよ！			先輩！　頼まれた駆除をやってきやした！マジで、すげぇ大変だったっす。でも、ちゃ～んとやってきたっすよ！			口より手を							
……あっ、冒険者さん。今、報告中なんっすから、報酬はまだ……。			……あっ、冒険者さん。今、報告中なんっすから、報酬はまだ……。			口より手を							
ん、どうかしたか？報酬……とか言わなかったか？			ん、どうかしたか？報酬……とか言わなかったか？			口より手を							
い、いやいや！なんでもないっすよ、空耳じゃないっすか～？あはは……。			い、いやいや！なんでもないっすよ、空耳じゃないっすか～？あはは……。			口より手を							
まぁ、思ったより早かったな。それじゃあ……こっちも頼む、ホイ。			まぁ、思ったより早かったな。それじゃあ……こっちも頼む、ホイ。			口より手を							
……これ、また雑用の指示書！？猟以外の仕事は、やりたくないっすよ～！			……これ、また雑用の指示書！？猟以外の仕事は、やりたくないっすよ～！			口より手を							
ぐだぐだとうるせぇな。口動かしてる暇あるなら、さっさと行ってこい！指示書には、3つ指示を書いてあるからな！			ぐだぐだとうるせぇな。口動かしてる暇あるなら、さっさと行ってこい！指示書には、3つ指示を書いてあるからな！			口より手を							
はぁ……了解っす……。			はぁ……了解っす……。			口より手を							
それにしても、エルヴォワのやつ、思ったより早かったな。本当にちゃんとやってきたんだろうな……？			それにしても、エルヴォワのやつ、思ったより早かったな。本当にちゃんとやってきたんだろうな……？			口より手を							
ったく……信じらんねーよ、何なんだよまったく……。マジでありえねーっつうの……。			ったく……信じらんねーよ、何なんだよまったく……。マジでありえねーっつうの……。			口より手を							
……あぁ、そういや報酬をお渡ししてなかったっすね。すいませんっした、これをどーぞ。どうも、ありがとうございました～！			……あぁ、そういや報酬をお渡ししてなかったっすね。すいませんっした、これをどーぞ。どうも、ありがとうございました～！			口より手を							
は～、次の雑用指示書……それも3つかあ。見るの、いやだなぁ。			は～、次の雑用指示書……それも3つかあ。見るの、いやだなぁ。			口より手を							
テイルフェザーのエルヴォワは、先輩から任された仕事を押しつける気満々のようだ。			テイルフェザーのエルヴォワは、先輩から任された仕事を押しつける気満々のようだ。			見慣れぬ魔物							
エルヴォワが先輩に依頼されたのは、見慣れない魔物の討伐だったようだ。魔物についての情報を探るため、高地ドラヴァニアのチョコボの森の東にあるキャンプで、「ゲナレ」と話そう。			エルヴォワが先輩に依頼されたのは、見慣れない魔物の討伐だったようだ。魔物についての情報を探るため、高地ドラヴァニアのチョコボの森の東にあるキャンプで、「ゲナレ」と話そう。			見慣れぬ魔物							
ゲナレによれば、大きな蜘蛛のような魔物を見かけたという。チョコボの森の東にあるキャンプ付近を見回り、現れた魔物を討伐しよう。			ゲナレによれば、大きな蜘蛛のような魔物を見かけたという。チョコボの森の東にあるキャンプ付近を見回り、現れた魔物を討伐しよう。			見慣れぬ魔物							
魔物を発見し、討伐した。テイルフェザーで「エルヴォワ」に報告しよう。			魔物を発見し、討伐した。テイルフェザーで「エルヴォワ」に報告しよう。			見慣れぬ魔物							
エルヴォワに報告した。エルヴォワは依頼の危険さに驚き、先輩が自分を嫌っているのではないかと疑い始めたようだ……。			エルヴォワに報告した。エルヴォワは依頼の危険さに驚き、先輩が自分を嫌っているのではないかと疑い始めたようだ……。			見慣れぬ魔物							
ゲナレと話す			ゲナレと話す			見慣れぬ魔物							
魔物を討伐			魔物を討伐			見慣れぬ魔物							
エルヴォワに報告			エルヴォワに報告			見慣れぬ魔物							
はあ……気が進まないけど、先輩の雑用指示書を見るかぁ。どれどれ……？			はあ……気が進まないけど、先輩の雑用指示書を見るかぁ。どれどれ……？			見慣れぬ魔物							
「東にあるキャンプ付近で、見慣れない魔物の報告があった。　放っておいて面倒になったら困る、駆除してこい」……。			「東にあるキャンプ付近で、見慣れない魔物の報告があった。　放っておいて面倒になったら困る、駆除してこい」……。			見慣れぬ魔物							
……あ～あ、やっぱり雑用かよ。いつになったら、チョコボ狩りをさせてくれるんだ。こういうのは、優秀な冒険者さんに……ね？			……あ～あ、やっぱり雑用かよ。いつになったら、チョコボ狩りをさせてくれるんだ。こういうのは、優秀な冒険者さんに……ね？			見慣れぬ魔物							
お願いしまっす！　お礼は勿論しまっす！これ、やってきてもらえませんか？			お願いしまっす！　お礼は勿論しまっす！これ、やってきてもらえませんか？			見慣れぬ魔物							
ここから東に行ったところに、キャンプがあります。魔物の情報は、そこのゲナレさんに聞くといいっす！冒険者さん、よろしくお願いしやっす！			ここから東に行ったところに、キャンプがあります。魔物の情報は、そこのゲナレさんに聞くといいっす！冒険者さん、よろしくお願いしやっす！			見慣れぬ魔物							
ここから東に行ったところに、キャンプがあります。冒険者さん、よろしくお願いしやっす！			ここから東に行ったところに、キャンプがあります。冒険者さん、よろしくお願いしやっす！			見慣れぬ魔物							
……見慣れない魔物を探しているんですか？そういえば、大きい蜘蛛みたいな魔物を、北で見かけました。			……見慣れない魔物を探しているんですか？そういえば、大きい蜘蛛みたいな魔物を、北で見かけました。			見慣れぬ魔物							
駆除しようと思ったら、オ・ベン・ティアさんが割り込んできて、「俺の後輩にやらせるから、お前はやらないでくれ～」……って言ってきたんです、なんででしょうね？			駆除しようと思ったら、オ・ベン・ティアさんが割り込んできて、「俺の後輩にやらせるから、お前はやらないでくれ～」……って言ってきたんです、なんででしょうね？			見慣れぬ魔物							
大きい蜘蛛みたいな魔物を、北で見かけましたよ。			大きい蜘蛛みたいな魔物を、北で見かけましたよ。			見慣れぬ魔物							
あ、冒険者さん！魔物の駆除、どうでしたか！？			あ、冒険者さん！魔物の駆除、どうでしたか！？			見慣れぬ魔物							
蜘蛛みたいな魔物……うっわ、気持ち悪ぅ……。ってか、ゲナレさんが言っていたことが本当なら、先輩はわざわざ、そいつを俺に倒させようとしてた……？			蜘蛛みたいな魔物……うっわ、気持ち悪ぅ……。ってか、ゲナレさんが言っていたことが本当なら、先輩はわざわざ、そいつを俺に倒させようとしてた……？			見慣れぬ魔物							
……もしかして俺、先輩から嫌われてるんっすかね？			……もしかして俺、先輩から嫌われてるんっすかね？			見慣れぬ魔物							
まぁ、それは置いとくとして……。代わりに討伐してくれて、ありがとうございました～！			まぁ、それは置いとくとして……。代わりに討伐してくれて、ありがとうございました～！			見慣れぬ魔物							
カーラインカフェのタタルは、何やら話したいことがあるようだ。			カーラインカフェのタタルは、何やら話したいことがあるようだ。			ヤ・シュトラ							
タタルは、ヤ・シュトラの回復を待つ間に、彼女への贈り物を用意したいそうだ。その仕上げに使用する品を、受け取ってきてほしいと頼まれた。グリダニアの革細工師ギルドにいる「ゲヴァ」、グリダニアの幻術士ギルドにいる「エ・スミ・ヤン」と話そう。			タタルは、ヤ・シュトラの回復を待つ間に、彼女への贈り物を用意したいそうだ。その仕上げに使用する品を、受け取ってきてほしいと頼まれた。グリダニアの革細工師ギルドにいる「ゲヴァ」、グリダニアの幻術士ギルドにいる「エ・スミ・ヤン」と話そう。			ヤ・シュトラ							
ふたりのギルドマスターと話し、タタルが依頼した品を受け取った。カーラインカフェのタタルに、「革細工師ギルドの革袋」と「幻術士ギルドの布袋」を渡そう。			ふたりのギルドマスターと話し、タタルが依頼した品を受け取った。カーラインカフェのタタルに、「革細工師ギルドの革袋」と「幻術士ギルドの布袋」を渡そう。			ヤ・シュトラ							
タタルに受け取った品を渡した。ともにヤ・シュトラの様子を見にいったところ、彼女の意識は回復していた。装いも新たに復帰したヤ・シュトラは、エーテル学の権威であるマトーヤの知恵を借りれば、エーテルラムを完成させられるかもしれないと言う。マトーヤとは、いったい何者だろうか……？			タタルに受け取った品を渡した。ともにヤ・シュトラの様子を見にいったところ、彼女の意識は回復していた。装いも新たに復帰したヤ・シュトラは、エーテル学の権威であるマトーヤの知恵を借りれば、エーテルラムを完成させられるかもしれないと言う。マトーヤとは、いったい何者だろうか……？			ヤ・シュトラ							
革細工師ギルドのゲヴァと話す			革細工師ギルドのゲヴァと話す			ヤ・シュトラ							
幻術士ギルドのエ・スミ・ヤンと話す			幻術士ギルドのエ・スミ・ヤンと話す			ヤ・シュトラ							
タタルに受け取った品を渡す			タタルに受け取った品を渡す			ヤ・シュトラ							
ヤ・シュトラさんは、旅館「とまり木」のお部屋で、お休みになっていまっす。まだ、意識が戻らないようでっすが……。			ヤ・シュトラさんは、旅館「とまり木」のお部屋で、お休みになっていまっす。まだ、意識が戻らないようでっすが……。			ヤ・シュトラ							
でも、私も精一杯、看病のお手伝いをしてまっすし、ヤ・ミトラさんや幻術士さんたちも、ついていてくれまっす。……きっと、きっと大丈夫でっす！			でも、私も精一杯、看病のお手伝いをしてまっすし、ヤ・ミトラさんや幻術士さんたちも、ついていてくれまっす。……きっと、きっと大丈夫でっす！			ヤ・シュトラ							
