不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			不滅隊：作戦本部のダンシング・ウルフ大闘士は、現状に焦れているようだ。			残留する力をその身に							
ダンシング・ウルフ大闘士の方では進展がない一方、ヤ・ミトラが冒険者を探しているという。グリダニアのアプカルの滝にいる「ヤ・ミトラ」と話そう。			ダンシング・ウルフ大闘士の方では進展がない一方、ヤ・ミトラが冒険者を探しているという。グリダニアのアプカルの滝にいる「ヤ・ミトラ」と話そう。			残留する力をその身に							
アシエンに対抗するため、蛮神の力を憑依させる召喚士の秘法「トランス」を修得することになった。不滅隊：作戦本部の「ダンシング・ウルフ大闘士」と話そう。			アシエンに対抗するため、蛮神の力を憑依させる召喚士の秘法「トランス」を修得することになった。不滅隊：作戦本部の「ダンシング・ウルフ大闘士」と話そう。			残留する力をその身に							
バハムートのトランスを修得するため、ダンシング・ウルフ大闘士に協力してもらい、カルテノー平原へ潜入することになった。ウルダハ・ランディングの「特務隊の飛空兵」と話そう。			バハムートのトランスを修得するため、ダンシング・ウルフ大闘士に協力してもらい、カルテノー平原へ潜入することになった。ウルダハ・ランディングの「特務隊の飛空兵」と話そう。			残留する力をその身に							
カルテノー平原へ忍び込んだ冒険者たちは、十二杯のアシエンと遭遇し、戦闘に入る。その戦闘の最中、冒険者はトランス・バハムートの修得に成功。その力を使い、十二杯のアシエンを撃退するのだった。不滅隊：作戦本部の「ダンシング・ウルフ大闘士」と話そう。			カルテノー平原へ忍び込んだ冒険者たちは、十二杯のアシエンと遭遇し、戦闘に入る。その戦闘の最中、冒険者はトランス・バハムートの修得に成功。その力を使い、十二杯のアシエンを撃退するのだった。不滅隊：作戦本部の「ダンシング・ウルフ大闘士」と話そう。			残留する力をその身に							
アシエンの撃退には成功したが、逃走を許してしまった。いずれ決着をつける時が来るだろう。その時までに、トランスを自分のものにしておこう。※召喚士のレベルが60以上になると、不滅隊：作戦本部のダンシング・ウルフ大闘士から次の召喚士クエストを受注することができます。			アシエンの撃退には成功したが、逃走を許してしまった。いずれ決着をつける時が来るだろう。その時までに、トランスを自分のものにしておこう。※召喚士のレベルが60以上になると、不滅隊：作戦本部のダンシング・ウルフ大闘士から次の召喚士クエストを受注することができます。			残留する力をその身に							
グリダニアのヤ・ミトラと話す			グリダニアのヤ・ミトラと話す			残留する力をその身に							
不滅隊：作戦本部のダンシング・ウルフと話す			不滅隊：作戦本部のダンシング・ウルフと話す			残留する力をその身に							
ウルダハ・ランディングの特務隊の飛空兵と話す			ウルダハ・ランディングの特務隊の飛空兵と話す			残留する力をその身に							
不滅隊：作戦本部のダンシング・ウルフと話す			不滅隊：作戦本部のダンシング・ウルフと話す			残留する力をその身に							
戦いの中で「トランス」に覚醒しろ！			戦いの中で「トランス」に覚醒しろ！			残留する力をその身に							
エギを殲滅しろ！			エギを殲滅しろ！			残留する力をその身に							
訪ねてきてくれてすまんが、こちらは特に進展なしだ。トリスタンの兄貴は、しっかりと埋葬したよ……。かつての戦友たちを集めて、丁重に葬っておいた……。			訪ねてきてくれてすまんが、こちらは特に進展なしだ。トリスタンの兄貴は、しっかりと埋葬したよ……。かつての戦友たちを集めて、丁重に葬っておいた……。			残留する力をその身に							
あれから、クリスタルを狙った襲撃事件は減少している。黒いローブの男も現れてはいない……。もどかしいもんだな……。			あれから、クリスタルを狙った襲撃事件は減少している。黒いローブの男も現れてはいない……。もどかしいもんだな……。			残留する力をその身に							
そういえば、「ヤ・ミトラ」の嬢ちゃんには会ったか？どうも、お前を探しているようだったぞ。			そういえば、「ヤ・ミトラ」の嬢ちゃんには会ったか？どうも、お前を探しているようだったぞ。			残留する力をその身に							
そういえば、「ヤ・ミトラ」の嬢ちゃんには会ったか？どうも、お前を探しているようだったぞ。			そういえば、「ヤ・ミトラ」の嬢ちゃんには会ったか？どうも、お前を探しているようだったぞ。			残留する力をその身に							
ああ、Forename！良かった、ちょうどあなたを探していたの！			ああ、Forename！良かった、ちょうどあなたを探していたの！			残留する力をその身に							
「天使い」アシエン……その存在を消滅させるには、今よりも、もっと力をつけなければいけない。			「天使い」アシエン……その存在を消滅させるには、今よりも、もっと力をつけなければいけない。			残留する力をその身に							
そのために、いろいろと調べてみたの……。だいぶ研究も進んで、多くのことがわかってきたわ。……あなたが、「ラムウ・エギ」を召喚できなかった理由もね。			そのために、いろいろと調べてみたの……。だいぶ研究も進んで、多くのことがわかってきたわ。……あなたが、「ラムウ・エギ」を召喚できなかった理由もね。			残留する力をその身に							
