イディルシャイアのイロアズは、冒険者に興味があるようだ。			イディルシャイアのイロアズは、冒険者に興味があるようだ。			イシュガルドのモブハント（上級）							
イロアズから、「クラン・モブハント：上級」の仕事を紹介された。詳細な説明を受けるため、イシュガルドの忘れられた騎士亭の「アルドラン」と話そう。			イロアズから、「クラン・モブハント：上級」の仕事を紹介された。詳細な説明を受けるため、イシュガルドの忘れられた騎士亭の「アルドラン」と話そう。			イシュガルドのモブハント（上級）							
アルドランに話したところ、「クラン・モブハント：上級」の手配書を回してもらえるようになった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			アルドランに話したところ、「クラン・モブハント：上級」の手配書を回してもらえるようになった。忘れられた騎士亭の前にある「セントリオボード」を調べよう。			イシュガルドのモブハント（上級）							
「セントリオボード」から「クラン・モブ手配書：上級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			「セントリオボード」から「クラン・モブ手配書：上級」を入手できるようになった。詳細な説明や報酬の交換が必要なときは、アルドランに声をかければいいようだ。手配中のモブを積極的に討伐し、イシュガルドの治安向上に貢献しよう。			イシュガルドのモブハント（上級）							
忘れられた騎士亭のアルドランと話す			忘れられた騎士亭のアルドランと話す			イシュガルドのモブハント（上級）							
セントリオボードを調べる			セントリオボードを調べる			イシュガルドのモブハント（上級）							
お前さんが、Forenameかい。なかなか活きのいい冒険者がおると、方々で噂を聞いとるよ。			お前さんが、Forenameかい。なかなか活きのいい冒険者がおると、方々で噂を聞いとるよ。			イシュガルドのモブハント（上級）							
どうだい、そろそろ「上級」のモブに手を出してみるかね？お前さんの腕なら、後れをとらんだろうて。			どうだい、そろそろ「上級」のモブに手を出してみるかね？お前さんの腕なら、後れをとらんだろうて。			イシュガルドのモブハント（上級）							
ふふふ、進むも退くも自由……。興味があるなら、忘れられた騎士亭の「アルドラン」に、話を聞いてみなさいな。			ふふふ、進むも退くも自由……。興味があるなら、忘れられた騎士亭の「アルドラン」に、話を聞いてみなさいな。			イシュガルドのモブハント（上級）							
ふふふ、進むも退くも自由……。興味があるなら、忘れられた騎士亭の「アルドラン」に、話を聞いてみなさいな。			ふふふ、進むも退くも自由……。興味があるなら、忘れられた騎士亭の「アルドラン」に、話を聞いてみなさいな。			イシュガルドのモブハント（上級）							
やれやれ、ついにイロアズの婆さんにも見込まれたか……。わかったわかった、「上級」の手配書を回してやる。			やれやれ、ついにイロアズの婆さんにも見込まれたか……。わかったわかった、「上級」の手配書を回してやる。			イシュガルドのモブハント（上級）							
当然、これまでより手強い相手だから覚悟しろよ。……まぁ、その分、報酬もたんまりあるがな。			当然、これまでより手強い相手だから覚悟しろよ。……まぁ、その分、報酬もたんまりあるがな。			イシュガルドのモブハント（上級）							
さぁ、表の「セントリオボード」から、「クラン・モブ手配書：上級」を選んで持っていきな。			さぁ、表の「セントリオボード」から、「クラン・モブ手配書：上級」を選んで持っていきな。			イシュガルドのモブハント（上級）							
さぁ、表の「セントリオボード」から、「クラン・モブ手配書：上級」を選んで持っていきな。			さぁ、表の「セントリオボード」から、「クラン・モブ手配書：上級」を選んで持っていきな。			イシュガルドのモブハント（上級）							
討伐対象「モブ」の手配書が掲示されている……。いよいよ、「上級」に挑戦してみよう。			討伐対象「モブ」の手配書が掲示されている……。いよいよ、「上級」に挑戦してみよう。			イシュガルドのモブハント（上級）							
「クラン・モブ手配書：上級」が開放された！			「クラン・モブ手配書：上級」が開放された！			イシュガルドのモブハント（上級）							
セントリオボードから、「クラン・モブ手配書：上級」を入手できるようになりました。			セントリオボードから、「クラン・モブ手配書：上級」を入手できるようになりました。			イシュガルドのモブハント（上級）							
第VII転送リングの誘導システムは、何やら伝えたいことがあるようだ。			第VII転送リングの誘導システムは、何やら伝えたいことがあるようだ。			翼、広げて							
誘導システムによると、旗艦島への転送装置が破壊されているそうだ。冒険者は、自らの力で、旗艦島への移動しなければならない……。そこにミドガルズオルムが現れ、この島に囚われている自分の子に会えと言った。デルタ管区にある「指定地点」に向かおう。			誘導システムによると、旗艦島への転送装置が破壊されているそうだ。冒険者は、自らの力で、旗艦島への移動しなければならない……。そこにミドガルズオルムが現れ、この島に囚われている自分の子に会えと言った。デルタ管区にある「指定地点」に向かおう。			翼、広げて							
指定地点に辿りついた冒険者が見たのは、拘束された巨大な竜、ティアマットだった。七大天竜でもあるティアマットから、蛮神「バハムート」召喚の裏に、アシエンの存在があったことを聞いた。彼女の贖罪を聞き届けたとき、火属性の光のクリスタルが再び輝いた。光の加護を取り戻し、再びハイデリンの声を聞いた冒険者。ミドガルズオルムは、冒険者を心強き者と認め、その背に乗ることを許した。ミドガルズオルムに乗って、アジス・ラー旗艦島へ向かおう。			指定地点に辿りついた冒険者が見たのは、拘束された巨大な竜、ティアマットだった。七大天竜でもあるティアマットから、蛮神「バハムート」召喚の裏に、アシエンの存在があったことを聞いた。彼女の贖罪を聞き届けたとき、火属性の光のクリスタルが再び輝いた。光の加護を取り戻し、再びハイデリンの声を聞いた冒険者。ミドガルズオルムは、冒険者を心強き者と認め、その背に乗ることを許した。ミドガルズオルムに乗って、アジス・ラー旗艦島へ向かおう。			翼、広げて							
指定地点に向かう			指定地点に向かう			翼、広げて							
ピピ……残念な情報が入ってまいりまシタ。デルタ管区管制システムからの情報によりますと、旗艦島に通じる転送装置が、破壊されているようデス。			ピピ……残念な情報が入ってまいりまシタ。デルタ管区管制システムからの情報によりますと、旗艦島に通じる転送装置が、破壊されているようデス。			翼、広げて							
記録を参照したところ、2369年前の拘束具の故障に伴い、制御下から離れたドラゴン族の仕業と判明……。			記録を参照したところ、2369年前の拘束具の故障に伴い、制御下から離れたドラゴン族の仕業と判明……。			翼、広げて							
まことに申し訳ございませんが、各自、自己責任にて移動手段を確保し、「魔科学研究所」前まで、お越しくだサイ。			まことに申し訳ございませんが、各自、自己責任にて移動手段を確保し、「魔科学研究所」前まで、お越しくだサイ。			翼、広げて							
道を見失ったようだな、ヒトの子よ……。汝の旅が、よもや我が子の一翼が囚われし、禁断の「魔大陸」にまで及ぶことになるとは、思わなんだぞ。			道を見失ったようだな、ヒトの子よ……。汝の旅が、よもや我が子の一翼が囚われし、禁断の「魔大陸」にまで及ぶことになるとは、思わなんだぞ。			翼、広げて							
聞け、竜たちの嘆きを……。5000年の昔、増長せしヒトどもが築いた巨大帝国は、我が子らが棲まう南方大陸を侵略した。			聞け、竜たちの嘆きを……。5000年の昔、増長せしヒトどもが築いた巨大帝国は、我が子らが棲まう南方大陸を侵略した。			翼、広げて							
奴らもまた、古のイシュガルド人同様、竜の強大な力に怖れを抱きつつ、その力を欲した。そして、奇妙な機械仕掛けの首輪を創り、支配を試みたのだ。			奴らもまた、古のイシュガルド人同様、竜の強大な力に怖れを抱きつつ、その力を欲した。そして、奇妙な機械仕掛けの首輪を創り、支配を試みたのだ。			翼、広げて							
結果、どのような悲劇が起こったのか……この地で未だに嘆きの時を過ごす、我が子に会うがいい。竜とヒトとの争いが、いかに神と交わるのかを知り、考えるのだ。			結果、どのような悲劇が起こったのか……この地で未だに嘆きの時を過ごす、我が子に会うがいい。竜とヒトとの争いが、いかに神と交わるのかを知り、考えるのだ。			翼、広げて							
巨大な竜が拘束されている姿が見える……。			巨大な竜が拘束されている姿が見える……。			翼、広げて							
ミドガルズオルムに騎乗可能になりました。「マウントリスト」から呼び出すことができます。			ミドガルズオルムに騎乗可能になりました。「マウントリスト」から呼び出すことができます。			翼、広げて							
第V転送リングの誘導システムは、案内を続行しようとしているようだ。			第V転送リングの誘導システムは、案内を続行しようとしているようだ。			青き鎧の猛者							
誘導システムと話した。ガレマール帝国軍がうろついているため、先に行った仲間と合流した方がよさそうだ。アジス・ラーのガンマ管区にいる「エスティニアン」と話そう。			誘導システムと話した。ガレマール帝国軍がうろついているため、先に行った仲間と合流した方がよさそうだ。アジス・ラーのガンマ管区にいる「エスティニアン」と話そう。			青き鎧の猛者							
エスティニアンたちは、ガレマール帝国軍の様子を伺っていた。オク・ズンドで遭遇した将軍、レグラ・ヴァン・ヒュドルスが部隊を率いているようだ。彼らは、蛮神を封じる古代アラグ文明の秘術を狙い、魔科学研究所を目指しているらしい。ともかく、教皇を追うことが先決だ。アジス・ラーの第VI転送リングにいる「誘導システム」と話そう。			エスティニアンたちは、ガレマール帝国軍の様子を伺っていた。オク・ズンドで遭遇した将軍、レグラ・ヴァン・ヒュドルスが部隊を率いているようだ。彼らは、蛮神を封じる古代アラグ文明の秘術を狙い、魔科学研究所を目指しているらしい。ともかく、教皇を追うことが先決だ。アジス・ラーの第VI転送リングにいる「誘導システム」と話そう。			青き鎧の猛者							
誘導システムが、冒険者を追跡してきた帝国兵に気付いた。これを退け、第VI転送リングの「誘導システム」と再度話そう。			誘導システムが、冒険者を追跡してきた帝国兵に気付いた。これを退け、第VI転送リングの「誘導システム」と再度話そう。			青き鎧の猛者							
誘導システムに再度声をかけようとしたところ、レグラ・ヴァン・ヒュドルスが現れた。どうにか凌いだものの、将軍は部下に時間稼ぎを命じて撤退。冒険者も、その場をアルフィノたちに任せ、転移装置へ飛び込むのだった。アジス・ラーの第VII転送リングの「誘導システム」と話そう。			誘導システムに再度声をかけようとしたところ、レグラ・ヴァン・ヒュドルスが現れた。どうにか凌いだものの、将軍は部下に時間稼ぎを命じて撤退。冒険者も、その場をアルフィノたちに任せ、転移装置へ飛び込むのだった。アジス・ラーの第VII転送リングの「誘導システム」と話そう。			青き鎧の猛者							
デルタ管区へ渡り、誘導システムと話した。この区にはメラシディア大陸のドラゴン族がいるらしいが……。			デルタ管区へ渡り、誘導システムと話した。この区にはメラシディア大陸のドラゴン族がいるらしいが……。			青き鎧の猛者							
エスティニアンたちと合流			エスティニアンたちと合流			青き鎧の猛者							
第VI転送リングの誘導システムと話す			第VI転送リングの誘導システムと話す			青き鎧の猛者							
第VI転送リングの誘導システムと再度話す			第VI転送リングの誘導システムと再度話す			青き鎧の猛者							
第VII転送リングの誘導システムと話す			第VII転送リングの誘導システムと話す			青き鎧の猛者							
ピピ……現在、ここ「ガンマ管区」に、侵入者の存在を確認……。ライセンス条項にもあるとおり、侵入者との遭遇に伴う損害は、保証対象外となりますのでご注意くだサイ。			ピピ……現在、ここ「ガンマ管区」に、侵入者の存在を確認……。ライセンス条項にもあるとおり、侵入者との遭遇に伴う損害は、保証対象外となりますのでご注意くだサイ。			青き鎧の猛者							
それでは、次の転送装置に移動しまショウ。「デルタ管区」には、当視察の目玉がございますので、生存状態を維持することをオススメいたしマス。			それでは、次の転送装置に移動しまショウ。「デルタ管区」には、当視察の目玉がございますので、生存状態を維持することをオススメいたしマス。			青き鎧の猛者							
侵入者は大部隊であることが予想されマス。遭遇に気を付け、慎重にお進みくだサイ。			侵入者は大部隊であることが予想されマス。遭遇に気を付け、慎重にお進みくだサイ。			青き鎧の猛者							
敵兵が身に着けている記章からすると、おそらくは、北州に展開していた第VI軍団ね……。			敵兵が身に着けている記章からすると、おそらくは、北州に展開していた第VI軍団ね……。			青き鎧の猛者							
帝国軍第VI軍団と言えば、新皇帝ヴァリスが、大将軍時代から重用していた軍団だ。各地で反乱の平定に貢献したと聞いている。			帝国軍第VI軍団と言えば、新皇帝ヴァリスが、大将軍時代から重用していた軍団だ。各地で反乱の平定に貢献したと聞いている。			青き鎧の猛者							
待て……どうも、様子がおかしい。かなりの帝国兵がいるようだぞ……。			待て……どうも、様子がおかしい。かなりの帝国兵がいるようだぞ……。			青き鎧の猛者							
ピピ……未だに生存状態を維持できているようで、少しばかり、驚きを禁じ得まセン。			ピピ……未だに生存状態を維持できているようで、少しばかり、驚きを禁じ得まセン。			青き鎧の猛者							
ピピ……Surname様に追跡痕跡を確認……。「魔科学研究所」の視察を続行するため、侵入者を排除してくだサイ。			ピピ……Surname様に追跡痕跡を確認……。「魔科学研究所」の視察を続行するため、侵入者を排除してくだサイ。			青き鎧の猛者							
ピピ……さあ、視察の目玉。「デルタ管区」……ドラゴン族制御実験区画デス。			ピピ……さあ、視察の目玉。「デルタ管区」……ドラゴン族制御実験区画デス。			青き鎧の猛者							
南方大陸「メラシディア」で捕らえた活きの良いドラゴン族が、今日も元気に、飛び回っておりマス。アラグ帝国軍万歳！　アラグ帝国軍万歳！			南方大陸「メラシディア」で捕らえた活きの良いドラゴン族が、今日も元気に、飛び回っておりマス。アラグ帝国軍万歳！　アラグ帝国軍万歳！			青き鎧の猛者							
レグラ・ヴァン・ヒュドルスを倒せ！			レグラ・ヴァン・ヒュドルスを倒せ！			青き鎧の猛者							
ガイウス軍団長を退けたというその力……試させてもらうぞ！			ガイウス軍団長を退けたというその力……試させてもらうぞ！			青き鎧の猛者							
どうした？　噂の英雄とは、こんなものなのか？			どうした？　噂の英雄とは、こんなものなのか？			青き鎧の猛者							
ヒュドルス軍団長、我々も戦わせてください！			ヒュドルス軍団長、我々も戦わせてください！			青き鎧の猛者							
ゾロゾロとよくもまぁ……！			ゾロゾロとよくもまぁ……！			青き鎧の猛者							
増援は私たちに任せて！Forename、あなたは軍団長を！			増援は私たちに任せて！Forename、あなたは軍団長を！			青き鎧の猛者							
頃合いか……航空支援を！			頃合いか……航空支援を！			青き鎧の猛者							
切り札を使わせてもらう！……来い、カーバンクル・オブシダン！			切り札を使わせてもらう！……来い、カーバンクル・オブシダン！			青き鎧の猛者							
こんな……ところで……！			こんな……ところで……！			青き鎧の猛者							
フォルタン伯爵邸付近のフォルタン家の騎兵は、冒険者に渡したい手紙があるようだ。			フォルタン伯爵邸付近のフォルタン家の騎兵は、冒険者に渡したい手紙があるようだ。			謎の手紙の差出人							
