潮風亭のエストリルドは、道行く人を見定めているようだ。			潮風亭のエストリルドは、道行く人を見定めているようだ。			ベテラン・モブハント（初級）							
ウルヴィヴァと話す			ウルヴィヴァと話す			ベテラン・モブハント（初級）							
ねえ……キミ、とっても強そうだね。私は「クラン・セントリオ」のエストリルド！一緒に「モブハント」しようよ！			ねえ……キミ、とっても強そうだね。私は「クラン・セントリオ」のエストリルド！一緒に「モブハント」しようよ！			ベテラン・モブハント（初級）							
あれあれ、もしかしてキミ、「クラン・セントリオ」準クラン員の、Forenameじゃない？			あれあれ、もしかしてキミ、「クラン・セントリオ」準クラン員の、Forenameじゃない？			ベテラン・モブハント（初級）							
やっぱりー！アルドランさんから話は聞いてるよ！凄腕の冒険者らしいね！			やっぱりー！アルドランさんから話は聞いてるよ！凄腕の冒険者らしいね！			ベテラン・モブハント（初級）							
でも、そんな強い人がどうして準クラン員なの？……わかったぞ！　ひょっとしてキミ、素行に問題がある人だね？なら、「モブ」をたくさん狩って、名誉挽回しよう！			でも、そんな強い人がどうして準クラン員なの？……わかったぞ！　ひょっとしてキミ、素行に問題がある人だね？なら、「モブ」をたくさん狩って、名誉挽回しよう！			ベテラン・モブハント（初級）							
つべこべ言わず、「モブ」を狩って狩って狩って狩りまくンだよ！！そうすりゃ、ウチの連中もテメェのことを認めざるを得ねェ！！女なら男なら実力で黙らせてみろや！！			つべこべ言わず、「モブ」を狩って狩って狩って狩りまくンだよ！！そうすりゃ、ウチの連中もテメェのことを認めざるを得ねェ！！女なら男なら実力で黙らせてみろや！！			ベテラン・モブハント（初級）							
いっけなーい、つい熱くなりすぎちゃった！詳しい話は、潮風亭の外にいる「ウルヴィヴァ」から聞いてね！それじゃあ、頑張ってね～！			いっけなーい、つい熱くなりすぎちゃった！詳しい話は、潮風亭の外にいる「ウルヴィヴァ」から聞いてね！それじゃあ、頑張ってね～！			ベテラン・モブハント（初級）							
エストリルドから、私を紹介されたと？ふむ、お前が準クラン員のForenameか……。			エストリルドから、私を紹介されたと？ふむ、お前が準クラン員のForenameか……。			ベテラン・モブハント（初級）							
私はウルヴィヴァ。エストリルドと同じく、「クラン・セントリオ」の正クラン員だ。クガネの「セントリオボード」の管理を任されている。			私はウルヴィヴァ。エストリルドと同じく、「クラン・セントリオ」の正クラン員だ。クガネの「セントリオボード」の管理を任されている。			ベテラン・モブハント（初級）							
それにしても、お前ほど名の知れた冒険者が、いまだ正クラン員になれないとは……いったい、どんな悪事を働いたんだ？			それにしても、お前ほど名の知れた冒険者が、いまだ正クラン員になれないとは……いったい、どんな悪事を働いたんだ？			ベテラン・モブハント（初級）							
