赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			赤誠組屯所前のゴウセツは、どこか申し訳なさそうにしている。			再会と旅立ち							
やっとゴウセツと合流することができた。ドマのあるオサード小大陸に向かうにあたり、場所を変えて事情を話すことになった。クガネのウルダハ商館にある「応接室」に向かおう。			やっとゴウセツと合流することができた。ドマのあるオサード小大陸に向かうにあたり、場所を変えて事情を話すことになった。クガネのウルダハ商館にある「応接室」に向かおう。			再会と旅立ち							
応接室にて、それぞれの役割を決めた。クガネの第二波止場にいる「ソロバン」と話そう。			応接室にて、それぞれの役割を決めた。クガネの第二波止場にいる「ソロバン」と話そう。			再会と旅立ち							
ソロバンと話した。オサード小大陸を目指し、紅玉海へと漕ぎ出そう！			ソロバンと話した。オサード小大陸を目指し、紅玉海へと漕ぎ出そう！			再会と旅立ち							
紅玉海へとやってきた。紅玉台場の「ソロバン」と話そう。			紅玉海へとやってきた。紅玉台場の「ソロバン」と話そう。			再会と旅立ち							
ソロバンと話した。彼は広い海に和んでいる様子だが、周囲には警戒態勢が敷かれているようだ。混乱の渦中にあるドマを目指し、この海を越えていこう。			ソロバンと話した。彼は広い海に和んでいる様子だが、周囲には警戒態勢が敷かれているようだ。混乱の渦中にあるドマを目指し、この海を越えていこう。			再会と旅立ち							
ウルダハ商館の応接室に向かう			ウルダハ商館の応接室に向かう			再会と旅立ち							
ソロバンと話す			ソロバンと話す			再会と旅立ち							
ソロバンと再度話す			ソロバンと再度話す			再会と旅立ち							
彼の見張りは任せてくれ。いい機会だから、引き出せるだけの情報は聞いてみるさ。			彼の見張りは任せてくれ。いい機会だから、引き出せるだけの情報は聞いてみるさ。			再会と旅立ち							
ぺぺぺ……姐御旦那たちには、一生、刃向かわないと、オオナマズに誓って約束するっぺな！			ぺぺぺ……姐御旦那たちには、一生、刃向かわないと、オオナマズに誓って約束するっぺな！			再会と旅立ち							
何はともあれ、一件落着ってことでいいのかな？			何はともあれ、一件落着ってことでいいのかな？			再会と旅立ち							
まったく人騒がせなんだから……。			まったく人騒がせなんだから……。			再会と旅立ち							
…………お役人への袖の下は、今後の先行投資と考えればいいのでしょうかネ？			…………お役人への袖の下は、今後の先行投資と考えればいいのでしょうかネ？			再会と旅立ち							
さすがは、ドマの侍大将……実に見事な腕前にござった。			さすがは、ドマの侍大将……実に見事な腕前にござった。			再会と旅立ち							
いやはや、拙者のために、何やら走り回らせてしまった様子……真に面目ない。			いやはや、拙者のために、何やら走り回らせてしまった様子……真に面目ない。			再会と旅立ち							
勝手に捜していたのはこっちなんだから、ゴウセツが謝る必要はないと思うけれどね。			勝手に捜していたのはこっちなんだから、ゴウセツが謝る必要はないと思うけれどね。			再会と旅立ち							
そうそう、オサード小大陸に渡るための船だけど、信用できる船主を見つけてあるから安心してちょうだい。その辺りも含めて話したいのだけど、一緒に来てもらえる？			そうそう、オサード小大陸に渡るための船だけど、信用できる船主を見つけてあるから安心してちょうだい。その辺りも含めて話したいのだけど、一緒に来てもらえる？			再会と旅立ち							
無論でござる！			無論でござる！			再会と旅立ち							
