潮風亭のエストリルドは、また道行く人を見定めているようだ。			潮風亭のエストリルドは、また道行く人を見定めているようだ。			ベテラン・モブハント（中級）							
ウルヴィヴァと話す			ウルヴィヴァと話す			ベテラン・モブハント（中級）							
わあ、キミ、すごーく強そうだね！私は「クラン・セントリオ」のエストリルド！一緒に「モブハント」しようよ！			わあ、キミ、すごーく強そうだね！私は「クラン・セントリオ」のエストリルド！一緒に「モブハント」しようよ！			ベテラン・モブハント（中級）							
って、素行に問題があって正クラン員になれない、準クラン員のForenameじゃーん！			って、素行に問題があって正クラン員になれない、準クラン員のForenameじゃーん！			ベテラン・モブハント（中級）							
……へぇ、少し見ない間に、ずいぶんといい目をするようになったじゃねぇか……。多くの死闘を経験してきた、猛者の目だ。			……へぇ、少し見ない間に、ずいぶんといい目をするようになったじゃねぇか……。多くの死闘を経験してきた、猛者の目だ。			ベテラン・モブハント（中級）							
今のテメェには、「初級」の仕事は役不足だろうなァ。「中級」に挑戦できるよう、「ウルヴィヴァ」に頼んでみろよ。そうすりゃ、もっと強いヤツと戦えるぜ……クックック……。			今のテメェには、「初級」の仕事は役不足だろうなァ。「中級」に挑戦できるよう、「ウルヴィヴァ」に頼んでみろよ。そうすりゃ、もっと強いヤツと戦えるぜ……クックック……。			ベテラン・モブハント（中級）							
それじゃ、頑張ってね～！			それじゃ、頑張ってね～！			ベテラン・モブハント（中級）							
Forenameか。エストリルドからの紹介を受けてきたのか？なるほど、「中級」に挑戦する頃合いということか……。			Forenameか。エストリルドからの紹介を受けてきたのか？なるほど、「中級」に挑戦する頃合いということか……。			ベテラン・モブハント（中級）							
どうやら、お前は彼女に気に入られたようだぞ。エストリルドは、強い女男が好みだから、悪いことではないのだろう……おそらくな。			どうやら、お前は彼女に気に入られたようだぞ。エストリルドは、強い女男が好みだから、悪いことではないのだろう……おそらくな。			ベテラン・モブハント（中級）							
よし、「中級」に挑戦できるように手配しておこう。だが、言うまでもないが、その危険度は「初級」の比ではない。これまで以上に、心してかかるように。			よし、「中級」に挑戦できるように手配しておこう。だが、言うまでもないが、その危険度は「初級」の比ではない。これまで以上に、心してかかるように。			ベテラン・モブハント（中級）							
「ベテラン・モブ手配書：中級」が開放された！			「ベテラン・モブ手配書：中級」が開放された！			ベテラン・モブハント（中級）							
クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：中級」を入手できるようになりました。			クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：中級」を入手できるようになりました。			ベテラン・モブハント（中級）							
また、「レベル66」以上になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・モブ手配書：上級」に挑戦可能となります。			また、「レベル66」以上になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・モブ手配書：上級」に挑戦可能となります。			ベテラン・モブハント（中級）							
「中級」に挑戦できるよう、「ウルヴィヴァ」に頼んでみろよ。そうすりゃ、もっと強いヤツと戦えるぜ……クックック……。			「中級」に挑戦できるよう、「ウルヴィヴァ」に頼んでみろよ。そうすりゃ、もっと強いヤツと戦えるぜ……クックック……。			ベテラン・モブハント（中級）							
アプカル滝のヤ・ミトラを通じて、プリンキピアから話があるようだ。			アプカル滝のヤ・ミトラを通じて、プリンキピアから話があるようだ。			プリンクの試練							
ヤ・ミトラと話し、第二の試練を受けることになった。北ザナラーンのキャンプ・ブルーフォグにいる「ダンシング・ウルフ大闘士」と話そう。			ヤ・ミトラと話し、第二の試練を受けることになった。北ザナラーンのキャンプ・ブルーフォグにいる「ダンシング・ウルフ大闘士」と話そう。			プリンクの試練							
ダンシング・ウルフ大闘士と話した。第二の試練は「技」の試練。戦いの準備を整えて、北ザナラーンのブルーフォグにいる「クリスピン上等闘兵」と話し、現れた敵を討伐しよう。			ダンシング・ウルフ大闘士と話した。第二の試練は「技」の試練。戦いの準備を整えて、北ザナラーンのブルーフォグにいる「クリスピン上等闘兵」と話し、現れた敵を討伐しよう。			プリンクの試練							
クリスピンとデニースの召喚獣に勝利した。ブルーフォグの「ジャジャサム少闘士」と話し、現れた敵を討伐しよう。			クリスピンとデニースの召喚獣に勝利した。ブルーフォグの「ジャジャサム少闘士」と話し、現れた敵を討伐しよう。			プリンクの試練							
ジャジャサムの召喚獣に勝利した。ブルーフォグの「ジャジャサム少闘士」と再度話し、現れた敵を討伐しよう。			ジャジャサムの召喚獣に勝利した。ブルーフォグの「ジャジャサム少闘士」と再度話し、現れた敵を討伐しよう。			プリンクの試練							
ジャジャサム少闘士の召喚獣に再度勝利した。ブルーフォグの「ダンシング・ウルフ大闘士」と話そう。			ジャジャサム少闘士の召喚獣に再度勝利した。ブルーフォグの「ダンシング・ウルフ大闘士」と話そう。			プリンクの試練							
無事に第二の試練を乗り越えたようだ。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			無事に第二の試練を乗り越えたようだ。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			プリンクの試練							
ヤ・ミトラと話した。プリンキピアから最後の試練を受けるため、さらに召喚士としての技を磨いていこう。※召喚士のレベルが65以上になると、アプカル滝のヤ・ミトラから次の召喚士クエストを受注することができます。			ヤ・ミトラと話した。プリンキピアから最後の試練を受けるため、さらに召喚士としての技を磨いていこう。※召喚士のレベルが65以上になると、アプカル滝のヤ・ミトラから次の召喚士クエストを受注することができます。			プリンクの試練							
キャンプ・ブルーフォグのダンシング・ウルフ大闘士と話す			キャンプ・ブルーフォグのダンシング・ウルフ大闘士と話す			プリンクの試練							
クリスピン上等闘兵と話し、敵を討伐			クリスピン上等闘兵と話し、敵を討伐			プリンクの試練							
ジャジャサム少闘士と話し、敵を討伐			ジャジャサム少闘士と話し、敵を討伐			プリンクの試練							
ジャジャサム少闘士と再度話し、敵を討伐			ジャジャサム少闘士と再度話し、敵を討伐			プリンクの試練							
ダンシング・ウルフ大闘士と話す			ダンシング・ウルフ大闘士と話す			プリンクの試練							
グリダニアのヤ・ミトラと話す			グリダニアのヤ・ミトラと話す			プリンクの試練							
元気にやってたか？いまちょっと、ヤ・ミトラの嬢ちゃんを口説いてるとこなんだ。いやいや、変な意味じゃなくて、仕事の話だぞ？			元気にやってたか？いまちょっと、ヤ・ミトラの嬢ちゃんを口説いてるとこなんだ。いやいや、変な意味じゃなくて、仕事の話だぞ？			プリンクの試練							
それはさておき……そこの、ヤバそうな本は何だ！？使い魔だって聞いたが、ほんとに噛みついたりしないんだろうな？			それはさておき……そこの、ヤバそうな本は何だ！？使い魔だって聞いたが、ほんとに噛みついたりしないんだろうな？			プリンクの試練							
おかえりなさいませ、お嬢様ご主人様。こちらがお嬢様ご主人様とヤ・ミトラ様の、共同研究の拠点と伺っております。			おかえりなさいませ、お嬢様ご主人様。こちらがお嬢様ご主人様とヤ・ミトラ様の、共同研究の拠点と伺っております。			プリンクの試練							
いらっしゃい、Forename。第二の試練についてプリンクから話があるそうよ。			いらっしゃい、Forename。第二の試練についてプリンクから話があるそうよ。			プリンクの試練							
おめでとうございます、お嬢様ご主人様は、第二の試練を受けるのにふさわしい段階に到達しました。			おめでとうございます、お嬢様ご主人様は、第二の試練を受けるのにふさわしい段階に到達しました。			プリンクの試練							
ふさわしい段階って……何でわかるの？			ふさわしい段階って……何でわかるの？			プリンクの試練							
