東龍鱗橋付近のイッセは、落ち着かない様子だ。			東龍鱗橋付近のイッセは、落ち着かない様子だ。			踏み出す一歩							
イッセと話す			イッセと話す			踏み出す一歩							
仲間たちと話す			仲間たちと話す			踏み出す一歩							
アルフィノと話す			アルフィノと話す			踏み出す一歩							
さて、みんな動けるかしら。			さて、みんな動けるかしら。			踏み出す一歩							
っ……大丈夫だ……すまない…………。			っ……大丈夫だ……すまない…………。			踏み出す一歩							
どうにか全員無事でござるな。ならば、よし。			どうにか全員無事でござるな。ならば、よし。			踏み出す一歩							
なあ、やっちまったぞ……！俺たち、ついに帝国に喧嘩を売っちまった……！			なあ、やっちまったぞ……！俺たち、ついに帝国に喧嘩を売っちまった……！			踏み出す一歩							
こうなったら、連中をドマから追い出すまで止まれない。みんなで話し合って、それを承知で武器を取ったんだ。			こうなったら、連中をドマから追い出すまで止まれない。みんなで話し合って、それを承知で武器を取ったんだ。			踏み出す一歩							
だから……これからは、一緒に戦わせてくれ！			だから……これからは、一緒に戦わせてくれ！			踏み出す一歩							
……って、まずは手当てだよな、うん。俺、先に村に戻って、あんたたちを受け入れる準備しとく。傷に障らないよう来るんだぞ、ゆっくりだからなっ！			……って、まずは手当てだよな、うん。俺、先に村に戻って、あんたたちを受け入れる準備しとく。傷に障らないよう来るんだぞ、ゆっくりだからなっ！			踏み出す一歩							
具合、平気か……？村のみんなには話をしてある。適当に腰掛けて、ゆっくり休んでくれ。			具合、平気か……？村のみんなには話をしてある。適当に腰掛けて、ゆっくり休んでくれ。			踏み出す一歩							
…………あのさ。いろいろ言ったのに、俺たちのこと、諦めないでくれたよな。			…………あのさ。いろいろ言ったのに、俺たちのこと、諦めないでくれたよな。			踏み出す一歩							
ありがとう……。俺の中で死にかけてたドマを、見つけてくれて。ユウギリって忍びにも、あとで礼を……言えるかな。			ありがとう……。俺の中で死にかけてたドマを、見つけてくれて。ユウギリって忍びにも、あとで礼を……言えるかな。			踏み出す一歩							
さて、私は何から手を付けようか……。			さて、私は何から手を付けようか……。			踏み出す一歩							
Forename殿……私は、ヒエン様の捜索に同行したいと思っている。			Forename殿……私は、ヒエン様の捜索に同行したいと思っている。			踏み出す一歩							
前回会った場所に案内できるというのもあるが……「民に戦う意志があるのか」との問いに、今ならば自信をもって答えられるからだ。			前回会った場所に案内できるというのもあるが……「民に戦う意志があるのか」との問いに、今ならば自信をもって答えられるからだ。			踏み出す一歩							
怪我については問題ない。それよりも、この目で見た民の勇姿を、ヒエン様にお伝えしたいのだ。			怪我については問題ない。それよりも、この目で見た民の勇姿を、ヒエン様にお伝えしたいのだ。			踏み出す一歩							
ドマの民は、よき主君をいただくことで、幾重にも強くなる。若には、いよいよ腹をくくってお戻りいただかねば。			ドマの民は、よき主君をいただくことで、幾重にも強くなる。若には、いよいよ腹をくくってお戻りいただかねば。			踏み出す一歩							
捜索には、是非、おぬしも同行されたし！主君とはすなわち、その国の精神そのもの……同志たるおぬしにも、見定めてもらいたいのでござる。			捜索には、是非、おぬしも同行されたし！主君とはすなわち、その国の精神そのもの……同志たるおぬしにも、見定めてもらいたいのでござる。			踏み出す一歩							
拙者も、若に再会するのが待ち遠しいでござる。			拙者も、若に再会するのが待ち遠しいでござる。			踏み出す一歩							
ヒエンは、どんな人なんだろう……。聞いた話だと、アタシと近い年頃らしいんだけど。			ヒエンは、どんな人なんだろう……。聞いた話だと、アタシと近い年頃らしいんだけど。			踏み出す一歩							
フォルドラみたいに、属州で生きる同世代の子は、帝国の支配を受け入れつつある。その中で、ドマの殿様になった彼は、何を思ってるのかな。			フォルドラみたいに、属州で生きる同世代の子は、帝国の支配を受け入れつつある。その中で、ドマの殿様になった彼は、何を思ってるのかな。			踏み出す一歩							
……アタシ、ヒエンに会って話をしてみたい。ドマのためにも、アタシが強くなっていくためにも！			……アタシ、ヒエンに会って話をしてみたい。ドマのためにも、アタシが強くなっていくためにも！			踏み出す一歩							
このあとどうするか、相談して決めなくちゃね。			このあとどうするか、相談して決めなくちゃね。			踏み出す一歩							
民の士気を高めるため、まずは主君を迎えにいく……シャーレアンやウルダハなんかじゃ、まず出てこない言葉よね。			民の士気を高めるため、まずは主君を迎えにいく……シャーレアンやウルダハなんかじゃ、まず出てこない言葉よね。			踏み出す一歩							
こちらの歴史あってこその思想だろうね。しかし、たったひとりの存在が大勢の心を動かすことも、事実、あるんじゃないだろうか？			こちらの歴史あってこその思想だろうね。しかし、たったひとりの存在が大勢の心を動かすことも、事実、あるんじゃないだろうか？			踏み出す一歩							
ふーん？まるで、そういう事例を見たことがあるって口ぶりじゃない。いったい、どちらの英雄さんの話かしら？			ふーん？まるで、そういう事例を見たことがあるって口ぶりじゃない。いったい、どちらの英雄さんの話かしら？			踏み出す一歩							
……まあ、それはそれとして。私たちもドマの殿様に興味はあるけれど、こっちに残って、攻城戦の準備を整える人も必要じゃない？			……まあ、それはそれとして。私たちもドマの殿様に興味はあるけれど、こっちに残って、攻城戦の準備を整える人も必要じゃない？			踏み出す一歩							
クガネに残ってるタタルや、海賊衆と連携をとるにも、エーテライトが復旧してれば便利だし……いざってときにドマの民衆を守れるようにしておくべきよ。			クガネに残ってるタタルや、海賊衆と連携をとるにも、エーテライトが復旧してれば便利だし……いざってときにドマの民衆を守れるようにしておくべきよ。			踏み出す一歩							
言ったからには、やり遂げないとね。アルフィノと一緒に作業とか、いつ以来？			言ったからには、やり遂げないとね。アルフィノと一緒に作業とか、いつ以来？			踏み出す一歩							
そうか……。それぞれ、やるべき行動は見えたようだね。			そうか……。それぞれ、やるべき行動は見えたようだね。			踏み出す一歩							
ああ、私たちは、ヒエン様をお連れすべく、「アジムステップ」へ向かおう。			ああ、私たちは、ヒエン様をお連れすべく、「アジムステップ」へ向かおう。			踏み出す一歩							
Forename殿、おぬしにも同行願えるでござるか？			Forename殿、おぬしにも同行願えるでござるか？			踏み出す一歩							
その間に、私たちは各所と連携をとりつつ、ドマ城に攻め上る準備を整えておくわ。			その間に、私たちは各所と連携をとりつつ、ドマ城に攻め上る準備を整えておくわ。			踏み出す一歩							
これから帝国軍がどう出てくるかわからないけれど、最優先は、あなたたちの帰還まで戦力を拡大、保持すること。連中との戦いは、極力避ける方向でいくわね。			これから帝国軍がどう出てくるかわからないけれど、最優先は、あなたたちの帰還まで戦力を拡大、保持すること。連中との戦いは、極力避ける方向でいくわね。			踏み出す一歩							
危険な状態になりそうだったら、すぐに呼び戻してね。……今度も「全員、必ずまた無事で」なんだから。			危険な状態になりそうだったら、すぐに呼び戻してね。……今度も「全員、必ずまた無事で」なんだから。			踏み出す一歩							
それでは、ヒエン様のいらっしゃった場所……アジムステップの「再会の市」まで案内いたそう。			それでは、ヒエン様のいらっしゃった場所……アジムステップの「再会の市」まで案内いたそう。			踏み出す一歩							
な、なあ、あんたたち……！			な、なあ、あんたたち……！			踏み出す一歩							
旅立つんなら、弁当、持ってけよ。うちの村に残ってる奴は、ろくすっぽ戦えないけど、俺たちが作った米はうまいんだ。			旅立つんなら、弁当、持ってけよ。うちの村に残ってる奴は、ろくすっぽ戦えないけど、俺たちが作った米はうまいんだ。			踏み出す一歩							
……こんなこと言ったら、都合がよすぎるって怒られるかもしれないけどさ。			……こんなこと言ったら、都合がよすぎるって怒られるかもしれないけどさ。			踏み出す一歩							
若様が戻ってきて、戦に勝って、父さんと母さんが見せてくれるって言った、本当のドマになる日が来るのを……待ってる！			若様が戻ってきて、戦に勝って、父さんと母さんが見せてくれるって言った、本当のドマになる日が来るのを……待ってる！			踏み出す一歩							
ユヅカ代官屋敷付近のユウギリは、作戦の仔細を確認したいようだ。			ユヅカ代官屋敷付近のユウギリは、作戦の仔細を確認したいようだ。			ゼノス暗殺計画							
管轄地の視察をするため、ゼノスがドマにやってきた。この機に乗じて、ユウギリはゼノス暗殺を計画。ユヅカ代官屋敷の「指定地点」で見渡し、身をひそめる場所を探そう。			管轄地の視察をするため、ゼノスがドマにやってきた。この機に乗じて、ユウギリはゼノス暗殺を計画。ユヅカ代官屋敷の「指定地点」で見渡し、身をひそめる場所を探そう。			ゼノス暗殺計画							
身をひそめるのに適した場所を見つけた。戦いの支度を整え、ユヅカ代官屋敷の「ユウギリ」と話そう。			身をひそめるのに適した場所を見つけた。戦いの支度を整え、ユヅカ代官屋敷の「ユウギリ」と話そう。			ゼノス暗殺計画							
ユウギリとともに身をひそめ、ゼノス暗殺を実行した。腕を上げた冒険者は奮戦したものの、妖刀アメノハバキリを得たゼノスを仕留めることはできなかった。どうにか、ユヅカ代官屋敷付近から撤退しよう。			ユウギリとともに身をひそめ、ゼノス暗殺を実行した。腕を上げた冒険者は奮戦したものの、妖刀アメノハバキリを得たゼノスを仕留めることはできなかった。どうにか、ユヅカ代官屋敷付近から撤退しよう。			ゼノス暗殺計画							
かけつけたドマの民や仲間たちとともに撤退することができた。東龍鱗橋付近の「アリゼー」と話そう。			かけつけたドマの民や仲間たちとともに撤退することができた。東龍鱗橋付近の「アリゼー」と話そう。			ゼノス暗殺計画							
