アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			アプカル滝のヤ・ミトラは、最後の試練の開始を告げようとしている。			不可視の脅威							
最後の試練が始まる。模擬戦の舞台となるシールロックへ向かうため、ウルダハ・ランディングで「ヤ・ミトラ」と合流しよう。			最後の試練が始まる。模擬戦の舞台となるシールロックへ向かうため、ウルダハ・ランディングで「ヤ・ミトラ」と合流しよう。			不可視の脅威							
先にシールロックへ渡ったダンシング・ウルフ大闘士の特務隊が、何者かに襲撃されたという。救助に向かうため、戦いの準備を整えて、ウルダハ・ランディングの「特務隊の飛空兵」と話そう。			先にシールロックへ渡ったダンシング・ウルフ大闘士の特務隊が、何者かに襲撃されたという。救助に向かうため、戦いの準備を整えて、ウルダハ・ランディングの「特務隊の飛空兵」と話そう。			不可視の脅威							
特務隊を襲った謎の召喚士を退けた。「ウルダハ・ランディング」へ戻ろう。			特務隊を襲った謎の召喚士を退けた。「ウルダハ・ランディング」へ戻ろう。			不可視の脅威							
特務隊を襲ったのは、数千年前に死んだはずのアラグの大召喚士サリだった。ウルダハ・ランディングの「ダンシング・ウルフ大闘士」と話そう。			特務隊を襲ったのは、数千年前に死んだはずのアラグの大召喚士サリだった。ウルダハ・ランディングの「ダンシング・ウルフ大闘士」と話そう。			不可視の脅威							
ダンシング・ウルフ大闘士と話した。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			ダンシング・ウルフ大闘士と話した。グリダニアへ戻り、アプカル滝の「ヤ・ミトラ」と話そう。			不可視の脅威							
ヤ・ミトラと話した。サリの手で、プリンクの秘法が封印されてしまったという。ヤ・ミトラは、姿を消したサリの行方を追うつもりのようだが……。※召喚士のレベルが68以上になると、アプカル滝のヤ・ミトラから次の召喚士クエストを受注することができます。			ヤ・ミトラと話した。サリの手で、プリンクの秘法が封印されてしまったという。ヤ・ミトラは、姿を消したサリの行方を追うつもりのようだが……。※召喚士のレベルが68以上になると、アプカル滝のヤ・ミトラから次の召喚士クエストを受注することができます。			不可視の脅威							
ウルダハ・ランディングのヤ・ミトラと合流			ウルダハ・ランディングのヤ・ミトラと合流			不可視の脅威							
特務隊の飛空兵と話す			特務隊の飛空兵と話す			不可視の脅威							
ダンシング・ウルフ大闘士と話す			ダンシング・ウルフ大闘士と話す			不可視の脅威							
グリダニアのヤ・ミトラと話す			グリダニアのヤ・ミトラと話す			不可視の脅威							
召喚士たちを救出せよ！			召喚士たちを救出せよ！			不可視の脅威							
謎めいた召喚士を倒せ！			謎めいた召喚士を倒せ！			不可視の脅威							
残る試練は、あとひとつでございます。召喚魔法の大いなる秘法……どうか、勝ち取ってくださいませ。			残る試練は、あとひとつでございます。召喚魔法の大いなる秘法……どうか、勝ち取ってくださいませ。			不可視の脅威							
Forename、ついに機が熟したわ！プリンクが、第三の試練を始めるそうよ。			Forename、ついに機が熟したわ！プリンクが、第三の試練を始めるそうよ。			不可視の脅威							
はい、お嬢様ご主人様に最後の試練を課させていただきます。みごと勝利し、大いなる秘法を勝ち取ってください！			はい、お嬢様ご主人様に最後の試練を課させていただきます。みごと勝利し、大いなる秘法を勝ち取ってください！			不可視の脅威							
これまでの試練は「力」と「技」を見るものだったわね。最後の試練では、何を試すのかしら？			これまでの試練は「力」と「技」を見るものだったわね。最後の試練では、何を試すのかしら？			不可視の脅威							
……申し訳ございませんが、秘密でございます。			……申し訳ございませんが、秘密でございます。			不可視の脅威							
秘密って……いまさら意地悪？			秘密って……いまさら意地悪？			不可視の脅威							
そのような嗜癖の持ちあわせはございません。ただ試練の内容にかかわりますので、黙秘させていただきたく……。			そのような嗜癖の持ちあわせはございません。ただ試練の内容にかかわりますので、黙秘させていただきたく……。			不可視の脅威							
さて、今回は総合的な角度からの判断が必要ですので、より実戦に近い形式とさせていただきたいと存じます。			さて、今回は総合的な角度からの判断が必要ですので、より実戦に近い形式とさせていただきたいと存じます。			不可視の脅威							
つきましては、ほかの召喚士の方々とパーティを組み、実際の蛮神討滅に近い模擬戦を、執りおこなっていただきたいのですが……。			つきましては、ほかの召喚士の方々とパーティを組み、実際の蛮神討滅に近い模擬戦を、執りおこなっていただきたいのですが……。			不可視の脅威							
また、ダンシング・ウルフ大闘士に頼むしかないわね。……いま、連絡を取ってみるわ。			また、ダンシング・ウルフ大闘士に頼むしかないわね。……いま、連絡を取ってみるわ。			不可視の脅威							
聖コイナク財団のヤ・ミトラよ。実は、お願いがあるのだけど…………			聖コイナク財団のヤ・ミトラよ。実は、お願いがあるのだけど…………			不可視の脅威							
ふたつ返事で引き受けてくれたわ！アラグの遺跡がある人工島、シールロックの一部を使えるよう、手をまわしてくれるそうよ。			ふたつ返事で引き受けてくれたわ！アラグの遺跡がある人工島、シールロックの一部を使えるよう、手をまわしてくれるそうよ。			不可視の脅威							
飛空艇も用意してくれるって。Forename、準備が整ったら、「ウルダハ・ランディング」へ向かってくれる？			飛空艇も用意してくれるって。Forename、準備が整ったら、「ウルダハ・ランディング」へ向かってくれる？			不可視の脅威							
最後の試練です。万全の状態で臨んでください、お嬢様ご主人様。			最後の試練です。万全の状態で臨んでください、お嬢様ご主人様。			不可視の脅威							
シールロックにて、ダンシング・ウルフ大闘士らがお待ちです。演習の許可は取っていますが、あまり、無茶はしないでくださいよ……。			シールロックにて、ダンシング・ウルフ大闘士らがお待ちです。演習の許可は取っていますが、あまり、無茶はしないでくださいよ……。			不可視の脅威							
いよいよ、最後の試練です。万全の状態で臨んでください、お嬢様ご主人様。			いよいよ、最後の試練です。万全の状態で臨んでください、お嬢様ご主人様。			不可視の脅威							
第三の試練は、シールロックでの模擬戦よ。準備が整ったら、「ウルダハ・ランディング」へ向かってくれる？			第三の試練は、シールロックでの模擬戦よ。準備が整ったら、「ウルダハ・ランディング」へ向かってくれる？			不可視の脅威							
いよいよ、最後の試練です。万全の状態で臨んでください、お嬢様ご主人様。			いよいよ、最後の試練です。万全の状態で臨んでください、お嬢様ご主人様。			不可視の脅威							
Forename、いよいよ最後の試練ね！ダンシング・ウルフ大闘士たちは、すでに現地入りしてるわ。私たちもシールロックへ向かいましょう。			Forename、いよいよ最後の試練ね！ダンシング・ウルフ大闘士たちは、すでに現地入りしてるわ。私たちもシールロックへ向かいましょう。			不可視の脅威							
……え、特務隊のジャジャサム少闘士？…………なんですって……それは、どういう……！ちょっと、聞こえてる…………！？　お願い、応答して！			……え、特務隊のジャジャサム少闘士？…………なんですって……それは、どういう……！ちょっと、聞こえてる…………！？　お願い、応答して！			不可視の脅威							
通信が切れた……まずいわね……！Forename、シールロックで、特務隊が何者かに襲撃されたらしいの。			通信が切れた……まずいわね……！Forename、シールロックで、特務隊が何者かに襲撃されたらしいの。			不可視の脅威							
召喚士は全員負傷。ダンシング・ウルフ大闘士が食い止めているそうだけど、敵に押されているそうよ。			召喚士は全員負傷。ダンシング・ウルフ大闘士が食い止めているそうだけど、敵に押されているそうよ。			不可視の脅威							
…………模擬戦どころでは、なくなってしまったわね。「特務隊の飛空兵」に事情を話して、救援に向かいましょう！			…………模擬戦どころでは、なくなってしまったわね。「特務隊の飛空兵」に事情を話して、救援に向かいましょう！			不可視の脅威							
模擬戦どころでは、なくなってしまったわね。「特務隊の飛空兵」に事情を話して、救援に向かいましょう！			模擬戦どころでは、なくなってしまったわね。「特務隊の飛空兵」に事情を話して、救援に向かいましょう！			不可視の脅威							
お嬢様ご主人様、大変なことになりました。急いで、シールロックに向かう必要がありそうです！			お嬢様ご主人様、大変なことになりました。急いで、シールロックに向かう必要がありそうです！			不可視の脅威							
ウルダハ・ランディングの「特務隊の飛空兵」に事情を話して、ダンシング・ウルフ大闘士たちの救援に向かいましょう！			ウルダハ・ランディングの「特務隊の飛空兵」に事情を話して、ダンシング・ウルフ大闘士たちの救援に向かいましょう！			不可視の脅威							
お嬢様ご主人様、大変なことになりました。急いで、シールロックに向かう必要がありそうです！			お嬢様ご主人様、大変なことになりました。急いで、シールロックに向かう必要がありそうです！			不可視の脅威							
えっ……ダンシング・ウルフ大闘士たちが、襲撃を受けた？わかりました、すぐに飛空艇を出します！			えっ……ダンシング・ウルフ大闘士たちが、襲撃を受けた？わかりました、すぐに飛空艇を出します！			不可視の脅威							
不滅隊の本隊にも救援を要請しますが……すでに出港準備を終えた我々のフネが、いちばん早いはず。どうかヤ・ミトラ殿も、こちらへ……！			不滅隊の本隊にも救援を要請しますが……すでに出港準備を終えた我々のフネが、いちばん早いはず。どうかヤ・ミトラ殿も、こちらへ……！			不可視の脅威							
こっちよ、Forename！私についてきて！			こっちよ、Forename！私についてきて！			不可視の脅威							
生存者1名、発見いたしました。さっそく救助しましょう！			生存者1名、発見いたしました。さっそく救助しましょう！			不可視の脅威							
僕は、何とか無事です……。ほかの者たちの救助に向かってください！			僕は、何とか無事です……。ほかの者たちの救助に向かってください！			不可視の脅威							
……命に別状はないようね。いくわよ、Forename……遅れずついてきて！			……命に別状はないようね。いくわよ、Forename……遅れずついてきて！			不可視の脅威							
Forename、どこへ行くの……！？単独行動は危険よ！			Forename、どこへ行くの……！？単独行動は危険よ！			不可視の脅威							
これは…………召喚獣！？見たことのない種類だわ！			これは…………召喚獣！？見たことのない種類だわ！			不可視の脅威							
アラグの時代に使役された召喚獣です。ただ、これほどの数を、いったい誰が……。			アラグの時代に使役された召喚獣です。ただ、これほどの数を、いったい誰が……。			不可視の脅威							
奇妙な音声を発していますね。私めの知る範囲では、このような異常事態は報告されていません。			奇妙な音声を発していますね。私めの知る範囲では、このような異常事態は報告されていません。			不可視の脅威							
新たな生存者を1名、発見しました。重傷を負っている模様です！			新たな生存者を1名、発見しました。重傷を負っている模様です！			不可視の脅威							
ひどい傷だわ……すぐに手当しないと！プリンクも手伝って！			ひどい傷だわ……すぐに手当しないと！プリンクも手伝って！			不可視の脅威							
ごめん、恐ろしく強い敵でさ……。ダンシング・ウルフ大闘士が……この先でまだ、戦ってる……！			ごめん、恐ろしく強い敵でさ……。ダンシング・ウルフ大闘士が……この先でまだ、戦ってる……！			不可視の脅威							
私どもは、残って救護にあたります。お嬢様ご主人様……どうか、先をお急ぎください！			私どもは、残って救護にあたります。お嬢様ご主人様……どうか、先をお急ぎください！			不可視の脅威							
Forename、来てくれたのか。さっそくで悪いが、援護を頼む！			Forename、来てくれたのか。さっそくで悪いが、援護を頼む！			不可視の脅威							
……そうか、きみが例の「ターゲット」だね。では、その力のほど……見せてもらおうか！			……そうか、きみが例の「ターゲット」だね。では、その力のほど……見せてもらおうか！			不可視の脅威							
ふむ……それが、この時代の召喚魔法だね？もっと、見せておくれ！			ふむ……それが、この時代の召喚魔法だね？もっと、見せておくれ！			不可視の脅威							
龍神バハムートの力を借りるとしよう……。喰らうがいい……「メガフレア」！			龍神バハムートの力を借りるとしよう……。喰らうがいい……「メガフレア」！			不可視の脅威							
メガフレア……あれは、よけられそうもない！発動地点に近づいて受けた方が、傷が浅いかもしれん。			メガフレア……あれは、よけられそうもない！発動地点に近づいて受けた方が、傷が浅いかもしれん。			不可視の脅威							
まさかForename以外に、これほどの召喚士がいたとはな……！			まさかForename以外に、これほどの召喚士がいたとはな……！			不可視の脅威							
予想以上の実力の持ち主のようだね。……では、これでどうかな？			予想以上の実力の持ち主のようだね。……では、これでどうかな？			不可視の脅威							
バカな……邪竜を召喚しただと！？			バカな……邪竜を召喚しただと！？			不可視の脅威							
召喚の精度、そして膨大なエーテル量……。きみのあやつる技は、実に興味深い！			召喚の精度、そして膨大なエーテル量……。きみのあやつる技は、実に興味深い！			不可視の脅威							
そろそろ、限界か……。この場所では、十全に力を発揮できないな……。			そろそろ、限界か……。この場所では、十全に力を発揮できないな……。			不可視の脅威							
すまん、ここまでだ……クソッ！			すまん、ここまでだ……クソッ！			不可視の脅威							
