潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			潮風亭のエストリルドは、またまた道行く人を見定めているようだ。			ベテラン・モブハント（上級）							
ウルヴィヴァと話す			ウルヴィヴァと話す			ベテラン・モブハント（上級）							
あ、Forenameちゃんくんだ～。さてさて、あれからキミがどれぐらい成長できたか、私がチェックしてあげる！			あ、Forenameちゃんくんだ～。さてさて、あれからキミがどれぐらい成長できたか、私がチェックしてあげる！			ベテラン・モブハント（上級）							
……また一段と腕を上げやがったみたいだな！クックック、やっぱりテメェはおもしれェ！			……また一段と腕を上げやがったみたいだな！クックック、やっぱりテメェはおもしれェ！			ベテラン・モブハント（上級）							
よし、「ウルヴィヴァ」と話して、「上級」に挑戦してこい！クックック……果たして、テメェは生きて帰って来られるかな？			よし、「ウルヴィヴァ」と話して、「上級」に挑戦してこい！クックック……果たして、テメェは生きて帰って来られるかな？			ベテラン・モブハント（上級）							
それじゃ、怪我しないように気をつけてね～！			それじゃ、怪我しないように気をつけてね～！			ベテラン・モブハント（上級）							
ほう……エストリルドから、「上級」に挑戦しろと言われたのか。彼女がそこまで言うとは、お前の腕はよほどのものらしいな。			ほう……エストリルドから、「上級」に挑戦しろと言われたのか。彼女がそこまで言うとは、お前の腕はよほどのものらしいな。			ベテラン・モブハント（上級）							
よし、わかった。「上級」への挑戦を認めよう。			よし、わかった。「上級」への挑戦を認めよう。			ベテラン・モブハント（上級）							
しかし、「上級」のモブは一筋縄ではいかないぞ。自分の実力をしっかりと把握した上で、敵の力量を見誤らないように注意しろ。			しかし、「上級」のモブは一筋縄ではいかないぞ。自分の実力をしっかりと把握した上で、敵の力量を見誤らないように注意しろ。			ベテラン・モブハント（上級）							
「ベテラン・モブ手配書：上級」が開放された！			「ベテラン・モブ手配書：上級」が開放された！			ベテラン・モブハント（上級）							
クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：上級」を入手できるようになりました。			クガネとラールガーズリーチの「セントリオボード」から、「ベテラン・モブ手配書：上級」を入手できるようになりました。			ベテラン・モブハント（上級）							
また、「レベル70」になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・リスキーモブ手配書」に挑戦可能となります。			また、「レベル70」になると、潮風亭のエストリルドから、新たなクエストが受注でき、「ベテラン・リスキーモブ手配書」に挑戦可能となります。			ベテラン・モブハント（上級）							
よし、「ウルヴィヴァ」と話して、「上級」に挑戦してこい！クックック……果たして、テメェは生きて帰って来られるかな？			よし、「ウルヴィヴァ」と話して、「上級」に挑戦してこい！クックック……果たして、テメェは生きて帰って来られるかな？			ベテラン・モブハント（上級）							
イディルシャイアのゲイムロナは、冒険者に話があるようだ。			イディルシャイアのゲイムロナは、冒険者に話があるようだ。			お得意様アドキラー							
崖っぷち亭のアドキラーと話す			崖っぷち亭のアドキラーと話す			お得意様アドキラー							
これは冒険者様、いつもご利用いただきありがとうございます。			これは冒険者様、いつもご利用いただきありがとうございます。			お得意様アドキラー							
先日は、シロ・アリアポーの後援を快諾してくださったようで、僭越ながら、私からもお礼を言わせてください。あの子ったら、あなた様のことを楽しそうに話すのですよ。			先日は、シロ・アリアポーの後援を快諾してくださったようで、僭越ながら、私からもお礼を言わせてください。あの子ったら、あなた様のことを楽しそうに話すのですよ。			お得意様アドキラー							
ところで、またしてもあなた様に頼ってしまい恐縮なのですが……崖っぷち亭の店主、アドキラーさんをご存知でしょうか？			ところで、またしてもあなた様に頼ってしまい恐縮なのですが……崖っぷち亭の店主、アドキラーさんをご存知でしょうか？			お得意様アドキラー							
ここのところ、どこか思い詰めている様子が気になっていまして……。心なしか、ポーキーの被り物でも物憂げに見えるような……。			ここのところ、どこか思い詰めている様子が気になっていまして……。心なしか、ポーキーの被り物でも物憂げに見えるような……。			お得意様アドキラー							
とにかく、私がお声を掛けようにも、商売敵と思われているのか、警戒されてしまいまして……。			とにかく、私がお声を掛けようにも、商売敵と思われているのか、警戒されてしまいまして……。			お得意様アドキラー							
もしよろしければ、お仕事のついでにでも、崖っぷち亭の「アドキラー」さんの様子を見ていただけませんか？			もしよろしければ、お仕事のついでにでも、崖っぷち亭の「アドキラー」さんの様子を見ていただけませんか？			お得意様アドキラー							
もしよろしければ、お仕事のついでにでも、崖っぷち亭の「アドキラー」さんの様子を見ていただけませんか？			もしよろしければ、お仕事のついでにでも、崖っぷち亭の「アドキラー」さんの様子を見ていただけませんか？			お得意様アドキラー							
……うん？　珍しい客だな。我が「崖っぷち亭」の客、というわけではなさそうだが、このプリチー店主、アドキラーに何用か？			……うん？　珍しい客だな。我が「崖っぷち亭」の客、というわけではなさそうだが、このプリチー店主、アドキラーに何用か？			お得意様アドキラー							
アドキラーさんが、ここ最近思い詰めているようだったので、きっと、心配して来てくださったんですよ！			アドキラーさんが、ここ最近思い詰めているようだったので、きっと、心配して来てくださったんですよ！			お得意様アドキラー							
そうですよね、Forenameさん？			そうですよね、Forenameさん？			お得意様アドキラー							
フッ……順風満帆な店主人生を謳歌するこの我に、思い詰めることなど、あるはずもなかろう？このつぶらなおめめを見たまえ、悩みなど皆無だろうにッ！			フッ……順風満帆な店主人生を謳歌するこの我に、思い詰めることなど、あるはずもなかろう？このつぶらなおめめを見たまえ、悩みなど皆無だろうにッ！			お得意様アドキラー							
そうそう、さっきアドキラーさんが真剣に見ていたものって、この崖っぷち亭の帳簿ですよね？			そうそう、さっきアドキラーさんが真剣に見ていたものって、この崖っぷち亭の帳簿ですよね？			お得意様アドキラー							
久々に拝見させて…………………………えっ！？			久々に拝見させて…………………………えっ！？			お得意様アドキラー							
ぬあ！？ここここれは……！			ぬあ！？ここここれは……！			お得意様アドキラー							
大赤字！？？			大赤字！？？			お得意様アドキラー							
フ……ハハハハハハハ！そ、そそ、そんなわけ……！			フ……ハハハハハハハ！そ、そそ、そんなわけ……！			お得意様アドキラー							
ここのところ、東方だのなんだのに冒険者たちが浮かれおって、イディルシャイアなど見向きもしなくなってな……。まあ、なんだ……まさに、崖っぷちってことだなぁ！			ここのところ、東方だのなんだのに冒険者たちが浮かれおって、イディルシャイアなど見向きもしなくなってな……。まあ、なんだ……まさに、崖っぷちってことだなぁ！			お得意様アドキラー							
アドキラーさん！私にできることがあれば言ってください！なんなら、とっておきのフラットブレッドをお店に提供しますよ！			アドキラーさん！私にできることがあれば言ってください！なんなら、とっておきのフラットブレッドをお店に提供しますよ！			お得意様アドキラー							
でも……だって……このお店が潰れてしまったら、崖っぷち亭の一室を借りているメネフィナの家は……子供たちの住む家は、どうなってしまうのでしょう……？			でも……だって……このお店が潰れてしまったら、崖っぷち亭の一室を借りているメネフィナの家は……子供たちの住む家は、どうなってしまうのでしょう……？			お得意様アドキラー							
せっかくForenameさんにも、ご協力いただいているのに……。			せっかくForenameさんにも、ご協力いただいているのに……。			お得意様アドキラー							
(-慌てた様子の女性-)ハァ……ハァ……。お願いです、どうか、どうか……。かくまっていただけないでしょうか……！			(-慌てた様子の女性-)ハァ……ハァ……。お願いです、どうか、どうか……。かくまっていただけないでしょうか……！			お得意様アドキラー							
わわっ、なにごとですか！？			わわっ、なにごとですか！？			お得意様アドキラー							
トラブル発生……か。だが困っている女を見過ごすことはできぬ！さあ、早くこっちに来て、これを着るがよいぞ！			トラブル発生……か。だが困っている女を見過ごすことはできぬ！さあ、早くこっちに来て、これを着るがよいぞ！			お得意様アドキラー							
………………あぁ、あんたら店員なのか。			………………あぁ、あんたら店員なのか。			お得意様アドキラー							
イシュガルドから逃亡してきた女を知らないか？メロディーという名の女だ。嘘をついたら……容赦はしない。			イシュガルドから逃亡してきた女を知らないか？メロディーという名の女だ。嘘をついたら……容赦はしない。			お得意様アドキラー							
フッ……そのような女、知らぬなぁ？もっとも、この店で暴れることは、この店主アドキラーと……			フッ……そのような女、知らぬなぁ？もっとも、この店で暴れることは、この店主アドキラーと……			お得意様アドキラー							
そこの、冒険者Forenameが許さぬがなぁ！			そこの、冒険者Forenameが許さぬがなぁ！			お得意様アドキラー							
…………フン、そうかい。新しい雇い主様が大層ご立腹でな。邪魔したな。			…………フン、そうかい。新しい雇い主様が大層ご立腹でな。邪魔したな。			お得意様アドキラー							
……いったい、何があったんですか？			……いったい、何があったんですか？			お得意様アドキラー							
私はイシュガルドの、とある貴族の元で奉公する使用人でした。ですが、主からの酷い扱いに耐え兼ね……。夢中で逃げているうちに、この地にたどり着きましたわ……。			私はイシュガルドの、とある貴族の元で奉公する使用人でした。ですが、主からの酷い扱いに耐え兼ね……。夢中で逃げているうちに、この地にたどり着きましたわ……。			お得意様アドキラー							
幸か不幸か、残してきた家族はおりません！どうか、私をここで雇ってはいただけないでしょうか？イシュガルドに戻ったら、どんな酷い目に遭うか……。			幸か不幸か、残してきた家族はおりません！どうか、私をここで雇ってはいただけないでしょうか？イシュガルドに戻ったら、どんな酷い目に遭うか……。			お得意様アドキラー							
ふむ、事情はわかった。崖っぷち亭の店員として、我の店で働くがよい。ただし……この店の経営状況は火の車だがなぁ！			ふむ、事情はわかった。崖っぷち亭の店員として、我の店で働くがよい。ただし……この店の経営状況は火の車だがなぁ！			お得意様アドキラー							
そうだ！私、画期的な案をひらめいちゃいましたよ！この店で、新しいメニューを提供してはいかがでしょう？			そうだ！私、画期的な案をひらめいちゃいましたよ！この店で、新しいメニューを提供してはいかがでしょう？			お得意様アドキラー							
メロディーさん、使用人として働いていたのなら、イシュガルド料理などにも、詳しいのではないですか？もしそうでしたら、ぜひ新メニューの開発に力を貸してください！			メロディーさん、使用人として働いていたのなら、イシュガルド料理などにも、詳しいのではないですか？もしそうでしたら、ぜひ新メニューの開発に力を貸してください！			お得意様アドキラー							
ええ、もちろんです！イシュガルド料理のことでしたら、私もお力になれるはずです！喜んでお手伝いさせていただきますわ！			ええ、もちろんです！イシュガルド料理のことでしたら、私もお力になれるはずです！喜んでお手伝いさせていただきますわ！			お得意様アドキラー							
足りない素材や食器、調理器具といった品々は、熟練の職人さんの協力を得て、収集品として調達するんです！Forenameさん、腕の見せどころですよ！			足りない素材や食器、調理器具といった品々は、熟練の職人さんの協力を得て、収集品として調達するんです！Forenameさん、腕の見せどころですよ！			お得意様アドキラー							
みんなの力で、崖っぷち亭を盛り上げることができれば、相乗効果でイディルシャイアの活性化にもつながるはずですよ！スクリップのお支払いができるよう、ロウェナさんに頼んでみます！			みんなの力で、崖っぷち亭を盛り上げることができれば、相乗効果でイディルシャイアの活性化にもつながるはずですよ！スクリップのお支払いができるよう、ロウェナさんに頼んでみます！			お得意様アドキラー							
う、うむ……我が口を挟む間もなく決まってしまった……。			う、うむ……我が口を挟む間もなく決まってしまった……。			お得意様アドキラー							
だが、シロ嬢の考えにも一理ある……。このアドキラー、貴様に賭けてみることにしたぞ！崖っぷち亭を崖っぷちから救うため、我に力を貸してほしい！			だが、シロ嬢の考えにも一理ある……。このアドキラー、貴様に賭けてみることにしたぞ！崖っぷち亭を崖っぷちから救うため、我に力を貸してほしい！			お得意様アドキラー							
うん？　報酬については心配いらぬ。このまま、あのロウェナ商会が出資者として絡むとなれば、少なくとも職人である貴様は損をしないはずだ……。			うん？　報酬については心配いらぬ。このまま、あのロウェナ商会が出資者として絡むとなれば、少なくとも職人である貴様は損をしないはずだ……。			お得意様アドキラー							
たとえロウェナ商会に我の利益が喰らい尽くされようが……崖っぷち亭が、崖の下に堕ちるよりはマシというものである。すまぬが「イシュガルド料理必需品」を調達してきてくれ！			たとえロウェナ商会に我の利益が喰らい尽くされようが……崖っぷち亭が、崖の下に堕ちるよりはマシというものである。すまぬが「イシュガルド料理必需品」を調達してきてくれ！			お得意様アドキラー							
崖っぷち亭のメロディーは、気になる情報を持っているようだ。			崖っぷち亭のメロディーは、気になる情報を持っているようだ。			崖っぷち亭に迫る影							
イディルシャイアのブルガンと話す			イディルシャイアのブルガンと話す			崖っぷち亭に迫る影							
崖っぷち亭のブルガンと話す			崖っぷち亭のブルガンと話す			崖っぷち亭に迫る影							
あら、Forenameさん、こんにちは。街で見かけたアウラ・ゼラの男性についてですか？			あら、Forenameさん、こんにちは。街で見かけたアウラ・ゼラの男性についてですか？			崖っぷち亭に迫る影							
ええ、初めて見るアウラ族の方で、珍しい服装をしていました。ちょうど、アルグさんやテレボゲちゃんたちのような……。それに、誰かを探しているように見えましたわ。			ええ、初めて見るアウラ族の方で、珍しい服装をしていました。ちょうど、アルグさんやテレボゲちゃんたちのような……。それに、誰かを探しているように見えましたわ。			崖っぷち亭に迫る影							
そういえば、店長にもアウラ族のような尻尾がありますが、何かご関係があるのかしら……？			そういえば、店長にもアウラ族のような尻尾がありますが、何かご関係があるのかしら……？			崖っぷち亭に迫る影							
親分！大変でやんす～！			親分！大変でやんす～！			崖っぷち亭に迫る影							
あっ、先ほどの方……。い、いらっしゃいませ！			あっ、先ほどの方……。い、いらっしゃいませ！			崖っぷち亭に迫る影							
(-アダルキム族の男-)アドキラーという男を探しているのだが、知っていたら、どこにいるか教えていただきたい。			(-アダルキム族の男-)アドキラーという男を探しているのだが、知っていたら、どこにいるか教えていただきたい。			崖っぷち亭に迫る影							
ええっと……？			ええっと……？			崖っぷち亭に迫る影							
アンタはあの時世話になった冒険者……！こんなところで再会できるとは！俺の名はブルガン、アドキラーの弟だ。			アンタはあの時世話になった冒険者……！こんなところで再会できるとは！俺の名はブルガン、アドキラーの弟だ。			崖っぷち亭に迫る影							
兄貴の噂を聞き、連れ戻すためにはるばるやって来たのだが、アドキラーを見かけなかっただろうか？			兄貴の噂を聞き、連れ戻すためにはるばるやって来たのだが、アドキラーを見かけなかっただろうか？			崖っぷち亭に迫る影							
先日、一族から失踪したふたり組をアジムステップで見かけてな、後を付けてきたので、この場所で間違いないと思うのだが……。彼らは兄貴に忠誠を誓った身ゆえ、俺に真実は語るまい。			先日、一族から失踪したふたり組をアジムステップで見かけてな、後を付けてきたので、この場所で間違いないと思うのだが……。彼らは兄貴に忠誠を誓った身ゆえ、俺に真実は語るまい。			崖っぷち亭に迫る影							
ああ、兄貴の特徴を伝えていなかったな！			ああ、兄貴の特徴を伝えていなかったな！			崖っぷち亭に迫る影							
兄貴は、そうだな。自分のことを「我」と言い……			兄貴は、そうだな。自分のことを「我」と言い……			崖っぷち亭に迫る影							
ボーズ作りが得意で……			ボーズ作りが得意で……			崖っぷち亭に迫る影							
俺と同じアウラ・ゼラゆえに、黒い鱗の尻尾があるな！			俺と同じアウラ・ゼラゆえに、黒い鱗の尻尾があるな！			崖っぷち亭に迫る影							
何と言う？			何と言う？			崖っぷち亭に迫る影							
