ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			ピーリングストーンズのメ・ラツ・ヌンは、再び冒険者に頼みたいことがあるようだ。			大精霊が宿る木							
メ・ラツ・ヌンは、過去に起こった魔物の暴走について、カリヤナ派のアナンタ族が絡んでいるという。ギラバニア辺境地帯の「イーストエンド混交林」で、カリヤナ派のアナンタ族を探そう。			メ・ラツ・ヌンは、過去に起こった魔物の暴走について、カリヤナ派のアナンタ族が絡んでいるという。ギラバニア辺境地帯の「イーストエンド混交林」で、カリヤナ派のアナンタ族を探そう。			大精霊が宿る木							
タラ・モルコー少牙士が、カリヤナ派のアナンタ族に襲われていた。「タラ・モルコー少牙士」を救助しよう。			タラ・モルコー少牙士が、カリヤナ派のアナンタ族に襲われていた。「タラ・モルコー少牙士」を救助しよう。			大精霊が宿る木							
カリヤナ派のアナンタ族に襲われている、タラ・モルコー少牙士を救助した。タラ・モルコー少牙士は、賢者の木が淀んだ原因を調査しにきていたようだ。イーストエンド混交林の「賢者の木」を調べよう。			カリヤナ派のアナンタ族に襲われている、タラ・モルコー少牙士を救助した。タラ・モルコー少牙士は、賢者の木が淀んだ原因を調査しにきていたようだ。イーストエンド混交林の「賢者の木」を調べよう。			大精霊が宿る木							
賢者の木になる実には、魔物を暴走させる効果があるらしい。原因は、木の根元に埋められていた毒性化学兵器「黒薔薇」の煙を、木が吸い上げていたからだという。メ・ゼト・ティアは、捕らえたカリヤナ派のアナンタ族を連れて、ピーリングストーンズへ、タラ・モルコー少牙士は、「黒薔薇」の貯蔵容器回収を依頼するため、カストルム・オリエンスへと向かった。ピーリングストーンズの「メ・ラツ・ヌン」と話そう。			賢者の木になる実には、魔物を暴走させる効果があるらしい。原因は、木の根元に埋められていた毒性化学兵器「黒薔薇」の煙を、木が吸い上げていたからだという。メ・ゼト・ティアは、捕らえたカリヤナ派のアナンタ族を連れて、ピーリングストーンズへ、タラ・モルコー少牙士は、「黒薔薇」の貯蔵容器回収を依頼するため、カストルム・オリエンスへと向かった。ピーリングストーンズの「メ・ラツ・ヌン」と話そう。			大精霊が宿る木							
メ・ラツ・ヌンによると、ウィルラ派のアナンタ族とは、これまで友好的に付き合ってきたが、カリヤナ派は自らの領地に閉じこもってばかりで、接点がなかったという。それだけに、カリヤナ派のアナンタ族が事件の黒幕だったことに驚いたようだ。さらに、メ・ラツ・ヌンは、メ・ゼト・ティアがピーリングストーンズの「ティア」らしくなってきたことに言及し、冒険者が紡いだ絆が、メ族の未来を築いていくことを信じていると締めくくった。			メ・ラツ・ヌンによると、ウィルラ派のアナンタ族とは、これまで友好的に付き合ってきたが、カリヤナ派は自らの領地に閉じこもってばかりで、接点がなかったという。それだけに、カリヤナ派のアナンタ族が事件の黒幕だったことに驚いたようだ。さらに、メ・ラツ・ヌンは、メ・ゼト・ティアがピーリングストーンズの「ティア」らしくなってきたことに言及し、冒険者が紡いだ絆が、メ族の未来を築いていくことを信じていると締めくくった。			大精霊が宿る木							
カリヤナ派のアナンタ族を探す			カリヤナ派のアナンタ族を探す			大精霊が宿る木							
タラ・モルコー少牙士を救助			タラ・モルコー少牙士を救助			大精霊が宿る木							
賢者の木を調べる			賢者の木を調べる			大精霊が宿る木							
メ・ラツ・ヌンと話す			メ・ラツ・ヌンと話す			大精霊が宿る木							
ときに客人よ……。冒険者としてのお前に、仕事を依頼することはできようか？			ときに客人よ……。冒険者としてのお前に、仕事を依頼することはできようか？			大精霊が宿る木							
メ・ゼトの父親が命を墜とすことになった、魔物の暴走についてだが、少しばかり嫌な噂を耳にしてな……。なんと、カリヤナ派のアナンタ族が絡んでいたというのだ。			メ・ゼトの父親が命を墜とすことになった、魔物の暴走についてだが、少しばかり嫌な噂を耳にしてな……。なんと、カリヤナ派のアナンタ族が絡んでいたというのだ。			大精霊が宿る木							
カリヤナ派と言えば、内向的な一派だけに信じがたいが、同じアナンタ族から伝え聞いた話となれば、無視できない。			カリヤナ派と言えば、内向的な一派だけに信じがたいが、同じアナンタ族から伝え聞いた話となれば、無視できない。			大精霊が宿る木							
そこで、勇敢な冒険者であるお前に、噂の真偽を調査してもらいたいのだ。			そこで、勇敢な冒険者であるお前に、噂の真偽を調査してもらいたいのだ。			大精霊が宿る木							
実は時を同じくして、カリヤナ派が不可解な動きを見せている。滅多に縄張りを出ない連中が、ベロジナ川を渡り、西のイーストエンド混交林に向かったのだ。			実は時を同じくして、カリヤナ派が不可解な動きを見せている。滅多に縄張りを出ない連中が、ベロジナ川を渡り、西のイーストエンド混交林に向かったのだ。			大精霊が宿る木							
どうにも胸騒ぎがする……。すまないが、「イーストエンド混交林」に向かい、カリヤナ派のアナンタ族の動向を探ってくれ！			どうにも胸騒ぎがする……。すまないが、「イーストエンド混交林」に向かい、カリヤナ派のアナンタ族の動向を探ってくれ！			大精霊が宿る木							
敵が襲いかかってきた！！			敵が襲いかかってきた！！			大精霊が宿る木							
奴ら……「イーストエンド混交林」で、いったい何をするつもりだ。			奴ら……「イーストエンド混交林」で、いったい何をするつもりだ。			大精霊が宿る木							
Forenameさん、ありがとうございます。……なんだか、以前にもこういうことがあったような……それはさておき。			Forenameさん、ありがとうございます。……なんだか、以前にもこういうことがあったような……それはさておき。			大精霊が宿る木							
あれから私は、この地の郷土史について調査していました。その過程で、かつてこの大樹が「大精霊が宿る木」として、地元の住民に祀られていたことを知ったんです。			あれから私は、この地の郷土史について調査していました。その過程で、かつてこの大樹が「大精霊が宿る木」として、地元の住民に祀られていたことを知ったんです。			大精霊が宿る木							
ですが、それは帝国軍が来る前までの話……。現在はこのとおり、禍々しく淀んでしまっています。			ですが、それは帝国軍が来る前までの話……。現在はこのとおり、禍々しく淀んでしまっています。			大精霊が宿る木							
そこで、淀みの原因を探ろうと来てみたら、アナンタ族から襲撃を受けたというわけです。ところで、Forenameさんは、なぜここに？			そこで、淀みの原因を探ろうと来てみたら、アナンタ族から襲撃を受けたというわけです。ところで、Forenameさんは、なぜここに？			大精霊が宿る木							
アナンタ族が、魔物を暴走させた疑惑があるですって？うーん、その事件と、彼女たちの動向が結びつくかは謎ですが、とにもかくにも、賢者の木を調べてみましょう。			アナンタ族が、魔物を暴走させた疑惑があるですって？うーん、その事件と、彼女たちの動向が結びつくかは謎ですが、とにもかくにも、賢者の木を調べてみましょう。			大精霊が宿る木							
カリヤナ派のアナンタ族が、なぜこんなところまで、やって来ていたのか……動機に繋がる何かが、見つかるかもしれませんよ。			カリヤナ派のアナンタ族が、なぜこんなところまで、やって来ていたのか……動機に繋がる何かが、見つかるかもしれませんよ。			大精霊が宿る木							
