自由弁論館の水晶公は、とっておきの提案があるようだ。			自由弁論館の水晶公は、とっておきの提案があるようだ。			クリスタリウムの意気							
ライナと話す			ライナと話す			クリスタリウムの意気							
カットリスと話す			カットリスと話す			クリスタリウムの意気							
シェッサミールと話す			シェッサミールと話す			クリスタリウムの意気							
シェッサミールの近くで王子の口づけを飲む			シェッサミールの近くで王子の口づけを飲む			クリスタリウムの意気							
ゼム・ジェンマイと話す			ゼム・ジェンマイと話す			クリスタリウムの意気							
ともかく、水晶公の話を聞いてみよう。			ともかく、水晶公の話を聞いてみよう。			クリスタリウムの意気							
水晶公とクリスタリウムに任せるって……いったいどういうことかしら？			水晶公とクリスタリウムに任せるって……いったいどういうことかしら？			クリスタリウムの意気							
ミンフィリアについては、気に留めている住民も多かった。必ずや、皆で彼女を救い出そう。あなたは、ライナたち衛兵団とともに行動を。			ミンフィリアについては、気に留めている住民も多かった。必ずや、皆で彼女を救い出そう。あなたは、ライナたち衛兵団とともに行動を。			クリスタリウムの意気							
こうなったからには、私たちも腹をくくるしかないね。ミンフィリア救出作戦、一丸となってがんばろう！			こうなったからには、私たちも腹をくくるしかないね。ミンフィリア救出作戦、一丸となってがんばろう！			クリスタリウムの意気							
この街のこういうとこ、嫌いじゃないわ。住民たちに負けてられないわね！			この街のこういうとこ、嫌いじゃないわ。住民たちに負けてられないわね！			クリスタリウムの意気							
さて、我が衛兵団に一兵卒として加わるというのなら、特別扱いはせず、キビキビ働いていただきますよ。……よろしいですね？			さて、我が衛兵団に一兵卒として加わるというのなら、特別扱いはせず、キビキビ働いていただきますよ。……よろしいですね？			クリスタリウムの意気							
返事は敬礼で！			返事は敬礼で！			クリスタリウムの意気							
素晴らしい。日ごろの公より、よほど覇気が感じられます。			素晴らしい。日ごろの公より、よほど覇気が感じられます。			クリスタリウムの意気							
それではまず、皆さん用に、衛兵団の制服を用意してもらうとしましょう。			それではまず、皆さん用に、衛兵団の制服を用意してもらうとしましょう。			クリスタリウムの意気							
ミーン工芸館の「カットリス」を訪ねて、合う大きさの制服を見繕ってもらってください。私もあとから合流します。			ミーン工芸館の「カットリス」を訪ねて、合う大きさの制服を見繕ってもらってください。私もあとから合流します。			クリスタリウムの意気							
ミーン工芸館の「カットリス」を訪ねて、合う大きさの制服を見繕ってもらってください。			ミーン工芸館の「カットリス」を訪ねて、合う大きさの制服を見繕ってもらってください。			クリスタリウムの意気							
おっ、来たね！先に来たアルフィノとアリゼーから、話は聞いてるよ。ふたりの採寸も、もうはじめたところさ。			おっ、来たね！先に来たアルフィノとアリゼーから、話は聞いてるよ。ふたりの採寸も、もうはじめたところさ。			クリスタリウムの意気							
ささ、あんたも奥へ。衛兵団としての初陣なんだ、ぴったりの制服で、ばっちりキメてやるんだよ！			ささ、あんたも奥へ。衛兵団としての初陣なんだ、ぴったりの制服で、ばっちりキメてやるんだよ！			クリスタリウムの意気							
測り終わったようだね。どれ、結果のメモを見せてもらえるかい？			測り終わったようだね。どれ、結果のメモを見せてもらえるかい？			クリスタリウムの意気							
……ふむ、なるほどね。			……ふむ、なるほどね。			クリスタリウムの意気							
制服の準備は順調ですか？			制服の準備は順調ですか？			クリスタリウムの意気							
悪いが、Forenameの分も、アルフィノとアリゼーの分も、ぴったり合うサイズの制服が、在庫にはないようだ。			悪いが、Forenameの分も、アルフィノとアリゼーの分も、ぴったり合うサイズの制服が、在庫にはないようだ。			クリスタリウムの意気							
ただ、近いサイズのものはあるから、急いで手直しすれば、そう待たせず準備できるよ。			ただ、近いサイズのものはあるから、急いで手直しすれば、そう待たせず準備できるよ。			クリスタリウムの意気							
わかりました。では、急いで仕上げて、任務地へ直接届けてください。			わかりました。では、急いで仕上げて、任務地へ直接届けてください。			クリスタリウムの意気							
あなた方には、このまま作戦の内容を説明しておきましょう。			あなた方には、このまま作戦の内容を説明しておきましょう。			クリスタリウムの意気							
さきほど提案したとおり、まずはアマロに騎乗した部隊が、眠り薬「ドリームパウダー」を、ラクサン城の上空から、敵軍に散布します。			さきほど提案したとおり、まずはアマロに騎乗した部隊が、眠り薬「ドリームパウダー」を、ラクサン城の上空から、敵軍に散布します。			クリスタリウムの意気							
その後、精鋭が城内に突入。できるだけ双方に被害を出さないようにしつつ、ミンフィリアの救出を目指します。			その後、精鋭が城内に突入。できるだけ双方に被害を出さないようにしつつ、ミンフィリアの救出を目指します。			クリスタリウムの意気							
私たちは、その突入部隊に配属ってところかしら？			私たちは、その突入部隊に配属ってところかしら？			クリスタリウムの意気							
ええ……。			ええ……。			クリスタリウムの意気							
アルフィノとアリゼーは、東側にあるジョッブ砦からの突入部隊に。			アルフィノとアリゼーは、東側にあるジョッブ砦からの突入部隊に。			クリスタリウムの意気							
Forenameは、私とともに、西側のオスタル厳命城からの突入部隊に加わってもらいます。			Forenameは、私とともに、西側のオスタル厳命城からの突入部隊に加わってもらいます。			クリスタリウムの意気							
各人、現地に向かう前には、クリスタリウムの「スパジャイリクス医療館」に立ち寄って、館長の「シェッサミール」に声をかけてください。			各人、現地に向かう前には、クリスタリウムの「スパジャイリクス医療館」に立ち寄って、館長の「シェッサミール」に声をかけてください。			クリスタリウムの意気							
あらかじめ摂取することで眠り薬の影響を受けにくくする薬を、支給してもらえる手筈になっていますので。			あらかじめ摂取することで眠り薬の影響を受けにくくする薬を、支給してもらえる手筈になっていますので。			クリスタリウムの意気							
ではまた、突入のときに。そちらも、十分に気をつけてくれ。			ではまた、突入のときに。そちらも、十分に気をつけてくれ。			クリスタリウムの意気							
私も先に出発しています。オスタル厳命城までは少し距離がありますので、薬を飲んだあとは、牧場でアマロを借りるといいでしょう。			私も先に出発しています。オスタル厳命城までは少し距離がありますので、薬を飲んだあとは、牧場でアマロを借りるといいでしょう。			クリスタリウムの意気							
あらあら……うふふ……貴方も衛兵団の子でしょう……？ケガをしているようには、見えないものねぇ……。			あらあら……うふふ……貴方も衛兵団の子でしょう……？ケガをしているようには、見えないものねぇ……。			クリスタリウムの意気							
それじゃあ、はい……ドリームパウダーの効き目を抑える抗体薬、通称「王子の口づけ」をあげましょうねぇ……。			それじゃあ、はい……ドリームパウダーの効き目を抑える抗体薬、通称「王子の口づけ」をあげましょうねぇ……。			クリスタリウムの意気							
その薬、とってもよく効くんだけれど、代わりに……うふふ……とっても苦くって……こんな名前なのに……ねぇ？			その薬、とってもよく効くんだけれど、代わりに……うふふ……とっても苦くって……こんな名前なのに……ねぇ？			クリスタリウムの意気							
あまりの苦さに、飲みきらない悪い子もいるから……今この場で、私の前で、飲んでいただけるかしら……？			あまりの苦さに、飲みきらない悪い子もいるから……今この場で、私の前で、飲んでいただけるかしら……？			クリスタリウムの意気							
さあ、「王子の口づけ」を飲んで見せて……？			さあ、「王子の口づけ」を飲んで見せて……？			クリスタリウムの意気							
(-シェッサミール-)うふふふ……よく飲めましたぁ……。これでもう眠ってしまう心配はないけれど、怪我にはくれぐれも注意してね、衛兵さん……？			(-シェッサミール-)うふふふ……よく飲めましたぁ……。これでもう眠ってしまう心配はないけれど、怪我にはくれぐれも注意してね、衛兵さん……？			クリスタリウムの意気							
シェッサミールの近くで、飲んでみせなければならないようだ……。			シェッサミールの近くで、飲んでみせなければならないようだ……。			クリスタリウムの意気							
ちゃんと飲めて、いい子……いい子……。これで、ドリームパウダー対策はバッチリ……次の準備に進んで平気よ。			ちゃんと飲めて、いい子……いい子……。これで、ドリームパウダー対策はバッチリ……次の準備に進んで平気よ。			クリスタリウムの意気							
おや？　何か用かな、ご同輩？			おや？　何か用かな、ご同輩？			クリスタリウムの意気							
なるほど、オスタル厳命城までアマロを借りたいと。もちろん快く許可したいところなのだが……。			なるほど、オスタル厳命城までアマロを借りたいと。もちろん快く許可したいところなのだが……。			クリスタリウムの意気							
生憎、ドリームパウダーを散布するために、騎乗可能なアマロのほとんどが、予約済みでね。すまないが、歩いてもらうしか…………			生憎、ドリームパウダーを散布するために、騎乗可能なアマロのほとんどが、予約済みでね。すまないが、歩いてもらうしか…………			クリスタリウムの意気							
いや、ひとつ手がないでもないな。もちろん、君さえよければだがね。			いや、ひとつ手がないでもないな。もちろん、君さえよければだがね。			クリスタリウムの意気							
ペンダント居住館の管理人は、不安そうな顔をしている。			ペンダント居住館の管理人は、不安そうな顔をしている。			招かれざる客							
ペンダント居住館の管理人から、ユールモア軍の飛空艇が近隣に飛来したことを聞いた。クリスタリウムの「星見の間」に向かおう。			ペンダント居住館の管理人から、ユールモア軍の飛空艇が近隣に飛来したことを聞いた。クリスタリウムの「星見の間」に向かおう。			招かれざる客							
