クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			クリスタリウムのハルドルは、冒険者のことを認めつつあるようだ。			ナッツクランのモブハント（中級）							
サイルと話す			サイルと話す			ナッツクランのモブハント（中級）							
よお、また会ったな。サイルに認められて、ナッツクランの一員になったそうだな。			よお、また会ったな。サイルに認められて、ナッツクランの一員になったそうだな。			ナッツクランのモブハント（中級）							
これでお前さんも立派なモブハンター。ユールモアの好事家どもの玩具の仲間入りってわけだ。			これでお前さんも立派なモブハンター。ユールモアの好事家どもの玩具の仲間入りってわけだ。			ナッツクランのモブハント（中級）							
おっと、そういや説明していなかったっけか。モブハント制度の発祥は、クリスタリウムではあるが、それが、ユールモアにまで広がったのには理由があるのさ。			おっと、そういや説明していなかったっけか。モブハント制度の発祥は、クリスタリウムではあるが、それが、ユールモアにまで広がったのには理由があるのさ。			ナッツクランのモブハント（中級）							
暇を持て余したユールモアの富豪どもが、スポンサーとして参入し、報酬に色をつけ始めたんだ。			暇を持て余したユールモアの富豪どもが、スポンサーとして参入し、報酬に色をつけ始めたんだ。			ナッツクランのモブハント（中級）							
報酬に釣られたモブハンターが死んでいく様を、高みから見下ろして、酒の肴にするためにな……。ヘッ……なんとも悪趣味な話だろ？			報酬に釣られたモブハンターが死んでいく様を、高みから見下ろして、酒の肴にするためにな……。ヘッ……なんとも悪趣味な話だろ？			ナッツクランのモブハント（中級）							
それはそうと、お前さんもモブハントに慣れてきたみてえだな。そろそろ「中級」の仕事をくれてやってもいいかもしれねえ。「サイル」と話してみろよ。			それはそうと、お前さんもモブハントに慣れてきたみてえだな。そろそろ「中級」の仕事をくれてやってもいいかもしれねえ。「サイル」と話してみろよ。			ナッツクランのモブハント（中級）							
ハルドルから「中級」の仕事に挑戦するよう言われたと。わかりました、では手配しておきます。			ハルドルから「中級」の仕事に挑戦するよう言われたと。わかりました、では手配しておきます。			ナッツクランのモブハント（中級）							
ちょうど「中級」クラスの人員が不足しておりましたので、こちらとしても助かります。			ちょうど「中級」クラスの人員が不足しておりましたので、こちらとしても助かります。			ナッツクランのモブハント（中級）							
皆さん、意気揚々とモブに挑むのはいいのですが、あっけなく死んでしまっては、好事家から報酬がもらえません。			皆さん、意気揚々とモブに挑むのはいいのですが、あっけなく死んでしまっては、好事家から報酬がもらえません。			ナッツクランのモブハント（中級）							
その点、貴方は頑丈そうですし、我がクランの稼ぎ頭まで育ってくれることを期待しています。			その点、貴方は頑丈そうですし、我がクランの稼ぎ頭まで育ってくれることを期待しています。			ナッツクランのモブハント（中級）							
「ナッツ・モブ手配書：中級」が開放された！			「ナッツ・モブ手配書：中級」が開放された！			ナッツクランのモブハント（中級）							
クリスタリウムとユールモアの「ナッツボード」から、「ナッツ・モブ手配書：中級」を入手できるようになりました。			クリスタリウムとユールモアの「ナッツボード」から、「ナッツ・モブ手配書：中級」を入手できるようになりました。			ナッツクランのモブハント（中級）							
また、「レベル76」以上になると、ハルドルから、新たなクエストが受注でき、「ナッツ・モブ手配書：上級」に挑戦可能となります。			また、「レベル76」以上になると、ハルドルから、新たなクエストが受注でき、「ナッツ・モブ手配書：上級」に挑戦可能となります。			ナッツクランのモブハント（中級）							
お前さんもモブハントに慣れてきたみてえだな。そろそろ「中級」の仕事をくれてやってもいいかもしれねえ。「サイル」と話してみろよ。			お前さんもモブハントに慣れてきたみてえだな。そろそろ「中級」の仕事をくれてやってもいいかもしれねえ。「サイル」と話してみろよ。			ナッツクランのモブハント（中級）							
ウルダハのペ・ヤンディは、ずっと突っ立っていたようだ。			ウルダハのペ・ヤンディは、ずっと突っ立っていたようだ。			伝説の右腕							
ペ・ヤンディから、マーティンがリムサ・ロミンサにいると聞いた。リムサ・ロミンサのメルヴァン税関公社にいる「マーティン」と話そう。			ペ・ヤンディから、マーティンがリムサ・ロミンサにいると聞いた。リムサ・ロミンサのメルヴァン税関公社にいる「マーティン」と話そう。			伝説の右腕							
マーティンと話したところ、彼の後輩の巴術士に適当な指導をして謝礼を得ていた。しかし、マーティンが魔法全般を習得しているという意外な事実が判明した。彼は断罪党から新たな敵役を探すことにしたようだ。リムサ・ロミンサのアスタリシア号付近で「マーティン」と話し、同行させよう。			マーティンと話したところ、彼の後輩の巴術士に適当な指導をして謝礼を得ていた。しかし、マーティンが魔法全般を習得しているという意外な事実が判明した。彼は断罪党から新たな敵役を探すことにしたようだ。リムサ・ロミンサのアスタリシア号付近で「マーティン」と話し、同行させよう。			伝説の右腕							
