ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			ミーン工芸館のベスリクは、冒険者に相談したいことがあるようだ。			生きるべき場所							
テメノスルカリー牧場のスキップと話す			テメノスルカリー牧場のスキップと話す			生きるべき場所							
チャットの「Say」モードで『よしよし』を含む言葉を入力し、スキップを安心させる			チャットの「Say」モードで『よしよし』を含む言葉を入力し、スキップを安心させる			生きるべき場所							
製作手帳 ミーン工芸館取引：妖精への贈り物を製作ベスリクに妖精への贈り物を納品			製作手帳 ミーン工芸館取引：妖精への贈り物を製作ベスリクに妖精への贈り物を納品			生きるべき場所							
リダ・ラーンのベスリクと話す			リダ・ラーンのベスリクと話す			生きるべき場所							
ヴォレクドルフのベスリクと話す			ヴォレクドルフのベスリクと話す			生きるべき場所							
ミーン工芸館のベスリクと話す			ミーン工芸館のベスリクと話す			生きるべき場所							
本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			本クエストを進行するためには、「メインクエスト：漆黒のヴィランズ」の、「アクトラ・オルワ・イン」を完了する必要があります。			生きるべき場所							
声をかけてくださって、ありがとうございます。それで、相談のことなのですが……まずはスキップの現状から、お伝えさせてください。			声をかけてくださって、ありがとうございます。それで、相談のことなのですが……まずはスキップの現状から、お伝えさせてください。			生きるべき場所							
あなたやネム・シェリミンたち厩務員の尽力のおかげで、ほぼ全快といっていいほど、改善がみられています！			あなたやネム・シェリミンたち厩務員の尽力のおかげで、ほぼ全快といっていいほど、改善がみられています！			生きるべき場所							
ですが、心の傷はまだまだ……。毒入りの餌を与えられたショックが抜けきれないのか、常にオドオドと周囲を警戒し、牧場内で孤立しているのです。			ですが、心の傷はまだまだ……。毒入りの餌を与えられたショックが抜けきれないのか、常にオドオドと周囲を警戒し、牧場内で孤立しているのです。			生きるべき場所							
野生に返すにしろ、牧場で飼育するにしろ、神経過敏な状態が続けば、いずれにせよ良い結果になりません。つまり、スキップは恐怖を克服する必要があるのです。			野生に返すにしろ、牧場で飼育するにしろ、神経過敏な状態が続けば、いずれにせよ良い結果になりません。つまり、スキップは恐怖を克服する必要があるのです。			生きるべき場所							
そこで、Forenameさんに、ご協力いただきたいのです！			そこで、Forenameさんに、ご協力いただきたいのです！			生きるべき場所							
決して嫉妬などしておりませんが、あの子、あなたにだけは、とても強い関心を示しているのです！決して嫉妬などしておりませんがね！			決して嫉妬などしておりませんが、あの子、あなたにだけは、とても強い関心を示しているのです！決して嫉妬などしておりませんがね！			生きるべき場所							
普通の餌には、決して口を付けないスキップも、不思議なことに、あなたが作った薬餌だけは食べます。それに、この前なんて、じっと見つめあって……うっ、うっ……。			普通の餌には、決して口を付けないスキップも、不思議なことに、あなたが作った薬餌だけは食べます。それに、この前なんて、じっと見つめあって……うっ、うっ……。			生きるべき場所							
と、とにかく、実際に試してみるのが早いでしょう。テメノスルカリー牧場の「スキップ」に近付き、そっと、声をかけてみてください！			と、とにかく、実際に試してみるのが早いでしょう。テメノスルカリー牧場の「スキップ」に近付き、そっと、声をかけてみてください！			生きるべき場所							
さあ、「スキップ」に近付き、そっと声をかけてみてください！			さあ、「スキップ」に近付き、そっと声をかけてみてください！			生きるべき場所							
スキップの様子を気にかけてくれて感謝する。Forenameが牧場に来てくれると、スキップは嬉しそうにするよ。			スキップの様子を気にかけてくれて感謝する。Forenameが牧場に来てくれると、スキップは嬉しそうにするよ。			生きるべき場所							
キュル？キュルルルル！！			キュル？キュルルルル！！			生きるべき場所							
キュル？キュルルルル！！			キュル？キュルルルル！！			生きるべき場所							
な、なにぃ！？声をかけられて、喜んでいる……だと……！？			な、なにぃ！？声をかけられて、喜んでいる……だと……！？			生きるべき場所							
ふむ……Forenameさん、さらにこの子を安心させるように、「よしよし」と声をかけてあげてくれませんか？			ふむ……Forenameさん、さらにこの子を安心させるように、「よしよし」と声をかけてあげてくれませんか？			生きるべき場所							
よしよし			よしよし			生きるべき場所							
スキップを安心させるように、「よしよし」と声をかけてあげてください！			スキップを安心させるように、「よしよし」と声をかけてあげてください！			生きるべき場所							
チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『よしよし』を含む、好きな言葉を入力し、スキップを安心させましょう。			チャットの会話モードを「Say」モードにして、キーボードやソフトウェアキーボードで『よしよし』を含む、好きな言葉を入力し、スキップを安心させましょう。			生きるべき場所							
これは……何ということでしょう……！完全に打ち解けているように見えます！！			これは……何ということでしょう……！完全に打ち解けているように見えます！！			生きるべき場所							
よぉーし、今なら私も！			よぉーし、今なら私も！			生きるべき場所							
スキッ～～…………			スキッ～～…………			生きるべき場所							
………………。			………………。			生きるべき場所							
うぐぐ……しかしこれはいったい、どういうことでしょうね。一緒に過ごす時間が長い厩務員にさえ、こうはならないというのに。なぜ、Forenameさんにだけ……？			うぐぐ……しかしこれはいったい、どういうことでしょうね。一緒に過ごす時間が長い厩務員にさえ、こうはならないというのに。なぜ、Forenameさんにだけ……？			生きるべき場所							
これはあくまでも憶測ですが……あなたがスキップの回復を強く願って薬餌を作ってきたから、ということが大きいのかもしれません……。			これはあくまでも憶測ですが……あなたがスキップの回復を強く願って薬餌を作ってきたから、ということが大きいのかもしれません……。			生きるべき場所							
以前にお話ししたように、アマロは魔法の影響を受けた生物。ゆえに、エーテルを敏感に感じ取る性質があると言われています。			以前にお話ししたように、アマロは魔法の影響を受けた生物。ゆえに、エーテルを敏感に感じ取る性質があると言われています。			生きるべき場所							
ほら、長年ペアを組んだ人を背に乗せたアマロが、乗り手の気持ちを察知したかのように動くことがありますよね！？いわゆる「人獣一体」現象ですが、このあたりにもエーテ……			ほら、長年ペアを組んだ人を背に乗せたアマロが、乗り手の気持ちを察知したかのように動くことがありますよね！？いわゆる「人獣一体」現象ですが、このあたりにもエーテ……			生きるべき場所							
ややっ……また夢中になってしまいましたァ！とにかく、スキップは薬餌に込められた愛情を察知し、それゆえに、あなたという存在に、心安らいでいるのではないかと！			ややっ……また夢中になってしまいましたァ！とにかく、スキップは薬餌に込められた愛情を察知し、それゆえに、あなたという存在に、心安らいでいるのではないかと！			生きるべき場所							
今回のあなたとの触れ合いを通して、心の傷を回復させてくれると期待しましょう。			今回のあなたとの触れ合いを通して、心の傷を回復させてくれると期待しましょう。			生きるべき場所							
では、そろそろ本題に戻りますが、この子の今後のことを考えねばなりません。野生に返すか、牧場で飼育を続けるかという選択です。			では、そろそろ本題に戻りますが、この子の今後のことを考えねばなりません。野生に返すか、牧場で飼育を続けるかという選択です。			生きるべき場所							
もちろん、スキップ自身の気持ちがいちばん大切ですが、直接、言葉を交わして確認するわけにもいかず……。			もちろん、スキップ自身の気持ちがいちばん大切ですが、直接、言葉を交わして確認するわけにもいかず……。			生きるべき場所							
ああ……喋るアマロが現代にもいればっ！ンッフフ、そんな夢を見ちゃいかんぞ、ベスリク！			ああ……喋るアマロが現代にもいればっ！ンッフフ、そんな夢を見ちゃいかんぞ、ベスリク！			生きるべき場所							
何と言う？			何と言う？			生きるべき場所							
言葉を話すアマロなら知り合いだ			言葉を話すアマロなら知り合いだ			生きるべき場所							
紹介してあげるよ			紹介してあげるよ			生きるべき場所							
な、な、な、な、なんとぉーーーーーーッ！？なんという奇跡！！			な、な、な、な、なんとぉーーーーーーッ！？なんという奇跡！！			生きるべき場所							
人語を話すアマロが現存していて、しかも知り合いだなんて！その存在は「トゥパク・アマロ」、すなわちロンカ語で、「偉大なるアマロ」と意味する尊称でも語られているトオリッ……			人語を話すアマロが現存していて、しかも知り合いだなんて！その存在は「トゥパク・アマロ」、すなわちロンカ語で、「偉大なるアマロ」と意味する尊称でも語られているトオリッ……			生きるべき場所							
はああぁぁぁぁぁぁ……！			はああぁぁぁぁぁぁ……！			生きるべき場所							
居ても立っても居られないぜえッ！俺を、その楽園へ……ヴォレクドルフとやらに連れて行ってくれ！！			居ても立っても居られないぜえッ！俺を、その楽園へ……ヴォレクドルフとやらに連れて行ってくれ！！			生きるべき場所							
あっ……またやってしまいましたァ！とにかく、スキップをヴォレクドルフに連れて行って、何を望んでいるか、喋るアマロに尋ねてもらいましょう！			あっ……またやってしまいましたァ！とにかく、スキップをヴォレクドルフに連れて行って、何を望んでいるか、喋るアマロに尋ねてもらいましょう！			生きるべき場所							
しかし、冷静になって考えてみれば、イタズラ好きの妖精が棲まうイル・メグは危険地帯……。私やスキップが立ち入っても、大丈夫なものでしょうか？			しかし、冷静になって考えてみれば、イタズラ好きの妖精が棲まうイル・メグは危険地帯……。私やスキップが立ち入っても、大丈夫なものでしょうか？			生きるべき場所							
ふむ……あなたの付き添いがあれば大丈夫だと……。とはいえ、ここはスキップも連れて行くことになりますし、安全策を採って「妖精への贈り物」を用意し……			ふむ……あなたの付き添いがあれば大丈夫だと……。とはいえ、ここはスキップも連れて行くことになりますし、安全策を採って「妖精への贈り物」を用意し……			生きるべき場所							
……てください！！！お願いしますううううっ！！！！			……てください！！！お願いしますううううっ！！！！			生きるべき場所							
Forename様……！後生ですから、製作していただけないでしょうかァ！？万が一、妖精さんたちに受け入れられなかったらと思うと不安でッ！			Forename様……！後生ですから、製作していただけないでしょうかァ！？万が一、妖精さんたちに受け入れられなかったらと思うと不安でッ！			生きるべき場所							
