クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			クリスタリウムのハルドルは、冒険者に伝えたいことがあるようだ。			ナッツクランのモブハント（上級）							
サイルと話す			サイルと話す			ナッツクランのモブハント（上級）							
よお。そろそろ「中級」の仕事じゃ物足りなくなってきたんじゃねえか？			よお。そろそろ「中級」の仕事じゃ物足りなくなってきたんじゃねえか？			ナッツクランのモブハント（上級）							
弱っちい「モブ」を相手にしたところで、血湧き肉躍る戦いを感じることはできねえもんなぁ。			弱っちい「モブ」を相手にしたところで、血湧き肉躍る戦いを感じることはできねえもんなぁ。			ナッツクランのモブハント（上級）							
爪やら牙やらが自分の肉体を裂く感触や、獲物の心臓に刃を突き立てる時の高揚感……やっぱ、戦いってのは死と隣り合わせじゃねえとな！			爪やら牙やらが自分の肉体を裂く感触や、獲物の心臓に刃を突き立てる時の高揚感……やっぱ、戦いってのは死と隣り合わせじゃねえとな！			ナッツクランのモブハント（上級）							
ようし、わかった！お前さんを「上級」に推薦してやろう！喜べ、これでもっと死に近づくことができるぞ！			ようし、わかった！お前さんを「上級」に推薦してやろう！喜べ、これでもっと死に近づくことができるぞ！			ナッツクランのモブハント（上級）							
そうと決まれば、早く「サイル」と話してこいよ！強敵との楽しい命の削り合いが、お前さんを待ってるぜ！			そうと決まれば、早く「サイル」と話してこいよ！強敵との楽しい命の削り合いが、お前さんを待ってるぜ！			ナッツクランのモブハント（上級）							
上級に挑戦したいのですね？言わずとも顔を見ればわかります。大方、ハルドルあたりがはやし立てたのでしょう。			上級に挑戦したいのですね？言わずとも顔を見ればわかります。大方、ハルドルあたりがはやし立てたのでしょう。			ナッツクランのモブハント（上級）							
あれは戦いのことしか考えていない野蛮人ですからね。あなたのように理性のある人材は貴重なのですが……いいでしょう、上級に挑戦できるよう手配しておきます。			あれは戦いのことしか考えていない野蛮人ですからね。あなたのように理性のある人材は貴重なのですが……いいでしょう、上級に挑戦できるよう手配しておきます。			ナッツクランのモブハント（上級）							
くれぐれも、自分の技量を見誤らないよう……要は、命を粗末にするな、ということです。			くれぐれも、自分の技量を見誤らないよう……要は、命を粗末にするな、ということです。			ナッツクランのモブハント（上級）							
「ナッツ・モブ手配書：上級」が開放された！			「ナッツ・モブ手配書：上級」が開放された！			ナッツクランのモブハント（上級）							
クリスタリウムとユールモアの「ナッツボード」から、「ナッツ・モブ手配書：上級」を入手できるようになりました。			クリスタリウムとユールモアの「ナッツボード」から、「ナッツ・モブ手配書：上級」を入手できるようになりました。			ナッツクランのモブハント（上級）							
また、「レベル80」になると、ハルドルから、新たなクエストが受注でき、「ナッツ・リスキーモブ手配書」に挑戦可能となります。			また、「レベル80」になると、ハルドルから、新たなクエストが受注でき、「ナッツ・リスキーモブ手配書」に挑戦可能となります。			ナッツクランのモブハント（上級）							
そうと決まれば、早く「サイル」と話してこいよ！強敵との楽しい命の削り合いが、お前さんを待ってるぜ！			そうと決まれば、早く「サイル」と話してこいよ！強敵との楽しい命の削り合いが、お前さんを待ってるぜ！			ナッツクランのモブハント（上級）							
モルド・スークのケリッグは、冒険者に朗報があるようだ。			モルド・スークのケリッグは、冒険者に朗報があるようだ。			ナイルベルトの後悔							
テイナーが取り戻した記憶によると、彼は第一世界とは時間の流れが違う次元の狭間に閉じ込められていたことで、ナイルベルトとの時間のズレが生じたらしい。テイナーが「虚ろ」を今でも生み出せるのか、試してみることになった。アム・アレーンのアンバーフィールドで「テイナー」と話そう。			テイナーが取り戻した記憶によると、彼は第一世界とは時間の流れが違う次元の狭間に閉じ込められていたことで、ナイルベルトとの時間のズレが生じたらしい。テイナーが「虚ろ」を今でも生み出せるのか、試してみることになった。アム・アレーンのアンバーフィールドで「テイナー」と話そう。			ナイルベルトの後悔							
プロネーシスをきっかけに、冒険者は生前のナイルベルトの過去を視た。ナイルベルトは、崩れかけた鉱山でアルバートたちと初めて出会ったらしい。彼らは共闘してボヴァインを討伐した。過去のアム・アレーンでの戦いは、その後どんな結末を迎えたのだろうか。			プロネーシスをきっかけに、冒険者は生前のナイルベルトの過去を視た。ナイルベルトは、崩れかけた鉱山でアルバートたちと初めて出会ったらしい。彼らは共闘してボヴァインを討伐した。過去のアム・アレーンでの戦いは、その後どんな結末を迎えたのだろうか。			ナイルベルトの後悔							
