ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			ヌベイ旧鉱山のグスジョンは、約束を果たしてくれるようだ。			どうか見つけて							
グスジョンと話す			グスジョンと話す			どうか見つけて							
資材置き場から手製の煙袋を入手			資材置き場から手製の煙袋を入手			どうか見つけて							
指定地点に手製の煙袋を置く			指定地点に手製の煙袋を置く			どうか見つけて							
岩の隙間を調べノッカーからきらめく鉱石を入手			岩の隙間を調べノッカーからきらめく鉱石を入手			どうか見つけて							
グスジョンにきらめく鉱石を渡す			グスジョンにきらめく鉱石を渡す			どうか見つけて							
やったな！俺のツキは、この次……獅子目石の捜索に回された、とでも思っておこう。			やったな！俺のツキは、この次……獅子目石の捜索に回された、とでも思っておこう。			どうか見つけて							
約束どおり、獅子目石を得るための、もうひとつの方法を教えるとしよう……。			約束どおり、獅子目石を得るための、もうひとつの方法を教えるとしよう……。			どうか見つけて							
しかし、ここでは何だ。ひとまず外へ出るか……。			しかし、ここでは何だ。ひとまず外へ出るか……。			どうか見つけて							
眩しくはないか？クロリンドロップを使うと、光に過敏になるからな。急に明るいところを直視しない方がいい。			眩しくはないか？クロリンドロップを使うと、光に過敏になるからな。急に明るいところを直視しない方がいい。			どうか見つけて							
はぁ……眩しい……。これだから鉱山を出るのは好きじゃないんだ……。			はぁ……眩しい……。これだから鉱山を出るのは好きじゃないんだ……。			どうか見つけて							
とはいえ、約束は約束だ。俺たちも本当に困ったときにしか頼らない方法だが、今回はあんたらにやらせてやるよ。			とはいえ、約束は約束だ。俺たちも本当に困ったときにしか頼らない方法だが、今回はあんたらにやらせてやるよ。			どうか見つけて							
……あんたは、体に鉱石を張りつけてる虫、「岩蟲」を知ってるか？			……あんたは、体に鉱石を張りつけてる虫、「岩蟲」を知ってるか？			どうか見つけて							
コブラン……いや、このあたりじゃ確か、ノッカーと呼ばれてる虫のことか……？			コブラン……いや、このあたりじゃ確か、ノッカーと呼ばれてる虫のことか……？			どうか見つけて							
ああ、そんな風に呼ぶ連中もいるようだな。俺たちの間では、もっぱら岩蟲と呼ばれているが……。			ああ、そんな風に呼ぶ連中もいるようだな。俺たちの間では、もっぱら岩蟲と呼ばれているが……。			どうか見つけて							
ともかく、その虫は、人じゃ通れない岩の隙間をとおって、今じゃ立ち入れなくなった、坑道の奥深くまで潜ってるんだ。			ともかく、その虫は、人じゃ通れない岩の隙間をとおって、今じゃ立ち入れなくなった、坑道の奥深くまで潜ってるんだ。			どうか見つけて							
そういう奴の体には、希少な鉱石が張りつけられていることがある……。			そういう奴の体には、希少な鉱石が張りつけられていることがある……。			どうか見つけて							
もしかして、獅子目石も……！？			もしかして、獅子目石も……！？			どうか見つけて							
ああ、ときどき出る……。といっても、何十といったクズ石のなかに、欠片がひとつふたつ混じってりゃいい方だが。			ああ、ときどき出る……。といっても、何十といったクズ石のなかに、欠片がひとつふたつ混じってりゃいい方だが。			どうか見つけて							
それでも、あてもなく掘り続けていくよりは、いくらもマシだ。どうやったら、岩蟲たちをおびき寄せられる？			それでも、あてもなく掘り続けていくよりは、いくらもマシだ。どうやったら、岩蟲たちをおびき寄せられる？			どうか見つけて							
あそこの資材置き場に、「手製の煙袋」がある。それを数個持っていって、坑道内の数か所に設置し、中を煙で満たすんだ。			あそこの資材置き場に、「手製の煙袋」がある。それを数個持っていって、坑道内の数か所に設置し、中を煙で満たすんだ。			どうか見つけて							
すると「岩の隙間」から、岩蟲がわらわら出てくる。そいつを倒して、体についている鉱石をいただくんだ。			すると「岩の隙間」から、岩蟲がわらわら出てくる。そいつを倒して、体についている鉱石をいただくんだ。			どうか見つけて							
さっきも言ったが、獅子目石が得られる可能性は低い。あらゆる「岩の隙間」を調べて、出てきた奴をすべて倒し、なるべく多くの「きらめく鉱石」を集めるんだ。			さっきも言ったが、獅子目石が得られる可能性は低い。あらゆる「岩の隙間」を調べて、出てきた奴をすべて倒し、なるべく多くの「きらめく鉱石」を集めるんだ。			どうか見つけて							
