モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			モルド・スークのケリッグは、テイナーの修行について悩んでいるようだ。			がんばれ、テイナー							
ケリッグは、テイナーに実戦経験を積ませたいらしい。修行のため、レイクランドの迷える羊飼いの森で「ケリッグ」と話そう。			ケリッグは、テイナーに実戦経験を積ませたいらしい。修行のため、レイクランドの迷える羊飼いの森で「ケリッグ」と話そう。			がんばれ、テイナー							
テイナーに、魔道士の先輩として手本をみせることになった。迷える羊飼いの森の「指定地点」で見渡し、現れた「獰猛なウルヴァリン」を討伐しよう。			テイナーに、魔道士の先輩として手本をみせることになった。迷える羊飼いの森の「指定地点」で見渡し、現れた「獰猛なウルヴァリン」を討伐しよう。			がんばれ、テイナー							
獰猛なウルヴァリンを討伐した。迷える羊飼いの森で「テイナー」と話そう。			獰猛なウルヴァリンを討伐した。迷える羊飼いの森で「テイナー」と話そう。			がんばれ、テイナー							
テイナーが魔物に苦戦しているのを見て、ケリッグが手を出してしまった。迷える羊飼いの森で「テイナー」と再度話そう。			テイナーが魔物に苦戦しているのを見て、ケリッグが手を出してしまった。迷える羊飼いの森で「テイナー」と再度話そう。			がんばれ、テイナー							
ふたたび冒険者がアドバイスすることで、テイナーは見事に魔物を討伐してみせた。迷える羊飼いの森で「テイナー」ともう一度話そう。			ふたたび冒険者がアドバイスすることで、テイナーは見事に魔物を討伐してみせた。迷える羊飼いの森で「テイナー」ともう一度話そう。			がんばれ、テイナー							
テイナーにとって、いい修行になったようだ。モルド・スークに戻り、「ケリッグ」と話そう。			テイナーにとって、いい修行になったようだ。モルド・スークに戻り、「ケリッグ」と話そう。			がんばれ、テイナー							
テイナーはさらなる修行にと走っていった。テイナーのため、アム・アレーンに生きる人々のため、そして報酬のため、プロネーシスを討伐できるよう、冒険者も修行を積んでおこう。※いずれかのソーサラー系DPSジョブのレベルが80以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			テイナーはさらなる修行にと走っていった。テイナーのため、アム・アレーンに生きる人々のため、そして報酬のため、プロネーシスを討伐できるよう、冒険者も修行を積んでおこう。※いずれかのソーサラー系DPSジョブのレベルが80以上になると、モルド・スークのケリッグから次のソーサラー系DPSロールクエストを受注することができます。			がんばれ、テイナー							
迷える羊飼いの森でケリッグと話す			迷える羊飼いの森でケリッグと話す			がんばれ、テイナー							
指定地点で見渡して、獰猛なウルヴァリンを討伐			指定地点で見渡して、獰猛なウルヴァリンを討伐			がんばれ、テイナー							
テイナーと話す			テイナーと話す			がんばれ、テイナー							
テイナーと再度話す			テイナーと再度話す			がんばれ、テイナー							
テイナーともう一度話す			テイナーともう一度話す			がんばれ、テイナー							
モルド・スークのケリッグと話す			モルド・スークのケリッグと話す			がんばれ、テイナー							
プロネーシスが、ナイルベルトの「心残り」に従って行動しているとすれば、ぼくだけは、対峙しても攻撃されないかもしれません。			プロネーシスが、ナイルベルトの「心残り」に従って行動しているとすれば、ぼくだけは、対峙しても攻撃されないかもしれません。			がんばれ、テイナー							
そう、ケリッグさんに言ってみたんですけど……。「罪喰いは、理性ではなく本能のままに動く虫のような存在だ、　温情を期待できる相手じゃない」って……。			そう、ケリッグさんに言ってみたんですけど……。「罪喰いは、理性ではなく本能のままに動く虫のような存在だ、　温情を期待できる相手じゃない」って……。			がんばれ、テイナー							
想像して、ゾッとしました……。ぼく、まだ考えが甘かったです。			想像して、ゾッとしました……。ぼく、まだ考えが甘かったです。			がんばれ、テイナー							
お前も腕を上げたようだな。テイナーの修行も順調にいっているぜ。「虚ろ」に吸い込まれる前に持っていた力を取り戻しつつある。			お前も腕を上げたようだな。テイナーの修行も順調にいっているぜ。「虚ろ」に吸い込まれる前に持っていた力を取り戻しつつある。			がんばれ、テイナー							
100年以上の時間の断絶も、本人にとっては、ついこの間だからな。勘所を取り戻すのも、比較的容易だったんだろう。			100年以上の時間の断絶も、本人にとっては、ついこの間だからな。勘所を取り戻すのも、比較的容易だったんだろう。			がんばれ、テイナー							
だが、それでも足りないものがある。テイナーが、これまで行ったことのないこと……ずばり、実戦経験だ。			だが、それでも足りないものがある。テイナーが、これまで行ったことのないこと……ずばり、実戦経験だ。			がんばれ、テイナー							
冷静に、かつ全力を尽くさないと、プロネーシスの「虚ろ」を封じることは不可能です。でも初の実戦で、それができるか不安で……。			冷静に、かつ全力を尽くさないと、プロネーシスの「虚ろ」を封じることは不可能です。でも初の実戦で、それができるか不安で……。			がんばれ、テイナー							
そこで、先んじて戦闘を経験してもらおうと思うんだ。テイナーの魔力を、さらに高める修行にもなるしな。			そこで、先んじて戦闘を経験してもらおうと思うんだ。テイナーの魔力を、さらに高める修行にもなるしな。			がんばれ、テイナー							
ただし……プロネーシスに見つからないよう、奴の出没地帯である、アム・アレーンでの修行は避けよう。			ただし……プロネーシスに見つからないよう、奴の出没地帯である、アム・アレーンでの修行は避けよう。			がんばれ、テイナー							
というわけで、遠方に出向いての修行となる。指導役として同行を頼めるか？			というわけで、遠方に出向いての修行となる。指導役として同行を頼めるか？			がんばれ、テイナー							
よし！　そうだな……レイクランドの魔物なら手頃だろう。俺たちは、安全なクリスタリウム側から向かうんで、「迷える羊飼いの森」で合流しようぜ。			よし！　そうだな……レイクランドの魔物なら手頃だろう。俺たちは、安全なクリスタリウム側から向かうんで、「迷える羊飼いの森」で合流しようぜ。			がんばれ、テイナー							
似合って、ますか……？			似合って、ますか……？			がんばれ、テイナー							
よし、それじゃあ、テイナーの修行を…………なんだよ、気になることでもあるってか？			よし、それじゃあ、テイナーの修行を…………なんだよ、気になることでもあるってか？			がんばれ、テイナー							
この魔道士装備、ケリッグさんが買ってくれました！力も湧いてくるし……すごい、かっこいいです。			この魔道士装備、ケリッグさんが買ってくれました！力も湧いてくるし……すごい、かっこいいです。			がんばれ、テイナー							
……テイナーの魔力を高めるための、必要経費だ。			……テイナーの魔力を高めるための、必要経費だ。			がんばれ、テイナー							
……ほれ、さっさと修行に移るぞ！俺にできることは、装備を買ってやることくらいだ。魔道士の先輩として、指導はお前が行ってくれ。			……ほれ、さっさと修行に移るぞ！俺にできることは、装備を買ってやることくらいだ。魔道士の先輩として、指導はお前が行ってくれ。			がんばれ、テイナー							
といっても、実戦経験のないテイナーに、いきなり敵に向かっていけというのは、ハードルが高いだろう。			といっても、実戦経験のないテイナーに、いきなり敵に向かっていけというのは、ハードルが高いだろう。			がんばれ、テイナー							
まずはお前が、この辺りの魔物……そうだな、「獰猛なウルヴァリン」と戦って、戦闘における立ち振る舞いの手本を見せてやってくれ。			まずはお前が、この辺りの魔物……そうだな、「獰猛なウルヴァリン」と戦って、戦闘における立ち振る舞いの手本を見せてやってくれ。			がんばれ、テイナー							
こいつが弓使いなら、俺も指導できたんだがな。お前が、「獰猛なウルヴァリン」と戦って、戦闘における立ち振る舞いの手本を見せてやってくれ。			こいつが弓使いなら、俺も指導できたんだがな。お前が、「獰猛なウルヴァリン」と戦って、戦闘における立ち振る舞いの手本を見せてやってくれ。			がんばれ、テイナー							
敵を目の前にしているときは、どう魔法を使えばいいか……しっかりと見て勉強します！			敵を目の前にしているときは、どう魔法を使えばいいか……しっかりと見て勉強します！			がんばれ、テイナー							
お見事！　テイナーにコツなんぞ伝えてやってくれ。			お見事！　テイナーにコツなんぞ伝えてやってくれ。			がんばれ、テイナー							
すごい、早業ですね！魔法の威力はもちろん、瞬時の使い分けも……。なにか秘訣はあるんですか？			すごい、早業ですね！魔法の威力はもちろん、瞬時の使い分けも……。なにか秘訣はあるんですか？			がんばれ、テイナー							
何と答える？			何と答える？			がんばれ、テイナー							
最強の破壊力をブチ込むこと！			最強の破壊力をブチ込むこと！			がんばれ、テイナー							
使う魔法の順序をしっかり組み立てること			使う魔法の順序をしっかり組み立てること			がんばれ、テイナー							
なるほど……よしっ！アドバイスを参考に、挑戦してみます！			なるほど……よしっ！アドバイスを参考に、挑戦してみます！			がんばれ、テイナー							
くっ……！魔法が、うまく……どこを狙えば……！？			くっ……！魔法が、うまく……どこを狙えば……！？			がんばれ、テイナー							
ああっ、そうじゃない！威力はすごいんだが……判断が遅い……！			ああっ、そうじゃない！威力はすごいんだが……判断が遅い……！			がんばれ、テイナー							
コイツ、強い……う、うわあ！			コイツ、強い……う、うわあ！			がんばれ、テイナー							
くそっ……辛抱たまらん！			くそっ……辛抱たまらん！			がんばれ、テイナー							
すまん……体が、勝手に……。			すまん……体が、勝手に……。			がんばれ、テイナー							
はぁはぁ……。修行なのに助けてもらって、すみません……！			はぁはぁ……。修行なのに助けてもらって、すみません……！			がんばれ、テイナー							
いや、俺の方こそ……思わず手を出しちまった。すまん……。			いや、俺の方こそ……思わず手を出しちまった。すまん……。			がんばれ、テイナー							
やっぱり、見るのとやるのじゃ大違いですね。自分に向かってくる敵を前に、慌ててしまって……。			やっぱり、見るのとやるのじゃ大違いですね。自分に向かってくる敵を前に、慌ててしまって……。			がんばれ、テイナー							
