主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			主なき遺構前のヤ・シュトラは、次なる行動に移るようだ。			輝きは不滅なりて							
パウスィー・オーンと話す			パウスィー・オーンと話す			輝きは不滅なりて							
グレノルトを探す			グレノルトを探す			輝きは不滅なりて							
グレノルトに「活を入れる」をする			グレノルトに「活を入れる」をする			輝きは不滅なりて							
グレノルトに要求された品を見せる			グレノルトに要求された品を見せる			輝きは不滅なりて							
ひとまず私は、今話したことを、みんなにも伝えてくるわ。引き続き、オンド族に手を貸すべきだということもね。			ひとまず私は、今話したことを、みんなにも伝えてくるわ。引き続き、オンド族に手を貸すべきだということもね。			輝きは不滅なりて							
Forename、調査に協力してくれて、ありがとう。あとは私たちに任せて……と言いたいところだけれど、あなたの具合を思えばこそ、先を急ぎたいのも確かね……。			Forename、調査に協力してくれて、ありがとう。あとは私たちに任せて……と言いたいところだけれど、あなたの具合を思えばこそ、先を急ぎたいのも確かね……。			輝きは不滅なりて							
もし体がつらくないのなら、さっき話してくれた「パウスィー・オーン」を再度訪ねて、改めて聞ける話がないか確認して頂戴……頼むわね。			もし体がつらくないのなら、さっき話してくれた「パウスィー・オーン」を再度訪ねて、改めて聞ける話がないか確認して頂戴……頼むわね。			輝きは不滅なりて							
ああ、アルフィノの友か。お前たちの親切で、潮溜まり、助かってる。悪意あって、水、なくしたわけじゃないと、わかる気がする。			ああ、アルフィノの友か。お前たちの親切で、潮溜まり、助かってる。悪意あって、水、なくしたわけじゃないと、わかる気がする。			輝きは不滅なりて							
……ほか、すべきこと？そう、だな……お前、「主なき遺構」行ったか？			……ほか、すべきこと？そう、だな……お前、「主なき遺構」行ったか？			輝きは不滅なりて							
何と言う？			何と言う？			輝きは不滅なりて							
ちょうど今、行ってきた！			ちょうど今、行ってきた！			輝きは不滅なりて							
北西にある巨大な遺構？			北西にある巨大な遺構？			輝きは不滅なりて							
おお……言わずとも、あそこ、行くとは……やはりお前は、いにしえの者に導かれしヒトでは……？			おお……言わずとも、あそこ、行くとは……やはりお前は、いにしえの者に導かれしヒトでは……？			輝きは不滅なりて							
そうだ、それが「主なき遺構」だ。すでに、あれ、知っているとは……やはりお前は、いにしえの者に導かれしヒトでは……？			そうだ、それが「主なき遺構」だ。すでに、あれ、知っているとは……やはりお前は、いにしえの者に導かれしヒトでは……？			輝きは不滅なりて							
俺は、信じて、ひとつ、教えよう。オンドたち、「明かりの灯りし地」に応え、「主なき遺構」に、明かり、入れたい……。			俺は、信じて、ひとつ、教えよう。オンドたち、「明かりの灯りし地」に応え、「主なき遺構」に、明かり、入れたい……。			輝きは不滅なりて							
そのため、ヒトの職人に、明かり、頼んだ。ヒレなしのヒトなのに、海に住む変り者……だけど、腕は確かな奴だ。			そのため、ヒトの職人に、明かり、頼んだ。ヒレなしのヒトなのに、海に住む変り者……だけど、腕は確かな奴だ。			輝きは不滅なりて							
……だが、そいつから、音沙汰なくなり、困っている。お前が、頼んでいた明かり、回収できたら、みんな、異論、なくなるだろう。			……だが、そいつから、音沙汰なくなり、困っている。お前が、頼んでいた明かり、回収できたら、みんな、異論、なくなるだろう。			輝きは不滅なりて							
そいつ、名前、「グレノルト」と言う。南の「奇人のアトリエ」、住んでいるから、行ってみろ。			そいつ、名前、「グレノルト」と言う。南の「奇人のアトリエ」、住んでいるから、行ってみろ。			輝きは不滅なりて							
南の「奇人のアトリエ」に住む、ヒトの職人「グレノルト」に、明かりの製作、頼んだ。お前がそれ、回収できたら、みんな、認めるだろう。			南の「奇人のアトリエ」に住む、ヒトの職人「グレノルト」に、明かりの製作、頼んだ。お前がそれ、回収できたら、みんな、認めるだろう。			輝きは不滅なりて							
おぉ……ついに幻まで見えるようになったか……。かような海底に、余人が訪ねては来まいからな……。			おぉ……ついに幻まで見えるようになったか……。かような海底に、余人が訪ねては来まいからな……。			輝きは不滅なりて							
幻よ……いや亡霊よ……。吾の命、喰いたくば喰っていけ……。			幻よ……いや亡霊よ……。吾の命、喰いたくば喰っていけ……。			輝きは不滅なりて							
吾は今、「すらんぷ」の最中……。働くことのできぬ吾など、藻屑以下の存在よ……。いや……比べるだけ、藻屑に失礼かもしれぬ……。			吾は今、「すらんぷ」の最中……。働くことのできぬ吾など、藻屑以下の存在よ……。いや……比べるだけ、藻屑に失礼かもしれぬ……。			輝きは不滅なりて							
グレノルトは、何やら意気消沈している様子だ。「活を入れて」みよう。			グレノルトは、何やら意気消沈している様子だ。「活を入れて」みよう。			輝きは不滅なりて							
働くことのできぬ吾など……生きる価値なし……。			働くことのできぬ吾など……生きる価値なし……。			輝きは不滅なりて							
グレノルトは、何やら意気消沈している様子だ。「活を入れて」みよう。			グレノルトは、何やら意気消沈している様子だ。「活を入れて」みよう。			輝きは不滅なりて							
亡霊が、何やらざわめいている……。この命を喰らわぬならば、どうか放っておいてくれ……。			亡霊が、何やらざわめいている……。この命を喰らわぬならば、どうか放っておいてくれ……。			輝きは不滅なりて							
……む？　何やら真っ当に励まされている？もしや貴殿、幻や亡霊ではない……？			……む？　何やら真っ当に励まされている？もしや貴殿、幻や亡霊ではない……？			輝きは不滅なりて							
何と言う？			何と言う？			輝きは不滅なりて							
そうきたかー……			そうきたかー……			輝きは不滅なりて							
どこかで会ったことが？			どこかで会ったことが？			輝きは不滅なりて							
お前がグレノルトか？			お前がグレノルトか？			輝きは不滅なりて							
どこかで会ったことが？			どこかで会ったことが？			輝きは不滅なりて							
いかがされたか。……私の容姿に、何か気に食わぬところでも？			いかがされたか。……私の容姿に、何か気に食わぬところでも？			輝きは不滅なりて							
だが、多少の不精は許されたし。なにせここは、余人の入らざる海底の「あとりえ」。このグレノルトが、俗世を離れ、仕事に打ち込む場なれば……。			だが、多少の不精は許されたし。なにせここは、余人の入らざる海底の「あとりえ」。このグレノルトが、俗世を離れ、仕事に打ち込む場なれば……。			輝きは不滅なりて							
ふむ……吾がまだクリスタリウムにいたころ、出会っていた可能性はなきにしもあらずだが……恐らくは初対面であろう。			ふむ……吾がまだクリスタリウムにいたころ、出会っていた可能性はなきにしもあらずだが……恐らくは初対面であろう。			輝きは不滅なりて							
吾はグレノルト、この海底の「あとりえ」に籠り、俗世を離れて仕事に打ち込んでいる、職人よ。			吾はグレノルト、この海底の「あとりえ」に籠り、俗世を離れて仕事に打ち込んでいる、職人よ。			輝きは不滅なりて							
ほう、吾のことを、どこぞで聞き及んでいたか……。			ほう、吾のことを、どこぞで聞き及んでいたか……。			輝きは不滅なりて							
いかにも、吾はグレノルト。この海底の「あとりえ」に籠り、俗世を離れて仕事に打ち込んでいる、職人よ。			いかにも、吾はグレノルト。この海底の「あとりえ」に籠り、俗世を離れて仕事に打ち込んでいる、職人よ。			輝きは不滅なりて							
……して、客人よ。わざわざかような場所に訪れてまで、吾に何用か？			……して、客人よ。わざわざかような場所に訪れてまで、吾に何用か？			輝きは不滅なりて							
ふむ……オンド族から発注された、明かりとな……。			ふむ……オンド族から発注された、明かりとな……。			輝きは不滅なりて							
うわああああああぁぁぁ！まだ何も浮かんでなぁぁぁいッ！			うわああああああぁぁぁ！まだ何も浮かんでなぁぁぁいッ！			輝きは不滅なりて							
吾は藻屑……いや、ただのクズ……クズ以下のクズクズ……。一端の職人ともあろうものが、納期も守らず、成果も上げていないなど……仕事を舐めている……！			吾は藻屑……いや、ただのクズ……クズ以下のクズクズ……。一端の職人ともあろうものが、納期も守らず、成果も上げていないなど……仕事を舐めている……！			輝きは不滅なりて							
ああしかし、貴殿も聞いたであろう。信仰に厚いオンド族にとって、遺跡に明かりを灯すことが、どれほどの意味を持つか……。			ああしかし、貴殿も聞いたであろう。信仰に厚いオンド族にとって、遺跡に明かりを灯すことが、どれほどの意味を持つか……。			輝きは不滅なりて							
なれば吾は、職人として、最適な明かりを提供せねばならぬ！だというのに……だというのに……！			なれば吾は、職人として、最適な明かりを提供せねばならぬ！だというのに……だというのに……！			輝きは不滅なりて							
どんな明かりが良いか、ちっとも浮かばなぁぁぁい！閃きが全然足りないぃぃ！！			どんな明かりが良いか、ちっとも浮かばなぁぁぁい！閃きが全然足りないぃぃ！！			輝きは不滅なりて							
はぁ……貴殿は何か、吾に閃きを与えるような品を持ってはおらぬか？			はぁ……貴殿は何か、吾に閃きを与えるような品を持ってはおらぬか？			輝きは不滅なりて							
オンド族が、いにしえの存在に応えようとしているのなら、灯す明かりもまた、歴史を火にして輝くような……そんな品でなければならぬ。			オンド族が、いにしえの存在に応えようとしているのなら、灯す明かりもまた、歴史を火にして輝くような……そんな品でなければならぬ。			輝きは不滅なりて							
例えるならば、そう、命の輝きを結晶にしたクリスタル……だが、輝かしいばかりではなく、悲喜こもごもの、動乱の歴史を歩んできたかのような……そんな感じの……何か！			例えるならば、そう、命の輝きを結晶にしたクリスタル……だが、輝かしいばかりではなく、悲喜こもごもの、動乱の歴史を歩んできたかのような……そんな感じの……何か！			輝きは不滅なりて							
第一世界の「光の戦士」の足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			第一世界の「光の戦士」の足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			輝きは不滅なりて							
ブランデンの足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			ブランデンの足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			輝きは不滅なりて							
ラミットの足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			ラミットの足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			輝きは不滅なりて							
レンダ・レイの足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			レンダ・レイの足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			輝きは不滅なりて							
ナイルベルトの足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			ナイルベルトの足跡を追う旅で見つけた、抜け殻のような「光のクリスタル」はどうだろうか……。もういちどグレノルトに声をかけ、見せてみよう。			輝きは不滅なりて							
グレノルトに閃きをもたらすような品は、劇的な戦いの先でしか、見つけることができなさそうだ……。			グレノルトに閃きをもたらすような品は、劇的な戦いの先でしか、見つけることができなさそうだ……。			輝きは不滅なりて							
クリスタリウムの「彷徨う階段亭」で受注できる、いずれかの「ロールクエスト」を最後まで完了してから、再びここへ戻ってこよう。			クリスタリウムの「彷徨う階段亭」で受注できる、いずれかの「ロールクエスト」を最後まで完了してから、再びここへ戻ってこよう。			輝きは不滅なりて							
駄目だ……なにか閃きを呼び起こすような品を得なければ、到底、明かりを作り上げられそうもない……！			駄目だ……なにか閃きを呼び起こすような品を得なければ、到底、明かりを作り上げられそうもない……！			輝きは不滅なりて							
例えるならば、そう、命の輝きを結晶にしたクリスタル……だが、輝かしいばかりではなく、悲喜こもごもの、動乱の歴史を歩んできたかのような……そんな感じの……何か！			例えるならば、そう、命の輝きを結晶にしたクリスタル……だが、輝かしいばかりではなく、悲喜こもごもの、動乱の歴史を歩んできたかのような……そんな感じの……何か！			輝きは不滅なりて							
グレノルトに閃きをもたらすような品は、劇的な戦いの先でしか、見つけることができなさそうだ……。			グレノルトに閃きをもたらすような品は、劇的な戦いの先でしか、見つけることができなさそうだ……。			輝きは不滅なりて							
クリスタリウムの「彷徨う階段亭」で受注できる、いずれかの「ロールクエスト」を最後まで完了してから、再びここへ戻ってこよう。			クリスタリウムの「彷徨う階段亭」で受注できる、いずれかの「ロールクエスト」を最後まで完了してから、再びここへ戻ってこよう。			輝きは不滅なりて							
ああ……何も思い浮かばぬ……もはや、ヤカンを打ち直す仕事から、出直した方がいいのではなかろうか……？			ああ……何も思い浮かばぬ……もはや、ヤカンを打ち直す仕事から、出直した方がいいのではなかろうか……？			輝きは不滅なりて							
アルバートの仲間たちの、抜け殻となった「光のクリスタル」を見せますか？			アルバートの仲間たちの、抜け殻となった「光のクリスタル」を見せますか？			輝きは不滅なりて							
そ、そ、そ、それは……そのクリスタルは……ッ！			そ、そ、そ、それは……そのクリスタルは……ッ！			輝きは不滅なりて							
美しさのみならず、悲哀や無常の理までも伝わってくる……まさに、そう、激動の歴史を体現していると言っても、過言ではない逸品……！			美しさのみならず、悲哀や無常の理までも伝わってくる……まさに、そう、激動の歴史を体現していると言っても、過言ではない逸品……！			輝きは不滅なりて							
おお、おお、おお……！視える……クリスタルが伝えし遺志の輝きが視える……！望めども、決して集められぬ「輝き」が……！			おお、おお、おお……！視える……クリスタルが伝えし遺志の輝きが視える……！望めども、決して集められぬ「輝き」が……！			輝きは不滅なりて							
うおおおぉぉぉ……！製作意欲が、閃きが、とめどなく溢れてくる！いける、いけるぞ、今なら……ッ！			うおおおぉぉぉ……！製作意欲が、閃きが、とめどなく溢れてくる！いける、いけるぞ、今なら……ッ！			輝きは不滅なりて							
オンドの潮溜まりのヤ・シュトラは、深く考え込んでいるようだ。			オンドの潮溜まりのヤ・シュトラは、深く考え込んでいるようだ。			彼らの都							
ヤ・シュトラと話す			ヤ・シュトラと話す			彼らの都							
指定地点から、オンドの潮溜まりを観察			指定地点から、オンドの潮溜まりを観察			彼らの都							
遺構の外壁に霊銀製のナイフを使う			遺構の外壁に霊銀製のナイフを使う			彼らの都							
ヤ・シュトラと話す			ヤ・シュトラと話す			彼らの都							
キタンナの複製画に似た遺構を探し、付近の指定地点で見渡す			キタンナの複製画に似た遺構を探し、付近の指定地点で見渡す			彼らの都							
ヤ・シュトラと話す			ヤ・シュトラと話す			彼らの都							
……ああ、Forename。そちらは何か、進展があって？			……ああ、Forename。そちらは何か、進展があって？			彼らの都							
この集落を囲む建物について聞いたの……！？素晴らしいわ、その情報がほしかったのよ。			この集落を囲む建物について聞いたの……！？素晴らしいわ、その情報がほしかったのよ。			彼らの都							
ねえ、少しの間、私の調査にも力を貸してもらえるかしら？物理的な視力を持つ、あなたの見解を聞きたいのよ。……こっちへ来て。			ねえ、少しの間、私の調査にも力を貸してもらえるかしら？物理的な視力を持つ、あなたの見解を聞きたいのよ。……こっちへ来て。			彼らの都							
ご同行、感謝するわ。あなたには、まず2つのことを、やってみてほしいの。			ご同行、感謝するわ。あなたには、まず2つのことを、やってみてほしいの。			彼らの都							
1つ目……このあたりから「オンドの潮溜まり」を観察して、それを形成する建物の特徴を捉えること。			1つ目……このあたりから「オンドの潮溜まり」を観察して、それを形成する建物の特徴を捉えること。			彼らの都							
2つ目……「霊銀製のナイフ」を渡すから、近くにある同様の建物の外壁を剥がしてくること。			2つ目……「霊銀製のナイフ」を渡すから、近くにある同様の建物の外壁を剥がしてくること。			彼らの都							
どちらを先にやってくれても構わないわ。手間を掛けるけれど……よろしくね。			どちらを先にやってくれても構わないわ。手間を掛けるけれど……よろしくね。			彼らの都							
お願いした2つは、終わったかしら？……なんだか、ラケティカ大森林で一緒に探索をしたのが、遠い昔のようにも思えるわね。			お願いした2つは、終わったかしら？……なんだか、ラケティカ大森林で一緒に探索をしたのが、遠い昔のようにも思えるわね。			彼らの都							
「オンドの潮溜まり周辺の建物」の観察を開始します。特徴と思しき箇所を発見したら、ズームをしてから、左クリック[???]ボタン/[???]ボタンで確認しましょう！			「オンドの潮溜まり周辺の建物」の観察を開始します。特徴と思しき箇所を発見したら、ズームをしてから、左クリック[???]ボタン/[???]ボタンで確認しましょう！			彼らの都							
力いっぱい、霊銀製のナイフを突き立てた！……が、壁は欠片すら剥がれなかった。傷つけることは難しいようだ。			力いっぱい、霊銀製のナイフを突き立てた！……が、壁は欠片すら剥がれなかった。傷つけることは難しいようだ。			彼らの都							
頼んだ調査は、どうだったかしら……？			頼んだ調査は、どうだったかしら……？			彼らの都							
あの建物の特徴については、私も同意見だわ。双方に視えている形に違いはないということね……。			あの建物の特徴については、私も同意見だわ。双方に視えている形に違いはないということね……。			彼らの都							
そして、あなたの力を以てしても、傷つけられない……か。			そして、あなたの力を以てしても、傷つけられない……か。			彼らの都							
Forename、私の眼で視るとね、この海底のいたるところに、「未知の物質」があるように捉えられるの。			Forename、私の眼で視るとね、この海底のいたるところに、「未知の物質」があるように捉えられるの。			彼らの都							
調べてもらった建物が、その最たる例よ。ありふれた石造りに見えるかもしれないけれど、素材となる物質の構造が全然違う……。			調べてもらった建物が、その最たる例よ。ありふれた石造りに見えるかもしれないけれど、素材となる物質の構造が全然違う……。			彼らの都							
いうなれば、複数の石の特性をかけあわせて、類を見ないほど優れた物質にしている……といったところね。			いうなれば、複数の石の特性をかけあわせて、類を見ないほど優れた物質にしている……といったところね。			彼らの都							
ノルヴラント随一の大国だったロンカ帝国にさえ、こんな「完璧な」物質を生み出した形跡はなかったわ。			ノルヴラント随一の大国だったロンカ帝国にさえ、こんな「完璧な」物質を生み出した形跡はなかったわ。			彼らの都							
では、この建物を作った……オンド族の言うところの「いにしえの者」が、誰なのかということだけれど……。			では、この建物を作った……オンド族の言うところの「いにしえの者」が、誰なのかということだけれど……。			彼らの都							
私は、エメトセルクがこの地を拠点に選んだことこそが、その答えになると推測しているのよ。			私は、エメトセルクがこの地を拠点に選んだことこそが、その答えになると推測しているのよ。			彼らの都							
単純に、私たちが到達しにくい場所だから、海底を選んだという側面もあるのでしょうけれど……それだけだったら、ほかにいくらでも候補はあるわ。			単純に、私たちが到達しにくい場所だから、海底を選んだという側面もあるのでしょうけれど……それだけだったら、ほかにいくらでも候補はあるわ。			彼らの都							
エメトセルクが、アシエンの役割に忠実であればこそ……居つく場所は、彼にとって利の大きな場所でなければならない。			エメトセルクが、アシエンの役割に忠実であればこそ……居つく場所は、彼にとって利の大きな場所でなければならない。			彼らの都							
あるいは……何にも勝る、思い入れのある場所か。			あるいは……何にも勝る、思い入れのある場所か。			彼らの都							
何と言う？			何と言う？			彼らの都							
あの建物は、エメトセルクたち古代人の……？			あの建物は、エメトセルクたち古代人の……？			彼らの都							
