レヴナンツトールのコー・ラブンタと、目が合った気がする。			レヴナンツトールのコー・ラブンタと、目が合った気がする。			秘されしオルト・エウレカ							
コー・ラブンタの身体に宿った大魔道士ノアから、依頼をしたいと持ち掛けられた。モードゥナの八剣士の前庭にある「指定地点」で待機しよう。			コー・ラブンタの身体に宿った大魔道士ノアから、依頼をしたいと持ち掛けられた。モードゥナの八剣士の前庭にある「指定地点」で待機しよう。			秘されしオルト・エウレカ							
グ・ラハ・ティアやコー・ラブンタと合流し、アラグの先端技術研究所オルト・エウレカへのゲートを開いた。八剣士の前庭の「コー・ラブンタ」と話そう。			グ・ラハ・ティアやコー・ラブンタと合流し、アラグの先端技術研究所オルト・エウレカへのゲートを開いた。八剣士の前庭の「コー・ラブンタ」と話そう。			秘されしオルト・エウレカ							
コー・ラブンタ手製の武具と、デミクローン・ジェネレーターを受け取った。八剣士の前庭の「カトゥン」に「ノアのお助けセット」を見せよう。			コー・ラブンタ手製の武具と、デミクローン・ジェネレーターを受け取った。八剣士の前庭の「カトゥン」に「ノアのお助けセット」を見せよう。			秘されしオルト・エウレカ							
カトゥンに準備が整っていることを示し、オルト・エウレカに突入できるようになった。目標は「B30」のフロアの踏破だ。力と知恵、そして運を活用し、アラグの脅威ひしめく研究所を潜っていこう。※レヴナンツトールのエーテライト付近にいるバーネルに話しかけることで、八剣士の前庭まで移動できます。			カトゥンに準備が整っていることを示し、オルト・エウレカに突入できるようになった。目標は「B30」のフロアの踏破だ。力と知恵、そして運を活用し、アラグの脅威ひしめく研究所を潜っていこう。※レヴナンツトールのエーテライト付近にいるバーネルに話しかけることで、八剣士の前庭まで移動できます。			秘されしオルト・エウレカ							
指定地点で待機			指定地点で待機			秘されしオルト・エウレカ							
コー・ラブンタと話す			コー・ラブンタと話す			秘されしオルト・エウレカ							
カトゥンにノアのお助けセットを見せる			カトゥンにノアのお助けセットを見せる			秘されしオルト・エウレカ							
クエスト「秘されしオルト・エウレカ」を受注するには、ディープダンジョン「死者の宮殿」の、「B50」を踏破している必要があります。			クエスト「秘されしオルト・エウレカ」を受注するには、ディープダンジョン「死者の宮殿」の、「B50」を踏破している必要があります。			秘されしオルト・エウレカ							
「死者の宮殿」を開放していない場合は、グリダニア：新市街で受注できるクエスト、「奇異なる地下迷宮」を進めましょう！			「死者の宮殿」を開放していない場合は、グリダニア：新市街で受注できるクエスト、「奇異なる地下迷宮」を進めましょう！			秘されしオルト・エウレカ							
調子はどうだね、勇敢なる冒険者くん。			調子はどうだね、勇敢なる冒険者くん。			秘されしオルト・エウレカ							
あるいは「暁」の英雄……それとも調査団「ノア」の一員と呼ぶべきか？なあ、Forename Surnameよ。			あるいは「暁」の英雄……それとも調査団「ノア」の一員と呼ぶべきか？なあ、Forename Surnameよ。			秘されしオルト・エウレカ							
おっと、警戒せんでもよい。わらわは聖コイナク財団に属する、一介の調査員コー・ラブンタ……			おっと、警戒せんでもよい。わらわは聖コイナク財団に属する、一介の調査員コー・ラブンタ……			秘されしオルト・エウレカ							
……の体を借りている者。早い話が、コーに憑りついた亡霊のようなものだ。			……の体を借りている者。早い話が、コーに憑りついた亡霊のようなものだ。			秘されしオルト・エウレカ							
名はノア。アラグの時代に生きた魔道士、ノアである。			名はノア。アラグの時代に生きた魔道士、ノアである。			秘されしオルト・エウレカ							
フフ、驚いてもらえたようで何より！そうとも、お前たちが調査団につけた名の大元だ！			フフ、驚いてもらえたようで何より！そうとも、お前たちが調査団につけた名の大元だ！			秘されしオルト・エウレカ							
ほれ、以前シルクスの塔の調査をしただろう？そこに加わってたコーが、わらわの魂を収めた宝珠を見つけてな。			ほれ、以前シルクスの塔の調査をしただろう？そこに加わってたコーが、わらわの魂を収めた宝珠を見つけてな。			秘されしオルト・エウレカ							
