バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			バルデシオン分館のクルルは、グ・ラハ・ティアと何か話していたようだ。			シャーレアン魔法大学							
クルルとともに、魔法大学に行くことになった。バルデシオン分館前の「アリゼー」と話そう。			クルルとともに、魔法大学に行くことになった。バルデシオン分館前の「アリゼー」と話そう。			シャーレアン魔法大学							
アリゼーとアルフィノも一緒に行くことになった。オールド・シャーレアンのフェノメノン大講堂前にいる「クルル」と話そう。			アリゼーとアルフィノも一緒に行くことになった。オールド・シャーレアンのフェノメノン大講堂前にいる「クルル」と話そう。			シャーレアン魔法大学							
アルフィノ伝説の巣窟、フェノメノン大講堂に入ることになった。フェノメノン大講堂の「興奮した魔法大学生」と話そう。			アルフィノ伝説の巣窟、フェノメノン大講堂に入ることになった。フェノメノン大講堂の「興奮した魔法大学生」と話そう。			シャーレアン魔法大学							
興奮した魔法大学生は、モンティシェーニュの居場所を知らなかった。フェノメノン大講堂の選者殿にいる「キィ・アリアポー」と話そう。			興奮した魔法大学生は、モンティシェーニュの居場所を知らなかった。フェノメノン大講堂の選者殿にいる「キィ・アリアポー」と話そう。			シャーレアン魔法大学							
キィ・アリアポーから工匠殿に行くことを勧められた。フェノメノン大講堂の工匠殿にいる「冷静そうな魔法大学生」と話そう。			キィ・アリアポーから工匠殿に行くことを勧められた。フェノメノン大講堂の工匠殿にいる「冷静そうな魔法大学生」と話そう。			シャーレアン魔法大学							
冷静そうな魔法大学生によれば、モンティシェーニュは講堂のどれかにいるらしい。フェノメノン大講堂で「モンティシェーニュ」を探そう。			冷静そうな魔法大学生によれば、モンティシェーニュは講堂のどれかにいるらしい。フェノメノン大講堂で「モンティシェーニュ」を探そう。			シャーレアン魔法大学							
モンティシェーニュを見つけ、講義をしてもらった。強いエーテルを浴びせることで、記憶を封じたり、それにまつわる行動を制限したりする術があるらしい。今後のために、念頭に置いておこう。			モンティシェーニュを見つけ、講義をしてもらった。強いエーテルを浴びせることで、記憶を封じたり、それにまつわる行動を制限したりする術があるらしい。今後のために、念頭に置いておこう。			シャーレアン魔法大学							
アリゼーと話す			アリゼーと話す			シャーレアン魔法大学							
クルルと話す			クルルと話す			シャーレアン魔法大学							
興奮した魔法大学生と話す			興奮した魔法大学生と話す			シャーレアン魔法大学							
キィ・アリアポーと話す			キィ・アリアポーと話す			シャーレアン魔法大学							
冷静そうな魔法大学生と話す			冷静そうな魔法大学生と話す			シャーレアン魔法大学							
モンティシェーニュを探す			モンティシェーニュを探す			シャーレアン魔法大学							
おはよう……でいいか？昨日は部屋を貸してくれて、ありがとな！あんな賑やかな夕飯、久々で楽しかったよ。			おはよう……でいいか？昨日は部屋を貸してくれて、ありがとな！あんな賑やかな夕飯、久々で楽しかったよ。			シャーレアン魔法大学							
あっ、Forenameさん！押しかけておいてなんだけど、あのあと、ゆっくり休めたかしら……？			あっ、Forenameさん！押しかけておいてなんだけど、あのあと、ゆっくり休めたかしら……？			シャーレアン魔法大学							
それにしても、いいタイミングで出てきてくれたわ。実は、今から「シャーレアン魔法大学」に行こうとしていたの。			それにしても、いいタイミングで出てきてくれたわ。実は、今から「シャーレアン魔法大学」に行こうとしていたの。			シャーレアン魔法大学							
哲学者議会の査問会で、私たちを庇ってくださった、モンティシェーニュ様のことを覚えてる？魔法大学の学長も務めていらっしゃる、偉大な賢人よ。			哲学者議会の査問会で、私たちを庇ってくださった、モンティシェーニュ様のことを覚えてる？魔法大学の学長も務めていらっしゃる、偉大な賢人よ。			シャーレアン魔法大学							
私たちがサベネア島に行っている間に、あの方が、分館を訪ねてきてくださったそうなの。査問会のこともあったし、心配してくれたみたい。			私たちがサベネア島に行っている間に、あの方が、分館を訪ねてきてくださったそうなの。査問会のこともあったし、心配してくれたみたい。			シャーレアン魔法大学							
だから、ヤ・シュトラたちから連絡がくる前に、お礼を言いにいこうと思うの。あなたも、よければ一緒に魔法大学へ行ってみない？			だから、ヤ・シュトラたちから連絡がくる前に、お礼を言いにいこうと思うの。あなたも、よければ一緒に魔法大学へ行ってみない？			シャーレアン魔法大学							
……決まりね！外で訓練に励んでるアルフィノくんたちも連れて、大書院の近くにある「フェノメノン大講堂」に行きましょう！			……決まりね！外で訓練に励んでるアルフィノくんたちも連れて、大書院の近くにある「フェノメノン大講堂」に行きましょう！			シャーレアン魔法大学							
オレは、このまま分館で待機してる。その方が、何か動きがあったときに、素早く対応できるだろうからな。			オレは、このまま分館で待機してる。その方が、何か動きがあったときに、素早く対応できるだろうからな。			シャーレアン魔法大学							
ラハくん、ありがとう！ふらっと出かけていったエスティニアンさんが戻ったら、せめて行き先は知らせておいて、って伝えてね！			ラハくん、ありがとう！ふらっと出かけていったエスティニアンさんが戻ったら、せめて行き先は知らせておいて、って伝えてね！			シャーレアン魔法大学							
