オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			オールド・シャーレアンのノルトータは、冒険者に感心しているようだ。			ギルドシップのモブハント（中級）							
ジャ・ラクシャイと話す			ジャ・ラクシャイと話す			ギルドシップのモブハント（中級）							
「ギルドシップのモブハント（中級）」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、受注できるようになります。			「ギルドシップのモブハント（中級）」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、受注できるようになります。			ギルドシップのモブハント（中級）							
Forenameさん、おかえりなさい！バリバリ実力を示しておられるようで、何よりです。			Forenameさん、おかえりなさい！バリバリ実力を示しておられるようで、何よりです。			ギルドシップのモブハント（中級）							
これなら、中級の依頼もお願いできますね。この先は、さらなる難題ばかりですので……あなたが引き受けてくださるなら、心強いかぎりですよ！			これなら、中級の依頼もお願いできますね。この先は、さらなる難題ばかりですので……あなたが引き受けてくださるなら、心強いかぎりですよ！			ギルドシップのモブハント（中級）							
たとえば、中級の依頼には、現在立ち入ることすら難しい、「ガレマルド」地域のサンプル回収などが含まれておりまして、かなり危険度が高いんです。			たとえば、中級の依頼には、現在立ち入ることすら難しい、「ガレマルド」地域のサンプル回収などが含まれておりまして、かなり危険度が高いんです。			ギルドシップのモブハント（中級）							
それだけならともかく……いえ、これ以上は、手配書をまとめている、「ジャ・ラクシャイ」から、直接説明を受けてくださいませ。			それだけならともかく……いえ、これ以上は、手配書をまとめている、「ジャ・ラクシャイ」から、直接説明を受けてくださいませ。			ギルドシップのモブハント（中級）							
ふふふ、まさかこんなに早く、この部署の闇をお見せすることになるとは……。まずは、ジャ・ラクシャイの話を聞いてみてください。			ふふふ、まさかこんなに早く、この部署の闇をお見せすることになるとは……。まずは、ジャ・ラクシャイの話を聞いてみてください。			ギルドシップのモブハント（中級）							
はいはい、聞こえてたよー。中級の厄介さについて知りたければ、とりあえず具体例を聞いてみるのが、手っ取り早いかな。			はいはい、聞こえてたよー。中級の厄介さについて知りたければ、とりあえず具体例を聞いてみるのが、手っ取り早いかな。			ギルドシップのモブハント（中級）							
えーと、例えばコレ……クリジエールさんからの依頼なんか、その好例だね。			えーと、例えばコレ……クリジエールさんからの依頼なんか、その好例だね。			ギルドシップのモブハント（中級）							
シャーレアン唯一の「宇宙生物学者」を自称する彼女は、学会追放の要因にもなった「宇宙生命体」の存在を証明するため、「月」の生物のサンプルを所望してるんだ。			シャーレアン唯一の「宇宙生物学者」を自称する彼女は、学会追放の要因にもなった「宇宙生命体」の存在を証明するため、「月」の生物のサンプルを所望してるんだ。			ギルドシップのモブハント（中級）							
そんな感じで、中級以降の依頼には、どう実行したものかわからない、奇天烈な案件もあってさ。誰もこなせず残り続けるから、私たちも頭を抱えてるんだよね。			そんな感じで、中級以降の依頼には、どう実行したものかわからない、奇天烈な案件もあってさ。誰もこなせず残り続けるから、私たちも頭を抱えてるんだよね。			ギルドシップのモブハント（中級）							
とはいえ、依頼は依頼。寄せられた依頼には真摯に向き合い、報酬や難度を鑑みて、それをボードに張り出すのが私たちの仕事……。			とはいえ、依頼は依頼。寄せられた依頼には真摯に向き合い、報酬や難度を鑑みて、それをボードに張り出すのが私たちの仕事……。			ギルドシップのモブハント（中級）							
「ギルドシップボード」を見て、こなせそうな依頼があったら、ぜひ挑戦してほしいな。今後は「中級」のモブハントも、よろしくね！			「ギルドシップボード」を見て、こなせそうな依頼があったら、ぜひ挑戦してほしいな。今後は「中級」のモブハントも、よろしくね！			ギルドシップのモブハント（中級）							
「ギルドシップ・モブ手配書：中級」が開放された！			「ギルドシップ・モブ手配書：中級」が開放された！			ギルドシップのモブハント（中級）							
オールド・シャーレアンとラザハンの「ギルドシップボード」から、「ギルドシップ・モブ手配書：中級」を、入手できるようになりました。			オールド・シャーレアンとラザハンの「ギルドシップボード」から、「ギルドシップ・モブ手配書：中級」を、入手できるようになりました。			ギルドシップのモブハント（中級）							
また、「レベル89」以上になり、「メインクエスト」を特定の状態まで完了すると、ノルトータから、新たなクエストが受注できます。			また、「レベル89」以上になり、「メインクエスト」を特定の状態まで完了すると、ノルトータから、新たなクエストが受注できます。			ギルドシップのモブハント（中級）							
選者殿のチャ・ラカ・ティアは、論文のためのデータ採集が進みだしたことを喜んでいるようだ。			選者殿のチャ・ラカ・ティアは、論文のためのデータ採集が進みだしたことを喜んでいるようだ。			小魚が踊るエーテル							
