嘆きの海のウリエンジェは、冒険者を静かに待っている。			嘆きの海のウリエンジェは、冒険者を静かに待っている。			想い想われ、すれ違い							
ウリエンジェと話す			ウリエンジェと話す			想い想われ、すれ違い							
指定地点で見渡し敵を討伐			指定地点で見渡し敵を討伐			想い想われ、すれ違い							
指定地点で見渡す			指定地点で見渡す			想い想われ、すれ違い							
ウリエンジェと話す			ウリエンジェと話す			想い想われ、すれ違い							
ヤ・シュトラと話す			ヤ・シュトラと話す			想い想われ、すれ違い							
指定地点に向かい、ランニングウェイを捜索			指定地点に向かい、ランニングウェイを捜索			想い想われ、すれ違い							
ヤ・シュトラと話す			ヤ・シュトラと話す			想い想われ、すれ違い							
お付き合いいただけるのですね。ありがとうございます……。			お付き合いいただけるのですね。ありがとうございます……。			想い想われ、すれ違い							
あまりお時間は取らせませんので、その点はご心配なく。我が策は、実のところ、大変ささやかなものなのです。			あまりお時間は取らせませんので、その点はご心配なく。我が策は、実のところ、大変ささやかなものなのです。			想い想われ、すれ違い							
終末を前にした今、重大な決断が求められている……だからこそ、「自分がなぜそうしたいのか」という核心を、各々が明確にしておくべきだと思うのです。			終末を前にした今、重大な決断が求められている……だからこそ、「自分がなぜそうしたいのか」という核心を、各々が明確にしておくべきだと思うのです。			想い想われ、すれ違い							
私は、微力ながらそれを後押しする品を用意したい。材料を得るため、東の方へ向かいましょう。			私は、微力ながらそれを後押しする品を用意したい。材料を得るため、東の方へ向かいましょう。			想い想われ、すれ違い							
やはり、菌類が繁殖していますね……。			やはり、菌類が繁殖していますね……。			想い想われ、すれ違い							
アルゴスに乗って大穴を渡ってくる際に、この場所を見かけたのです。			アルゴスに乗って大穴を渡ってくる際に、この場所を見かけたのです。			想い想われ、すれ違い							
私はこの菌類と、かつてン・モゥ族から伝授された魔法で、ある道具を作りたいと思います。			私はこの菌類と、かつてン・モゥ族から伝授された魔法で、ある道具を作りたいと思います。			想い想われ、すれ違い							
作業の間、護衛を頼んでもよろしいですか？あなたにお任せできるなら、何を案ずることもなく、作業に集中できるかと……。			作業の間、護衛を頼んでもよろしいですか？あなたにお任せできるなら、何を案ずることもなく、作業に集中できるかと……。			想い想われ、すれ違い							
………………。			………………。			想い想われ、すれ違い							
ウリエンジェは、集中して魔法を繰っているようだ。あたりを警戒して、彼の安全を守ろう。			ウリエンジェは、集中して魔法を繰っているようだ。あたりを警戒して、彼の安全を守ろう。			想い想われ、すれ違い							
こちらに向かってくる敵は、もういないようだ。ウリエンジェの様子を見てみよう。			こちらに向かってくる敵は、もういないようだ。ウリエンジェの様子を見てみよう。			想い想われ、すれ違い							
………………。			………………。			想い想われ、すれ違い							
ウリエンジェは、まだ一心に何かを作っているようだ。できあがるまで、このまま待機していよう。			ウリエンジェは、まだ一心に何かを作っているようだ。できあがるまで、このまま待機していよう。			想い想われ、すれ違い							
ふー……。お待たせしました……無事完成です……。			ふー……。お待たせしました……無事完成です……。			想い想われ、すれ違い							
おかげさまで、望んだとおりの、「魔法のインク」を作り出すことができました。			おかげさまで、望んだとおりの、「魔法のインク」を作り出すことができました。			想い想われ、すれ違い							
魔法……といっても、今回は特別な効果を持たせてはおりません。			魔法……といっても、今回は特別な効果を持たせてはおりません。			想い想われ、すれ違い							
ただ、色には大変こだわりを持っておりまして……			ただ、色には大変こだわりを持っておりまして……			想い想われ、すれ違い							
(-？？？？-)おふたりとも！こんな場所にいらっしゃったのですね！			(-？？？？-)おふたりとも！こんな場所にいらっしゃったのですね！			想い想われ、すれ違い							
あなたのことを、ヤ・シュトラさんたちが探していましたわ！きっと、緊急で至急で重大で特別な話だと思いますので、すぐにお戻りくださいな！			あなたのことを、ヤ・シュトラさんたちが探していましたわ！きっと、緊急で至急で重大で特別な話だと思いますので、すぐにお戻りくださいな！			想い想われ、すれ違い							
ウリエンジェさんには、ええと……別件が……。			ウリエンジェさんには、ええと……別件が……。			想い想われ、すれ違い							
月の監視者から、荷物を運んでほしいと連絡を受けたのですわ。けれどそれが……そう、すごく大きくて重くて四角いので、手伝っていただきたいのですッ！			月の監視者から、荷物を運んでほしいと連絡を受けたのですわ。けれどそれが……そう、すごく大きくて重くて四角いので、手伝っていただきたいのですッ！			想い想われ、すれ違い							
何と言う？			何と言う？			想い想われ、すれ違い							
…………わかった			…………わかった			想い想われ、すれ違い							
自分が荷物を運ぼうか？			自分が荷物を運ぼうか？			想い想われ、すれ違い							
あ、怪しい……！			あ、怪しい……！			想い想われ、すれ違い							
ほっ……。			ほっ……。			想い想われ、すれ違い							
ではでは、グレーテスト・エンズヴィルへ。ヤ・シュトラさんたちは、まだそこにいるはずですわ……多分。			ではでは、グレーテスト・エンズヴィルへ。ヤ・シュトラさんたちは、まだそこにいるはずですわ……多分。			想い想われ、すれ違い							
い、いい、いえ！ウリエンジェさんがいれば十分ですわ！			い、いい、いえ！ウリエンジェさんがいれば十分ですわ！			想い想われ、すれ違い							
