パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			パーラカの里のマトシャは、何かを切り出すタイミングを計っているようだ。			暗闇を彩りながら							
マトシャとニッダーナたちにあとをまかせ、ラザハンに向かうことになった。サベネア島のトラーナ関門にいる「エスティニアン」と話そう。			マトシャとニッダーナたちにあとをまかせ、ラザハンに向かうことになった。サベネア島のトラーナ関門にいる「エスティニアン」と話そう。			暗闇を彩りながら							
エスティニアンと話した。ラザハンのアルザダール通りにいる「サンクレッド」と話そう。			エスティニアンと話した。ラザハンのアルザダール通りにいる「サンクレッド」と話そう。			暗闇を彩りながら							
サンクレッドから頼みごとをされた。メーガドゥータ宮前の広場に向かいつつ、事情を知らなさそうな住民を探して声をかけよう。			サンクレッドから頼みごとをされた。メーガドゥータ宮前の広場に向かいつつ、事情を知らなさそうな住民を探して声をかけよう。			暗闇を彩りながら							
ヒューラン族の少年に移動を促した。メーガドゥータ宮前の広場に向かいつつ、事情を知らなさそうな住民を探して声をかけよう。			ヒューラン族の少年に移動を促した。メーガドゥータ宮前の広場に向かいつつ、事情を知らなさそうな住民を探して声をかけよう。			暗闇を彩りながら							
強張った様子の青年に移動を促した。メーガドゥータ宮前の広場にある「指定地点」で待機しよう。			強張った様子の青年に移動を促した。メーガドゥータ宮前の広場にある「指定地点」で待機しよう。			暗闇を彩りながら							
ヴリトラの民への告白を見届けた。メーガドゥータ宮前の広場にいるアルフィノと話そう。			ヴリトラの民への告白を見届けた。メーガドゥータ宮前の広場にいるアルフィノと話そう。			暗闇を彩りながら							
アルフィノと話した。ニッダーナの言うとおり、終末は人の知り得る理の外で生じている現象なのだろうか。仲間たちとともに、次の手を模索していこう。			アルフィノと話した。ニッダーナの言うとおり、終末は人の知り得る理の外で生じている現象なのだろうか。仲間たちとともに、次の手を模索していこう。			暗闇を彩りながら							
エスティニアンと話す			エスティニアンと話す			暗闇を彩りながら							
ラザハンのサンクレッドと話す			ラザハンのサンクレッドと話す			暗闇を彩りながら							
通達を知らない住民を探す			通達を知らない住民を探す			暗闇を彩りながら							
通達を知らない住民を再度探す			通達を知らない住民を再度探す			暗闇を彩りながら							
指定地点で待機			指定地点で待機			暗闇を彩りながら							
アルフィノと話す			アルフィノと話す			暗闇を彩りながら							
プルシャ寺院で会った人たちも、里へ帰ってこられたようだ。家にいられるというだけでも、森の中を逃げ続けるより、よほど安心するんじゃないかな。			プルシャ寺院で会った人たちも、里へ帰ってこられたようだ。家にいられるというだけでも、森の中を逃げ続けるより、よほど安心するんじゃないかな。			暗闇を彩りながら							
それにしても、このチャイ、いい香りね……。余りそうだったら、私ももらってみようかしら？			それにしても、このチャイ、いい香りね……。余りそうだったら、私ももらってみようかしら？			暗闇を彩りながら							
アタシたちの信仰は、苦難を必ずあるものとして、その中で生きていくために訓えが説かれてるんだ。だからこそ、「慣れる」って思えるのかもしれないね。			アタシたちの信仰は、苦難を必ずあるものとして、その中で生きていくために訓えが説かれてるんだ。だからこそ、「慣れる」って思えるのかもしれないね。			暗闇を彩りながら							
寝床の確保に、飯の確保。ラザハンの様子だって、確認しておきたいだろ？はは……存外休む暇なしだなぁ！			寝床の確保に、飯の確保。ラザハンの様子だって、確認しておきたいだろ？はは……存外休む暇なしだなぁ！			暗闇を彩りながら							
配りおわったなら、少しいいだすか……？あのあと、メヴァンの亡骸がどうなったのか知りたくて……。			配りおわったなら、少しいいだすか……？あのあと、メヴァンの亡骸がどうなったのか知りたくて……。			暗闇を彩りながら							
よかった……！ケラシャフの隣に運んでもらえたんだすね。			よかった……！ケラシャフの隣に運んでもらえたんだすね。			暗闇を彩りながら							
場所もわかっただす。あとで里のみんなと一緒に行って、丁重に弔うだす。			場所もわかっただす。あとで里のみんなと一緒に行って、丁重に弔うだす。			暗闇を彩りながら							
