アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			アルザダール通りのグ・ラハ・ティアは、渡したいものがあるようだ。			闇の戦士の再訪							
従者の門のライナと話す			従者の門のライナと話す			闇の戦士の再訪							
クリスタリウムの指定地点で待機			クリスタリウムの指定地点で待機			闇の戦士の再訪							
リーンと話す			リーンと話す			闇の戦士の再訪							
終末がどこまで広がり、何が起きているか……各国とも協力して、迅速に把握できる体制を整えておこう。君が、無事に戻ってきてくれるまでにね。			終末がどこまで広がり、何が起きているか……各国とも協力して、迅速に把握できる体制を整えておこう。君が、無事に戻ってきてくれるまでにね。			闇の戦士の再訪							
さてと…………			さてと…………			闇の戦士の再訪							
……よし、悪くない調子だわ。燃える空にだって、もうひるまない。やれるだけやってやるんだから！			……よし、悪くない調子だわ。燃える空にだって、もうひるまない。やれるだけやってやるんだから！			闇の戦士の再訪							
もしも、リーンが望んだら、原初世界の現状を伝えてやってくれ。そして「何か気づいたことがあれば教えてほしい」と。			もしも、リーンが望んだら、原初世界の現状を伝えてやってくれ。そして「何か気づいたことがあれば教えてほしい」と。			闇の戦士の再訪							
……あいつはもう、護られているだけじゃない。真実から遠ざけたって、きっと自分の意志で知ろうとする。だったら素直に頼りにさせてもらうさ、仲間としてな。			……あいつはもう、護られているだけじゃない。真実から遠ざけたって、きっと自分の意志で知ろうとする。だったら素直に頼りにさせてもらうさ、仲間としてな。			闇の戦士の再訪							
哲学者議会がハイデリンからの予言によって動いているなら、議会と対立しがちなマトーヤに「逆さの塔」を預けるなんて、おかしな話ではなくて？			哲学者議会がハイデリンからの予言によって動いているなら、議会と対立しがちなマトーヤに「逆さの塔」を預けるなんて、おかしな話ではなくて？			闇の戦士の再訪							
そのあたりから、ハイデリンの意図を探ってみるわ。あなたの方も……しっかりね。			そのあたりから、ハイデリンの意図を探ってみるわ。あなたの方も……しっかりね。			闇の戦士の再訪							
終末が本格化しているのは、豊穣海の周辺地域……サベネア島以外でも、倒せる獣は倒しておいた方がよさそうだ。そのあたりは、俺に任せておけ。			終末が本格化しているのは、豊穣海の周辺地域……サベネア島以外でも、倒せる獣は倒しておいた方がよさそうだ。そのあたりは、俺に任せておけ。			闇の戦士の再訪							
