双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			双蛇党：統合司令部の白蛇の守人は、冒険者に至急報せたいことがあるようだ。			偽りの角							
白蛇の守人と話した。グレイプニルが中央森林に出現したらしい。中央森林のスカンポの安息所の、「指定地点」で見渡し、カヌ・エ・センナと合流しよう。			白蛇の守人と話した。グレイプニルが中央森林に出現したらしい。中央森林のスカンポの安息所の、「指定地点」で見渡し、カヌ・エ・センナと合流しよう。			偽りの角							
獣の群れに襲われ、討伐した。「損耗した装備」を調べよう。			獣の群れに襲われ、討伐した。「損耗した装備」を調べよう。			偽りの角							
どうやら、鬼哭隊の隊士たちは、グレイプニルと交戦し、負傷した末、絶望から獣へと転じてしまったらしい。付近の「指定地点」で見渡して、終末の獣が出現したら討伐しよう。			どうやら、鬼哭隊の隊士たちは、グレイプニルと交戦し、負傷した末、絶望から獣へと転じてしまったらしい。付近の「指定地点」で見渡して、終末の獣が出現したら討伐しよう。			偽りの角							
付近の獣を討伐した。中央森林のエバーシェイドの「指定地点」で待機し、カヌ・エ・センナと合流しよう。			付近の獣を討伐した。中央森林のエバーシェイドの「指定地点」で待機し、カヌ・エ・センナと合流しよう。			偽りの角							
カヌ・エ・センナが、森の大精霊との対話を試みたが、失敗に終わったようだ。直後、グレイプニルが出現、交戦の末、カヌ・エが昏倒してしまう。冒険者が超える力でグレイプニルの過去を垣間見ると、グレイプニルは何処かへと去っていくのだった。負傷したカヌ・エを治療するため、一旦戻ることになった。双蛇党：統合司令部にいる「白蛇の守人」と話そう。			カヌ・エ・センナが、森の大精霊との対話を試みたが、失敗に終わったようだ。直後、グレイプニルが出現、交戦の末、カヌ・エが昏倒してしまう。冒険者が超える力でグレイプニルの過去を垣間見ると、グレイプニルは何処かへと去っていくのだった。負傷したカヌ・エを治療するため、一旦戻ることになった。双蛇党：統合司令部にいる「白蛇の守人」と話そう。			偽りの角							
白蛇の守人と話した。カヌ・エ・センナの治療が終わるまで、今は待機していよう。※いずれかのTANKジョブのレベルが88以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			白蛇の守人と話した。カヌ・エ・センナの治療が終わるまで、今は待機していよう。※いずれかのTANKジョブのレベルが88以上になると、双蛇党：統合司令部の白蛇の守人から次のTANKロールクエストを受注することができます。			偽りの角							
スカンポの安息所の指定地点で見渡す			スカンポの安息所の指定地点で見渡す			偽りの角							
損耗した装備を調べる			損耗した装備を調べる			偽りの角							
指定地点で見渡して終末の獣が出現したら討伐			指定地点で見渡して終末の獣が出現したら討伐			偽りの角							
指定地点で待機する			指定地点で待機する			偽りの角							
双蛇党：統合司令部の白蛇の守人と話す			双蛇党：統合司令部の白蛇の守人と話す			偽りの角							
