リトルシャーレアンのウリエンジェは、一息ついたようだ。			リトルシャーレアンのウリエンジェは、一息ついたようだ。			右往左往そして……							
アリゼーを探す			アリゼーを探す			右往左往そして……							
生体サンプル入りの木箱を持ち上げる			生体サンプル入りの木箱を持ち上げる			右往左往そして……							
アルフィノに生体サンプル入りの木箱を渡す			アルフィノに生体サンプル入りの木箱を渡す			右往左往そして……							
テオポルダンと話す			テオポルダンと話す			右往左往そして……							
物静かな議員に捺印された書類を渡す			物静かな議員に捺印された書類を渡す			右往左往そして……							
テオポルダンと話す			テオポルダンと話す			右往左往そして……							
さて……俺たちも、活動再開といくぞ。すべてをちゃんと終えられたら、ウリエンジェと、お前も連れて飲みに行くか。			さて……俺たちも、活動再開といくぞ。すべてをちゃんと終えられたら、ウリエンジェと、お前も連れて飲みに行くか。			右往左往そして……							
……いい酒を買って、ムーンブリダに献杯しよう。			……いい酒を買って、ムーンブリダに献杯しよう。			右往左往そして……							
そういえば、わたくし、アーテリスのことを聞くことに夢中になって、ウリエンジェ自身のことをあまり聞いていませんでした……。			そういえば、わたくし、アーテリスのことを聞くことに夢中になって、ウリエンジェ自身のことをあまり聞いていませんでした……。			右往左往そして……							
……機会があったら、聞いてみようかしら。でも、いったい何を問うべきでしょう？			……機会があったら、聞いてみようかしら。でも、いったい何を問うべきでしょう？			右往左往そして……							
たくさんヒトとお話しできて、もう、大興奮でした！ほかのレポリットたちも、嬉しそうにハミングしていましたよ！			たくさんヒトとお話しできて、もう、大興奮でした！ほかのレポリットたちも、嬉しそうにハミングしていましたよ！			右往左往そして……							
へへっ、青い星を見上げて、ヒトのことを想像しながら、月を整えていくのも苦じゃなかったけどさ……「ありがとう」って言われると、嬉しくなっちゃうな！			へへっ、青い星を見上げて、ヒトのことを想像しながら、月を整えていくのも苦じゃなかったけどさ……「ありがとう」って言われると、嬉しくなっちゃうな！			右往左往そして……							
実験農場の見学に続いて、有意義な時間だったよ。叶うならば、もっと話していたかったくらい……時間が過ぎるのがこんなに早く感じたのは、初めてさ！			実験農場の見学に続いて、有意義な時間だったよ。叶うならば、もっと話していたかったくらい……時間が過ぎるのがこんなに早く感じたのは、初めてさ！			右往左往そして……							
ムーンブリダは、古ルガディン語で、「月の花嫁」を意味する名前なんだ。			ムーンブリダは、古ルガディン語で、「月の花嫁」を意味する名前なんだ。			右往左往そして……							
彼女が生まれたのは、ちょうど満月のころでね。あのときの月のように満ち足りて、優しく周りを照らす子になってほしくて、その名をつけた。			彼女が生まれたのは、ちょうど満月のころでね。あのときの月のように満ち足りて、優しく周りを照らす子になってほしくて、その名をつけた。			右往左往そして……							
あまりに元気だったから、太陽の方がよかったんじゃないかと、家族でよく冗談を言っていたものだが……彼女の光は、こうして優しく、届いていたのだね。			あまりに元気だったから、太陽の方がよかったんじゃないかと、家族でよく冗談を言っていたものだが……彼女の光は、こうして優しく、届いていたのだね。			右往左往そして……							
おや、あんたは……？			おや、あんたは……？			右往左往そして……							
そうかい、「暁」の……。ムーンブリダが、短い間だっただろうけど、世話になったね。			そうかい、「暁」の……。ムーンブリダが、短い間だっただろうけど、世話になったね。			右往左往そして……							
