オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			オールド・シャーレアンのノルトータは、哲学者議会の発表内容に驚いているようだ。			ギルドシップのモブハント（上級）							
ジャ・ラクシャイと話す			ジャ・ラクシャイと話す			ギルドシップのモブハント（上級）							
「ギルドシップのモブハント（上級）」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、受注できるようになります。			「ギルドシップのモブハント（上級）」は、「メインクエスト：暁月のフィナーレ」を、特定の状態まで完了することで、受注できるようになります。			ギルドシップのモブハント（上級）							
Forenameさん、おかえりなさい！哲学者議会が星外への脱出計画を発表してからというもの、「月」に赴ける可能性があると判明し、大騒ぎです。			Forenameさん、おかえりなさい！哲学者議会が星外への脱出計画を発表してからというもの、「月」に赴ける可能性があると判明し、大騒ぎです。			ギルドシップのモブハント（上級）							
月でのサンプル回収ができるなら、もっと突拍子もない調達依頼も可能なんじゃないかって……さらに奇天烈な依頼が殺到しているんですよ。			月でのサンプル回収ができるなら、もっと突拍子もない調達依頼も可能なんじゃないかって……さらに奇天烈な依頼が殺到しているんですよ。			ギルドシップのモブハント（上級）							
そうした高難度の依頼を、「上級」としてまとめていますので、ぜひForenameさんも、ご協力ください。			そうした高難度の依頼を、「上級」としてまとめていますので、ぜひForenameさんも、ご協力ください。			ギルドシップのモブハント（上級）							
ちょうど「ジャ・ラクシャイ」が、手配書を取りまとめています。彼女に話しかけてみてもらえますか？			ちょうど「ジャ・ラクシャイ」が、手配書を取りまとめています。彼女に話しかけてみてもらえますか？			ギルドシップのモブハント（上級）							
ちょうど「ジャ・ラクシャイ」が、手配書を取りまとめています。彼女に話しかけてみてもらえますか？			ちょうど「ジャ・ラクシャイ」が、手配書を取りまとめています。彼女に話しかけてみてもらえますか？			ギルドシップのモブハント（上級）							
はいはい、ちゃんと聞いてたよー。今度は上級の厄介案件について、紹介しちゃうね！			はいはい、ちゃんと聞いてたよー。今度は上級の厄介案件について、紹介しちゃうね！			ギルドシップのモブハント（上級）							
そうだね、例えばコレ……バジルデール氏からの依頼は、新たな悩みのタネだよ。			そうだね、例えばコレ……バジルデール氏からの依頼は、新たな悩みのタネだよ。			ギルドシップのモブハント（上級）							
彼は高名な神話学の専門家なんだけど……神話に描かれた存在は、古代に実在していた何らかの生物から、着想を得たんじゃないかって学説を唱えていてね。			彼は高名な神話学の専門家なんだけど……神話に描かれた存在は、古代に実在していた何らかの生物から、着想を得たんじゃないかって学説を唱えていてね。			ギルドシップのモブハント（上級）							
簡単に言うと、現代には存在していない、古代生物のサンプルを、調達するよう求めているのさ。こんなの時間旅行でもできないと、無理だっていうのに……！			簡単に言うと、現代には存在していない、古代生物のサンプルを、調達するよう求めているのさ。こんなの時間旅行でもできないと、無理だっていうのに……！			ギルドシップのモブハント（上級）							
