シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			シャバーブチェ付近のウクラマトは、次なる試練に挑みたいようだ。			本当の自分							
ウクラマトと話して同行させる			ウクラマトと話して同行させる			本当の自分							
ウクラマトを連れてローペリと話す			ウクラマトを連れてローペリと話す			本当の自分							
フォンジャンテーンを探す			フォンジャンテーンを探す			本当の自分							
ウクラマトと話す			ウクラマトと話す			本当の自分							
観光に来たわけではないことは承知しているが、次の試練では、どんな文化と出会えるのか楽しみだよ。			観光に来たわけではないことは承知しているが、次の試練では、どんな文化と出会えるのか楽しみだよ。			本当の自分							
ともかく、この調子で次の試練も超えていきたいわね。			ともかく、この調子で次の試練も超えていきたいわね。			本当の自分							
これは連王の後継者を決めるための旅なのだから、いずれほかの継承候補者たちと直接争うことだって……。			これは連王の後継者を決めるための旅なのだから、いずれほかの継承候補者たちと直接争うことだって……。			本当の自分							
それにしても、俺がこんな大所帯で旅をすることになるなんてな。「あいつ」が知ったら、なんて言うやら……。			それにしても、俺がこんな大所帯で旅をすることになるなんてな。「あいつ」が知ったら、なんて言うやら……。			本当の自分							
アタシらは、ハヌハヌ族の「葦の試練」と、ペルペル族の「金の試練」を超え、ふたつの秘石を手に入れた。これは、進み方が間違ってないってことだよな？			アタシらは、ハヌハヌ族の「葦の試練」と、ペルペル族の「金の試練」を超え、ふたつの秘石を手に入れた。これは、進み方が間違ってないってことだよな？			本当の自分							
ああ、ほかの連王の選者たちも、かつて連王グルージャジャが歩んだ旅路……トライヨラ叙事詩の舞台で待ち受けていると考えて良さそうだ。			ああ、ほかの連王の選者たちも、かつて連王グルージャジャが歩んだ旅路……トライヨラ叙事詩の舞台で待ち受けていると考えて良さそうだ。			本当の自分							
だったらよ、叙事詩に出てくるヨカフイ族の集落に行こうぜ！あいつらが黄金郷を探してたって話が本当なら、何か知ってるかもしれねぇ！			だったらよ、叙事詩に出てくるヨカフイ族の集落に行こうぜ！あいつらが黄金郷を探してたって話が本当なら、何か知ってるかもしれねぇ！			本当の自分							
彼らの集落があるオルコ・パチャの高地に行くには、断崖を避けるために、コザマル・カから迂回する必要がある。			彼らの集落があるオルコ・パチャの高地に行くには、断崖を避けるために、コザマル・カから迂回する必要がある。			本当の自分							
そしてコザマル・カを通るなら、道中にあるモブリン族の集落にも立ち寄っておくべきだろう。			そしてコザマル・カを通るなら、道中にあるモブリン族の集落にも立ち寄っておくべきだろう。			本当の自分							
そこも叙事詩の舞台のひとつ……。黄金郷を見つけるために秘石をそろえる必要があるならば、いつかは赴くべき場所だ。			そこも叙事詩の舞台のひとつ……。黄金郷を見つけるために秘石をそろえる必要があるならば、いつかは赴くべき場所だ。			本当の自分							
へえ、モブリン族の集落か……！よし、だったらすぐにコザマル・カへ出発しようぜ！			へえ、モブリン族の集落か……！よし、だったらすぐにコザマル・カへ出発しようぜ！			本当の自分							
それが、すぐにとはいかない事情があってな……。			それが、すぐにとはいかない事情があってな……。			本当の自分							
モブリン族の集落に行くための「翼なき姉弟の大階段」が、先の大嵐の影響で壊れてしまってるんだ。			モブリン族の集落に行くための「翼なき姉弟の大階段」が、先の大嵐の影響で壊れてしまってるんだ。			本当の自分							
じゃあどうすりゃいいんだ？			じゃあどうすりゃいいんだ？			本当の自分							
別の方法はあるが、準備に時間が要る。その間、宿屋で休むなり街を見て回るなりして、時間を潰しててくれ。			別の方法はあるが、準備に時間が要る。その間、宿屋で休むなり街を見て回るなりして、時間を潰しててくれ。			本当の自分							
先に聞いておくが、モブリン族の集落に行けるなら手段は問わないな？			先に聞いておくが、モブリン族の集落に行けるなら手段は問わないな？			本当の自分							
へんっ！トライヨラの王女をナメんな！			へんっ！トライヨラの王女をナメんな！			本当の自分							
……なら、移動方法の手配は任せてくれ。ガイド役として、それくらいはさせてもらう。			……なら、移動方法の手配は任せてくれ。ガイド役として、それくらいはさせてもらう。			本当の自分							
ではエレンヴィルの準備が整うまで、各々自由行動にしよう。			ではエレンヴィルの準備が整うまで、各々自由行動にしよう。			本当の自分							
んじゃ、アタシは斧の手入れに行ってくるかな。バクージャジャに思いきり斬りかかったときに、刃こぼれしちまってよ。			んじゃ、アタシは斧の手入れに行ってくるかな。バクージャジャに思いきり斬りかかったときに、刃こぼれしちまってよ。			本当の自分							
そういや「ワチュメキメキ万貨街」の顔役、ローペリのことは、まだ紹介してなかったよな。せっかくだし、一緒に行くか？			そういや「ワチュメキメキ万貨街」の顔役、ローペリのことは、まだ紹介してなかったよな。せっかくだし、一緒に行くか？			本当の自分							
よしきた！			よしきた！			本当の自分							
「ワチュメキメキ万貨街」は、ベイサイド・ベヴィーを東に抜けた先だ！顔役の「ローペリ」を紹介するぜ！			「ワチュメキメキ万貨街」は、ベイサイド・ベヴィーを東に抜けた先だ！顔役の「ローペリ」を紹介するぜ！			本当の自分							
何をする？			何をする？			本当の自分							
話す			話す			本当の自分							
「タコスのチーちゃん」について話す			「タコスのチーちゃん」について話す			本当の自分							
同行状態を解除する			同行状態を解除する			本当の自分							
キャンセル			キャンセル			本当の自分							
これから行くワチュメキメキ万貨街こそ、まさにこのトライヨラを体現したような通りさ。			これから行くワチュメキメキ万貨街こそ、まさにこのトライヨラを体現したような通りさ。			本当の自分							
ここは「タコスのチーちゃん」って店だ。チーちゃんってのは、店主のチーソジャのことさ。			ここは「タコスのチーちゃん」って店だ。チーちゃんってのは、店主のチーソジャのことさ。			本当の自分							
トライヨラで美味しいタコスが食いたいなら、ここかシャバーブチェって言われるくらい人気を二分しててさ。			トライヨラで美味しいタコスが食いたいなら、ここかシャバーブチェって言われるくらい人気を二分しててさ。			本当の自分							
そんなこと言って、王女様はブルケブのとこばかりで食べて！たまにはうちのタコスも食べてほしいわぁ！			そんなこと言って、王女様はブルケブのとこばかりで食べて！たまにはうちのタコスも食べてほしいわぁ！			本当の自分							
へへっ、悪い悪い！継承の儀が終わったら、絶対買いに来るからよ！			へへっ、悪い悪い！継承の儀が終わったら、絶対買いに来るからよ！			本当の自分							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			本当の自分							
腹でも痛くなったのか？なら、「シャバーブチェ」のあたりで待ってるからな！			腹でも痛くなったのか？なら、「シャバーブチェ」のあたりで待ってるからな！			本当の自分							
もういいのか？だったらローペリのところへ行こうぜ！			もういいのか？だったらローペリのところへ行こうぜ！			本当の自分							
すまないが、今は立てこんでいてね。用ならあとにしてくれるかい？			すまないが、今は立てこんでいてね。用ならあとにしてくれるかい？			本当の自分							
ローペリを紹介してもらうため、ウクラマトを同行させてこよう。			ローペリを紹介してもらうため、ウクラマトを同行させてこよう。			本当の自分							
同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			同行者がまだ到着していない。近くまで迎えにいって、ともに話を聞こう。			本当の自分							
おや、ウクラマト様。何か用かい、我らが「ワチュメキメキ万貨街」に。			おや、ウクラマト様。何か用かい、我らが「ワチュメキメキ万貨街」に。			本当の自分							
よう、ローペリ！今日は斧の手入れを頼みに来たんだ！			よう、ローペリ！今日は斧の手入れを頼みに来たんだ！			本当の自分							
これはこれは……ずいぶんひどいね、刃こぼれが。まるで岩でも叩いたみたいだ。			これはこれは……ずいぶんひどいね、刃こぼれが。まるで岩でも叩いたみたいだ。			本当の自分							
いや、まぁ……ちょっとな。直せそうか？			いや、まぁ……ちょっとな。直せそうか？			本当の自分							
