朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			朋友の灯火のエレンヴィルは、何やら注意を促したいようだ。			捕集の民、モブリン族							
ウクラマトと話す			ウクラマトと話す			捕集の民、モブリン族							
エレンヴィルと話す			エレンヴィルと話す			捕集の民、モブリン族							
ラコロクと話す			ラコロクと話す			捕集の民、モブリン族							
さあ、先に進もうぜ！			さあ、先に進もうぜ！			捕集の民、モブリン族							
ゆっくり話ができて何よりだったわ。今のウクラマトさん、良い顔をしているもの。			ゆっくり話ができて何よりだったわ。今のウクラマトさん、良い顔をしているもの。			捕集の民、モブリン族							
他者を導く立場として、相応しくあらねば……その重責は、私にも僅かながらわかっているつもりだよ。故に、少しでもウクラマトの支えになりたいと思っている。			他者を導く立場として、相応しくあらねば……その重責は、私にも僅かながらわかっているつもりだよ。故に、少しでもウクラマトの支えになりたいと思っている。			捕集の民、モブリン族							
アルパカが怖かろうが、乗り物酔いが酷かろうが良いのよ。ウクラマトがウクラマトである理由に、そんなことは関係ないんだから。			アルパカが怖かろうが、乗り物酔いが酷かろうが良いのよ。ウクラマトがウクラマトである理由に、そんなことは関係ないんだから。			捕集の民、モブリン族							
さて、これからモブリン族の集落を目指して進むわけだが……このあたりの街道では、盗賊が通行人を襲う事件が頻発してる。			さて、これからモブリン族の集落を目指して進むわけだが……このあたりの街道では、盗賊が通行人を襲う事件が頻発してる。			捕集の民、モブリン族							
さらに大階段が壊れて人通りが減ってる今、困窮した盗賊たちは血眼になって獲物を探してるはずだ。くれぐれも襲撃には注意してくれ。			さらに大階段が壊れて人通りが減ってる今、困窮した盗賊たちは血眼になって獲物を探してるはずだ。くれぐれも襲撃には注意してくれ。			捕集の民、モブリン族							
ま……おたくらには、いらぬ心配かもしれないがな。			ま……おたくらには、いらぬ心配かもしれないがな。			捕集の民、モブリン族							
盗賊って……トラル勇連隊は、ゾラージャ兄さんは何をしてたんだよ！			盗賊って……トラル勇連隊は、ゾラージャ兄さんは何をしてたんだよ！			捕集の民、モブリン族							
こうなったらアタシが、街道の平和を取り戻してやるぜ！盗賊でも何でも出てきやがれってんだ！			こうなったらアタシが、街道の平和を取り戻してやるぜ！盗賊でも何でも出てきやがれってんだ！			捕集の民、モブリン族							
前のめりな王女様には困ったものだな……。とにかく、まずはここから西に進んで、河をひとつ渡った先の、ふたつめの河を目指すぞ。			前のめりな王女様には困ったものだな……。とにかく、まずはここから西に進んで、河をひとつ渡った先の、ふたつめの河を目指すぞ。			捕集の民、モブリン族							
このあたりに盗賊の隠れ家があるらしいが、くれぐれも探しに行ったりしないでくれよ。			このあたりに盗賊の隠れ家があるらしいが、くれぐれも探しに行ったりしないでくれよ。			捕集の民、モブリン族							
この河が滝となって、リヌハヌさんたちが暮らすオック・ハヌへと流れていくのね。			この河が滝となって、リヌハヌさんたちが暮らすオック・ハヌへと流れていくのね。			捕集の民、モブリン族							
それにしても、立派な滝だね。これほどの水量を生む水源地がどうなっているのか、トラル大陸の大自然には驚かされることばかりだよ。			それにしても、立派な滝だね。これほどの水量を生む水源地がどうなっているのか、トラル大陸の大自然には驚かされることばかりだよ。			捕集の民、モブリン族							
道中、遠くからこっちを窺う複数の気配を感じたわ。すぐにいなくなったみたいだけど。			道中、遠くからこっちを窺う複数の気配を感じたわ。すぐにいなくなったみたいだけど。			捕集の民、モブリン族							
なんだ、盗賊の奴ら現れねぇじゃねぇか。			なんだ、盗賊の奴ら現れねぇじゃねぇか。			捕集の民、モブリン族							
これだけの人数を相手に襲撃を仕掛けるほど、頭の回らない連中じゃないみたいだな。			これだけの人数を相手に襲撃を仕掛けるほど、頭の回らない連中じゃないみたいだな。			捕集の民、モブリン族							
モブリン族の集落は、このミヤカ・ベック河を横断した先だ。念のため、引き続き気をつけて進んでくれ。			モブリン族の集落は、このミヤカ・ベック河を横断した先だ。念のため、引き続き気をつけて進んでくれ。			捕集の民、モブリン族							
へぇ～！ここがモブリン族の集落か～！			へぇ～！ここがモブリン族の集落か～！			捕集の民、モブリン族							
どの建物も可愛い形！ひっくり返した壺みたいね！			どの建物も可愛い形！ひっくり返した壺みたいね！			捕集の民、モブリン族							
ゴブリン族……ではなく、モブリン族だね。ハヌハヌ族がバヌバヌ族とは異なる文化を築いていたように、彼らも独自の文化を持っていそうだ。			ゴブリン族……ではなく、モブリン族だね。ハヌハヌ族がバヌバヌ族とは異なる文化を築いていたように、彼らも独自の文化を持っていそうだ。			捕集の民、モブリン族							
ほかの継承候補者たちの姿がないわね。先を進んでると思ったんだけど……。			ほかの継承候補者たちの姿がないわね。先を進んでると思ったんだけど……。			捕集の民、モブリン族							
ここがトライヨラ叙事詩「壺の章」の舞台となった、モブリン族の集落……「アースンシャイア」だ。			ここがトライヨラ叙事詩「壺の章」の舞台となった、モブリン族の集落……「アースンシャイア」だ。			捕集の民、モブリン族							
シャイア……低地ドラヴァニアのイディルシャイアと名前が似ているね。			シャイア……低地ドラヴァニアのイディルシャイアと名前が似ているね。			捕集の民、モブリン族							
あっちは大撤収で廃都になった植民都市を再利用してたけど、ここでは壺みたいな形の建物で暮らしてるのね。			あっちは大撤収で廃都になった植民都市を再利用してたけど、ここでは壺みたいな形の建物で暮らしてるのね。			捕集の民、モブリン族							
(-年老いたモブリン族の女性-)フゴォ……フゴォ……ようこそ　いらっしゃい　アースンシャイアへ！あなたたち　ウクラマト王女ご一行で　間違いなし？			(-年老いたモブリン族の女性-)フゴォ……フゴォ……ようこそ　いらっしゃい　アースンシャイアへ！あなたたち　ウクラマト王女ご一行で　間違いなし？			捕集の民、モブリン族							
ああ、そうだぜ！黄金郷を見つけるために、連王の選者を探しに来たんだ。お前、何か知らねぇか？			ああ、そうだぜ！黄金郷を見つけるために、連王の選者を探しに来たんだ。お前、何か知らねぇか？			捕集の民、モブリン族							
それならちょうど　良かったモブ！このレディロクこそ　連王の選者！連王様より　任命された！			それならちょうど　良かったモブ！このレディロクこそ　連王の選者！連王様より　任命された！			捕集の民、モブリン族							
お、そっちから名乗り出てくれて助かるぜ！じゃあさっそく試練に挑ませてくれよ！			お、そっちから名乗り出てくれて助かるぜ！じゃあさっそく試練に挑ませてくれよ！			捕集の民、モブリン族							
