ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウォーラーの残響のエレンヴィルは、仲間たちに提案したいことがあるようだ。			ウクラマトの平和							
フォルアード・キャビンズのエレンヴィルと話す			フォルアード・キャビンズのエレンヴィルと話す			ウクラマトの平和							
シュバラール族の従業員と話す			シュバラール族の従業員と話す			ウクラマトの平和							
ウクラマトと話す			ウクラマトと話す			ウクラマトの平和							
ウクラマトと再度話す			ウクラマトと再度話す			ウクラマトの平和							
アルフィノと話す			アルフィノと話す			ウクラマトの平和							
さあ、次の連王の選者を探そうぜ！			さあ、次の連王の選者を探そうぜ！			ウクラマトの平和							
「一面が黄金に輝く、天上に創られし国」……か。			「一面が黄金に輝く、天上に創られし国」……か。			ウクラマトの平和							
残る秘石はあと2つというところまで来て、黄金郷に関する噂が具体的になってきたね。			残る秘石はあと2つというところまで来て、黄金郷に関する噂が具体的になってきたね。			ウクラマトの平和							
ヴァリガルマンダの封印を強化するはずが、まさかそのものを倒すことになるなんてね。			ヴァリガルマンダの封印を強化するはずが、まさかそのものを倒すことになるなんてね。			ウクラマトの平和							
チーワグー塩田の者が、ウォーラーの残響を訪れるなど……ここしばらくはなかったことです。いったい、何が起こったのやら。			チーワグー塩田の者が、ウォーラーの残響を訪れるなど……ここしばらくはなかったことです。いったい、何が起こったのやら。			ウクラマトの平和							
ヴォーポーローの奴、ウクラマト王女にあてられたようだな。まるでかつてのオレを見ているようだ。			ヴォーポーローの奴、ウクラマト王女にあてられたようだな。まるでかつてのオレを見ているようだ。			ウクラマトの平和							
いったんトライヨラに戻るぞ。ウォーコー・ゾーモーの登頂にヴァリガルマンダの討伐ときて、さすがのおたくらでも休息が必要だろ。			いったんトライヨラに戻るぞ。ウォーコー・ゾーモーの登頂にヴァリガルマンダの討伐ときて、さすがのおたくらでも休息が必要だろ。			ウクラマトの平和							
それに、次なるトライヨラ叙事詩の舞台を巡るにしても、どのみち相応の準備がいるからな。			それに、次なるトライヨラ叙事詩の舞台を巡るにしても、どのみち相応の準備がいるからな。			ウクラマトの平和							
その提案に賛成だ。連続で試練を超えた今こそ、休息もしっかりとるべきだよ。トライヨラの、フォルアード・キャビンズに向かうとしよう。			その提案に賛成だ。連続で試練を超えた今こそ、休息もしっかりとるべきだよ。トライヨラの、フォルアード・キャビンズに向かうとしよう。			ウクラマトの平和							
今なら、足を止めて考えごとをする良い機会か……。			今なら、足を止めて考えごとをする良い機会か……。			ウクラマトの平和							
トライヨラに戻ってきた途端、どっと疲れが……。			トライヨラに戻ってきた途端、どっと疲れが……。			ウクラマトの平和							
お言葉に甘えて、少し休ませてもらうとしよう。			お言葉に甘えて、少し休ませてもらうとしよう。			ウクラマトの平和							
