トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トライヨラのボロガーは、冒険者に紹介したい人がいるようだ。			トラル大陸のモブハント（中級）							
チャカトと話す			チャカトと話す			トラル大陸のモブハント（中級）							
ボロガーと話す			ボロガーと話す			トラル大陸のモブハント（中級）							
「トラル大陸のモブハント（中級）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			「トラル大陸のモブハント（中級）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			トラル大陸のモブハント（中級）							
これはForenameさん、貴方のご活躍、武の院づてに伺っておりますよ。多くの土地を歩いて、そろそろトラルに慣れてきたのでは？			これはForenameさん、貴方のご活躍、武の院づてに伺っておりますよ。多くの土地を歩いて、そろそろトラルに慣れてきたのでは？			トラル大陸のモブハント（中級）							
先日は我らの故郷、ヤクテル樹海にも足を運ばれたとか。ならばぜひ、その一帯の手配書も数多く含まれる、中級モブハントに挑戦してみてはいかがでしょう。			先日は我らの故郷、ヤクテル樹海にも足を運ばれたとか。ならばぜひ、その一帯の手配書も数多く含まれる、中級モブハントに挑戦してみてはいかがでしょう。			トラル大陸のモブハント（中級）							
いいですね、頼もしい！では、改めてお伝えしたいことがございます。			いいですね、頼もしい！では、改めてお伝えしたいことがございます。			トラル大陸のモブハント（中級）							
初級の依頼は、言ってしまえば傭兵や一般の狩人など、多少腕に覚えのある者が小遣い稼ぎで臨める、間口の広いもの。対して中級以降は、熟練者向けの依頼が多くなります。			初級の依頼は、言ってしまえば傭兵や一般の狩人など、多少腕に覚えのある者が小遣い稼ぎで臨める、間口の広いもの。対して中級以降は、熟練者向けの依頼が多くなります。			トラル大陸のモブハント（中級）							
必然、命の危険も増す……。ゆえに貴方には、モブハントと呼ばれる狩りがなぜ必要か、我らが何を背負っているかを、ぜひ知っておいてほしいのです。			必然、命の危険も増す……。ゆえに貴方には、モブハントと呼ばれる狩りがなぜ必要か、我らが何を背負っているかを、ぜひ知っておいてほしいのです。			トラル大陸のモブハント（中級）							
もしその気がおありでしたら……ちょうど今、ゴーニトルクの宝浜に「チャカト」がいるはず。彼女に声をかけ、その話を聞いてきていただけませんか？			もしその気がおありでしたら……ちょうど今、ゴーニトルクの宝浜に「チャカト」がいるはず。彼女に声をかけ、その話を聞いてきていただけませんか？			トラル大陸のモブハント（中級）							
彼女はトラル大陸の狩人であるヴァイパーの教導者……古くからの狩りとモブハントの関連を語るに、ふさわしい人です。青髪のシュバラール族女性ですので、ぜひ探してみてください。			彼女はトラル大陸の狩人であるヴァイパーの教導者……古くからの狩りとモブハントの関連を語るに、ふさわしい人です。青髪のシュバラール族女性ですので、ぜひ探してみてください。			トラル大陸のモブハント（中級）							
彼女はトラル大陸の狩人であるヴァイパーの教導者……古くからの狩りとモブハントの関連を語るに、ふさわしい人です。青髪のシュバラール族女性ですので、ぜひ探してみてください。			彼女はトラル大陸の狩人であるヴァイパーの教導者……古くからの狩りとモブハントの関連を語るに、ふさわしい人です。青髪のシュバラール族女性ですので、ぜひ探してみてください。			トラル大陸のモブハント（中級）							
おや、何か用かい？			おや、何か用かい？			トラル大陸のモブハント（中級）							
ははあ、ボロガーから中級の認可を受けて、ついでにあたしから、狩りの意義を聞けと言われたと。			ははあ、ボロガーから中級の認可を受けて、ついでにあたしから、狩りの意義を聞けと言われたと。			トラル大陸のモブハント（中級）							
なるほど……あいつは相当、アンタの力を買ってるようだね。それこそ、いずれあたしらと同じ仕事を任せたいってくらいにさ。			なるほど……あいつは相当、アンタの力を買ってるようだね。それこそ、いずれあたしらと同じ仕事を任せたいってくらいにさ。			トラル大陸のモブハント（中級）							
そういうことならたしかに、少しばかり伝えたいこともある……さて、どう話させてもらおうかね。			そういうことならたしかに、少しばかり伝えたいこともある……さて、どう話させてもらおうかね。			トラル大陸のモブハント（中級）							
