シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			シェシェネ青燐泉付近のエレンヴィルは、町中を観察しているようだ。			荒野の掟							
デコワと協力することになった。シェシェネ青燐泉にいる「ウィフーテ」と話そう。			デコワと協力することになった。シェシェネ青燐泉にいる「ウィフーテ」と話そう。			荒野の掟							
ウィフーテに話しかけたが、考え込んでいるのか反応がない。シェシェネ青燐泉の「ウィフーテ」に、エモート「つつく」をしよう。			ウィフーテに話しかけたが、考え込んでいるのか反応がない。シェシェネ青燐泉の「ウィフーテ」に、エモート「つつく」をしよう。			荒野の掟							
ウィフーテと話した。彼を連れて、シャーローニ荒野のサンシェヤの大口付近の指定地点で見渡そう。※同行状態が解除された場合、再度「ウィフーテ」に話しかけることで同行を再開できます。			ウィフーテと話した。彼を連れて、シャーローニ荒野のサンシェヤの大口付近の指定地点で見渡そう。※同行状態が解除された場合、再度「ウィフーテ」に話しかけることで同行を再開できます。			荒野の掟							
デコワを探すふりをしながらウィフーテを誘導した。この調子で、彼を連れながらサンシェヤの大口付近の指定地点で見渡そう。			デコワを探すふりをしながらウィフーテを誘導した。この調子で、彼を連れながらサンシェヤの大口付近の指定地点で見渡そう。			荒野の掟							
再びデコワを探すふりをしながらウィフーテを誘導した。この調子で、彼を連れながらシャーローニ荒野のルワテニヤーサ付近の指定地点で見渡そう。			再びデコワを探すふりをしながらウィフーテを誘導した。この調子で、彼を連れながらシャーローニ荒野のルワテニヤーサ付近の指定地点で見渡そう。			荒野の掟							
ウィフーテの誘導に成功した。彼を連れながらルワテニヤーサ付近の「ウィフーテ」と話そう。			ウィフーテの誘導に成功した。彼を連れながらルワテニヤーサ付近の「ウィフーテ」と話そう。			荒野の掟							
デコワが決闘でウィフーテに勝利し、無事にナミーカの腕輪を取り戻すことができた。シャーローニ荒野のフーサタイ宿場町にいる「エレンヴィル」と話そう。			デコワが決闘でウィフーテに勝利し、無事にナミーカの腕輪を取り戻すことができた。シャーローニ荒野のフーサタイ宿場町にいる「エレンヴィル」と話そう。			荒野の掟							
エレンヴィルと話し、作戦成功をデコワと共に喜んだ。ようやくこの騒動も一段落したようだ……。			エレンヴィルと話し、作戦成功をデコワと共に喜んだ。ようやくこの騒動も一段落したようだ……。			荒野の掟							
ウィフーテと話す			ウィフーテと話す			荒野の掟							
ウィフーテに「つつく」をして同行させる			ウィフーテに「つつく」をして同行させる			荒野の掟							
ウィフーテを連れて指定地点で見渡す			ウィフーテを連れて指定地点で見渡す			荒野の掟							
ウィフーテを連れて再度指定地点で見渡す			ウィフーテを連れて再度指定地点で見渡す			荒野の掟							
ウィフーテを連れてさらに指定地点で見渡す			ウィフーテを連れてさらに指定地点で見渡す			荒野の掟							
連れているウィフーテと指定地点で話す			連れているウィフーテと指定地点で話す			荒野の掟							
エレンヴィルと話す			エレンヴィルと話す			荒野の掟							
見ろよ！ヴァルチャーの野郎が出てきたぞ！			見ろよ！ヴァルチャーの野郎が出てきたぞ！			荒野の掟							
シェシェネ青燐泉の町中に盗品を隠す……たしかに自警隊の動きを抑えられる副隊長なら、そんな大胆なこともできるのかもしれないな。			シェシェネ青燐泉の町中に盗品を隠す……たしかに自警隊の動きを抑えられる副隊長なら、そんな大胆なこともできるのかもしれないな。			荒野の掟							
ああ、副隊長ウィフーテの顔をしてりゃ、白昼堂々、盗品を町中に運び入れることができるのさ。隠し場所は、決まって青燐水用の樽の中……。			ああ、副隊長ウィフーテの顔をしてりゃ、白昼堂々、盗品を町中に運び入れることができるのさ。隠し場所は、決まって青燐水用の樽の中……。			荒野の掟							
トライヨラに青燐水を送るための定期便に紛れ込ませて、向こうの市場で換金してるんだよ。			トライヨラに青燐水を送るための定期便に紛れ込ませて、向こうの市場で換金してるんだよ。			荒野の掟							
追手の存在に気づいたヴァルチャーがどう動くかは未知数だが、少なくとも、溜め込んだ盗品は急いで換金しようと動くはずだぜ。			追手の存在に気づいたヴァルチャーがどう動くかは未知数だが、少なくとも、溜め込んだ盗品は急いで換金しようと動くはずだぜ。			荒野の掟							
もっとも、顔が割れた以上、足が付きそうな品はすぐに手放せないだろう。あんたらが追ってる腕輪は、懐に隠し持ったままかもな。			もっとも、顔が割れた以上、足が付きそうな品はすぐに手放せないだろう。あんたらが追ってる腕輪は、懐に隠し持ったままかもな。			荒野の掟							
へえ、意外と冴えてるんだな。フーサタイ宿場町で見てたときは、無謀な奴だと思ったが……。			へえ、意外と冴えてるんだな。フーサタイ宿場町で見てたときは、無謀な奴だと思ったが……。			荒野の掟							
あ、あんときはヤケになってたんだよ！			あ、あんときはヤケになってたんだよ！			荒野の掟							
けどまあ、そんなわけでヴァルチャーはずる賢い。言い逃れできない状況で証拠を突き付けなきゃもみ消される……作戦ってのは、その状況を作るためのもんさ。			けどまあ、そんなわけでヴァルチャーはずる賢い。言い逃れできない状況で証拠を突き付けなきゃもみ消される……作戦ってのは、その状況を作るためのもんさ。			荒野の掟							
まず、あんたらのうちのどちらかひとりが、シェシェネ青燐泉に残って、盗品の入った樽を探すんだ。			まず、あんたらのうちのどちらかひとりが、シェシェネ青燐泉に残って、盗品の入った樽を探すんだ。			荒野の掟							
そのために、俺様と残りのひとりが、ヴァルチャーをこの町の外へと誘いだして遠ざける。そうだな……できればフーサタイ宿場町まで連れていきたい。			そのために、俺様と残りのひとりが、ヴァルチャーをこの町の外へと誘いだして遠ざける。そうだな……できればフーサタイ宿場町まで連れていきたい。			荒野の掟							
それで、証拠品の樽が見つかったら、ほかの自警隊や町人たちの前で、ヴァルチャーに突き付けるんだ。			それで、証拠品の樽が見つかったら、ほかの自警隊や町人たちの前で、ヴァルチャーに突き付けるんだ。			荒野の掟							
さっきも言ったとおり、今は腕輪の在り処まではわかんねえが、まあ、取っ捕まえたあとで、探す時間はたっぷりあるからな。要は公衆の面前で言い逃れできないようにさせたいのさ。			さっきも言ったとおり、今は腕輪の在り処まではわかんねえが、まあ、取っ捕まえたあとで、探す時間はたっぷりあるからな。要は公衆の面前で言い逃れできないようにさせたいのさ。			荒野の掟							
悪くない案だが、それでも奴がしらを切り続けたらどうする……？			悪くない案だが、それでも奴がしらを切り続けたらどうする……？			荒野の掟							
もちろん、ヴァルチャーならそうするだろうな。そこで俺様が……「決闘」を申し込む！			もちろん、ヴァルチャーならそうするだろうな。そこで俺様が……「決闘」を申し込む！			荒野の掟							
決闘……？おたくは以前にもヴァルチャーに決闘を申し込んで、騙されたんじゃなかったか？			決闘……？おたくは以前にもヴァルチャーに決闘を申し込んで、騙されたんじゃなかったか？			荒野の掟							
そのとおりだが、観衆さえいれば奴も逃げられない……。「法」より何より、決闘を取り決めた「荒野の掟」は、今でもここで生きるみんなの中に息づいているからな。			そのとおりだが、観衆さえいれば奴も逃げられない……。「法」より何より、決闘を取り決めた「荒野の掟」は、今でもここで生きるみんなの中に息づいているからな。			荒野の掟							
それに、使うのは決闘用の非致死性の弾だ。そこまでされて戦わずに逃げるようなことがあれば、副隊長としての尊厳は丸つぶれさ。			それに、使うのは決闘用の非致死性の弾だ。そこまでされて戦わずに逃げるようなことがあれば、副隊長としての尊厳は丸つぶれさ。			荒野の掟							
……だが、町中で相手に武器を向ければ、「法」に触れるんだろ？			……だが、町中で相手に武器を向ければ、「法」に触れるんだろ？			荒野の掟							
そうさ、それで前回は町の外で決闘を挑んで……騙された。この際、俺様が「法」を理由に逮捕されるのは、織り込み済みって考えてもらいたいね。			そうさ、それで前回は町の外で決闘を挑んで……騙された。この際、俺様が「法」を理由に逮捕されるのは、織り込み済みって考えてもらいたいね。			荒野の掟							
それよりも重要なのは、多くの証人がいる前で決闘を挑むことさ！決闘に持ち込めば、絶対に勝つ自信はあるんだ……！			それよりも重要なのは、多くの証人がいる前で決闘を挑むことさ！決闘に持ち込めば、絶対に勝つ自信はあるんだ……！			荒野の掟							
正直、穴は多いと思うがどうする？こいつを信じて任せてみるか？			正直、穴は多いと思うがどうする？こいつを信じて任せてみるか？			荒野の掟							
何と言う？			何と言う？			荒野の掟							
デコワを信じよう！			デコワを信じよう！			荒野の掟							
「荒野の掟」を信じよう……！			「荒野の掟」を信じよう……！			荒野の掟							
腕輪さえ取り戻せれば何でもいい			腕輪さえ取り戻せれば何でもいい			荒野の掟							
ありがてえ……。こんな行きずりで出会った俺様を信じてくれるなんて……あんた、器でけえなあ！！			ありがてえ……。こんな行きずりで出会った俺様を信じてくれるなんて……あんた、器でけえなあ！！			荒野の掟							
ああ、信じてくれ。「荒野の掟」がある限り、奴は決闘から逃げられないし、負ければ、勝者に従って悪事を白状するはずだ！			ああ、信じてくれ。「荒野の掟」がある限り、奴は決闘から逃げられないし、負ければ、勝者に従って悪事を白状するはずだ！			荒野の掟							
うぐっ……。まあ、あんたらの目的は腕輪だものな……ヴァルチャーに落とし前を付けさせるのは俺様の役目さ。			うぐっ……。まあ、あんたらの目的は腕輪だものな……ヴァルチャーに落とし前を付けさせるのは俺様の役目さ。			荒野の掟							
わかった、そういうことなら俺も異存はない。			わかった、そういうことなら俺も異存はない。			荒野の掟							
うおおお、感謝だぜ！あんたら頼もしいなあ、ほんとによ！！			うおおお、感謝だぜ！あんたら頼もしいなあ、ほんとによ！！			荒野の掟							
さて、俺はヴァルチャーに顔が割れてるから誘導役はできない。残って盗品を探す役目を引き受けよう。			さて、俺はヴァルチャーに顔が割れてるから誘導役はできない。残って盗品を探す役目を引き受けよう。			荒野の掟							
それじゃ、あんたがヴァルチャーの誘導を頼む！「デコワって男に強盗されかけて、返り討ちにしたから引き渡す」とでも言えば、奴は食いつくはずだぜ。			それじゃ、あんたがヴァルチャーの誘導を頼む！「デコワって男に強盗されかけて、返り討ちにしたから引き渡す」とでも言えば、奴は食いつくはずだぜ。			荒野の掟							
こっちの兄ちゃんが盗品を探すための時間を稼ぎながら、フーサタイ宿場町の近くまで誘導してもらえるとありがたい！そのあとは俺様がなんとかするからよ！			こっちの兄ちゃんが盗品を探すための時間を稼ぎながら、フーサタイ宿場町の近くまで誘導してもらえるとありがたい！そのあとは俺様がなんとかするからよ！			荒野の掟							
よっしゃあ！　ふたりとも、頼んだぜ！			よっしゃあ！　ふたりとも、頼んだぜ！			荒野の掟							
盗品の隠し場所こそが、この町なのさ！まあ見てなって、今に奴が現れるぜ。			盗品の隠し場所こそが、この町なのさ！まあ見てなって、今に奴が現れるぜ。			荒野の掟							
くそっ……見慣れない顔のシャトナ族だったが……エヘヘケヤーはあいつの仕業か……？何を企んでるか知らんが、用心するに越したことはないな。			くそっ……見慣れない顔のシャトナ族だったが……エヘヘケヤーはあいつの仕業か……？何を企んでるか知らんが、用心するに越したことはないな。			荒野の掟							
それに、デコワの小僧……どさくさに紛れて逃げたらしいが……奴は知りすぎた、こうなれば……。			それに、デコワの小僧……どさくさに紛れて逃げたらしいが……奴は知りすぎた、こうなれば……。			荒野の掟							
ウィフーテは、考えるのに必死なようだ。「つつい」てみようか……。			ウィフーテは、考えるのに必死なようだ。「つつい」てみようか……。			荒野の掟							
…………おっと。すみませんね、考え事をしていたもので。			…………おっと。すみませんね、考え事をしていたもので。			荒野の掟							
ふむ……。見ない顔ですが、自警隊に何か用でも？			ふむ……。見ない顔ですが、自警隊に何か用でも？			荒野の掟							
なにっ！？デコワに強盗されかけて返り討ちにしただと！？			なにっ！？デコワに強盗されかけて返り討ちにしただと！？			荒野の掟							
フン、ついに強盗に手を染めたか。正義を気取ってはいたが、所詮は奴も同類ってことだ。			フン、ついに強盗に手を染めたか。正義を気取ってはいたが、所詮は奴も同類ってことだ。			荒野の掟							
コホン……実にお手柄ですね。さっそく奴の居場所まで案内してもらいましょうか。			コホン……実にお手柄ですね。さっそく奴の居場所まで案内してもらいましょうか。			荒野の掟							
何をする？			何をする？			荒野の掟							
話す			話す			荒野の掟							
同行状態を解除する			同行状態を解除する			荒野の掟							
キャンセル			キャンセル			荒野の掟							
どうしました？とっとと……いえ、早く向かいましょう。			どうしました？とっとと……いえ、早く向かいましょう。			荒野の掟							
同行状態を解除します。本当によろしいですか？			同行状態を解除します。本当によろしいですか？			荒野の掟							
用事ができただと？あまり自警隊をナメないでほしいですが……仕方ない、さっきの場所で待ってますよ。			用事ができただと？あまり自警隊をナメないでほしいですが……仕方ない、さっきの場所で待ってますよ。			荒野の掟							
遅い……私は忙しいんだ！早く案内したまえよ！			遅い……私は忙しいんだ！早く案内したまえよ！			荒野の掟							
このクエストを進行させるには、ウィフーテが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			このクエストを進行させるには、ウィフーテが同行している状態で、さらに、プレイヤーの近くにいる必要があります。			荒野の掟							
同行者がまだ到着していない。近くまで迎えにいって、ともに周囲を見渡そう。			同行者がまだ到着していない。近くまで迎えにいって、ともに周囲を見渡そう。			荒野の掟							
「樽」について話す			「樽」について話す			荒野の掟							
……シェシェネ青燐泉では、青燐水の採水事業が盛んでしてね。豊かな資源のおかげで町が発展する一方で、金に目がない輩も集まってくる……困ったもんです。			……シェシェネ青燐泉では、青燐水の採水事業が盛んでしてね。豊かな資源のおかげで町が発展する一方で、金に目がない輩も集まってくる……困ったもんです。			荒野の掟							
……ん？この辺りにデコワを捕らえているのですか？			……ん？この辺りにデコワを捕らえているのですか？			荒野の掟							
何と言う？			何と言う？			荒野の掟							
……マチガエタ			……マチガエタ			荒野の掟							
もっと先だったかも！			もっと先だったかも！			荒野の掟							
……そうですか。では、案内を再開してください。			……そうですか。では、案内を再開してください。			荒野の掟							
「青燐泉」について話す			「青燐泉」について話す			荒野の掟							
いずれは、この土地の莫大な資源ごと俺の手に……。			いずれは、この土地の莫大な資源ごと俺の手に……。			荒野の掟							
……ああ、いえ。この辺りは青燐水を餌にする魔物が多く出現しますから、くれぐれもお気をつけください。			……ああ、いえ。この辺りは青燐水を餌にする魔物が多く出現しますから、くれぐれもお気をつけください。			荒野の掟							
さて……今度こそ、この辺りでしょうかね？			さて……今度こそ、この辺りでしょうかね？			荒野の掟							
何と言う？			何と言う？			荒野の掟							
オカシイナー			オカシイナー			荒野の掟							
土地勘がなくて……			土地勘がなくて……			荒野の掟							
…………からかってるのか？あまり私をイライラさせない方がいいと思うがね？			…………からかってるのか？あまり私をイライラさせない方がいいと思うがね？			荒野の掟							
……この辺りにいるんですよね？			……この辺りにいるんですよね？			荒野の掟							
何と言う？			何と言う？			荒野の掟							
オモイダシタ！			オモイダシタ！			荒野の掟							
あっちの岩場に捕らえてある			あっちの岩場に捕らえてある			荒野の掟							
本当だろうな！？次に案内した場所にデコワがいなかったら……容赦しねえぞ？			本当だろうな！？次に案内した場所にデコワがいなかったら……容赦しねえぞ？			荒野の掟							
………………早くしろ！			………………早くしろ！			荒野の掟							
「ウチワサボテン」について話す			「ウチワサボテン」について話す			荒野の掟							
…………針千本飲まされたいか？それとも、トゥナの実のように搾りカスにしてやろうか。			…………針千本飲まされたいか？それとも、トゥナの実のように搾りカスにしてやろうか。			荒野の掟							
……ここがそうなんだな？			……ここがそうなんだな？			荒野の掟							
ええい、いないではないか……！デコワはどこだ？			ええい、いないではないか……！デコワはどこだ？			荒野の掟							
答えを間違えれば命はないと思え。さあ、慎重に答えろ。			答えを間違えれば命はないと思え。さあ、慎重に答えろ。			荒野の掟							
何と言う？			何と言う？			荒野の掟							
アー、ニゲラレチャッタ！			アー、ニゲラレチャッタ！			荒野の掟							
ナ、ナゼイナイ！？			ナ、ナゼイナイ！？			荒野の掟							
てんめえええええ！！ナメやがって……もう許さねえ！！！			てんめえええええ！！ナメやがって……もう許さねえ！！！			荒野の掟							
(-デコワの大声-)おーーーい！ウィフーテのおっさん！！			(-デコワの大声-)おーーーい！ウィフーテのおっさん！！			荒野の掟							
へへっ、俺様に会いたかったんだろ？自警隊なら捕まえてみやがれ！			へへっ、俺様に会いたかったんだろ？自警隊なら捕まえてみやがれ！			荒野の掟							
チッ……どいつもこいつも……！捕まえたらただじゃおかねえ……！			チッ……どいつもこいつも……！捕まえたらただじゃおかねえ……！			荒野の掟							
……やっと、一件落着か。とんだ騒動に巻き込まれたもんだな。			……やっと、一件落着か。とんだ騒動に巻き込まれたもんだな。			荒野の掟							
くーーーーっ！ついに片が付いたぜええええ！			くーーーーっ！ついに片が付いたぜええええ！			荒野の掟							
ほんとにありがとな！マジで、あんたらのおかげだぜ！			ほんとにありがとな！マジで、あんたらのおかげだぜ！			荒野の掟							
なあ、なあ！俺様の早撃ちもスゴかったろ！？			なあ、なあ！俺様の早撃ちもスゴかったろ！？			荒野の掟							
トナテニャイ付近のエレンヴィルは、様子を窺っているようだ。			トナテニャイ付近のエレンヴィルは、様子を窺っているようだ。			エヘヘケヤー作戦							
指定地点に特製の匂い袋を使う			指定地点に特製の匂い袋を使う			エヘヘケヤー作戦							
エレンヴィルと話す			エレンヴィルと話す			エヘヘケヤー作戦							
デコワと話す			デコワと話す			エヘヘケヤー作戦							
……それじゃあ、さっそく作戦決行といくか。			……それじゃあ、さっそく作戦決行といくか。			エヘヘケヤー作戦							
俺はまた連中を見張ってるから、潜入役は、おたくに任せる。			俺はまた連中を見張ってるから、潜入役は、おたくに任せる。			エヘヘケヤー作戦							
トナテニャイの中央にある焚き火の近くまで行ったら、この「特製の匂い袋」を中に投げ入れてくれ。よろしくな。			トナテニャイの中央にある焚き火の近くまで行ったら、この「特製の匂い袋」を中に投げ入れてくれ。よろしくな。			エヘヘケヤー作戦							
なんだこのにおい……。			なんだこのにおい……。			エヘヘケヤー作戦							
うげっ、臭えええっ！？			うげっ、臭えええっ！？			エヘヘケヤー作戦							
おい、てめえ何を燃やしたんだ！？			おい、てめえ何を燃やしたんだ！？			エヘヘケヤー作戦							
俺は知らねえよお！			俺は知らねえよお！			エヘヘケヤー作戦							
臭ぇぞお前ら！			臭ぇぞお前ら！			エヘヘケヤー作戦							
うるせえ、何事だ！？			うるせえ、何事だ！？			エヘヘケヤー作戦							
ボ、ボ……ボス……あれ……！			ボ、ボ……ボス……あれ……！			エヘヘケヤー作戦							
……あん？			……あん？			エヘヘケヤー作戦							
な、な、何だありゃあああああ！？			な、な、何だありゃあああああ！？			エヘヘケヤー作戦							
ギャァァァ！			ギャァァァ！			エヘヘケヤー作戦							
逃げろおおお！！			逃げろおおお！！			エヘヘケヤー作戦							
チッ、あの煙のせいで興奮してるのか……！誰がこんなフザけたことを……！			チッ、あの煙のせいで興奮してるのか……！誰がこんなフザけたことを……！			エヘヘケヤー作戦							
うまく誘導できたな。あとは混乱に乗じて奴から腕輪を取り戻せば……			うまく誘導できたな。あとは混乱に乗じて奴から腕輪を取り戻せば……			エヘヘケヤー作戦							
(-デコワの声-)ちょっと！　誰かっ！？			(-デコワの声-)ちょっと！　誰かっ！？			エヘヘケヤー作戦							
(-デコワの声-)誰か、何が起きてるか教えてくれよ！俺様がまだ中にいるんだぞ！			(-デコワの声-)誰か、何が起きてるか教えてくれよ！俺様がまだ中にいるんだぞ！			エヘヘケヤー作戦							
待ってろ、あとで助ける。			待ってろ、あとで助ける。			エヘヘケヤー作戦							
(-デコワの声-)なんだよ、あとっていつだよ！　今助けろよ！置いていかれたら殺されちまうだろ！？			(-デコワの声-)なんだよ、あとっていつだよ！　今助けろよ！置いていかれたら殺されちまうだろ！？			エヘヘケヤー作戦							
(-デコワの声-)たーのーむーよー！！			(-デコワの声-)たーのーむーよー！！			エヘヘケヤー作戦							
おいっ、静かにしろ……！			おいっ、静かにしろ……！			エヘヘケヤー作戦							
チッ……貴様の顔、覚えたぞ。			チッ……貴様の顔、覚えたぞ。			エヘヘケヤー作戦							
(-デコワの声-)……えっと、どうなってんの？はやく助けてください、お願いします！			(-デコワの声-)……えっと、どうなってんの？はやく助けてください、お願いします！			エヘヘケヤー作戦							
仕方ない……。ひとまずこいつを連れてここを出るぞ。			仕方ない……。ひとまずこいつを連れてここを出るぞ。			エヘヘケヤー作戦							
やれやれ……。無事に抜け出せたはいいが、せっかくの作戦が台無しだ。			やれやれ……。無事に抜け出せたはいいが、せっかくの作戦が台無しだ。			エヘヘケヤー作戦							
なんか……すまねえ……！いや、まさかあんたたちがヴァルチャーを相手に、ケンカを仕掛けてたなんて、全然知らなくてよお……！			なんか……すまねえ……！いや、まさかあんたたちがヴァルチャーを相手に、ケンカを仕掛けてたなんて、全然知らなくてよお……！			エヘヘケヤー作戦							
……別に謝る必要はない。一応は、おたくを助けることも考えてはいたからな。			……別に謝る必要はない。一応は、おたくを助けることも考えてはいたからな。			エヘヘケヤー作戦							
