シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			シェシェネ青燐泉のエレンヴィルは、冒険者を待っているようだ。			自然に導かれし人々							
エレンヴィルと話す			エレンヴィルと話す			自然に導かれし人々							
ワーリカと話す			ワーリカと話す			自然に導かれし人々							
フーワトと話す			フーワトと話す			自然に導かれし人々							
ワーリカと話す			ワーリカと話す			自然に導かれし人々							
君たちの優しさ、胸に刻んでおくよ！僕らも復旧作業進めておくから、社長のことよろしくね！			君たちの優しさ、胸に刻んでおくよ！僕らも復旧作業進めておくから、社長のことよろしくね！			自然に導かれし人々							
ありがとな。早く列車が走るところを見せてやりたいぜ。			ありがとな。早く列車が走るところを見せてやりたいぜ。			自然に導かれし人々							
それじゃ、ワーリカを追いかけるか。			それじゃ、ワーリカを追いかけるか。			自然に導かれし人々							
あっ、途中に駅があるから、ぜひ覗いていって！列車は倉庫の中だけど、外からでも見えるはずだよ！			あっ、途中に駅があるから、ぜひ覗いていって！列車は倉庫の中だけど、外からでも見えるはずだよ！			自然に導かれし人々							
僕のオススメは、やっぱり正面から青燐機関車の顔を見ること！もちろん真ん中の窓から、連結部分の構造を……			僕のオススメは、やっぱり正面から青燐機関車の顔を見ること！もちろん真ん中の窓から、連結部分の構造を……			自然に導かれし人々							
シェンダ、そろそろ俺たちも行くぞ。ふたりのおかげで、ようやく技師らしい仕事ができるんだ。時間を無駄にしてる場合じゃないだろ！			シェンダ、そろそろ俺たちも行くぞ。ふたりのおかげで、ようやく技師らしい仕事ができるんだ。時間を無駄にしてる場合じゃないだろ！			自然に導かれし人々							
……ということで、僕も行かなきゃ！またあとでね！			……ということで、僕も行かなきゃ！またあとでね！			自然に導かれし人々							
シャーローニ駅の列車か……。ちょうど通り道だし、立ち寄っていくか。			シャーローニ駅の列車か……。ちょうど通り道だし、立ち寄っていくか。			自然に導かれし人々							
随分と立派な列車だな。これなら荒野間の輸送は楽になるだろうが……。			随分と立派な列車だな。これなら荒野間の輸送は楽になるだろうが……。			自然に導かれし人々							
まあいい、シェンダとの約束は果たした。メワヘイゾーンはここからさらに北東だ。行って、先に出発した「ワーリカ」と合流しよう。			まあいい、シェンダとの約束は果たした。メワヘイゾーンはここからさらに北東だ。行って、先に出発した「ワーリカ」と合流しよう。			自然に導かれし人々							
お、来てくれたか！ここから先が、ヘイザ・アロ族の中でも、特に自然を愛し伝統文化を重んじる一団の集落だ。			お、来てくれたか！ここから先が、ヘイザ・アロ族の中でも、特に自然を愛し伝統文化を重んじる一団の集落だ。			自然に導かれし人々							
実は俺も、彼らと取引するのは初めてなんだ。いつもなら、契約を結んでるヨカ・トラルの商人から、木材を買い付けてるもんでな。			実は俺も、彼らと取引するのは初めてなんだ。いつもなら、契約を結んでるヨカ・トラルの商人から、木材を買い付けてるもんでな。			自然に導かれし人々							
へえ、空気が澄んでいて気持ちいいな……。青燐水の匂いを嗅いできたから、余計にそう感じる。			へえ、空気が澄んでいて気持ちいいな……。青燐水の匂いを嗅いできたから、余計にそう感じる。			自然に導かれし人々							
沃野(よくや)と呼ばれるだけあって水源も豊富だ。動物にとっても人にとっても、楽園みたいな場所だな。			沃野(よくや)と呼ばれるだけあって水源も豊富だ。動物にとっても人にとっても、楽園みたいな場所だな。			自然に導かれし人々							
(-？？？？-)気に入ってもらえたようで、何よりです。			(-？？？？-)気に入ってもらえたようで、何よりです。			自然に導かれし人々							
あたしはフーワト、この集落の首長をやっとります。よくここまでおいでくださいました。			あたしはフーワト、この集落の首長をやっとります。よくここまでおいでくださいました。			自然に導かれし人々							
こやつは、あたしの倅でして……名をシェペットと言います。			こやつは、あたしの倅でして……名をシェペットと言います。			自然に導かれし人々							
よろしくね。			よろしくね。			自然に導かれし人々							
っと、こりゃ丁寧にどうも。突然押しかけちまってすまねえな！			っと、こりゃ丁寧にどうも。突然押しかけちまってすまねえな！			自然に導かれし人々							
俺はワーリカ。「サカ・トラル・レールロード」って鉄道会社を、運営している者だ。			俺はワーリカ。「サカ・トラル・レールロード」って鉄道会社を、運営している者だ。			自然に導かれし人々							
先の地震の影響で、線路の枕木が破損しちまってな……木材を少し分けてもらえないかと思って来たんだ。			先の地震の影響で、線路の枕木が破損しちまってな……木材を少し分けてもらえないかと思って来たんだ。			自然に導かれし人々							
んで、このふたりは……Forenameとエレンヴィル。うちの会社に手伝いを申し出てくれた、親切な奴らだ。			んで、このふたりは……Forenameとエレンヴィル。うちの会社に手伝いを申し出てくれた、親切な奴らだ。			自然に導かれし人々							
……あなたは、いろいろな匂いがするね。鋼と脂、鞣した革に、ほんの少しの風薔薇果実太陽潮草血松脂の香り……もしかして、外つ国から来た人？			……あなたは、いろいろな匂いがするね。鋼と脂、鞣した革に、ほんの少しの風薔薇果実太陽潮草血松脂の香り……もしかして、外つ国から来た人？			自然に導かれし人々							
何と言う？			何と言う？			自然に導かれし人々							
エオルゼアから来た			エオルゼアから来た			自然に導かれし人々							
世界各地を旅している			世界各地を旅している			自然に導かれし人々							
いいね……いろいろな話を聞いてみたいな。			いいね……いろいろな話を聞いてみたいな。			自然に導かれし人々							
……おたくらは伝統文化を重んじると聞いていたが、異なる文化に対しても寛容なんだな。			……おたくらは伝統文化を重んじると聞いていたが、異なる文化に対しても寛容なんだな。			自然に導かれし人々							
そうですねぇ……あたしたちは自然に「導かれし者」。大地を愛し、そして祖霊(ヘイゾ)がもたらす導きに従い、常に彼らとともに、より良い地を求めて移動する。			そうですねぇ……あたしたちは自然に「導かれし者」。大地を愛し、そして祖霊(ヘイゾ)がもたらす導きに従い、常に彼らとともに、より良い地を求めて移動する。			自然に導かれし人々							
ですから、新しい風を感じ取ることにかけては、ほかの部族よりも敏感なのかもしれません。			ですから、新しい風を感じ取ることにかけては、ほかの部族よりも敏感なのかもしれません。			自然に導かれし人々							
なるほどな……。祖霊(ヘイゾ)っていうのはたしか、「生活を導く動物」を指す言葉……だったか？			なるほどな……。祖霊(ヘイゾ)っていうのはたしか、「生活を導く動物」を指す言葉……だったか？			自然に導かれし人々							
はい、家系や集落によって祖霊とする動物は様々ですが、ここメワヘイゾーンで暮らす我々は、ロネークを尊びます。			はい、家系や集落によって祖霊とする動物は様々ですが、ここメワヘイゾーンで暮らす我々は、ロネークを尊びます。			自然に導かれし人々							
自然や祖霊への深い愛は、あたしたちにとって変わらないもの。一方で、そこにあるエーテライトのように、新しい事物がもたらす変化を受け入れることもあるのです。			自然や祖霊への深い愛は、あたしたちにとって変わらないもの。一方で、そこにあるエーテライトのように、新しい事物がもたらす変化を受け入れることもあるのです。			自然に導かれし人々							
ですが、あたしたちには恐れていることもある……。			ですが、あたしたちには恐れていることもある……。			自然に導かれし人々							
