空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			空の坑道のアジトのエレンヴィルは、複雑な表情をしている。			魂を扱う者たち							
サンダーヤードのカフキワと話す			サンダーヤードのカフキワと話す			魂を扱う者たち							
蓄雷増幅施設のストリカと話す			蓄雷増幅施設のストリカと話す			魂を扱う者たち							
指定地点で見渡して魔物を討伐			指定地点で見渡して魔物を討伐			魂を扱う者たち							
指定地点で再度見渡す			指定地点で再度見渡す			魂を扱う者たち							
ウクラマトと話す			ウクラマトと話す			魂を扱う者たち							
いよいよ頭が追いつかなくなってきたけど……カフキワが無事で本当によかったぜ。			いよいよ頭が追いつかなくなってきたけど……カフキワが無事で本当によかったぜ。			魂を扱う者たち							
あれはエレンヴィルのお母様……そう、あれはエレンヴィルのお母様よ……。			あれはエレンヴィルのお母様……そう、あれはエレンヴィルのお母様よ……。			魂を扱う者たち							
なんだか、この先何が出てきても驚かない気がするわ。			なんだか、この先何が出てきても驚かない気がするわ。			魂を扱う者たち							
アラグ文明の遺物の中には、遠くから操ることのできる機械もあるんだが……あれも似たようなものなのか？			アラグ文明の遺物の中には、遠くから操ることのできる機械もあるんだが……あれも似たようなものなのか？			魂を扱う者たち							
……ったく、人騒がせな人だぜ。銃なんか向けて悪かったな。			……ったく、人騒がせな人だぜ。銃なんか向けて悪かったな。			魂を扱う者たち							
はあ……。私たちも状況がよくわかってないんです……。			はあ……。私たちも状況がよくわかってないんです……。			魂を扱う者たち							
ええと……よろしくお願いします……？			ええと……よろしくお願いします……？			魂を扱う者たち							
さあ、座って座って！			さあ、座って座って！			魂を扱う者たち							
…………はあ。とりあえず話を聞きにいこう。			…………はあ。とりあえず話を聞きにいこう。			魂を扱う者たち							
自己紹介ありがとね。			自己紹介ありがとね。			魂を扱う者たち							
それにしてもバルデシオン委員会かぁ……。たしかに聞いたことあるわ、その名前。			それにしてもバルデシオン委員会かぁ……。たしかに聞いたことあるわ、その名前。			魂を扱う者たち							
……それで、その姿はいったいどういうことなんだ？			……それで、その姿はいったいどういうことなんだ？			魂を扱う者たち							
ああ、これ？こいつは仮のボディというか、通信機みたいなもんだね。訳あって、別の場所から遠隔操作してるんだよ。			ああ、これ？こいつは仮のボディというか、通信機みたいなもんだね。訳あって、別の場所から遠隔操作してるんだよ。			魂を扱う者たち							
あたしたち「オブリビオン」は、ゾラージャの領土拡大政策に反対する連中の集まりでね。侵略行為を阻止するために活動してるんだ。			あたしたち「オブリビオン」は、ゾラージャの領土拡大政策に反対する連中の集まりでね。侵略行為を阻止するために活動してるんだ。			魂を扱う者たち							
で、あたしはこの組織のリーダーってやつ。だから、身を隠しておきたい立場なのさ。			で、あたしはこの組織のリーダーってやつ。だから、身を隠しておきたい立場なのさ。			魂を扱う者たち							
なるほど……愉快な姿に反して、目的は大真面目ね。			なるほど……愉快な姿に反して、目的は大真面目ね。			魂を扱う者たち							
そのとおり！　まあ、もともとは、別の目的があって立ち上げられた組織らしいんだけどね。			そのとおり！　まあ、もともとは、別の目的があって立ち上げられた組織らしいんだけどね。			魂を扱う者たち							
別の目的？			別の目的？			魂を扱う者たち							
あんたたちなら、すでに勘づいていると思うけど……この障壁の中では、ふたつの世界の人や物が入り混じってる。土地すらも融合しちゃってるじゃない？			あんたたちなら、すでに勘づいていると思うけど……この障壁の中では、ふたつの世界の人や物が入り混じってる。土地すらも融合しちゃってるじゃない？			魂を扱う者たち							
元はと言えば、その世界融合を止めるために立ち上げられたのが、オブリビオンって組織なのさ。			元はと言えば、その世界融合を止めるために立ち上げられたのが、オブリビオンって組織なのさ。			魂を扱う者たち							
ちょっと待って！つまりあなたたちは、誰がどうして世界を融合させたのか、知っているということ……？			ちょっと待って！つまりあなたたちは、誰がどうして世界を融合させたのか、知っているということ……？			魂を扱う者たち							
いや、そう伝え聞いてるってだけで、あたしたち今のメンバーが加入したときにはもう、外への侵略を狙う武王ゾラージャを止めることが目的だった。			いや、そう伝え聞いてるってだけで、あたしたち今のメンバーが加入したときにはもう、外への侵略を狙う武王ゾラージャを止めることが目的だった。			魂を扱う者たち							
残念ながらそれも果たせず、あいつが出ていくのを許しちゃったわけだけどね……。			残念ながらそれも果たせず、あいつが出ていくのを許しちゃったわけだけどね……。			魂を扱う者たち							
ここの奴らは、頭に変な装置をつけてないみてぇだが、それも活動と関係があるのか？			ここの奴らは、頭に変な装置をつけてないみてぇだが、それも活動と関係があるのか？			魂を扱う者たち							
ソレのことだね？			ソレのことだね？			魂を扱う者たち							
名称は、「レギュレーター」。エレクトロープ技術の最高傑作とも言われている。まあ、たしかに装着していないのは活動とも無縁じゃないが……			名称は、「レギュレーター」。エレクトロープ技術の最高傑作とも言われている。まあ、たしかに装着していないのは活動とも無縁じゃないが……			魂を扱う者たち							
悪い、オレたちはその……レギュレーターについて、何も知らないんだ。いったいどういう装置なんだ？			悪い、オレたちはその……レギュレーターについて、何も知らないんだ。いったいどういう装置なんだ？			魂を扱う者たち							
そいつは俺が説明しよう。			そいつは俺が説明しよう。			魂を扱う者たち							
レギュレーターの機能は、主にふたつだ。			レギュレーターの機能は、主にふたつだ。			魂を扱う者たち							
ひとつは「魂資源の管理」。再利用可能な状態に処理された魂をストックしておいて、装着者が死んじまった場合、蘇生に利用するんだ。			ひとつは「魂資源の管理」。再利用可能な状態に処理された魂をストックしておいて、装着者が死んじまった場合、蘇生に利用するんだ。			魂を扱う者たち							
ストックですって！？まさか、魂の予備を持ち歩いてるってこと……！？			ストックですって！？まさか、魂の予備を持ち歩いてるってこと……！？			魂を扱う者たち							
ああ、不慮の事故なんかで亡くなった場合、魂資源を、失われた生命力に添加して蘇生するのさ。ま、老衰みたいな寿命を超えた死では生き返れないけどな。			ああ、不慮の事故なんかで亡くなった場合、魂資源を、失われた生命力に添加して蘇生するのさ。ま、老衰みたいな寿命を超えた死では生き返れないけどな。			魂を扱う者たち							
ちなみに、魂資源は各人の働きぶりに応じて配給される。だから皆、天寿をまっとうするための保険を手に入れようと、与えられた労働に勤しんでいるのさ。			ちなみに、魂資源は各人の働きぶりに応じて配給される。だから皆、天寿をまっとうするための保険を手に入れようと、与えられた労働に勤しんでいるのさ。			魂を扱う者たち							
魂をそんな風に扱うなんて……信じられない……。			魂をそんな風に扱うなんて……信じられない……。			魂を扱う者たち							
ヴォイドの妖異のような例もあるが……他人の魂を取り込むだなんて、まともな発想とは思えない。なにかリスクもあるんじゃないか？			ヴォイドの妖異のような例もあるが……他人の魂を取り込むだなんて、まともな発想とは思えない。なにかリスクもあるんじゃないか？			魂を扱う者たち							
何と言う？			何と言う？			魂を扱う者たち							
自分を保てなくなるのでは？			自分を保てなくなるのでは？			魂を扱う者たち							
意識が混ざるのでは？			意識が混ざるのでは？			魂を扱う者たち							
そうならないためにあるのが、レギュレーターのもうひとつの機能「記憶の管理」さ。			そうならないためにあるのが、レギュレーターのもうひとつの機能「記憶の管理」さ。			魂を扱う者たち							
記憶……まさか……！ナミーカさんの存在を、みんなが忘れてしまった理由って……。			記憶……まさか……！ナミーカさんの存在を、みんなが忘れてしまった理由って……。			魂を扱う者たち							
レギュレーターは、常に装着者の記憶を収集し続け、死によって一時的に記憶が霧散したとしても、復活後に転写してくれる。			レギュレーターは、常に装着者の記憶を収集し続け、死によって一時的に記憶が霧散したとしても、復活後に転写してくれる。			魂を扱う者たち							
だから問題なく自己の同一性が担保されるんだが……こいつは他人が死んだときにも作用する。			だから問題なく自己の同一性が担保されるんだが……こいつは他人が死んだときにも作用する。			魂を扱う者たち							
装着者の記憶に干渉して、死んだ人に関連する記憶を抹消するのさ。			装着者の記憶に干渉して、死んだ人に関連する記憶を抹消するのさ。			魂を扱う者たち							
……なんで、そんなことを！			……なんで、そんなことを！			魂を扱う者たち							
死の悲しみを感じないで済むよう、エバーキープの基幹システムが与えてくれる……とびっきりの優しさであり、幸せな生き方なんだとさ。			死の悲しみを感じないで済むよう、エバーキープの基幹システムが与えてくれる……とびっきりの優しさであり、幸せな生き方なんだとさ。			魂を扱う者たち							
雲の上に……預けられた……。			雲の上に……預けられた……。			魂を扱う者たち							
そうだ。死者に関する記憶は、基幹システムに預けられ、地上で生きる人々からは消えちまう。			そうだ。死者に関する記憶は、基幹システムに預けられ、地上で生きる人々からは消えちまう。			魂を扱う者たち							
ちなみに、記憶の管理技術は、魂資源とも密接に関わっていてな……。			ちなみに、記憶の管理技術は、魂資源とも密接に関わっていてな……。			魂を扱う者たち							
装着者が寿命を迎えて死んだ場合、その魂はレギュレーターに一時保存されるんだ。			装着者が寿命を迎えて死んだ場合、その魂はレギュレーターに一時保存されるんだ。			魂を扱う者たち							
間もなく、それはある施設に送られる……魂に刻まれた記憶を漂白してプレーンな状態にするためにな。			間もなく、それはある施設に送られる……魂に刻まれた記憶を漂白してプレーンな状態にするためにな。			魂を扱う者たち							
こうして完成するのが、皆が欲しがる魂資源ってわけだ。			こうして完成するのが、皆が欲しがる魂資源ってわけだ。			魂を扱う者たち							
ちなみに、漂白時に回収された死者の記憶は、エバーキープの基幹システムに保管される。永遠の「生きた証」としてね。			ちなみに、漂白時に回収された死者の記憶は、エバーキープの基幹システムに保管される。永遠の「生きた証」としてね。			魂を扱う者たち							
それが、この世界での幸せだなんて……。ヨカフイ族の思想に似ていると思ったけど、全然違う……。			それが、この世界での幸せだなんて……。ヨカフイ族の思想に似ていると思ったけど、全然違う……。			魂を扱う者たち							
……ま、俺はそんなに悪くないと思っちゃいるがな。生きる環境が違えば、考え方は人それぞれだ。			……ま、俺はそんなに悪くないと思っちゃいるがな。生きる環境が違えば、考え方は人それぞれだ。			魂を扱う者たち							
