エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			エバーキープ前のウクラマトは、冒険者たちに頼みがあるようだ。			護る者、壊す者							
ウクラマトはゾラージャとの一騎討ちで、彼のレギュレーターを破壊した。動揺したゾラージャはトライヨラの破壊を命じたが、各所に散った仲間たちのおかげでこれを撃退。報告を受けたゾラージャは、エバーキープ全住人から魂資源の回収を命じると、やってきたグルージャを人質に撤退した。ヘリテージファウンドのヴァンガード付近にいる「ウクラマト」と話そう。			ウクラマトはゾラージャとの一騎討ちで、彼のレギュレーターを破壊した。動揺したゾラージャはトライヨラの破壊を命じたが、各所に散った仲間たちのおかげでこれを撃退。報告を受けたゾラージャは、エバーキープ全住人から魂資源の回収を命じると、やってきたグルージャを人質に撤退した。ヘリテージファウンドのヴァンガード付近にいる「ウクラマト」と話そう。			護る者、壊す者							
ウクラマトと話した。ヴァンガード付近にいる「ウクラマト」と再度話そう。			ウクラマトと話した。ヴァンガード付近にいる「ウクラマト」と再度話そう。			護る者、壊す者							
スフェーンと協力して機械兵を退けた。ソリューション・ナインに戻ろう。			スフェーンと協力して機械兵を退けた。ソリューション・ナインに戻ろう。			護る者、壊す者							
オーティスは街を護って完全に機能を停止した。ソリューション・ナインのトゥルービューにいる「ウクラマト」と話そう。			オーティスは街を護って完全に機能を停止した。ソリューション・ナインのトゥルービューにいる「ウクラマト」と話そう。			護る者、壊す者							
ウクラマトと話した。自国の民を傷つけるゾラージャは、何をしたいのだろうか……。			ウクラマトと話した。自国の民を傷つけるゾラージャは、何をしたいのだろうか……。			護る者、壊す者							
ウクラマトと話す			ウクラマトと話す			護る者、壊す者							
ウクラマトと再度話す			ウクラマトと再度話す			護る者、壊す者							
トゥルービューのウクラマトと話す			トゥルービューのウクラマトと話す			護る者、壊す者							
トライヨラの方は、みんなを信じるしかないわ。私たちは、私たちにできることをやりましょう。			トライヨラの方は、みんなを信じるしかないわ。私たちは、私たちにできることをやりましょう。			護る者、壊す者							
これより物語が大きく進展するため、カットシーンが連続して再生されます。			これより物語が大きく進展するため、カットシーンが連続して再生されます。			護る者、壊す者							
しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			しばらく時間がかかるため、十分にプレイ時間を確保したうえで、続きを進めることを、お勧めいたします。			護る者、壊す者							
今すぐヴァンガードに向かわなきゃならねぇが……その前に、ふたりに頼みがある。			今すぐヴァンガードに向かわなきゃならねぇが……その前に、ふたりに頼みがある。			護る者、壊す者							
アタシに……ゾラージャと一騎討ちさせてほしいんだ！			アタシに……ゾラージャと一騎討ちさせてほしいんだ！			護る者、壊す者							
なっ……そんなの危険すぎるわ！私やForenameだっているのに……どうして！？			なっ……そんなの危険すぎるわ！私やForenameだっているのに……どうして！？			護る者、壊す者							
アタシたちが今やるべきことはふたつ……。			アタシたちが今やるべきことはふたつ……。			護る者、壊す者							
ひとつは、ゾラージャをドームに引き留め、トライヨラに攻め込むのを防ぐこと。			ひとつは、ゾラージャをドームに引き留め、トライヨラに攻め込むのを防ぐこと。			護る者、壊す者							
そしてもうひとつは、連絡がとれねえオブリビオンのワヤッケが、万が一奴らに捕まっていたら……彼女を助けることだ。			そしてもうひとつは、連絡がとれねえオブリビオンのワヤッケが、万が一奴らに捕まっていたら……彼女を助けることだ。			護る者、壊す者							
そのために、アタシはゾラージャが超えるべき、「好敵手」を演じる必要があると思うんだ。			そのために、アタシはゾラージャが超えるべき、「好敵手」を演じる必要があると思うんだ。			護る者、壊す者							
助っ人の手を借りて戦おうとする姿を見れば、最悪、あいつはアタシに失望してトライヨラへ向かうだろう。だからこそ、正々堂々挑むんだ。			助っ人の手を借りて戦おうとする姿を見れば、最悪、あいつはアタシに失望してトライヨラへ向かうだろう。だからこそ、正々堂々挑むんだ。			護る者、壊す者							
たしかに……そのまま進軍を阻めればよし、仮に兵を進められてしまっても、ゾラージャを疲弊させていれば、トライヨラの防衛はやりやすくなる……。			たしかに……そのまま進軍を阻めればよし、仮に兵を進められてしまっても、ゾラージャを疲弊させていれば、トライヨラの防衛はやりやすくなる……。			護る者、壊す者							
それに無策なわけじゃねぇさ。ドーム内に来て、スフェーンやカフキワたちに出会って、アレクサンドリアの文化を知ったからな。			それに無策なわけじゃねぇさ。ドーム内に来て、スフェーンやカフキワたちに出会って、アレクサンドリアの文化を知ったからな。			護る者、壊す者							
今では、ゾラージャが得た強さの秘訣が、レギュレーターにあることもわかってる。			今では、ゾラージャが得た強さの秘訣が、レギュレーターにあることもわかってる。			護る者、壊す者							
まさか……			まさか……			護る者、壊す者							
ああ、レギュレーターを狙う。あれを壊せば、魂資源ってやつを使った強化も復活もできねぇ……ゾラージャと対等な勝負ができるはずだ。			ああ、レギュレーターを狙う。あれを壊せば、魂資源ってやつを使った強化も復活もできねぇ……ゾラージャと対等な勝負ができるはずだ。			護る者、壊す者							
頼む……。この勝負、アタシを信じて任せてくれねぇか？			頼む……。この勝負、アタシを信じて任せてくれねぇか？			護る者、壊す者							
