トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トライヨラのボロガーは、冒険者に頼みたいことがあるようだ。			トラル大陸のモブハント（上級）							
ヘリテージファウンドのドメニケと話す			ヘリテージファウンドのドメニケと話す			トラル大陸のモブハント（上級）							
ソリューション・ナインのフィロメナと話す			ソリューション・ナインのフィロメナと話す			トラル大陸のモブハント（上級）							
ナピクエと話す			ナピクエと話す			トラル大陸のモブハント（上級）							
トライヨラのボロガーにナピクエの手帳を渡す			トライヨラのボロガーにナピクエの手帳を渡す			トラル大陸のモブハント（上級）							
「トラル大陸のモブハント（上級）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			「トラル大陸のモブハント（上級）」は、「メインクエスト：黄金のレガシー」を、特定の状態まで完了することで、受注できるようになります。			トラル大陸のモブハント（上級）							
Forenameさん、お元気そうで安心しました。襲撃直後のトライヨラは一時騒然としていましたが、人々の安心のため、こんな時こそ討伐依頼に応えねば……ですね。			Forenameさん、お元気そうで安心しました。襲撃直後のトライヨラは一時騒然としていましたが、人々の安心のため、こんな時こそ討伐依頼に応えねば……ですね。			トラル大陸のモブハント（上級）							
そんな状況で恐縮ながら、貴方にお願いしたいことがあるんです。実は、ヤースラニ荒野の狩りを担当していたヴァイパーと、まったく連絡がとれない状態でして……。			そんな状況で恐縮ながら、貴方にお願いしたいことがあるんです。実は、ヤースラニ荒野の狩りを担当していたヴァイパーと、まったく連絡がとれない状態でして……。			トラル大陸のモブハント（上級）							
あそこはいま謎の障壁に覆われていると聞き、心配で。貴方ならば立ち入れると耳にしましたので、どうか安否の確認をお願いしてもよろしいでしょうか？			あそこはいま謎の障壁に覆われていると聞き、心配で。貴方ならば立ち入れると耳にしましたので、どうか安否の確認をお願いしてもよろしいでしょうか？			トラル大陸のモブハント（上級）							
ありがとうございます！彼女の名は「ナピクエ」、トナワータ族で、襲撃が起きる前はテッシャ・パニの村に赴いていたはず。			ありがとうございます！彼女の名は「ナピクエ」、トナワータ族で、襲撃が起きる前はテッシャ・パニの村に赴いていたはず。			トラル大陸のモブハント（上級）							
行方を探る際は、付近に住む人……とくに、土地に詳しい方に話を聞いてみるのがよいかと。それでは……どうか、よろしくお願いいたします。			行方を探る際は、付近に住む人……とくに、土地に詳しい方に話を聞いてみるのがよいかと。それでは……どうか、よろしくお願いいたします。			トラル大陸のモブハント（上級）							
ナピクエの行方を探る際は、テッシャ・パニの近くに住む人に話を聞いてみるのがよいかと。それでは……どうか、よろしくお願いいたします。			ナピクエの行方を探る際は、テッシャ・パニの近くに住む人に話を聞いてみるのがよいかと。それでは……どうか、よろしくお願いいたします。			トラル大陸のモブハント（上級）							
おや、あなた様は……どうされました、何かお探しですかな？			おや、あなた様は……どうされました、何かお探しですかな？			トラル大陸のモブハント（上級）							
異変当時テッシャ・パニを訪れていた二刀の狩人……もしやそれは、ナピクエさんでは？でしたら、たしかに存じ上げておりますぞ。			異変当時テッシャ・パニを訪れていた二刀の狩人……もしやそれは、ナピクエさんでは？でしたら、たしかに存じ上げておりますぞ。			トラル大陸のモブハント（上級）							
