石の家のアルフィノは、新たな提案があるようだ。									石の家のアルフィノは、新たな提案があるようだ。	やがて流れは海へと注ぐ
前回までの冒険録：ついに結成された「グランドカンパニー・エオルゼア」。彼らと「暁の血盟」は、カルテノー平原へと進軍してきたテロフォロイの軍勢を撃退する。しかし、「終末の塔」の建造目的や、捕らえられた異種族の者たちを救う方法は謎のまま。同盟軍は知の都シャーレアンへと協力を要請するが、使者フルシュノが携えてきた返答は、完全なる拒絶だった。頑なに不干渉の姿勢を崩さず、説得にかかった我が子すら勘当したフルシュノの態度に違和感を覚えた「暁」は、クルルからの提案を受けてシャーレアン本国へ向かうことを決める。そして、クルルからの連絡を待つ間、「終末の塔」のもたらす変化を調査していた冒険者は、世界の危機を警告する謎の女性に出会うのだった。　　　　　　　　　　　　*　*　*「暁」の仲間たちと、現在の状況を確認した。リムサ・ロミンサのフェリードックにいる「タタル」と話そう。									前回までの冒険録：ついに結成された「グランドカンパニー・エオルゼア」。彼らと「暁の血盟」は、カルテノー平原へと進軍してきたテロフォロイの軍勢を撃退する。しかし、「終末の塔」の建造目的や、捕らえられた異種族の者たちを救う方法は謎のまま。同盟軍は知の都シャーレアンへと協力を要請するが、使者フルシュノが携えてきた返答は、完全なる拒絶だった。頑なに不干渉の姿勢を崩さず、説得にかかった我が子すら勘当したフルシュノの態度に違和感を覚えた「暁」は、クルルからの提案を受けてシャーレアン本国へ向かうことを決める。そして、クルルからの連絡を待つ間、「終末の塔」のもたらす変化を調査していた冒険者は、世界の危機を警告する謎の女性に出会うのだった。　　　　　　　　　　　　*　*　*「暁」の仲間たちと、現在の状況を確認した。リムサ・ロミンサのフェリードックにいる「タタル」と話そう。	やがて流れは海へと注ぐ
タタルたちに別れを告げた。船でシャーレアン本国を目指そう。									タタルたちに別れを告げた。船でシャーレアン本国を目指そう。	やがて流れは海へと注ぐ
オールド・シャーレアンに到着し、入国審査を受けた。知神の港にいる「クルル」と話そう。									オールド・シャーレアンに到着し、入国審査を受けた。知神の港にいる「クルル」と話そう。	やがて流れは海へと注ぐ
クルルから船旅を労われた。この街から始まった新たな冒険が、いずれ終わりへとたどり着くまで、歩み続けよう。									クルルから船旅を労われた。この街から始まった新たな冒険が、いずれ終わりへとたどり着くまで、歩み続けよう。	やがて流れは海へと注ぐ
リムサ・ロミンサのタタルと話す									リムサ・ロミンサのタタルと話す	やがて流れは海へと注ぐ
クルルと話す									クルルと話す	やがて流れは海へと注ぐ
Forename……これからの予定は空いているかい？									Forename……これからの予定は空いているかい？	やがて流れは海へと注ぐ
だとしたら、今の私たちの状況について、改めて整理させてほしいんだ。皆にも声をかけて「未明の間」で話そう。									だとしたら、今の私たちの状況について、改めて整理させてほしいんだ。皆にも声をかけて「未明の間」で話そう。	やがて流れは海へと注ぐ
さて……私たちが直面している問題、その発端は、各地に突如として塔が現れたことだったね。									さて……私たちが直面している問題、その発端は、各地に突如として塔が現れたことだったね。	やがて流れは海へと注ぐ
のちに「終末の塔」と呼ばれることになるそれは、テロフォロイと名乗る者たちによって作られたものだった。									のちに「終末の塔」と呼ばれることになるそれは、テロフォロイと名乗る者たちによって作られたものだった。	やがて流れは海へと注ぐ
彼らは、いにしえの時代に起きた終末の災厄のように、何もかもを破壊することが目的だと宣言……事実、「塔」を用いて惨劇を引き起こしている。									彼らは、いにしえの時代に起きた終末の災厄のように、何もかもを破壊することが目的だと宣言……事実、「塔」を用いて惨劇を引き起こしている。	やがて流れは海へと注ぐ
拐った人たちを「塔」に閉じ込めて、無理やり蛮神を召喚させてる件ね……。									拐った人たちを「塔」に閉じ込めて、無理やり蛮神を召喚させてる件ね……。	やがて流れは海へと注ぐ
救助に向かおうにも、「塔」が放射するエーテルによって、近づくだけで精神を汚染されてしまう。									救助に向かおうにも、「塔」が放射するエーテルによって、近づくだけで精神を汚染されてしまう。	やがて流れは海へと注ぐ
「光の加護」を持つ人なら、汚染を免れることができるみたいだけど……									「光の加護」を持つ人なら、汚染を免れることができるみたいだけど……	やがて流れは海へと注ぐ
アレンヴァルドたちの報告や、彼らに起こったことを思えば、慎重にならざるを得ないでしょうね……。									アレンヴァルドたちの報告や、彼らに起こったことを思えば、慎重にならざるを得ないでしょうね……。	やがて流れは海へと注ぐ
厄介なネタはまだあるぞ。									厄介なネタはまだあるぞ。	やがて流れは海へと注ぐ
テロフォロイの中核を成しているのは、アシエン・ファダニエルと、もうひとり……あのゼノスだ。									テロフォロイの中核を成しているのは、アシエン・ファダニエルと、もうひとり……あのゼノスだ。	やがて流れは海へと注ぐ
奴は自身の身体を取り戻し、ヴァリス帝を殺害。それによってガレマール帝国は混乱を極めている。									奴は自身の身体を取り戻し、ヴァリス帝を殺害。それによってガレマール帝国は混乱を極めている。	やがて流れは海へと注ぐ
とくに、帝都ガレマルドは酷い有様だ。一時期は次期皇帝を巡る内戦の舞台となっていたが……									とくに、帝都ガレマルドは酷い有様だ。一時期は次期皇帝を巡る内戦の舞台となっていたが……	やがて流れは海へと注ぐ
私たちが偵察に赴いたときには砲声すら止み、廃墟と化した帝都は、不気味に静まり返っておりました。									私たちが偵察に赴いたときには砲声すら止み、廃墟と化した帝都は、不気味に静まり返っておりました。	やがて流れは海へと注ぐ
住民たちは、精神汚染を受けている様子で……かつての魔導城を、ただ黙々と、異形の建造物に造り変えていたのです。									住民たちは、精神汚染を受けている様子で……かつての魔導城を、ただ黙々と、異形の建造物に造り変えていたのです。	やがて流れは海へと注ぐ
