アルフィノは、今後について冒険者と話がしたいようだ。									アルフィノは、今後について冒険者と話がしたいようだ。	イシュガルドへ
前回までの冒険録：ムーンブリダを失った悲しみが癒えぬ「暁の血盟」に、ドラゴン族が進軍を開始したとの報がもたらされた。これを受け、冒険者は「エオルゼア同盟軍冒険者選抜隊」の隊長として、イシュガルド防衛の任務につく。「氷の巫女」たちの攻撃により大審門が破られたものの、「雲廊」へ突入してきたドラゴン族を冒険者選抜隊が撃退。イシュガルド防衛を成し遂げた。戦いの後、ウルダハ王宮にて「戦勝祝賀会」が開かれることになり、冒険者と「暁の血盟」にも招待状が届く。エオルゼア三国とイシュガルドの友好を確かめるための「戦勝祝賀会」……しかし、ウィルレッドの不審死や、クリスタルブレイブとテレジ・アデレジの繋がりなどが明らかとなり、暗雲が立ち込めるのだった。事実、「戦勝祝賀会」はテレジ・アデレジとイルベルドの罠であったことが判明。ナナモ女王は倒れ、ラウバーンは左腕を失い拘束される。黒幕のテレジ・アデレジは討たれたものの、冒険者と「暁の血盟」は女王暗殺の罪を着せられ、アルフィノを裏切ったクリスタルブレイブに取り囲まれてしまった。ミンフィリアと賢人たちに助けられ、冒険者はアルフィノとともにウルダハを脱出、オルシュファンのもとへと逃げ込む。提供された隠れ家「雪の家」でタタルと合流できたものの、他の者の行方は未だに不明。一同は、この絶望的な状況でも希望の灯火を消すことなく、前に進むことを誓うのだった……。　　　　　　　　　　　　*　*　*冒険者、アルフィノ、タタルの3人はイシュガルドへ向かうことを決めた。応接室の「オルシュファン」と話そう。									前回までの冒険録：ムーンブリダを失った悲しみが癒えぬ「暁の血盟」に、ドラゴン族が進軍を開始したとの報がもたらされた。これを受け、冒険者は「エオルゼア同盟軍冒険者選抜隊」の隊長として、イシュガルド防衛の任務につく。「氷の巫女」たちの攻撃により大審門が破られたものの、「雲廊」へ突入してきたドラゴン族を冒険者選抜隊が撃退。イシュガルド防衛を成し遂げた。戦いの後、ウルダハ王宮にて「戦勝祝賀会」が開かれることになり、冒険者と「暁の血盟」にも招待状が届く。エオルゼア三国とイシュガルドの友好を確かめるための「戦勝祝賀会」……しかし、ウィルレッドの不審死や、クリスタルブレイブとテレジ・アデレジの繋がりなどが明らかとなり、暗雲が立ち込めるのだった。事実、「戦勝祝賀会」はテレジ・アデレジとイルベルドの罠であったことが判明。ナナモ女王は倒れ、ラウバーンは左腕を失い拘束される。黒幕のテレジ・アデレジは討たれたものの、冒険者と「暁の血盟」は女王暗殺の罪を着せられ、アルフィノを裏切ったクリスタルブレイブに取り囲まれてしまった。ミンフィリアと賢人たちに助けられ、冒険者はアルフィノとともにウルダハを脱出、オルシュファンのもとへと逃げ込む。提供された隠れ家「雪の家」でタタルと合流できたものの、他の者の行方は未だに不明。一同は、この絶望的な状況でも希望の灯火を消すことなく、前に進むことを誓うのだった……。　　　　　　　　　　　　*　*　*冒険者、アルフィノ、タタルの3人はイシュガルドへ向かうことを決めた。応接室の「オルシュファン」と話そう。	イシュガルドへ
オルシュファンから話を聞いた。クルザス中央高地の大審門にいる「大審門の衛兵」と話し、「イシュガルド」へ向かおう。									オルシュファンから話を聞いた。クルザス中央高地の大審門にいる「大審門の衛兵」と話し、「イシュガルド」へ向かおう。	イシュガルドへ
大審門の衛兵と話した。このまま、イシュガルドへ向かおう。									大審門の衛兵と話した。このまま、イシュガルドへ向かおう。	イシュガルドへ
イシュガルドの下層に到着した。イシュガルドの下層にいる「フォルタン家の執事」と話そう。									イシュガルドの下層に到着した。イシュガルドの下層にいる「フォルタン家の執事」と話そう。	イシュガルドへ
フォルタン家の執事と話した。イシュガルドのフォルタン伯爵邸付近にいる「オルシュファン」と話そう。									フォルタン家の執事と話した。イシュガルドのフォルタン伯爵邸付近にいる「オルシュファン」と話そう。	イシュガルドへ
フォルタン家の当主であるエドモン・ド・フォルタン伯爵と会談し、彼の思惑を聞いた。伯爵の言ったとおり、ひとまずは都市内を見まわって暮らしに慣れつつ、この地でなにをすべきか考えていこう。									フォルタン家の当主であるエドモン・ド・フォルタン伯爵と会談し、彼の思惑を聞いた。伯爵の言ったとおり、ひとまずは都市内を見まわって暮らしに慣れつつ、この地でなにをすべきか考えていこう。	イシュガルドへ
オルシュファンと話す									オルシュファンと話す	イシュガルドへ
大審門の衛兵と話し、イシュガルドに向かう									大審門の衛兵と話し、イシュガルドに向かう	イシュガルドへ
フォルタン家の執事と話す									フォルタン家の執事と話す	イシュガルドへ
フォルタン伯爵邸付近のオルシュファンと話す									フォルタン伯爵邸付近のオルシュファンと話す	イシュガルドへ
