フォルタン家の騎兵は、話したいことがあるようだ。									フォルタン家の騎兵は、話したいことがあるようだ。	戦う者たちの休息
前回までの冒険録：邪竜「ニーズヘッグ」の宣戦布告を受け、決戦の準備を進めるイシュガルドの人々。冒険者は、アルフィノ、アイメリクとともに、聖竜「フレースヴェルグ」に助力を乞いに行くことになった。課せられた試練を見事乗り越えたことにより、聖竜の協力をとりつけた一行。その直後、開戦を告げる邪竜の咆哮が響き渡り、一行は竜の背に乗って皇都へ帰還した。すでに死闘が繰り広げられていた雲廊。聖竜は冒険者たちを下し、邪竜に戦いを挑む。辛くも邪竜「ニーズヘッグ」が勝利を収めたと思われたそのとき、聖竜の眼を託された冒険者が進み出る。激闘の末、冒険者は邪竜を討った。その姿がエスティニアンに戻ったのを見計い、冒険者とアルフィノは、渾身の力で邪竜の眼を引きはがし、雲海の底へと投げ捨てたのだった。こうして千年にわたる竜詩戦争は終戦を迎えた。イシュガルドは共和制へと移行し、新議会の初代貴族院議長には、アイメリクが選出されたのだった。一方、一命を取り留めたエスティニアンは、人知れず皇都を後にする。人々は、それぞれの形で、長い戦いに幕を下ろしたのだった……。　　　　　　　　　　　　*　*　*フォルタン家の騎兵から、ボーレル家の会食に招待されたことを聞いた。ボーレル子爵邸は、イシュガルドの聖ガンリオル占星院のそばにあるようだ。ボーレル子爵邸前の「ボーレル家の家令」と話そう。									前回までの冒険録：邪竜「ニーズヘッグ」の宣戦布告を受け、決戦の準備を進めるイシュガルドの人々。冒険者は、アルフィノ、アイメリクとともに、聖竜「フレースヴェルグ」に助力を乞いに行くことになった。課せられた試練を見事乗り越えたことにより、聖竜の協力をとりつけた一行。その直後、開戦を告げる邪竜の咆哮が響き渡り、一行は竜の背に乗って皇都へ帰還した。すでに死闘が繰り広げられていた雲廊。聖竜は冒険者たちを下し、邪竜に戦いを挑む。辛くも邪竜「ニーズヘッグ」が勝利を収めたと思われたそのとき、聖竜の眼を託された冒険者が進み出る。激闘の末、冒険者は邪竜を討った。その姿がエスティニアンに戻ったのを見計い、冒険者とアルフィノは、渾身の力で邪竜の眼を引きはがし、雲海の底へと投げ捨てたのだった。こうして千年にわたる竜詩戦争は終戦を迎えた。イシュガルドは共和制へと移行し、新議会の初代貴族院議長には、アイメリクが選出されたのだった。一方、一命を取り留めたエスティニアンは、人知れず皇都を後にする。人々は、それぞれの形で、長い戦いに幕を下ろしたのだった……。　　　　　　　　　　　　*　*　*フォルタン家の騎兵から、ボーレル家の会食に招待されたことを聞いた。ボーレル子爵邸は、イシュガルドの聖ガンリオル占星院のそばにあるようだ。ボーレル子爵邸前の「ボーレル家の家令」と話そう。	戦う者たちの休息
ボーレル家の家令に声をかけ、会食の席へと案内された。アイメリクと今後について話しながら和やかに食事をしていると、慌てた様子のフォルタン家の騎兵が入ってきた。イシュガルドの「フォルタン伯爵邸」に向かおう。									ボーレル家の家令に声をかけ、会食の席へと案内された。アイメリクと今後について話しながら和やかに食事をしていると、慌てた様子のフォルタン家の騎兵が入ってきた。イシュガルドの「フォルタン伯爵邸」に向かおう。	戦う者たちの休息
フォルタン伯爵邸に入ると、負傷したアリゼーが運び込まれていた。彼女は、アイメリクの計らいで、神殿騎士団病院へと搬送された。フォルタン伯爵邸の「アルフィノ」と話そう。									フォルタン伯爵邸に入ると、負傷したアリゼーが運び込まれていた。彼女は、アイメリクの計らいで、神殿騎士団病院へと搬送された。フォルタン伯爵邸の「アルフィノ」と話そう。	戦う者たちの休息
アルフィノと話した。彼は、双子の妹のことを気にかけている様子だったが、自分のすべきことをすると決心しているようだ。アルフィノと協力し、事態の真相に迫ろう。									アルフィノと話した。彼は、双子の妹のことを気にかけている様子だったが、自分のすべきことをすると決心しているようだ。アルフィノと協力し、事態の真相に迫ろう。	戦う者たちの休息
ボーレル家の家令と話す									ボーレル家の家令と話す	戦う者たちの休息
フォルタン伯爵邸に向かう									フォルタン伯爵邸に向かう	戦う者たちの休息
アルフィノと話す									アルフィノと話す	戦う者たちの休息
おや、Forename様！ちょうど良いところに来てくださいました。									おや、Forename様！ちょうど良いところに来てくださいました。	戦う者たちの休息
実は今しがた、ボーレル家の使いの方がいらしたのです。貴方様宛に、ボーレル子爵……つまり、アイメリク卿からの伝言を、預かっておりますよ。									実は今しがた、ボーレル家の使いの方がいらしたのです。貴方様宛に、ボーレル子爵……つまり、アイメリク卿からの伝言を、預かっておりますよ。	戦う者たちの休息
なんでも、貴方様を自宅に招いて、会食の席を設けたいのだとか。									なんでも、貴方様を自宅に招いて、会食の席を設けたいのだとか。	戦う者たちの休息
お忘れになっているかもしれませんが、使いの方いわく、ファルコンネストでの式典に貴方様を招く際、アイメリク卿が、そのような申し出をされたようで……。									お忘れになっているかもしれませんが、使いの方いわく、ファルコンネストでの式典に貴方様を招く際、アイメリク卿が、そのような申し出をされたようで……。	戦う者たちの休息
あの式典以後、あまりに多くのことがありましたが、平和に祝杯をあげるとしたら、確かに今が最適でしょう。……それで、いかがいたしますか？									あの式典以後、あまりに多くのことがありましたが、平和に祝杯をあげるとしたら、確かに今が最適でしょう。……それで、いかがいたしますか？	戦う者たちの休息
招待を受ける？									招待を受ける？	戦う者たちの休息
よし、行こう！									よし、行こう！	戦う者たちの休息
……何を着ていけば？									……何を着ていけば？	戦う者たちの休息
そんな気分じゃない									そんな気分じゃない	戦う者たちの休息
ええ、是非そうなさるのが良いかと！新議長様と会食とは、実にうらやましい限りです。									ええ、是非そうなさるのが良いかと！新議長様と会食とは、実にうらやましい限りです。	戦う者たちの休息
それでは返事をしておきますので、貴方様は、お支度を整えて「ボーレル子爵邸」へ。場所は、聖ガンリオル占星院のすぐ近くですよ。									それでは返事をしておきますので、貴方様は、お支度を整えて「ボーレル子爵邸」へ。場所は、聖ガンリオル占星院のすぐ近くですよ。	戦う者たちの休息
