石の家のアルフィノは、考え込んでいるようだ。									石の家のアルフィノは、考え込んでいるようだ。	長城を越えて
前回までの冒険録：イルベルドが召喚した「新たな神」を迎え撃つため、エオルゼア諸国の領袖たちは、古代アラグ帝国が用いた対蛮神兵器「オメガ」の起動を決意する。かつての敵であり、この計画の発案者でもあるネロを交え、シドと光の戦士たちは、一路、アウトロー戦区「カルテノー平原」へと向かう。そして、帝国軍部隊を蹴散らし、オメガを起動させることに成功するのだった。一方、光の繭に封じられていた蛮神は、これに呼応するかのように封印を破って顕現。バエサルの長城の上空にて、ドラゴン型の「新たな神」とオメガの壮絶な一騎打ちが始まる。周囲の環境にも影響を及ぼす激しい戦闘の末、両者は東に広がる帝国領ギラバニア方面へと消えていったのだった。　　　　　　　　　　　　*　*　*「暁の血盟」は、エオルゼア同盟軍からの要請を受け、アラミゴ解放軍との仲介役を務めることになった。石の家の「アルフィノ」と話そう。									前回までの冒険録：イルベルドが召喚した「新たな神」を迎え撃つため、エオルゼア諸国の領袖たちは、古代アラグ帝国が用いた対蛮神兵器「オメガ」の起動を決意する。かつての敵であり、この計画の発案者でもあるネロを交え、シドと光の戦士たちは、一路、アウトロー戦区「カルテノー平原」へと向かう。そして、帝国軍部隊を蹴散らし、オメガを起動させることに成功するのだった。一方、光の繭に封じられていた蛮神は、これに呼応するかのように封印を破って顕現。バエサルの長城の上空にて、ドラゴン型の「新たな神」とオメガの壮絶な一騎打ちが始まる。周囲の環境にも影響を及ぼす激しい戦闘の末、両者は東に広がる帝国領ギラバニア方面へと消えていったのだった。　　　　　　　　　　　　*　*　*「暁の血盟」は、エオルゼア同盟軍からの要請を受け、アラミゴ解放軍との仲介役を務めることになった。石の家の「アルフィノ」と話そう。	長城を越えて
アルフィノたちと話し、それぞれが目的にむけて出発することになった。東部森林のアマリセ監視哨にいる「アルフィノ」と話そう。									アルフィノたちと話し、それぞれが目的にむけて出発することになった。東部森林のアマリセ監視哨にいる「アルフィノ」と話そう。	長城を越えて
アルフィノと話した。アマリセ監視哨にいる「双蛇党の将校」と話そう。									アルフィノと話した。アマリセ監視哨にいる「双蛇党の将校」と話そう。	長城を越えて
双蛇党の将校と話した。彼に案内してもらい、バエサルの長城を越えよう。									双蛇党の将校と話した。彼に案内してもらい、バエサルの長城を越えよう。	長城を越えて
ギラバニア辺境地帯へと足を踏み入れた。カストルム・オリエンスの「ラウバーン」と話そう。									ギラバニア辺境地帯へと足を踏み入れた。カストルム・オリエンスの「ラウバーン」と話そう。	長城を越えて
ラウバーンたちと話し、帝国軍が動き出す可能性や、いまだ見つからないオメガについて聞いた。エオルゼア同盟軍とアラミゴ解放軍の仲介役として、すぐにでも動き出す必要がありそうだ。									ラウバーンたちと話し、帝国軍が動き出す可能性や、いまだ見つからないオメガについて聞いた。エオルゼア同盟軍とアラミゴ解放軍の仲介役として、すぐにでも動き出す必要がありそうだ。	長城を越えて
アルフィノと話す									アルフィノと話す	長城を越えて
アマリセ監視哨のアルフィノと話す									アマリセ監視哨のアルフィノと話す	長城を越えて
双蛇党の将校と話す									双蛇党の将校と話す	長城を越えて
ラウバーンと話す									ラウバーンと話す	長城を越えて
帝国支配下の属州ともなれば、何度となく危ない橋を渡ることになるでしょうね。気を引き締めてかからないと……。									帝国支配下の属州ともなれば、何度となく危ない橋を渡ることになるでしょうね。気を引き締めてかからないと……。	長城を越えて
ギラバニアは、私の親友、ミンフィリアの故郷でもあるわ。だからというのもあるけれど、その奪還について、私なりに役立ちたいって気持ちがあるのよ。									ギラバニアは、私の親友、ミンフィリアの故郷でもあるわ。だからというのもあるけれど、その奪還について、私なりに役立ちたいって気持ちがあるのよ。	長城を越えて
私たちは、しばらく不在になるわ。サンクレッドやウリエンジェ、アリアヌたちと連携して、既知の蛮神についての警戒をお願い。									私たちは、しばらく不在になるわ。サンクレッドやウリエンジェ、アリアヌたちと連携して、既知の蛮神についての警戒をお願い。	長城を越えて
了解だ。後方支援なら任せてくれ。									了解だ。後方支援なら任せてくれ。	長城を越えて
そうそう、アラミゴ解放軍から来た伝令、メ・ナーゴさんは傷が癒えて、一足先にお戻りになりまっした。ギラバニアで会ったら、よろしくお伝えくだっさい。									そうそう、アラミゴ解放軍から来た伝令、メ・ナーゴさんは傷が癒えて、一足先にお戻りになりまっした。ギラバニアで会ったら、よろしくお伝えくだっさい。	長城を越えて
いよいよだね……。なんだか、ちょっぴり緊張してきたよ。									いよいよだね……。なんだか、ちょっぴり緊張してきたよ。	長城を越えて
ユウギリよ、旅支度は整ったでござるか？									ユウギリよ、旅支度は整ったでござるか？	長城を越えて
どうやら、Surname殿らも、出立の時を迎えたようだな……。									どうやら、Surname殿らも、出立の時を迎えたようだな……。	長城を越えて
故郷奪還に賭ける想いは同じか……。ユウギリ殿やゴウセツ殿の旅路に幸あることを祈りつつ、我々も出発するとしよう。									故郷奪還に賭ける想いは同じか……。ユウギリ殿やゴウセツ殿の旅路に幸あることを祈りつつ、我々も出発するとしよう。	長城を越えて
わわっ……大事なことを忘れてまっした！リセさん、お渡ししたいものがあるので、ちょっとこちらに……！									わわっ……大事なことを忘れてまっした！リセさん、お渡ししたいものがあるので、ちょっとこちらに……！	長城を越えて
(-リセ-)ん？いいけどさ……。									(-リセ-)ん？いいけどさ……。	長城を越えて
(-リセ-)へへへ……こんなのもらっちゃった。									(-リセ-)へへへ……こんなのもらっちゃった。	長城を越えて
密かに新しい旅装束を用意していたのでっす！体術が得意なリセさん向けに、動きやすい軽装にしてみまっした！									密かに新しい旅装束を用意していたのでっす！体術が得意なリセさん向けに、動きやすい軽装にしてみまっした！	長城を越えて
ほう、なかなかいい出来じゃないか……。何だかこのやりとりも、すっかり恒例になってきたな。									ほう、なかなかいい出来じゃないか……。何だかこのやりとりも、すっかり恒例になってきたな。	長城を越えて
タタル、ありがとね。この装束で、めいっぱい戦ってくるよ……。									タタル、ありがとね。この装束で、めいっぱい戦ってくるよ……。	長城を越えて
はいでっす！それじゃあ、今度こそ……いってらっしゃいでっす！									はいでっす！それじゃあ、今度こそ……いってらっしゃいでっす！	長城を越えて
よし、出発しよう！まずはギラバニアに通じる、黒衣森東部森林……「アマリセ監視哨」を目指すんだ！									よし、出発しよう！まずはギラバニアに通じる、黒衣森東部森林……「アマリセ監視哨」を目指すんだ！	長城を越えて
パパリモが施した封印の形は、第七霊災の際に観測された、バハムートを封じる殻、月の衛星「ダラガブ」に似ていたそうね。第七霊災で目撃した光景が、投影された結果なんでしょうけど……。									パパリモが施した封印の形は、第七霊災の際に観測された、バハムートを封じる殻、月の衛星「ダラガブ」に似ていたそうね。第七霊災で目撃した光景が、投影された結果なんでしょうけど……。	長城を越えて
神龍が行使した魔法攻撃のおかげで、この辺りのエーテル濃度が、尋常じゃないことになっているわ。すさまじい属性の力が入り乱れた証拠よ。									神龍が行使した魔法攻撃のおかげで、この辺りのエーテル濃度が、尋常じゃないことになっているわ。すさまじい属性の力が入り乱れた証拠よ。	長城を越えて
