石の家のタタルは、冒険者に重大な報告があるようだ。									石の家のタタルは、冒険者に重大な報告があるようだ。	予感
前回までの冒険録：昏倒した「暁」の賢人たちは依然として目を覚まさず、国境地帯ギムリトにて開かれた、エオルゼア同盟軍と帝国軍との戦況は膠着状態にあった。そこに、ゼノスの顔を持つ男が降り立ち、駆けつけた冒険者との激戦が繰り広げられる。冒険者は善戦するものの、謎の呼び声が響き渡って倒れてしまう。そして、呼び声の主からクリスタルタワーで装置を探すよう告げられるのだった。イシュガルドで目を覚ました冒険者は、エスティニアンによって窮地を救われたこと、戦況が再び膠着状態に陥り、盟主たちが冒険者を休ませる方針にしたことを知る。冒険者は石の家に戻り、タタルに呼び声の主のことを話すと、彼女は「暁」の冒険者たちと共にクリスタルタワーの装置を探すと意気込むのだった。　　　　　　　　　　　　*　*　*タタルから、シルクスの峡間への道が拓けたことを聞いた。モードゥナの銀泪湖北岸にいる「聖コイナク財団の案内人」と話そう。									前回までの冒険録：昏倒した「暁」の賢人たちは依然として目を覚まさず、国境地帯ギムリトにて開かれた、エオルゼア同盟軍と帝国軍との戦況は膠着状態にあった。そこに、ゼノスの顔を持つ男が降り立ち、駆けつけた冒険者との激戦が繰り広げられる。冒険者は善戦するものの、謎の呼び声が響き渡って倒れてしまう。そして、呼び声の主からクリスタルタワーで装置を探すよう告げられるのだった。イシュガルドで目を覚ました冒険者は、エスティニアンによって窮地を救われたこと、戦況が再び膠着状態に陥り、盟主たちが冒険者を休ませる方針にしたことを知る。冒険者は石の家に戻り、タタルに呼び声の主のことを話すと、彼女は「暁」の冒険者たちと共にクリスタルタワーの装置を探すと意気込むのだった。　　　　　　　　　　　　*　*　*タタルから、シルクスの峡間への道が拓けたことを聞いた。モードゥナの銀泪湖北岸にいる「聖コイナク財団の案内人」と話そう。	予感
案内人に舟を出してもらった。シルクスの峡間の「タタル」と話そう。									案内人に舟を出してもらった。シルクスの峡間の「タタル」と話そう。	予感
タタルたちと装置を探した。									タタルたちと装置を探した。	予感
見知らぬ場所へと飛ばされた。水晶の塔を目印に、クリスタリウムの街を目指そう。ほかの地に移動してしまった場合は、シルクスの峡間にある装置に再び触れれば、この場所に来られるようだ。									見知らぬ場所へと飛ばされた。水晶の塔を目印に、クリスタリウムの街を目指そう。ほかの地に移動してしまった場合は、シルクスの峡間にある装置に再び触れれば、この場所に来られるようだ。	予感
道中の関所でライナと水晶公に出会い、クリスタリウムに移動することになった。									道中の関所でライナと水晶公に出会い、クリスタリウムに移動することになった。	予感
クリスタリウムに入った。街の入口付近にいる「水晶公」と話そう。									クリスタリウムに入った。街の入口付近にいる「水晶公」と話そう。	予感
水晶公から歓迎された。いよいよ足を踏み入れた、第一世界。ここで冒険者を待ち受けるのは、いかなる運命なのだろうか。									水晶公から歓迎された。いよいよ足を踏み入れた、第一世界。ここで冒険者を待ち受けるのは、いかなる運命なのだろうか。	予感
銀泪湖北岸の聖コイナク財団の案内人と話す									銀泪湖北岸の聖コイナク財団の案内人と話す	予感
タタルと話す									タタルと話す	予感
クリスタリウムに向かう									クリスタリウムに向かう	予感
水晶公と話す									水晶公と話す	予感
Forenameさん、朗報でっす！クリスタルタワー周辺にあるという「装置」の探索について、進展がありまっした！									Forenameさん、朗報でっす！クリスタルタワー周辺にあるという「装置」の探索について、進展がありまっした！	予感
クリスタルタワーが建っているのは、「シルクスの峡間」と呼ばれる谷の底……その谷底への侵入経路が、確保されたのでっす！									クリスタルタワーが建っているのは、「シルクスの峡間」と呼ばれる谷の底……その谷底への侵入経路が、確保されたのでっす！	予感
これには、聖コイナク財団や、ガーロンド・アイアンワークス、そして「暁」に加わっている冒険者さんたちが、惜しみない協力をしてくれまっした。									これには、聖コイナク財団や、ガーロンド・アイアンワークス、そして「暁」に加わっている冒険者さんたちが、惜しみない協力をしてくれまっした。	予感
彼らは引き続き、谷底の調査にあたってくださるそうでっす。そこで、よければ私たちも手伝いに……									彼らは引き続き、谷底の調査にあたってくださるそうでっす。そこで、よければ私たちも手伝いに……	予感
何と言う？									何と言う？	予感
よしわかった、すぐ行こう！！									よしわかった、すぐ行こう！！	予感
仕方ない、待機しているのも退屈だ									仕方ない、待機しているのも退屈だ	予感
い、いつになく積極的な、Forenameさんでっす……！？									い、いつになく積極的な、Forenameさんでっす……！？	予感
でもでも、気が急くのはわかりまっす。その装置を見つければ、「第一世界」への扉が開かれると、謎の声は言っていたんでっすよね……？									でもでも、気が急くのはわかりまっす。その装置を見つければ、「第一世界」への扉が開かれると、謎の声は言っていたんでっすよね……？	予感
……はいっ！きっと装置を見つけて、謎の声が言っていた、「第一世界」への扉を開くのでっす！									……はいっ！きっと装置を見つけて、謎の声が言っていた、「第一世界」への扉を開くのでっす！	予感
そこには、倒れてしまったみなさんを目覚めさせるための、手掛かりがあるに違いないでっす。									そこには、倒れてしまったみなさんを目覚めさせるための、手掛かりがあるに違いないでっす。	予感
帝国と同盟軍の戦いも、いつ激化するかわからないでっすし……一刻も早く、みなさんを起こさなきゃでっす！									帝国と同盟軍の戦いも、いつ激化するかわからないでっすし……一刻も早く、みなさんを起こさなきゃでっす！	予感
ではでは、さっそく「シルクスの峡間」へ向かうでっす！銀泪湖北岸から、「聖コイナク財団の案内人」さんが、舟を出してくださるそうでっす！									ではでは、さっそく「シルクスの峡間」へ向かうでっす！銀泪湖北岸から、「聖コイナク財団の案内人」さんが、舟を出してくださるそうでっす！	予感
「暁の血盟」の方ですね。「シルクスの峡間」へは、銀泪湖の東岸から侵入します。さっそく舟を出しますか？									「暁の血盟」の方ですね。「シルクスの峡間」へは、銀泪湖の東岸から侵入します。さっそく舟を出しますか？	予感
