石の家のタタルは、冒険者に聞きたいことがあるようだ。									石の家のタタルは、冒険者に聞きたいことがあるようだ。	生命力の揺らぎ
前回までの冒険録：冒険者は、水晶公の導きにより、光に包まれた「第一世界」に降り立つ。「暁」の賢人とともに世界を襲う脅威「罪喰い」を撃退し、第一世界に闇を取り戻していく冒険者だが、その過程で、肉体に光を溜め込み、罪喰いと同様の存在になってしまう。それを予期していた水晶公は、冒険者の「光」を自身で引き受けようとするが、その行動は、冒険者を注視していたアシエン・エメトセルクに阻まれる。水晶公をさらっていったアシエン・エメトセルクを追って、冒険者たちは、彼が作り出した、終末を迎えんとする幻影都市アーモロートにたどり着く。その最奥部で、アシエン・エメトセルクを倒した冒険者は、「闇の戦士」として、第一世界に完全に闇を取り戻すことを成し遂げたのだった。　　　　　　　　　　　　*　*　*タタルは、フ・ラミンとともに第一世界での冒険について聞きたいようだ。モードゥナのレヴナンツトールにいる「フ・ラミン」と話そう。									前回までの冒険録：冒険者は、水晶公の導きにより、光に包まれた「第一世界」に降り立つ。「暁」の賢人とともに世界を襲う脅威「罪喰い」を撃退し、第一世界に闇を取り戻していく冒険者だが、その過程で、肉体に光を溜め込み、罪喰いと同様の存在になってしまう。それを予期していた水晶公は、冒険者の「光」を自身で引き受けようとするが、その行動は、冒険者を注視していたアシエン・エメトセルクに阻まれる。水晶公をさらっていったアシエン・エメトセルクを追って、冒険者たちは、彼が作り出した、終末を迎えんとする幻影都市アーモロートにたどり着く。その最奥部で、アシエン・エメトセルクを倒した冒険者は、「闇の戦士」として、第一世界に完全に闇を取り戻すことを成し遂げたのだった。　　　　　　　　　　　　*　*　*タタルは、フ・ラミンとともに第一世界での冒険について聞きたいようだ。モードゥナのレヴナンツトールにいる「フ・ラミン」と話そう。	生命力の揺らぎ
フ・ラミンとタタルに、ミンフィリアの最期を伝えた。石の家に戻り「タタル」と話そう。									フ・ラミンとタタルに、ミンフィリアの最期を伝えた。石の家に戻り「タタル」と話そう。	生命力の揺らぎ
クルルから、賢人たちの変化について聞いた。第一世界に向かい、クリスタリウムの星見の間にいる「水晶公」と話そう。									クルルから、賢人たちの変化について聞いた。第一世界に向かい、クリスタリウムの星見の間にいる「水晶公」と話そう。	生命力の揺らぎ
賢人たちの魂を「白聖石」に収めるため、「魂」を研究している隠者に会いに行くことになった。人嫌いの隠者は、古い宮殿に隠れ暮らしているようだが……。									賢人たちの魂を「白聖石」に収めるため、「魂」を研究している隠者に会いに行くことになった。人嫌いの隠者は、古い宮殿に隠れ暮らしているようだが……。	生命力の揺らぎ
レヴナンツトールのフ・ラミンと話す									レヴナンツトールのフ・ラミンと話す	生命力の揺らぎ
石の家のタタルと話す									石の家のタタルと話す	生命力の揺らぎ
星見の間の水晶公と話す									星見の間の水晶公と話す	生命力の揺らぎ
Forenameさん、いいところに、お越しくださいまっした！あれから少しは身体を休めることはできまっしたか？									Forenameさん、いいところに、お越しくださいまっした！あれから少しは身体を休めることはできまっしたか？	生命力の揺らぎ
何と言う？									何と言う？	生命力の揺らぎ
バッチリ休めた！									バッチリ休めた！	生命力の揺らぎ
ほかの冒険で忙しくて……									ほかの冒険で忙しくて……	生命力の揺らぎ
おお、それは何よりでっす！									おお、それは何よりでっす！	生命力の揺らぎ
相変わらずのご様子でっすね……。それだけ元気いっぱいなんだと、考えておきまっす。									相変わらずのご様子でっすね……。それだけ元気いっぱいなんだと、考えておきまっす。	生命力の揺らぎ
一方、私の方はと言えば、日常業務を続けつつ、「助っ人」と連絡を取ろうと試みているのでっすが……今のところ、なしのつぶてでっす。									一方、私の方はと言えば、日常業務を続けつつ、「助っ人」と連絡を取ろうと試みているのでっすが……今のところ、なしのつぶてでっす。	生命力の揺らぎ
ただ、エオルゼア同盟軍から報告をもらうことはできまっした。ギムリトの前線においても、帝国の動きは見られないと……。ひとまずは、静観といったところでしょうか。									ただ、エオルゼア同盟軍から報告をもらうことはできまっした。ギムリトの前線においても、帝国の動きは見られないと……。ひとまずは、静観といったところでしょうか。	生命力の揺らぎ
ですので、静かなうちに例の約束……第一世界から帰ってきたときにお願いしていた、あちらでの冒険について、詳しく聞かせてくださいまっせんか？									ですので、静かなうちに例の約束……第一世界から帰ってきたときにお願いしていた、あちらでの冒険について、詳しく聞かせてくださいまっせんか？	生命力の揺らぎ
ありがとうございまっす！そうだ、せっかくでっすから、ロウェナ記念会館のテラスでお話しするでっす！									ありがとうございまっす！そうだ、せっかくでっすから、ロウェナ記念会館のテラスでお話しするでっす！	生命力の揺らぎ
そこにいるはずの「フ・ラミン」さんも、とくにミンフィリアさんのこと、知りたがってまっしたから……一緒にお話を聞かせていただくでっす！									そこにいるはずの「フ・ラミン」さんも、とくにミンフィリアさんのこと、知りたがってまっしたから……一緒にお話を聞かせていただくでっす！	生命力の揺らぎ
「メインクエスト：暁の帰還編」に突入しました！これを最後まで進めるためには、クリスタルタワー関連のクエストを完了する必要があります。									「メインクエスト：暁の帰還編」に突入しました！これを最後まで進めるためには、クリスタルタワー関連のクエストを完了する必要があります。	生命力の揺らぎ
メインクエストとともに、「クロニクルクエスト：クリスタルタワー」を進めましょう！									メインクエストとともに、「クロニクルクエスト：クリスタルタワー」を進めましょう！	生命力の揺らぎ
最初のクエスト「古代アラグ文明の遺産」は、レヴナンツトールの「異国風の男」から受注できます。									最初のクエスト「古代アラグ文明の遺産」は、レヴナンツトールの「異国風の男」から受注できます。	生命力の揺らぎ
なお、クロニクルクエスト：クリスタルタワーの進行状況は、ジャーナルから確認することができます。									なお、クロニクルクエスト：クリスタルタワーの進行状況は、ジャーナルから確認することができます。	生命力の揺らぎ
「フ・ラミン」さんと一緒に、第一世界での冒険……そして、ミンフィリアさんの旅路を聞かせてほしいでっす。「ロウェナ記念会館」のテラスに向かいまっしょう！									「フ・ラミン」さんと一緒に、第一世界での冒険……そして、ミンフィリアさんの旅路を聞かせてほしいでっす。「ロウェナ記念会館」のテラスに向かいまっしょう！	生命力の揺らぎ
あら、もしかして……例の、第一世界での冒険について話をしてくれるの？									あら、もしかして……例の、第一世界での冒険について話をしてくれるの？	生命力の揺らぎ
忙しいのに、私のためにありがとう……。タタルさんが来たら、ぜひお話を聞かせて。									忙しいのに、私のためにありがとう……。タタルさんが来たら、ぜひお話を聞かせて。	生命力の揺らぎ
護りたい……救いたいと、あの子が願った世界、そこでの、長い長い冒険のお話を……。									護りたい……救いたいと、あの子が願った世界、そこでの、長い長い冒険のお話を……。	生命力の揺らぎ
ミンフィリアさんが遺した、希望の灯火は、そのリーンという子に託されたのでっすね……。									ミンフィリアさんが遺した、希望の灯火は、そのリーンという子に託されたのでっすね……。	生命力の揺らぎ
リーン……過酷な運命を背負って生まれながら、それでもなお、ミンフィリアの想いを継いで歩んでくれた子……。									リーン……過酷な運命を背負って生まれながら、それでもなお、ミンフィリアの想いを継いで歩んでくれた子……。	生命力の揺らぎ
きっと、あの子も嬉しかったと思う。だからこそ……安心して、力を託すことができたんだわ。									きっと、あの子も嬉しかったと思う。だからこそ……安心して、力を託すことができたんだわ。	生命力の揺らぎ
私がリーンに会うことは、とても叶わないでしょうから、あなたから伝えてあげて……									私がリーンに会うことは、とても叶わないでしょうから、あなたから伝えてあげて……	生命力の揺らぎ
ただ一言、「ありがとう」と……。									ただ一言、「ありがとう」と……。	生命力の揺らぎ
もちろん、あなたにも感謝を……。ミンフィリアがどんな想いを伝え、どんな希望を遺したのか、あなたから、直接聞かせてもらえてよかったわ。									もちろん、あなたにも感謝を……。ミンフィリアがどんな想いを伝え、どんな希望を遺したのか、あなたから、直接聞かせてもらえてよかったわ。	生命力の揺らぎ
(-？？？？-)お、ちょうど、話も終わったところか？邪魔しちゃ悪いとも思ったんだが…………									(-？？？？-)お、ちょうど、話も終わったところか？邪魔しちゃ悪いとも思ったんだが…………	生命力の揺らぎ
リオルさん！わざわざいらしたということは、連絡をお願いしていた「助っ人」の件でなにか……？									リオルさん！わざわざいらしたということは、連絡をお願いしていた「助っ人」の件でなにか……？	生命力の揺らぎ
ああ、いっこうに通信が繋がらないんで、さすがに不安になってきてな……。									ああ、いっこうに通信が繋がらないんで、さすがに不安になってきてな……。	生命力の揺らぎ
そこで、こちらから帝国属州に潜入して、距離的に近い場所から、通信を試みようと思うんだ。サンクレッドがいない今、潜入任務は俺の役目だろう？									そこで、こちらから帝国属州に潜入して、距離的に近い場所から、通信を試みようと思うんだ。サンクレッドがいない今、潜入任務は俺の役目だろう？	生命力の揺らぎ
で、でもでも、危険ではないでっすか？									で、でもでも、危険ではないでっすか？	生命力の揺らぎ
なぁに、隠れて進むぶんには、やりようはあるさ。それにここ最近は、不気味なくらい帝国軍に動きがない。今なら、ギムリト経由での潜入も容易だろう。									なぁに、隠れて進むぶんには、やりようはあるさ。それにここ最近は、不気味なくらい帝国軍に動きがない。今なら、ギムリト経由での潜入も容易だろう。	生命力の揺らぎ
ただ座して待つより己にできることを、ってな。なんとか朗報を持ち帰れるよう、試してみるさ。									ただ座して待つより己にできることを、ってな。なんとか朗報を持ち帰れるよう、試してみるさ。	生命力の揺らぎ
……おっと、忘れるところだった。クルル嬢が訪ねてきて、お前さんたちを探していたぜ。									……おっと、忘れるところだった。クルル嬢が訪ねてきて、お前さんたちを探していたぜ。	生命力の揺らぎ
賢人たちについて、相談したいことがあるとか……。いま石の家で、彼らの診察中だ。話が終わったんなら、戻ってやんな。									賢人たちについて、相談したいことがあるとか……。いま石の家で、彼らの診察中だ。話が終わったんなら、戻ってやんな。	生命力の揺らぎ
相談って何なんでっすかね……？ともかく、「石の家」に戻るでっす！									相談って何なんでっすかね……？ともかく、「石の家」に戻るでっす！	生命力の揺らぎ
賢人のみんなについて、なにか判明したのかもしれない。あなたも「石の家」に戻ってあげて。私は……少し、考えたいことがあるから……。									賢人のみんなについて、なにか判明したのかもしれない。あなたも「石の家」に戻ってあげて。私は……少し、考えたいことがあるから……。	生命力の揺らぎ
クルルさんはまだ診察中のようでっす。ここは焦らず、診察が終わるのを待ちまっしょう！									クルルさんはまだ診察中のようでっす。ここは焦らず、診察が終わるのを待ちまっしょう！	生命力の揺らぎ
水晶公に相談して、みなさんが帰還する方法を探ってほしいでっす！									水晶公に相談して、みなさんが帰還する方法を探ってほしいでっす！	生命力の揺らぎ
彼らの容態については、マトーヤ様とも相談しておくわ。原初世界側からできることがあれば、なんでも言ってね。									彼らの容態については、マトーヤ様とも相談しておくわ。原初世界側からできることがあれば、なんでも言ってね。	生命力の揺らぎ
賢人の皆に、そんな危機が迫っていたとはね……。私たちも、クルルの助けになれるよう、しっかり看病していくよ。									賢人の皆に、そんな危機が迫っていたとはね……。私たちも、クルルの助けになれるよう、しっかり看病していくよ。	生命力の揺らぎ
やあ、原初世界での報告は無事に……									やあ、原初世界での報告は無事に……	生命力の揺らぎ
……いや。その顔を見るに、何か深刻な事態があったのか。詳しく聞いても……？									……いや。その顔を見るに、何か深刻な事態があったのか。詳しく聞いても……？	生命力の揺らぎ
なっ、賢人たちの肉体に変化が……！？									なっ、賢人たちの肉体に変化が……！？	生命力の揺らぎ
まさか、彼らの肉体にそんな危険が迫っているとは。クルルがあちらで、かのマトーヤ様の助けを借りて、対処に動いてくれているというのは心強いが……。									まさか、彼らの肉体にそんな危険が迫っているとは。クルルがあちらで、かのマトーヤ様の助けを借りて、対処に動いてくれているというのは心強いが……。	生命力の揺らぎ
私の方といえば、過去の研究成果を洗い直していた。最初にサンクレッドを喚び出してからしばらくは、原初世界への帰還方法を、最優先で探していたのでね。									私の方といえば、過去の研究成果を洗い直していた。最初にサンクレッドを喚び出してからしばらくは、原初世界への帰還方法を、最優先で探していたのでね。	生命力の揺らぎ
そもそも、私の召喚術の原理は……いや、ここは状況報告も兼ねて、皆を招集して話した方がいいか。急いで、使いを出そう……。									そもそも、私の召喚術の原理は……いや、ここは状況報告も兼ねて、皆を招集して話した方がいいか。急いで、使いを出そう……。	生命力の揺らぎ
星見の間の水晶公は、隠者が棲む宮殿に向かいたいようだ。									星見の間の水晶公は、隠者が棲む宮殿に向かいたいようだ。	宮殿に住まいし隠者
宮殿は、始まりの湖の対岸にあるという。レイクランドのサレン郷で「水晶公」と話そう。									宮殿は、始まりの湖の対岸にあるという。レイクランドのサレン郷で「水晶公」と話そう。	宮殿に住まいし隠者
宮殿へは、正面から突入していくことになった。準備を整え、「グラン・コスモス」に突入しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。									宮殿へは、正面から突入していくことになった。準備を整え、「グラン・コスモス」に突入しよう。※進入地点付近にいる仲間たちと話し「パーティを編成して突入」するか、メインコマンドの「コンテンツサポーター」を選ぶことで、仲間NPCと一緒に攻略ができます。※プレイヤー同士のパーティで攻略する場合は、コンテンツファインダーから攻略に参加してください。	宮殿に住まいし隠者
ベーク＝ラグの使い魔を退けた。レイクランドのサレン郷に戻ろう。									ベーク＝ラグの使い魔を退けた。レイクランドのサレン郷に戻ろう。	宮殿に住まいし隠者
水晶公たちの「お願い」もあり、ベーク＝ラグに話を聞いてもらえることになった。サレン郷の「アルフィノ」と話そう。									水晶公たちの「お願い」もあり、ベーク＝ラグに話を聞いてもらえることになった。サレン郷の「アルフィノ」と話そう。	宮殿に住まいし隠者
仲間たちは、一足先にクリスタリウムへと戻っていったようだ。ベーク＝ラグの協力を取り付けるため、交渉へと挑もう。									仲間たちは、一足先にクリスタリウムへと戻っていったようだ。ベーク＝ラグの協力を取り付けるため、交渉へと挑もう。	宮殿に住まいし隠者
サレン郷の水晶公と話す									サレン郷の水晶公と話す	宮殿に住まいし隠者
「魔法宮殿 グラン・コスモス」を攻略									「魔法宮殿 グラン・コスモス」を攻略	宮殿に住まいし隠者
アルフィノと話す									アルフィノと話す	宮殿に住まいし隠者
ン・モゥ族といえば「対価の収集家」……。人との取引を望みこそすれ、接触すら拒むとは考えにくい。いったい、どんな事情があるのだろう？									ン・モゥ族といえば「対価の収集家」……。人との取引を望みこそすれ、接触すら拒むとは考えにくい。いったい、どんな事情があるのだろう？	宮殿に住まいし隠者
水晶公ったら、今度また後ろ向きな発言なんてしたら、この細剣で、小突き回してやるんだから！……だいたい、ひとりで背負い込みすぎなのよ。									水晶公ったら、今度また後ろ向きな発言なんてしたら、この細剣で、小突き回してやるんだから！……だいたい、ひとりで背負い込みすぎなのよ。	宮殿に住まいし隠者
人里離れて暮らす、風変わりな魔道士……。洞窟でホウキと隠居生活をしている誰かさんを思い出すわね。あの人ほど、毒舌じゃないといいのだけれど。									人里離れて暮らす、風変わりな魔道士……。洞窟でホウキと隠居生活をしている誰かさんを思い出すわね。あの人ほど、毒舌じゃないといいのだけれど。	宮殿に住まいし隠者
フッブート王国は、精強なる騎士の国であると同時に、魔法の研究にも力を入れていたと、記録されています……。									フッブート王国は、精強なる騎士の国であると同時に、魔法の研究にも力を入れていたと、記録されています……。	宮殿に住まいし隠者
そのような国で名を成した魔道士ともなれば、かなりの知恵者でありましょう。									そのような国で名を成した魔道士ともなれば、かなりの知恵者でありましょう。	宮殿に住まいし隠者
隠者殿が棲まう宮殿、その名も「グラン・コスモス」。その所在は、始まりの湖の対岸……衛兵団に小舟を用意させよう。									隠者殿が棲まう宮殿、その名も「グラン・コスモス」。その所在は、始まりの湖の対岸……衛兵団に小舟を用意させよう。	宮殿に住まいし隠者
なれば、私には別行動の許可を……。皆の魂を収めるに足る白聖石を生成するには、それなりに、準備が必要となりますので。									なれば、私には別行動の許可を……。皆の魂を収めるに足る白聖石を生成するには、それなりに、準備が必要となりますので。	宮殿に住まいし隠者
では、白聖石については、ウリエンジェに任せよう。それ以外の者は、レイクランドの「サレン郷」へ。戦いの準備も忘れずにね。									では、白聖石については、ウリエンジェに任せよう。それ以外の者は、レイクランドの「サレン郷」へ。戦いの準備も忘れずにね。	宮殿に住まいし隠者
白聖石の生成は私に任せ、どうぞ「サレン郷」へ。サンクレッドやリーンには、私から状況を伝えておくといたしましょう。									白聖石の生成は私に任せ、どうぞ「サレン郷」へ。サンクレッドやリーンには、私から状況を伝えておくといたしましょう。	宮殿に住まいし隠者
衛兵団には手間をかけたが、舟を用意してもらってよかったよ。この湖を縦断するような遠泳は、まだ難しいからね……。									衛兵団には手間をかけたが、舟を用意してもらってよかったよ。この湖を縦断するような遠泳は、まだ難しいからね……。	宮殿に住まいし隠者
戦いの準備を……ってことは、水晶公は、穏便に済まない場合も想定しているってことよね。									戦いの準備を……ってことは、水晶公は、穏便に済まない場合も想定しているってことよね。	宮殿に住まいし隠者
対岸といっても、ここからは宮殿は見えないのね。									対岸といっても、ここからは宮殿は見えないのね。	宮殿に住まいし隠者
以前に、私が隠者殿に接触を試みた際には、宮殿に立ち入るやいなや、使い魔が攻撃を仕掛けてきた……。ここは、それを承知で正面突破といこう。									以前に、私が隠者殿に接触を試みた際には、宮殿に立ち入るやいなや、使い魔が攻撃を仕掛けてきた……。ここは、それを承知で正面突破といこう。	宮殿に住まいし隠者
あら、ずいぶんと荒っぽい手段を取るのね。自慢の使い魔を台無しにされたら、余計に怒って、話を聞いてもらえないんじゃない？									あら、ずいぶんと荒っぽい手段を取るのね。自慢の使い魔を台無しにされたら、余計に怒って、話を聞いてもらえないんじゃない？	宮殿に住まいし隠者
……いえ、私は、水晶公の作戦を推すわ。									……いえ、私は、水晶公の作戦を推すわ。	宮殿に住まいし隠者
己の魔力を注いだ「作品」であればこそ、その使い魔を上回る者が現れれば、興味を抱く。それが、魔法の道を歩む者……魔道士という人種だもの。									己の魔力を注いだ「作品」であればこそ、その使い魔を上回る者が現れれば、興味を抱く。それが、魔法の道を歩む者……魔道士という人種だもの。	宮殿に住まいし隠者
私も、そう思う。それに、相手の性格や、隠遁の理由もわからない以上、対面できたとて、交渉は出たとこ勝負にならざるを得ないのだ。									私も、そう思う。それに、相手の性格や、隠遁の理由もわからない以上、対面できたとて、交渉は出たとこ勝負にならざるを得ないのだ。	宮殿に住まいし隠者
ならば、少しでも我々に興味を持ってもらえるよう、襲いくる使い魔を、徹底的に打ち倒してやろうじゃないか。									ならば、少しでも我々に興味を持ってもらえるよう、襲いくる使い魔を、徹底的に打ち倒してやろうじゃないか。	宮殿に住まいし隠者
そういうことなら、腕が鳴るというものだけど。なんだか……。									そういうことなら、腕が鳴るというものだけど。なんだか……。	宮殿に住まいし隠者
水晶公……あなた、ずいぶんと楽しそうね？									水晶公……あなた、ずいぶんと楽しそうね？	宮殿に住まいし隠者
そ、そうか？久方ぶりの戦いを前に、高揚しているのかもしれないが……。									そ、そうか？久方ぶりの戦いを前に、高揚しているのかもしれないが……。	宮殿に住まいし隠者
ふむ、アリゼーもForenameと共闘できるときは、気合の入り方が段違いだ。水晶公も同じように、また彼女彼と冒険できることが嬉しいのだね。									ふむ、アリゼーもForenameと共闘できるときは、気合の入り方が段違いだ。水晶公も同じように、また彼女彼と冒険できることが嬉しいのだね。	宮殿に住まいし隠者
なっ……私は、いつだって真剣に……！									なっ……私は、いつだって真剣に……！	宮殿に住まいし隠者
わっ、私も……！　世界を脅かす敵との戦いではないのだから、多少は、心にゆとりがあるつもりではあったが……。									わっ、私も……！　世界を脅かす敵との戦いではないのだから、多少は、心にゆとりがあるつもりではあったが……。	宮殿に住まいし隠者
はいはい……いつまでも英雄さんを取り合わないの。ここで時間を浪費するより、さっさと宮殿へ向かいましょう。お望みの冒険が、たっぷり待ち構えているわよ？									はいはい……いつまでも英雄さんを取り合わないの。ここで時間を浪費するより、さっさと宮殿へ向かいましょう。お望みの冒険が、たっぷり待ち構えているわよ？	宮殿に住まいし隠者
あ、ああ、そうだな……！それでは、隠者殿の根城「グラン・コスモス」へ出発しよう！									あ、ああ、そうだな……！それでは、隠者殿の根城「グラン・コスモス」へ出発しよう！	宮殿に住まいし隠者
どうする？									どうする？	宮殿に住まいし隠者
話す									話す	宮殿に住まいし隠者
パーティを編成して突入									パーティを編成して突入	宮殿に住まいし隠者
キャンセル									キャンセル	宮殿に住まいし隠者
大きな戦いの後の、小さな冒険……ふと、以前に君やアレンヴァルドと共に探検した、スカラの水没遺構のことを思い出したよ。									大きな戦いの後の、小さな冒険……ふと、以前に君やアレンヴァルドと共に探検した、スカラの水没遺構のことを思い出したよ。	宮殿に住まいし隠者
ほ、ほら、お喋りはおしまい！さっさと宮殿に向かうわよ。使い魔だろうが何だろうが、みんな蹴散らしてやるわ！									ほ、ほら、お喋りはおしまい！さっさと宮殿に向かうわよ。使い魔だろうが何だろうが、みんな蹴散らしてやるわ！	宮殿に住まいし隠者
使い魔といえど、腕の立つ魔道士が命を吹き込んだ存在なら、へたな魔物を凌ぐ力を有していてもおかしくない。じっくり観察したいけど……その余裕はないかしらね。									使い魔といえど、腕の立つ魔道士が命を吹き込んだ存在なら、へたな魔物を凌ぐ力を有していてもおかしくない。じっくり観察したいけど……その余裕はないかしらね。	宮殿に住まいし隠者
確かにこれも、冒険と言えば冒険か……。ともかく、宮殿に突入してからの指示は任せよう。あなたが望むなら、大抵の役割はこなしてみせるさ。									確かにこれも、冒険と言えば冒険か……。ともかく、宮殿に突入してからの指示は任せよう。あなたが望むなら、大抵の役割はこなしてみせるさ。	宮殿に住まいし隠者
やあ、おつかれさま！ほかの皆は、ベーク＝ラグ殿を連れて、一足先にクリスタリウムへと向かったよ。									やあ、おつかれさま！ほかの皆は、ベーク＝ラグ殿を連れて、一足先にクリスタリウムへと向かったよ。	宮殿に住まいし隠者
それにしても、ン・モゥ族の性質について、ウリエンジェから学んでおいてよかった。イル・メグの冒険では、妖精たちに翻弄されたからね……。									それにしても、ン・モゥ族の性質について、ウリエンジェから学んでおいてよかった。イル・メグの冒険では、妖精たちに翻弄されたからね……。	宮殿に住まいし隠者
さあ、ベーク＝ラグ殿から魂についての知恵を借りられるよう、交渉の続きといこう！									さあ、ベーク＝ラグ殿から魂についての知恵を借りられるよう、交渉の続きといこう！	宮殿に住まいし隠者
「魔法宮殿 グラン・コスモス」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。									「魔法宮殿 グラン・コスモス」に、仲間NPCの幻体を連れて、突入できるようになりました！「コンテンツ情報」の「フェイス」から、挑戦が可能です。	宮殿に住まいし隠者
サレン郷のアルフィノは、クリスタリウムに戻りたいようだ。									サレン郷のアルフィノは、クリスタリウムに戻りたいようだ。	ベーク＝ラグの見立て
星見の間に向かう									星見の間に向かう	ベーク＝ラグの見立て
ベーク＝ラグと話す									ベーク＝ラグと話す	ベーク＝ラグの見立て
旅立ちの宿のベーク＝ラグと話す									旅立ちの宿のベーク＝ラグと話す	ベーク＝ラグの見立て
患者たちにベーク＝ラグの秘薬を与える									患者たちにベーク＝ラグの秘薬を与える	ベーク＝ラグの見立て
ベーク＝ラグと話す									ベーク＝ラグと話す	ベーク＝ラグの見立て
それでは、私たちもクリスタリウムへ戻るとしようか。水晶公がベーク＝ラグ殿を「星見の間」にお連れして、こちらの状況を伝えてくれているはずだ。									それでは、私たちもクリスタリウムへ戻るとしようか。水晶公がベーク＝ラグ殿を「星見の間」にお連れして、こちらの状況を伝えてくれているはずだ。	ベーク＝ラグの見立て
今の短い会話だけでも、ベーク＝ラグ殿が、「魂」に関して、類まれな見識をお持ちだということがわかる。貴重な協力者を得られたね。									今の短い会話だけでも、ベーク＝ラグ殿が、「魂」に関して、類まれな見識をお持ちだということがわかる。貴重な協力者を得られたね。	ベーク＝ラグの見立て
改めて実感したけど、私たちってやっぱり魂だけの存在なのね。今はなにも感じないけど、元の身体に戻れたら、肉体のありがたさを実感できるのかしら。									改めて実感したけど、私たちってやっぱり魂だけの存在なのね。今はなにも感じないけど、元の身体に戻れたら、肉体のありがたさを実感できるのかしら。	ベーク＝ラグの見立て
ところで、「グラン・コスモス」の道中で、魔法仕掛けのホウキを見かけたのを覚えている？隠者って、どうしてホウキを使い魔にしたがるのかしらね？									ところで、「グラン・コスモス」の道中で、魔法仕掛けのホウキを見かけたのを覚えている？隠者って、どうしてホウキを使い魔にしたがるのかしらね？	ベーク＝ラグの見立て
あなたたちが夜闇を取り戻したこと……。その成果は、ベーク＝ラグ殿の心にも響いていたのだね。									あなたたちが夜闇を取り戻したこと……。その成果は、ベーク＝ラグ殿の心にも響いていたのだね。	ベーク＝ラグの見立て
さてさて、おぬしたちの望みはわかった。では、もう少し詳しく、現状を聞かせてもらえるかの？									さてさて、おぬしたちの望みはわかった。では、もう少し詳しく、現状を聞かせてもらえるかの？	ベーク＝ラグの見立て
彼らの魂を「白聖石」なる魔器に入れ、もとの世界へと持ち帰ろうというのか……ふむ、アイディアは悪くない。									彼らの魂を「白聖石」なる魔器に入れ、もとの世界へと持ち帰ろうというのか……ふむ、アイディアは悪くない。	ベーク＝ラグの見立て
