
聖アンダリム神学院 	 Saint Endalim's Scholasticate
ライトフェザー闘技場 	 The Lightfeather Proving Grounds
ジャナン・カット地下祭壇 	 The First Altar of Djanan Qhat
ウズネアカナル 	 The Lost Canals of Uznair
シロガネ 	 Shirogane
[拡張街]シロガネ 	 Shirogane Subdivision
凶鳥の左翼 	 The Left Wing of Avis
凶鳥の右翼 	 The Right Wing of Avis
凶鳥の背 	 Avis's Back
ファルコンベース 	 Falcon Base
サウス・ファルコンタワー 	 South Falcon Tower
ノース・ファルコンタワー 	 North Falcon Tower
レイヴンベース 	 Raven Base
ノース・レイヴンタワー 	 North Raven Tower
サウス・レイヴンタワー 	 South Raven Tower
ジェネレーターベース 	 The Generator
クガネ・ランディング 	 Airship Landing
白帝の竹林 	 The Jade Stoa
ポイントIV 	 Point IV
ヴァレンティオンセレモニー 	 Valentione's Ceremony
被検世界「デルタ」V1.0 	 Deltascape V1.0
被検世界「デルタ」V2.0 	 Deltascape V2.0
被検世界「デルタ」V3.0 	 Deltascape V3.0
被検世界「デルタ」V4.0 	 Deltascape V4.0
ロッホ・セル鍾乳洞 	 Lookback Cave
ケルピーの縄張り 	 The Green Screams
聖堂区画 	 Salvation
封印された門扉 	 A Door Unopened
幽閉区画 	 Condemnation
テオドリックの黄金堂 	 The Golden Walls of Ruin
スカラ 	 The Drowned City of Skalla
浅層 	 The Shallows
深層 	 The Depths
劇場艇プリマビスタ・大道具部屋 	 The Prima Vista Tiring Room
劇場艇プリマビスタ・ブリッジ 	 The Prima Vista Bridge
失われた都 ラバナスタ 	 The Royal City of Rabanastre
ラバナスタ廃墟 	 Charred Ruins
ガラムサイズ水路 	 Garamsythe Waterway
王都ルザリア 	 The Royal City of Lesalia
ダルマスカ砂漠 	 Dalmasca Estersand
崩れかけた橋 	 Crumbling Bridge
ムスルバザー 	 Muthru Bazaar
市街地北部 	 North End
王宮前広場 	 Palace Square
ルザリア円庭跡 	 Lesalia Garden Ruins
ルザリア神殿跡 	 Lesalia Temple Ruins
クリスタルタワー演習場 	 Crystal Tower Training Grounds
ファングケージ 	 Fang Cage
クロウケージ 	 Claw Cage
獄之蓋火口 	 Lid Crater
獄之蓋溶岩湖 	 Lava Pool
鬼之門 	 Demonsgate
獄之蓋溶岩洞 	 Lava Tube
獄之釜 	 The Furnace
醴泉神社参道 	 Reisen Temple Road
醴泉神社境内 	 Reisen Temple
亀甲舞台 	 The Polished Shell
フラクタル・コンティニアム (Hard) 	 The Fractal Continuum (Hard)
兵器実演デッキ 	 Arsenal
管理補修デッキ 	 Maintenance Deck
第VIII展示区 	 Exhibit Level VIII
起動試験室 	 Genesis Engine
艦尾構造群 	 Rear Complex
ギラバニア 	 Gyr Abania
オサード 	 Othard
ひんがしの国 	 Hingashi
ラールガーズリーチ 	 Rhalgr's Reach
クガネ 	 Kugane
？？？？ 	 ???
ギラバニア辺境地帯 	 The Fringes
ギラバニア山岳地帯 	 The Peaks
ギラバニア湖畔地帯 	 The Lochs
紅玉海 	 The Ruby Sea
ヤンサ 	 Yanxia
アジムステップ 	 The Azim Steppe
シロガネ 	 Shirogane
望海楼 	 Bokairo Inn
エウレカ：アネモス帯 	 Eureka Anemos
ポート・サーゲイト 	 Port Surgate
スクイブ浜 	 Squib Sands
ハートブレイク樹林 	 Heartbreak Holt
オーチャード高木林 	 The Orchard
バル川流域 	 The Val River Swale
ニューヴォイド 	 Newvoid
クラウザーの庭 	 Klauser's Peace
アネモス結晶脈 	 The Anemos Seam
奇怪の谷 	 Uncanny Valley
スケープ滝 	 The Scape
蜂蜜酒愛好会の密造所 	 The Missing Sester
風の心臓 	 The Heart Ecru
クラウザーの観測小屋 	 Klauser's Howe
原初自然史院分室 	 Early Natural History Society Observatory
放棄された研究室 	 Abandoned Laboratory
マージ滝 	 The Marge
転送技術管理室 	 Aethernet Control
十二神大聖堂：特別式場 	 The Hall of Congress
貨車 	 Freight Car
魔列車：客車 	 The Phantom Train Passenger Car
魔列車 	 The Phantom Train
破壊された山小屋 	 Windtorn Cabin
ガンエン廟 	 The Swallow's Compass
無二江 	 The One River
大龍山脈 	 The Dairyu Chain
水脈之間 	 The Heart of Water
地脈之間 	 The Heart of Earth
風脈之間 	 The Heart of Wind
龍脈之間 	 The Heart of the Dragon
緩流之路 	 The Timid Current
急流之路 	 The Wrathful Current
大龍関門 	 The Dragon's Mouth
玉聖祠 	 Serenity
大草原の狩場 	 The Great Hunt
禁絶幻想 	 Ultimacy
カストルム・フルーミニス 	 Castrum Fluminis
リドルアナ大瀑布 	 The Ridorana Cataract
大灯台下部 	 The Lower Lighthouse
大灯台上部 	 The Upper Lighthouse
機工都市ゴーグ 	 The Clockwork City of Goug
封殺の層 	 The Station of Banishment
